Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
22	0	-16853.5	-16856.3	2.77174	0.181259	0.16749	0.182367	0.144315	0.187624	0.180953	0.155749	0.226379	0.158147	0.224372	0.12008	0.0948116	0.0958008	0.153469	0.144633	0.140169	0.155279	0.164599	0.164282	0.190337	0.144024	0.148684	0.194678	0.00691291	0.0405465	0.0250637	0.0114179	0.0192276	0.0178135	0.010406	0.03822	0.0146219	0.0678238	0.00206802	0.00106345	0.0146308	0.0325889	0.0213137	0.000288101	0.00838524	0.0521209	0.0353854	0.0080959	2.738995	0.294194	0.300653	0.0890568	0.316097	4.147495
23	1	-16892.4	-16894.2	1.75924	0.196659	0.192563	0.138531	0.211004	0.213856	0.167833	0.260087	0.184728	0.169823	0.155436	0.163178	0.14591	0.113276	0.112323	0.127469	0.136185	0.175297	0.206866	0.161694	0.205868	0.120379	0.143557	0.191126	0.0096195	0.0276661	0.0243462	0.00917054	0.00235024	0.00476174	0.0495438	0.0265405	0.0216893	0.0035173	0.0452885	0.00832345	0.0212816	0.0221809	0.00955597	0.000819806	0.00997179	0.0364402	0.0080067	0.0116384	2.771588	0.272053	0.299125	0.0978181	0.331004	4.246363
24	0	-16855.2	-16857.1	1.90168	0.182014	0.176204	0.179933	0.157686	0.201686	0.164345	0.208334	0.226733	0.153469	0.196305	0.12144	0.122639	0.130503	0.131173	0.135004	0.142451	0.184571	0.15346	0.179436	0.141508	0.161268	0.110277	0.209856	0.00851951	0.0432038	0.0155736	0.0139778	0.0154805	0.0197623	0.00114642	0.0378579	0.0157711	0.0780382	0.00135527	0.00128123	0.0271932	0.0233234	0.015512	0.000572856	0.0142748	0.071974	0.0321208	0.0114093	2.959695	0.29433	0.300793	0.0890981	0.315779	4.218643
25	1	-16893.3	-16895.1	1.82234	0.167502	0.193897	0.161144	0.204314	0.178148	0.162876	0.235752	0.175539	0.202118	0.16709	0.17252	0.127989	0.130481	0.124769	0.141771	0.160236	0.205505	0.189885	0.143548	0.178444	0.118887	0.155236	0.203207	0.0206834	0.0204786	0.0263541	0.00605215	0.00179564	0.0154912	0.0413409	0.0140583	0.0179432	0.00222027	0.0462812	0.00882257	0.0107144	0.040046	0.00629303	0.000649637	0.00790281	0.0370566	0.0102393	0.00477153	2.771588	0.272053	0.299125	0.0978181	0.331004	4.240053
26	0	-16849.9	-16851.8	1.85385	0.176534	0.197217	0.163412	0.162971	0.187854	0.167453	0.17556	0.212863	0.160179	0.186476	0.137561	0.103273	0.0787603	0.144744	0.156827	0.141895	0.201768	0.185531	0.178298	0.138708	0.152224	0.151275	0.192235	0.0131452	0.0530689	0.0218496	0.0198982	0.0132721	0.0323866	0.000592029	0.0404581	0.0113033	0.0849122	0.000822886	0.00158135	0.027843	0.0286683	0.0107126	0.00111374	0.0212478	0.0693465	0.0131815	0.0192157	2.753311	0.269611	0.300008	0.0947105	0.33567	4.238236
27	1	-16893.3	-16895	1.60904	0.205089	0.199991	0.170408	0.193598	0.178148	0.138694	0.255852	0.175539	0.174469	0.16709	0.205371	0.127989	0.120386	0.133207	0.127748	0.160236	0.172916	0.189885	0.158988	0.18576	0.147144	0.154267	0.18743	0.0181366	0.0205717	0.0216002	0.00481396	0.0017945	0.00746964	0.0459862	0.0123589	0.0141195	0.00106524	0.0405587	0.00557708	0.0230717	0.0172017	0.0056487	0.000369693	0.00775615	0.0706438	0.00808545	0.00434934	2.771588	0.277007	0.295522	0.0904409	0.33703	4.261384
28	0	-16845.7	-16848	2.28234	0.183938	0.206919	0.187602	0.158388	0.167564	0.167758	0.15362	0.264692	0.179688	0.208983	0.135017	0.105577	0.105208	0.126761	0.175564	0.131492	0.17892	0.159312	0.178687	0.146736	0.144379	0.143139	0.196093	0.0103317	0.0232012	0.0186517	0.0196562	0.00522776	0.0231213	0.000167644	0.0365912	0.0163166	0.0763065	0.000517371	0.00399798	0.0244617	0.0313933	0.0168021	0.000387674	0.0104422	0.0576934	0.022	0.0076254	2.544797	0.269611	0.300008	0.0947105	0.33567	4.210929
29	1	-16890	-16891.1	1.02024	0.183057	0.195749	0.151542	0.200066	0.225216	0.168526	0.256946	0.159622	0.19803	0.130165	0.18447	0.136309	0.155865	0.144148	0.113624	0.139933	0.176965	0.216755	0.159408	0.204353	0.132293	0.139697	0.213034	0.0127816	0.00666861	0.0313869	0.0116569	0.00115484	0.00713839	0.0453155	0.0130652	0.0108851	0.00252769	0.0388893	0.00224525	0.0371122	0.0243509	0.00952123	0.000491408	0.00641858	0.0553699	0.00715442	0.0106882	2.76704	0.279516	0.298199	0.09126	0.331026	4.320595
30	0	-16854.5	-16856.4	1.85624	0.162447	0.199011	0.159844	0.171188	0.206528	0.18123	0.15362	0.213383	0.162165	0.203149	0.113036	0.118557	0.0774696	0.15685	0.164961	0.153856	0.188762	0.167518	0.154536	0.152212	0.169224	0.132097	0.195354	0.0191672	0.0407871	0.0462625	0.0142516	0.00380437	0.0172414	6.00138e-05	0.0426928	0.0229701	0.0903293	0.00136253	0.00686615	0.0211075	0.0393549	0.0127639	0.000576678	0.00720506	0.0573225	0.0273319	0.0106368	2.73838	0.269611	0.300008	0.0947105	0.33567	4.23909
31	1	-16892.2	-16892.9	0.717141	0.176022	0.218816	0.170475	0.180028	0.201945	0.16428	0.24166	0.159622	0.187417	0.151631	0.18447	0.133432	0.155729	0.144148	0.115482	0.165734	0.182094	0.205075	0.181083	0.204353	0.132293	0.138616	0.232168	0.0157636	0.0141471	0.0207931	0.0124661	0.000732302	0.00267089	0.0344303	0.0103262	0.019881	0.00135631	0.0352376	0.00110311	0.0156045	0.0322273	0.0121882	0.000604809	0.00476345	0.0645713	0.00580154	0.0124696	2.866559	0.279642	0.298333	0.0908501	0.331175	4.343712
