Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
20	0	-14408.1	-14333.3	-74.7729	0.7108263	0.408817	0.553552	0.382909	0.569248	0.6792	0.689485	0.758262	0.843848	0.576321	0.492407	0.228041	0.274285	0.314564	0.216266	0.326474	0.369817	0.355426	0.269676	0.30536	0.269846	0.263507	0.261027	0.574944	0.0911146	0.0035277	0.030617	0.0947102	0.0138814	0.0133108	0.00175267	0.0194421	0.0265544	0.0465875	0.0100955	0.359044	0.0046695	0.00330919	0.0220624	0.00259538	0.00238555	0.00436655	0.0152487	0.0334987	0.0762501	0.269786	0.040525	0.0310108	0.582424	3.31096e-06	0.0765021	0.368594	0.928815	2.62609	0.339962	0.343645	0.0750043	0.241389	0.4028285	10.78206
21	1	-14393	-14311	-81.9474	0.5403808	0.753266	0.612285	0.640827	0.573633	0.694634	0.207518	0.932732	0.675044	0.381053	0.474733	0.398363	0.402356	0.344645	0.384719	0.50855	0.346438	0.357013	0.387429	0.346725	0.315812	0.235941	0.261662	0.598934	0.0156817	0.0189845	0.0205058	0.0222609	0.0130379	0.372275	0.00429732	0.00661134	0.04376	0.00165482	0.00678669	0.00791648	0.00199023	0.0170572	0.0145537	0.00693927	0.0521797	0.00781363	0.00916258	0.0217216	0.0522488	0.421845	0.0318776	0.0264608	0.394499	0.0730691	0.0410945	0.277462	0.847564	2.83388	0.313284	0.407553	0.0503745	0.228788	0.3810899	11.4995
22	0	-14391.8	-14317.2	-74.6011	0.6790666	0.295738	0.596381	0.354415	0.540801	0.687149	0.659885	0.74569	0.667557	0.756961	0.450726	0.228862	0.23672	0.296017	0.278795	0.352225	0.383526	0.425627	0.311651	0.315686	0.256396	0.215548	0.22755	0.623784	0.0341811	0.00771975	0.0613587	0.101778	0.0118383	0.00830052	0.00249761	0.0230762	0.0618554	0.0699346	0.0130847	0.403416	0.00203814	0.00175151	0.0175346	0.00317078	0.00412433	0.0104254	0.00757955	0.0115174	0.0575062	0.278323	0.0589775	0.0513299	0.553856	7.0964e-06	0.0697237	0.353483	0.916857	2.65994	0.346668	0.350424	0.072846	0.230062	0.4028285	10.76487
23	1	-14394.8	-14315	-79.7551	0.6319352	0.765404	0.543509	0.739239	0.540577	0.637952	0.228596	0.731382	0.69126	0.510515	0.3883	0.30439	0.306706	0.316229	0.317805	0.405587	0.384562	0.469996	0.316785	0.346725	0.312363	0.318183	0.284225	0.558327	0.0249244	0.0184991	0.0456274	0.0332862	0.00465133	0.476883	0.00942303	0.00956226	0.0944027	0.00204863	0.00238541	0.00297231	0.00605968	0.00608381	0.015916	0.00686448	0.0698005	0.0105707	0.0100545	0.0116412	0.0398312	0.410187	0.061448	0.0257296	0.383597	0.0792065	0.0597544	0.329565	0.896776	2.7139	0.31278	0.406897	0.0519042	0.22842	0.3810899	11.28028
24	0	-14396.5	-14307.5	-89.0454	0.5877511	0.49073	0.67054	0.334511	0.700463	0.633512	0.774146	0.773179	0.90393	0.718688	0.521069	0.27191	0.23672	0.471148	0.278795	0.371272	0.441405	0.350065	0.347248	0.342292	0.330674	0.233692	0.257256	0.706243	0.0146067	0.0130915	0.0686674	0.245882	0.0203656	0.0192121	0.000594187	0.0174524	0.0707343	0.0319861	0.00635993	0.473363	0.0066427	0.00304583	0.0159842	0.00265144	0.00406169	0.0209703	0.003315	0.0108244	0.0502735	0.309435	0.0553506	0.0478978	0.537042	1.12941e-06	0.0505919	0.305395	0.874939	2.76907	0.346668	0.350424	0.072846	0.230062	0.3841802	12.2093
25	1	-14393.6	-14309.6	-84.0025	0.4824046	0.747986	0.513125	0.736441	0.570654	0.685014	0.246318	0.81499	0.733605	0.382462	0.437367	0.289531	0.473804	0.419485	0.418559	0.405587	0.388832	0.445177	0.285308	0.293465	0.380436	0.320738	0.351811	0.589589	0.0226698	0.0259709	0.019706	0.0469824	0.00383806	0.373854	0.00532447	0.00998343	0.0986671	0.0161439	0.00236334	0.00135173	0.009	0.00766207	0.0106456	0.0130611	0.0954855	0.00589281	0.00370038	0.0024262	0.0329587	0.483562	0.0508456	0.033551	0.333608	0.0654744	0.0301747	0.240274	0.807031	2.92252	0.31278	0.406897	0.0519042	0.22842	0.3559788	11.70501
26	0	-14406	-14312.5	-93.5023	0.6300867	0.365123	0.599835	0.268659	0.64344	0.911842	0.797647	0.805693	0.997435	1.08162	0.497528	0.258783	0.245954	0.395424	0.356743	0.389736	0.450108	0.380476	0.394288	0.328752	0.197976	0.26177	0.261971	0.686939	0.0626311	0.0135311	0.0677459	0.140508	0.023028	0.0178243	0.00172344	0.0103132	0.0389655	0.100473	0.00808469	0.472536	0.00982793	0.0214595	0.0213467	0.00262906	0.00292124	0.0473317	0.00377554	0.0105937	0.0515727	0.317432	0.0439387	0.035998	0.550921	0.000137816	0.0593668	0.328588	0.895925	2.71612	0.353085	0.34562	0.0718474	0.229448	0.3935647	12.65499
27	1	-14388.6	-14304.6	-83.9813	0.4695413	0.703721	0.540424	0.673664	0.617861	0.705642	0.305463	0.924713	0.656881	0.385516	0.437367	0.257314	0.352506	0.3709	0.423014	0.430337	0.469309	0.373238	0.390002	0.470853	0.248627	0.30525	0.310278	0.684527	0.0178485	0.0290755	0.0119721	0.0392305	0.00600169	0.373854	0.00971217	0.00329145	0.0682354	0.0123359	0.00345336	0.000651114	0.0180582	0.0124588	0.0103105	0.00475332	0.0239339	0.00634271	0.00502338	0.00894099	0.0209378	0.473733	0.0498121	0.0661786	0.326827	0.0625119	0.027891	0.231567	0.796775	2.94377	0.31322	0.40747	0.0532339	0.226076	0.3833787	11.70289
28	0	-14405.3	-14317.1	-88.1587	0.6383892	0.430344	0.642694	0.442789	0.624048	0.685638	0.783031	0.783964	0.806619	0.646974	0.499959	0.24603	0.308135	0.359165	0.381631	0.381083	0.484848	0.44651	0.347188	0.328752	0.327499	0.251595	0.241185	0.683214	0.0493802	0.0360786	0.0727106	0.0846118	0.00653412	0.0164084	0.00259911	0.00681327	0.126115	0.0343269	0.0131354	0.435839	0.00809174	0.035738	0.0119652	0.00295756	0.00127956	0.0115004	0.00196517	0.0296891	0.0529568	0.275103	0.0451179	0.0603207	0.565706	0.000795859	0.0611101	0.33295	0.899708	2.70623	0.353085	0.34562	0.0718474	0.229448	0.3935647	12.12063
29	1	-14391.8	-14295.4	-96.4469	0.5936343	0.820844	0.65801	0.801135	0.788216	0.725351	0.34043	0.715363	1.0497	0.43204	0.567677	0.353758	0.41708	0.474881	0.395549	0.456236	0.50091	0.373238	0.303194	0.312011	0.33481	0.30525	0.252009	0.684527	0.0191687	0.0240929	0.0116669	0.023498	0.00755288	0.520096	0.0311102	0.0079155	0.0505116	0.0180153	0.0195788	0.000466128	0.01581	0.0622858	0.00537757	0.00813913	0.0268807	0.00860544	0.0124408	0.014033	0.0213818	0.48378	0.0508685	0.0629405	0.332555	0.0484747	0.0517978	0.308715	0.878036	2.76145	0.331673	0.396522	0.0518036	0.220001	0.3833787	12.94946
30	0	-14409.4	-14328.1	-81.3518	0.5733145	0.518252	0.591163	0.362817	0.541659	0.590436	0.630798	0.750232	0.68926	0.930464	0.493341	0.385981	0.219383	0.361186	0.392419	0.396979	0.405378	0.31856	0.372327	0.247332	0.232885	0.233611	0.257511	0.680268	0.0301353	0.0158198	0.0427854	0.103943	0.0148867	0.022107	0.0043367	0.00516079	0.0849575	0.0352525	0.0112923	0.338896	0.0102496	0.0169478	0.0231431	0.0110304	0.00137518	0.0265803	0.00123816	0.0375601	0.0479252	0.325903	0.0412345	0.0551287	0.517014	0.0127941	0.047655	0.297109	0.867069	2.78817	0.353754	0.346275	0.0719835	0.227987	0.3982331	11.43994
31	1	-14394.4	-14301.3	-93.106	0.4685273	0.724265	0.567154	0.958674	0.659247	0.756673	0.284799	0.908268	0.781369	0.437718	0.549289	0.42619	0.294964	0.455875	0.353218	0.433276	0.437442	0.424684	0.267606	0.493354	0.313387	0.342921	0.366548	0.557879	0.0066431	0.0185361	0.00973344	0.00541868	0.0107838	0.499379	0.0332381	0.0103886	0.0486319	0.00839475	0.0133952	0.000625507	0.00905036	0.023859	0.0521896	0.00102417	0.0199195	0.0229988	0.01972	0.00663172	0.0248585	0.500222	0.0525974	0.0386446	0.343857	0.0398203	0.0277134	0.230874	0.795945	2.94547	0.33104	0.395765	0.0536144	0.219581	0.3833787	12.61536
32	0	-14398.5	-14309.2	-89.2543	0.5174987	0.331974	0.569172	0.357213	0.628547	0.834683	0.738209	0.918882	0.811669	0.769633	0.56134	0.306295	0.307685	0.471588	0.392419	0.396979	0.418399	0.41295	0.317033	0.449145	0.240179	0.231495	0.228721	0.559367	0.0394666	0.0207714	0.0674426	0.118625	0.00662334	0.0416556	0.0175796	0.00247753	0.0193818	0.0417011	0.00672353	0.491082	0.00219948	0.0244494	0.0183515	0.019951	0.00107344	0.0165613	0.000878394	0.0196236	0.0476876	0.329503	0.04103	0.0548553	0.51445	0.0124742	0.0366751	0.263186	0.832595	2.86754	0.353754	0.346275	0.0719835	0.227987	0.3982331	12.23019
33	1	-14384.1	-14295.6	-88.4941	0.5486585	0.700208	0.627184	0.637094	0.647219	0.701653	0.276023	0.908268	0.812465	0.428625	0.428391	0.461049	0.461506	0.415844	0.387673	0.353303	0.442287	0.41736	0.385973	0.405703	0.270825	0.37048	0.313292	0.520508	0.00884995	0.0180011	0.011351	0.0045746	0.0191769	0.439137	0.0271617	0.0212863	0.0563562	0.00301048	0.0131053	0.00205344	0.014499	0.0306624	0.0664175	0.000931033	0.00984598	0.0150411	0.00951715	0.010259	0.0263248	0.459167	0.0556997	0.0486445	0.368065	0.0420982	0.0427231	0.2825	0.852682	2.8221	0.32733	0.402536	0.0530136	0.217121	0.3833787	12.15417
34	0	-14396.8	-14295.9	-100.92	0.6141833	0.461874	0.691005	0.304978	0.617318	0.756488	0.813253	0.948076	0.894185	1.00971	0.612608	0.270578	0.296953	0.423726	0.395747	0.494838	0.541163	0.461161	0.278555	0.429921	0.355029	0.294333	0.27395	0.710611	0.0462458	0.0270606	0.0806333	0.0908328	0.00365592	0.0505011	0.0160563	0.00326038	0.0735198	0.0599676	0.00413853	0.524639	0.00166743	0.00611636	0.014413	0.00876122	0.00136435	0.0267573	0.000714918	0.0204339	0.0423269	0.276158	0.0351105	0.0343133	0.573072	0.0390194	0.0560459	0.320065	0.888386	2.7355	0.362033	0.354805	0.0736682	0.209494	0.3982331	13.3968
