Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-17205	-17210.3	5.24374	0.212201	0.168849	0.184065	0.201273	0.172431	0.181608	0.222592	0.161389	0.201333	0.182343	0.161177	0.131629	0.134412	0.131347	0.190521	0.13643	0.124518	0.139794	0.178422	0.070107	0.123383	0.12167	0.191479	0.0322573	0.00779321	0.0733727	0.0187651	0.00208982	0.0332877	0.00731696	0.00351978	0.0232062	0.0232308	0.0236676	0.0360525	0.0187483	0.00246066	0.0225797	0.0339899	0.000309234	0.0276292	0.010229	0.0202323	0.236657	0.313369	0.0942597	0.355714	4.14371
210	-17190.2	-17196.5	6.28089	0.215419	0.164149	0.190602	0.190353	0.174079	0.173649	0.223962	0.177751	0.199691	0.157431	0.124473	0.131867	0.117173	0.125614	0.166664	0.133771	0.126136	0.1501	0.1743	0.105705	0.128245	0.114891	0.20286	0.0277934	0.00685749	0.0611134	0.0119617	0.00161237	0.0385058	0.00802233	0.0148629	0.012813	0.0429447	0.0110033	0.0384788	0.0156487	0.00128931	0.0229839	0.0164698	8.31748e-05	0.0152503	0.00505602	0.018362	0.237056	0.313898	0.0927322	0.356314	4.039995
220	-17193.3	-17199.3	6.07348	0.20793	0.162838	0.191641	0.16354	0.17093	0.200222	0.223962	0.194918	0.214101	0.173909	0.120449	0.126419	0.12558	0.113485	0.15841	0.143954	0.123255	0.153988	0.188909	0.0917462	0.122127	0.124284	0.176085	0.033913	0.00657259	0.0637651	0.0277493	0.00023081	0.0175498	0.00521288	0.0148227	0.020045	0.0395701	0.0126598	0.0283797	0.0231771	0.000925682	0.0279235	0.00998119	0.000196184	0.0255516	0.0124129	0.0174164	0.239211	0.307662	0.093575	0.359553	4.060736
230	-17195.6	-17201.8	6.18768	0.219493	0.164579	0.198013	0.194083	0.156305	0.15492	0.218926	0.181523	0.211045	0.132281	0.169199	0.134297	0.110815	0.127671	0.169433	0.135948	0.109079	0.132318	0.177392	0.113064	0.154549	0.119762	0.174165	0.0349709	0.00583766	0.0642309	0.0243348	0.000576754	0.0261935	0.00461785	0.0137119	0.0171028	0.0326093	0.0255398	0.0324087	0.0181694	0.00146094	0.0169204	0.0292316	7.25745e-05	0.0184718	0.00582495	0.0181691	0.233779	0.311322	0.0946883	0.36021	4.049316
240	-17195.5	-17201.5	6.06741	0.2125	0.157861	0.197537	0.194083	0.16923	0.189995	0.244937	0.181438	0.217618	0.156191	0.149615	0.122575	0.102388	0.136288	0.152723	0.130834	0.10377	0.136694	0.182895	0.106935	0.133474	0.123367	0.170771	0.0342408	0.00480504	0.0402138	0.0173184	0.000609243	0.0339561	0.00450131	0.00794629	0.0122434	0.0531659	0.0211297	0.0361446	0.00573036	0.00237853	0.0194697	0.0303577	0.000364562	0.0200343	0.00827359	0.0347406	0.224255	0.315192	0.0958653	0.364688	4.061343
250	-17189.8	-17195.2	5.4027	0.221305	0.181672	0.176197	0.185177	0.152856	0.175872	0.2217	0.179323	0.245556	0.149031	0.135506	0.134534	0.115121	0.111517	0.162461	0.130834	0.130715	0.174114	0.182895	0.0943721	0.135341	0.125642	0.202148	0.0360033	0.00761786	0.0651382	0.0164122	0.000447169	0.0198018	0.00121697	0.0180195	0.0105627	0.0346026	0.0182607	0.0316844	0.0121154	0.00521141	0.0311071	0.0178198	0.00126248	0.0318607	0.0159396	0.0288407	0.224255	0.315192	0.0958653	0.364688	4.127814
260	-17207.8	-17213.7	5.93103	0.203961	0.175317	0.183645	0.208559	0.144723	0.188432	0.247751	0.159237	0.225961	0.155112	0.124499	0.139092	0.116891	0.133404	0.145686	0.140451	0.127645	0.134966	0.212788	0.076684	0.13932	0.121949	0.16872	0.0316235	0.00175928	0.0678459	0.0251685	0.000578307	0.0230297	0.0055841	0.0113291	0.00182988	0.0388585	0.0256213	0.034282	0.0191725	0.00741769	0.00545322	0.0366487	0.00231583	0.0144596	0.0319501	0.0152597	0.224255	0.315192	0.0958653	0.364688	4.074981
270	-17203.1	-17207.6	4.50621	0.203961	0.180642	0.182849	0.186455	0.159814	0.187718	0.254086	0.188654	0.204202	0.154414	0.146103	0.130975	0.113378	0.130037	0.166657	0.151813	0.131337	0.166561	0.175213	0.104156	0.146658	0.146095	0.210985	0.0460546	0.00104601	0.0562739	0.00679729	0.00293039	0.0503893	0.011509	0.0152762	0.00549695	0.0314913	0.0328945	0.0262562	0.0201489	0.00647326	0.00992723	0.013902	0.00129842	0.01821	0.00867533	0.0296489	0.22341	0.314004	0.0955041	0.367081	4.217462
280	-17193.8	-17200.4	6.56913	0.20425	0.163485	0.177094	0.208788	0.144454	0.179074	0.203155	0.210355	0.226442	0.149814	0.148473	0.131461	0.120928	0.105275	0.146978	0.136201	0.127594	0.149116	0.186601	0.104298	0.128018	0.121147	0.179426	0.0302955	0.00207766	0.0478794	0.0214158	0.00362508	0.0213108	0.0164199	0.00446049	0.021705	0.0353644	0.0217052	0.0253912	0.00566349	0.00320281	0.0193865	0.0145844	0.00613383	0.0194205	0.0102474	0.0284546	0.227043	0.310656	0.0944858	0.367815	4.011171
290	-17197.6	-17204.2	6.56284	0.199726	0.182151	0.179462	0.178555	0.136282	0.182992	0.221154	0.162682	0.232409	0.134889	0.138099	0.113235	0.123792	0.129388	0.163038	0.122672	0.125095	0.164841	0.166896	0.103939	0.135209	0.121983	0.192905	0.0289037	0.00544006	0.0421463	0.0241505	0.00289212	0.0236822	0.0072816	0.0246675	0.00999096	0.0502662	0.0314965	0.0282526	0.0139592	0.00481147	0.0122653	0.032773	0.00486195	0.0183969	0.0112142	0.022954	0.22806	0.312047	0.0904311	0.369462	4.0118
