Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-16354.9	-16366.7	11.7803	0.190158	0.189314	0.221388	0.177088	0.139393	0.181869	0.116477	0.0783943	0.221682	0.190505	0.118572	0.137422	0.131486	0.147883	0.162371	0.128452	0.154552	0.161274	0.134931	0.175417	0.127735	0.098627	0.171694	0.0809181	0.00305353	0.000746907	0.0332324	0.031882	0.00175805	0.0784821	0.0184331	0.0039553	0.0228378	0.0109439	0.00214348	0.00639246	0.0179733	0.0141959	0.00141463	0.0449483	0.000757351	0.00533969	0.0327089	0.267704	0.326571	0.0674113	0.0390026	0.286726	0.0125853	0.218887	0.251587	0.113699	0.415827	3.968801
21	1	-16253.2	-16268.6	15.4163	0.20907	0.189554	0.176559	0.169884	0.115359	0.0869595	0.153593	0.198046	0.100217	0.162749	0.116531	0.10807	0.0793612	0.130813	0.153581	0.129606	0.168734	0.136522	0.136847	0.104776	0.0782175	0.138233	0.134698	0.039958	0.019393	0.00971305	0.0223101	0.0138984	0.00120111	0.0140909	0.0149898	0.0654714	0.0324606	0.0141331	0.0440916	8.18285e-05	0.00354074	0.00936237	0.0133787	0.0614604	0.000270432	0.000196318	0.0472231	0.275978	0.240619	0.0691646	0.0565925	0.345916	0.0117299	0.241734	0.220109	0.15635	0.381807	3.605207
22	0	-16360.2	-16372.6	12.3718	0.195867	0.180927	0.2402	0.174883	0.158804	0.181869	0.101872	0.093325	0.193856	0.171656	0.141305	0.134058	0.140783	0.109724	0.150369	0.120887	0.175458	0.146589	0.14328	0.173464	0.127735	0.0944433	0.146074	0.0647375	0.00496722	0.00195929	0.0304782	0.0374438	0.00209862	0.0840563	0.0271854	0.00179369	0.0245194	0.0116317	0.00117275	0.00980641	0.0166932	0.0130398	0.00195462	0.0428951	0.00114613	0.00532327	0.0293223	0.263435	0.321364	0.0663363	0.0601417	0.282154	0.00657022	0.215205	0.252893	0.114289	0.417613	3.909653
23	1	-16260	-16274	13.993	0.242711	0.165499	0.214231	0.175968	0.090496	0.0791107	0.157166	0.22997	0.119555	0.162308	0.1305	0.105973	0.0879004	0.125499	0.115896	0.167314	0.162629	0.135673	0.136847	0.129638	0.0944698	0.143456	0.14095	0.0412979	0.0213244	0.00583955	0.0244259	0.0168097	0.00373665	0.00372185	0.0120522	0.0725584	0.0282374	0.00846668	0.0328807	3.10908e-05	0.013361	0.0100523	0.00883372	0.0890705	0.000593463	0.000311326	0.040169	0.273989	0.241151	0.0697057	0.0567176	0.346681	0.0117558	0.24236	0.220679	0.154164	0.382797	3.74753
24	0	-16359.1	-16372.1	12.9447	0.168143	0.204355	0.216937	0.20374	0.168185	0.179825	0.125474	0.0796555	0.209028	0.159273	0.111957	0.121181	0.124783	0.145145	0.144927	0.12658	0.136066	0.133476	0.132424	0.16854	0.111544	0.102551	0.14245	0.071075	0.0092703	0.00670778	0.0318605	0.0317246	0.00499843	0.108695	0.0252209	0.000723144	0.0244662	0.0150356	0.00362101	0.00673385	0.00868118	0.0173691	0.00424568	0.0322243	0.0016128	0.00162468	0.0302302	0.269113	0.328291	0.0642641	0.0451715	0.288235	0.00492571	0.216214	0.24939	0.114825	0.419571	3.85236
25	1	-16257.7	-16271.5	13.7411	0.233069	0.211818	0.199505	0.1893	0.108664	0.0891711	0.17003	0.197011	0.112373	0.169029	0.134991	0.1331	0.0833049	0.129337	0.11922	0.138911	0.167164	0.119946	0.122135	0.12607	0.0792805	0.155918	0.1629	0.036928	0.0213619	0.00492603	0.0286051	0.0200911	0.0035342	0.016849	0.0109482	0.0580269	0.0327134	0.00647581	0.0424127	4.21488e-05	0.00654257	0.0082642	0.0118658	0.0862794	0.00205751	0.000113488	0.0224408	0.278668	0.245269	0.070896	0.0463334	0.352601	0.00623227	0.24236	0.220679	0.154164	0.382797	3.772728
26	0	-16358	-16370.4	12.3331	0.225949	0.193744	0.230535	0.18513	0.167217	0.187869	0.119312	0.096825	0.187511	0.156112	0.111399	0.138271	0.123136	0.142069	0.158832	0.12899	0.162884	0.125539	0.158413	0.158489	0.111544	0.0792785	0.136887	0.0700638	0.00794221	0.00543298	0.0303414	0.0291745	0.00197724	0.100003	0.0206006	0.00225785	0.0110961	0.0112485	0.0104827	0.00444639	0.0331403	0.0261175	0.0043265	0.0324477	0.00218742	0.00133859	0.0229604	0.264905	0.322708	0.0631714	0.049872	0.283334	0.0160095	0.20429	0.251855	0.120138	0.423717	3.913522
27	1	-16254.1	-16268.3	14.2156	0.207269	0.189783	0.184826	0.161073	0.104917	0.0861991	0.131502	0.197011	0.124411	0.169323	0.146492	0.119834	0.0889796	0.123921	0.116268	0.157243	0.167164	0.137967	0.153896	0.128738	0.0792805	0.171972	0.148068	0.0374149	0.0330884	0.000791647	0.0223331	0.0181281	0.00292695	0.014094	0.00728248	0.077489	0.0391304	0.00839315	0.026778	0.000539371	0.00713462	0.0109795	0.00996223	0.0740377	0.00399713	0.000108642	0.0345277	0.279962	0.246408	0.0712251	0.0324152	0.354238	0.0157521	0.213584	0.230056	0.160715	0.395645	3.725275
28	0	-16355.3	-16369	13.6899	0.195144	0.202313	0.195306	0.187787	0.163573	0.175745	0.125447	0.0913399	0.181021	0.152561	0.106082	0.124721	0.138881	0.144202	0.128985	0.109931	0.149599	0.136504	0.13735	0.14453	0.139514	0.0743609	0.169084	0.0878703	0.00291976	0.00304223	0.0258446	0.029923	0.00321402	0.0793659	0.0272036	0.00525752	0.0119542	0.0165638	0.00646732	0.00425696	0.0215056	0.0204903	0.00200901	0.02453	0.00114908	0.00580806	0.0244843	0.269072	0.298977	0.0640049	0.0558739	0.301115	0.0109571	0.228925	0.253786	0.121059	0.39623	3.777841
29	1	-16256.2	-16270.6	14.3109	0.208633	0.181556	0.197775	0.154894	0.0991019	0.0651946	0.139117	0.232912	0.10857	0.189848	0.144005	0.125059	0.0889796	0.131917	0.126186	0.116592	0.154601	0.142932	0.142412	0.153774	0.0853654	0.150303	0.132017	0.0501538	0.0259766	0.00072628	0.0145739	0.0150427	0.00375342	0.00574883	0.00943374	0.073225	0.0267077	0.00518422	0.0443288	0.00194169	0.0124462	0.0145847	0.0083668	0.0776629	0.00160203	5.95886e-05	0.0524815	0.288104	0.253154	0.0670232	0.0353132	0.343915	0.0124914	0.213584	0.230056	0.160715	0.395645	3.715745
