Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15791.5	-15805	13.507	0.128607	0.100883	0.0999404	0.0993533	0.113028	0.0842961	0.132001	0.079353	0.102852	0.155698	0.070269	0.0711922	0.103817	0.0935057	0.110701	0.120059	0.112831	0.122753	0.126102	0.0819543	0.101582	0.0732078	0.148366	0.0223871	0.0284697	0.0709543	0.0291052	0.0286299	0.0425463	0.0205173	0.0220724	0.0123613	0.0312364	0.0352375	0.0381803	0.0289865	0.0564592	0.0422641	0.0490054	0.0468414	0.0488477	0.0345216	0.0172385	3.138212
21	1	-15808.8	-15821.9	13.0941	0.12193	0.0801125	0.0920803	0.0767298	0.115153	0.0832725	0.118229	0.0753991	0.117833	0.13549	0.0760141	0.0974295	0.107625	0.103292	0.0959874	0.0920418	0.114737	0.123359	0.117619	0.0733136	0.0874587	0.0756034	0.189871	0.0332722	0.0266057	0.0278304	0.0353441	0.0665816	0.0359531	0.0230613	0.0438714	0.0269398	0.0285901	0.0346869	0.0383143	0.0890201	0.0496482	0.0132509	0.0551143	0.0502854	0.0169675	0.035862	0.0777192	3.179499
22	0	-15797.2	-15810	12.8005	0.105577	0.123807	0.0833886	0.105438	0.106557	0.0871274	0.126217	0.0778403	0.104571	0.141148	0.0749466	0.0966221	0.103817	0.098994	0.12354	0.130624	0.137843	0.107541	0.118728	0.0861785	0.0865929	0.0925349	0.164576	0.0215144	0.0366312	0.0742908	0.029081	0.0228059	0.0359574	0.0212357	0.0329854	0.0157411	0.0272169	0.0391326	0.0299809	0.029321	0.0381461	0.0421337	0.0487623	0.0728683	0.0472132	0.0396945	0.0199329	3.208855
23	1	-15800.3	-15813.2	12.9379	0.12193	0.0988211	0.0861629	0.0973491	0.116499	0.0803045	0.118264	0.072877	0.0918749	0.174066	0.0870845	0.0872508	0.110648	0.113656	0.118105	0.119485	0.111935	0.115681	0.117619	0.0958733	0.0866057	0.0812313	0.15592	0.0346169	0.0280449	0.0326103	0.0410685	0.04839	0.0197576	0.0173134	0.0431367	0.0256022	0.0339132	0.0333094	0.0320782	0.0890201	0.0475051	0.0220094	0.0374932	0.0413508	0.0166393	0.0299887	0.0620249	3.195115
24	0	-15806	-15818.8	12.7156	0.122766	0.126529	0.0798781	0.0966205	0.125404	0.0773677	0.129981	0.0778403	0.0883461	0.175064	0.0762163	0.0837605	0.103817	0.098994	0.0943377	0.138259	0.129214	0.124708	0.118728	0.0896426	0.0717344	0.0910816	0.171257	0.0267116	0.0308681	0.0814183	0.0380148	0.0179741	0.0433145	0.00961417	0.0115378	0.0194821	0.0417031	0.0397208	0.0494375	0.0378049	0.033192	0.0354071	0.0418081	0.0473153	0.0457365	0.055446	0.0192961	3.217351
25	1	-15800.4	-15812.1	11.6999	0.147247	0.104705	0.0963134	0.095814	0.112823	0.0771778	0.130583	0.0972088	0.0918749	0.174066	0.0764145	0.084142	0.0928035	0.0952053	0.123613	0.113453	0.136527	0.115586	0.1114	0.0949249	0.102641	0.0871444	0.164372	0.0344766	0.0262284	0.0379283	0.0379611	0.0671807	0.0358675	0.0220914	0.0358543	0.0206389	0.0335689	0.0300814	0.0195793	0.105162	0.0490183	0.0220245	0.0447488	0.0450676	0.031811	0.0279654	0.0656275	3.318921
26	0	-15801	-15813.8	12.7432	0.125725	0.0971504	0.111587	0.102735	0.119785	0.0796495	0.144869	0.0649039	0.0810807	0.184087	0.0806034	0.0763753	0.106599	0.09524	0.111497	0.146711	0.119849	0.119864	0.126972	0.0770987	0.0821319	0.0723512	0.162953	0.0193741	0.0396039	0.0707119	0.0229016	0.027845	0.0408204	0.0126915	0.0181086	0.0076252	0.0303255	0.0405419	0.0439587	0.0355132	0.0436884	0.0583436	0.0429795	0.0473153	0.0463171	0.0461098	0.029999	3.214591
27	1	-15806.2	-15818.2	11.9446	0.143771	0.104705	0.0945814	0.108378	0.104982	0.0969955	0.131098	0.0934618	0.101357	0.176795	0.0676455	0.0833047	0.0884253	0.106078	0.0916315	0.126726	0.115202	0.106867	0.125249	0.0975761	0.0927196	0.0897589	0.172656	0.0384117	0.0160977	0.0314989	0.0273744	0.0788629	0.0440248	0.0268712	0.0300059	0.0192847	0.0312279	0.0319127	0.0251443	0.0810388	0.0433903	0.0348027	0.0558637	0.0568831	0.0231883	0.0221095	0.0564924	3.29445
28	0	-15809.1	-15821.7	12.6421	0.11102	0.0907272	0.0742998	0.114366	0.10671	0.0733892	0.153214	0.0931978	0.0883257	0.1914	0.0981703	0.0681385	0.0839945	0.0874804	0.121198	0.130623	0.127673	0.102821	0.136204	0.088158	0.0677123	0.09707	0.167092	0.0214305	0.0321917	0.0679908	0.0337104	0.0198522	0.0505281	0.0177061	0.02828	0.0167822	0.0189978	0.050278	0.0447093	0.030684	0.0676529	0.0344544	0.0478278	0.0634609	0.0427161	0.0368365	0.0256287	3.224702
29	1	-15809.3	-15822.2	12.9139	0.123611	0.100953	0.157552	0.0895599	0.112899	0.0703485	0.138868	0.0708073	0.109025	0.174766	0.0800886	0.0860318	0.0884253	0.0871328	0.104539	0.115715	0.125939	0.112585	0.107602	0.0815444	0.102274	0.0661468	0.156569	0.0283621	0.0272997	0.0284501	0.0289874	0.052602	0.0361897	0.023634	0.0329081	0.0304778	0.0278188	0.0365413	0.0250862	0.0708652	0.0583614	0.0184521	0.0467483	0.0451814	0.023165	0.0331409	0.0602676	3.197521
