Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15824	-15836.2	12.2088	0.133106	0.0961332	0.0975848	0.137774	0.102153	0.0827861	0.11373	0.0550876	0.104832	0.156651	0.0718562	0.0939311	0.113309	0.118538	0.155213	0.116546	0.113044	0.121456	0.11826	0.0806311	0.0806005	0.0732996	0.174633	0.0405659	0.0271997	0.0525175	0.0442135	0.0250637	0.0604723	0.0155693	0.0272504	0.0187982	0.0285763	0.0483965	0.0501894	0.0403668	0.0337781	0.0308687	0.0717944	0.0486814	0.0477143	0.0304223	0.0144361	3.26803
210	-15822.2	-15834	11.7918	0.13342	0.102355	0.0868579	0.108527	0.144249	0.0514703	0.11995	0.0710882	0.0857597	0.197779	0.0761057	0.0917645	0.12121	0.100049	0.103903	0.101115	0.109359	0.0877958	0.122379	0.0818354	0.108403	0.106355	0.201451	0.0314229	0.0228348	0.0995797	0.0447215	0.0309033	0.0620602	0.0135608	0.0225888	0.0221469	0.03465	0.0326692	0.0283112	0.0359705	0.039513	0.048216	0.0529449	0.0760992	0.0411728	0.0324286	0.0247523	3.309728
220	-15809.5	-15822.3	12.7501	0.128005	0.0945435	0.101224	0.0982351	0.116501	0.0714975	0.153604	0.0678833	0.0947005	0.178256	0.0935868	0.0725623	0.110663	0.065727	0.113439	0.148261	0.116937	0.124369	0.102449	0.0822333	0.0805272	0.0937919	0.163363	0.0456583	0.0442309	0.0632174	0.0282498	0.0440071	0.0419257	0.0189454	0.0257936	0.0115515	0.0237923	0.0409089	0.0404141	0.0256813	0.0347916	0.0421896	0.0509907	0.0469647	0.0441805	0.0480772	0.0199709	3.213902
230	-15804.7	-15818.1	13.4601	0.137397	0.0961955	0.0860736	0.110569	0.0935992	0.0668286	0.126626	0.0784709	0.101066	0.178256	0.0858382	0.0742613	0.100941	0.0964596	0.116054	0.127292	0.133977	0.10079	0.123903	0.0814386	0.0839884	0.0949544	0.145318	0.0250184	0.0328303	0.0781868	0.028721	0.0152502	0.0416276	0.00840969	0.0228774	0.0179041	0.0281901	0.0259805	0.042546	0.0276307	0.0340662	0.03448	0.0292792	0.0756797	0.0604357	0.0471409	0.0263465	3.142898
240	-15798	-15810.5	12.5143	0.131324	0.11273	0.0971424	0.107096	0.110691	0.0968343	0.122427	0.0850384	0.0965722	0.184363	0.08268	0.0749944	0.096299	0.0996775	0.12042	0.111738	0.127636	0.112624	0.117359	0.0781541	0.0953147	0.0921177	0.155604	0.0237834	0.0227044	0.0804469	0.0457625	0.0390458	0.0521609	0.00913662	0.0215076	0.0201538	0.0256612	0.0462998	0.038152	0.0286812	0.0445404	0.0299484	0.0472003	0.0381795	0.0380075	0.0492565	0.0280141	3.23748
250	-15794.1	-15807.1	12.9772	0.113815	0.104853	0.093004	0.106056	0.108083	0.0792566	0.136466	0.0785686	0.0941511	0.163754	0.0807189	0.0946091	0.100608	0.0895644	0.102967	0.139503	0.127352	0.111911	0.127251	0.07281	0.086333	0.0771459	0.179829	0.021674	0.0215936	0.0933285	0.0262602	0.0304778	0.0331458	0.00882649	0.0238566	0.016592	0.0331407	0.0462998	0.0379184	0.0232571	0.0500416	0.0427926	0.0501458	0.0562902	0.0461292	0.039539	0.021274	3.191191
260	-15801.2	-15813.9	12.7152	0.15873	0.103502	0.0946431	0.102456	0.123623	0.0833683	0.136247	0.0567446	0.105581	0.160763	0.0844581	0.0832903	0.097264	0.0926985	0.118832	0.136181	0.132933	0.0969615	0.121952	0.0689767	0.0787619	0.0896341	0.179118	0.0362129	0.0162789	0.0740145	0.0320002	0.0239556	0.0440319	0.0182833	0.0175245	0.020806	0.0331407	0.0420336	0.0374474	0.022838	0.0521021	0.0283892	0.0463126	0.048299	0.060813	0.0402875	0.0159027	3.217392
270	-15802.4	-15815.2	12.8189	0.124541	0.103754	0.090647	0.0880844	0.118108	0.0842401	0.121788	0.0898522	0.0854062	0.147757	0.077065	0.0775254	0.104218	0.102688	0.123863	0.123465	0.129416	0.122407	0.110899	0.0945027	0.10794	0.0931764	0.153431	0.0263523	0.0422289	0.0650119	0.0460075	0.0233388	0.0311912	0.0224585	0.0227012	0.0238156	0.0277215	0.0545751	0.0384361	0.0281722	0.0482684	0.0266733	0.0441062	0.0558898	0.0384213	0.0444816	0.0223884	3.207013
280	-15805.1	-15818.4	13.3675	0.114129	0.0852349	0.0960938	0.115474	0.0939093	0.0961521	0.121788	0.0721048	0.119226	0.180846	0.096793	0.0728564	0.107149	0.0849297	0.111329	0.114888	0.121919	0.11474	0.126417	0.0805357	0.0890782	0.090978	0.149061	0.0219092	0.034975	0.0737175	0.0242991	0.027843	0.0375404	0.0208028	0.0291933	0.0202481	0.0406283	0.0363413	0.0426507	0.0433885	0.0285903	0.0362464	0.0490117	0.0419489	0.0390504	0.0191088	0.0290343	3.152158
290	-15795.8	-15808.7	12.9131	0.127766	0.094604	0.0848462	0.112487	0.106482	0.0805356	0.132914	0.0806114	0.11783	0.156876	0.0688072	0.0849264	0.101797	0.0960981	0.106524	0.13883	0.110744	0.118667	0.133417	0.0860061	0.0948803	0.0926891	0.174834	0.0301011	0.0274309	0.0620949	0.0274329	0.0349819	0.0426224	0.0127833	0.0281356	0.0204861	0.0272383	0.0434856	0.0372152	0.0282944	0.0378175	0.0236137	0.0431268	0.0625846	0.052696	0.0365274	0.0157601	3.197602
300	-15804.6	-15817.9	13.3276	0.151602	0.101488	0.0944698	0.0944387	0.0931455	0.0993552	0.109168	0.0800921	0.102354	0.156876	0.0675126	0.0900882	0.100717	0.0891368	0.12069	0.11636	0.124039	0.123849	0.122324	0.0663244	0.0948803	0.080592	0.162547	0.0207998	0.0166864	0.0734356	0.0201876	0.0285038	0.0374153	0.0200317	0.0245746	0.0142063	0.0314358	0.0327193	0.0392168	0.0406819	0.0582601	0.0395637	0.0509847	0.0488986	0.0600511	0.029821	0.0266188	3.156145
310	-15807.5	-15820.3	12.7683	0.100993	0.101488	0.108028	0.0964631	0.12207	0.0878476	0.131451	0.0761788	0.0905697	0.178754	0.0593939	0.0911238	0.0956785	0.0806564	0.106762	0.131359	0.132326	0.0962632	0.144522	0.0678287	0.100827	0.0918096	0.161491	0.0214989	0.0576046	0.0703561	0.0288468	0.0453473	0.0567336	0.017842	0.0355235	0.0163079	0.0157781	0.0296254	0.030047	0.0397793	0.0356026	0.0363382	0.0462788	0.0474715	0.051607	0.0518154	0.0237894	3.212079
320	-15803.9	-15816.3	12.3191	0.100993	0.115882	0.0958019	0.0879877	0.123112	0.0784251	0.114857	0.0899772	0.101764	0.18066	0.0781986	0.0862123	0.0988193	0.0935162	0.108386	0.133726	0.142185	0.128995	0.116391	0.07126	0.0811297	0.0853065	0.144216	0.0328264	0.0285493	0.0999258	0.0301688	0.0348166	0.0540082	0.0206822	0.0334938	0.0374155	0.0356207	0.0289695	0.026982	0.0248367	0.0552739	0.0297677	0.0682626	0.0481609	0.0407346	0.0413548	0.0273454	3.256996
330	-15806.8	-15818.9	12.1196	0.109294	0.109517	0.100926	0.123773	0.106863	0.0795068	0.136545	0.0721781	0.101764	0.164184	0.0822069	0.0681914	0.0988193	0.110612	0.0992143	0.11219	0.153002	0.118059	0.119228	0.0862277	0.0744864	0.0952412	0.182402	0.0290864	0.0478892	0.0735975	0.0365433	0.0290042	0.043501	0.0217148	0.02523	0.0248093	0.0215123	0.040416	0.0266063	0.0491061	0.0526251	0.0262742	0.0343292	0.063784	0.037322	0.0534608	0.0357059	3.276948
340	-15798.4	-15811.4	12.9498	0.113548	0.0933086	0.102919	0.0935711	0.102569	0.0800227	0.128516	0.0723874	0.104162	0.168822	0.0800847	0.0860501	0.0905567	0.0973273	0.133242	0.127468	0.111438	0.10699	0.0893799	0.0875452	0.0960174	0.0894427	0.162517	0.0379423	0.0240458	0.0784235	0.0305068	0.0311585	0.0566339	0.017725	0.0326877	0.0213615	0.0326307	0.0264042	0.0378571	0.0365135	0.055509	0.0394205	0.0446419	0.0598242	0.0500245	0.0363949	0.0263403	3.19393
350	-15810.2	-15823.2	13.0113	0.121883	0.0836178	0.0965566	0.101113	0.101358	0.0943398	0.128516	0.0960956	0.0758936	0.178215	0.0984681	0.0897276	0.0876433	0.0918376	0.0960898	0.13316	0.126081	0.134379	0.116626	0.0753396	0.0786452	0.0764463	0.164748	0.0312911	0.021952	0.0905696	0.0428711	0.0234214	0.0521819	0.0126945	0.0158615	0.0189647	0.0171825	0.0357267	0.0402272	0.0372869	0.0656443	0.0270671	0.0520567	0.0586754	0.0400985	0.0402375	0.0169871	3.187778
360	-15799.8	-15811.9	12.0754	0.149559	0.0951731	0.096833	0.100453	0.119889	0.094795	0.138855	0.0782903	0.0921687	0.162056	0.0905446	0.0977699	0.0965338	0.0989245	0.0982176	0.116962	0.144251	0.106831	0.127103	0.0901233	0.0842476	0.0941555	0.157146	0.0300226	0.0383568	0.0917715	0.0316789	0.0210282	0.055407	0.0246257	0.018014	0.0174034	0.0434652	0.0396166	0.0333039	0.0392884	0.0418645	0.0226281	0.0435745	0.0496029	0.0460098	0.040151	0.0226702	3.281366
370	-15804.3	-15817.6	13.2199	0.109743	0.0980542	0.103356	0.0997535	0.114116	0.0742887	0.145058	0.0922577	0.0932238	0.162963	0.0729075	0.0636898	0.100793	0.0825684	0.118366	0.116215	0.116786	0.0970906	0.113777	0.0754351	0.0821345	0.0811313	0.217398	0.031208	0.0396491	0.0776548	0.0435993	0.0178059	0.0337408	0.0306799	0.0327737	0.0247529	0.0199723	0.0437896	0.0387049	0.0357593	0.0418645	0.0257209	0.0482107	0.0496656	0.0526057	0.0320243	0.01563	3.166918
380	-15812.5	-15825.4	12.8925	0.13428	0.136822	0.0980419	0.0977564	0.111124	0.0783309	0.104768	0.0754168	0.0810671	0.157761	0.0750094	0.0807729	0.102929	0.0930856	0.107433	0.119664	0.107634	0.137944	0.0981472	0.082054	0.0972526	0.0737267	0.217398	0.0326847	0.0274424	0.0617872	0.0369965	0.0253446	0.0585437	0.0234075	0.0324075	0.0188991	0.0259529	0.0260999	0.0387049	0.0313302	0.0438999	0.0238304	0.0340659	0.0453295	0.0742703	0.0460545	0.0241871	3.199657
390	-15808.1	-15820.6	12.4703	0.101848	0.108191	0.100467	0.111507	0.097099	0.101373	0.14014	0.0815355	0.0978257	0.160519	0.0837512	0.0912931	0.0820037	0.0919813	0.114932	0.123356	0.111763	0.111453	0.138121	0.0743757	0.0957717	0.105032	0.181823	0.0438324	0.035937	0.0643262	0.028121	0.0192409	0.0509538	0.0159386	0.0343511	0.0378245	0.0362381	0.0363215	0.0481753	0.0237273	0.0467438	0.0243167	0.0490822	0.063909	0.0298991	0.0279909	0.0187892	3.241879
