Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14387.4	-14278.7	-108.772	0.2420973	0.720967	0.777496	0.824756	0.502264	1.08912	0.607239	0.619056	0.924626	1.06504	0.528677	0.223877	0.188129	0.528832	0.413649	0.512013	0.541757	0.404954	0.292659	0.545877	0.264784	0.291072	0.189894	0.864596	0.00888707	0.00652864	0.239385	0.0525147	0.00851483	0.00979611	0.430046	0.0334052	0.00215943	0.0446016	0.0235861	0.00416452	0.00900734	0.113818	0.099797	0.00802446	0.00381609	0.145471	0.00755022	0.00954374	0.0314359	0.119028	0.0675028	0.00941598	0.763898	0.0087201	0.00176368	0.0610451	0.484521	3.45267	0.371047	0.336112	0.098073	0.194769	14.18195
210	-14378.9	-14274	-104.968	0.2345882	0.810618	0.778589	0.9162	0.648838	0.840416	0.538682	0.649186	1.01143	0.900218	0.571715	0.223877	0.197871	0.493458	0.415003	0.466094	0.541757	0.439886	0.327406	0.463003	0.297077	0.341818	0.220923	0.711663	0.00839532	0.00127728	0.182178	0.0913996	0.00160892	0.026077	0.234339	0.00523022	0.00336401	0.0270806	0.0168056	0.000560546	0.0153606	0.108231	0.129265	0.0228743	0.00751424	0.0932492	0.00193671	0.019107	0.0363881	0.116985	0.07046	0.0166816	0.750788	0.00869741	0.0014696	0.0558081	0.467838	3.47488	0.375788	0.334868	0.0952965	0.194048	13.80158
220	-14398.5	-14284.8	-113.697	0.2347946	0.904114	0.692063	0.921672	0.503491	1.15802	0.672734	0.620182	1.07545	0.87891	0.688927	0.244992	0.33086	0.573598	0.401992	0.524937	0.510948	0.439886	0.28465	0.468547	0.372521	0.271758	0.165985	0.791869	0.023078	0.00422165	0.135742	0.122943	0.00891089	0.0757639	0.266547	0.00639859	0.012826	0.0265916	0.0151704	0.00181649	0.0147044	0.129964	0.0299391	0.0833406	0.0045407	0.186077	0.00398345	0.023788	0.0349644	0.117026	0.0740406	0.0153727	0.753334	0.00526191	0.00147722	0.0559503	0.468304	3.47427	0.371617	0.34225	0.0942388	0.191894	14.67445
230	-14388.7	-14282.5	-106.192	0.2414484	0.708786	0.799049	0.726216	0.518831	0.855931	0.530223	0.692509	1.16052	0.928035	0.581664	0.314835	0.294015	0.61993	0.417783	0.49989	0.47002	0.478309	0.285428	0.474767	0.345664	0.384723	0.161018	0.664274	0.0143352	0.0206735	0.146599	0.0560325	0.0126611	0.0380644	0.175845	0.00974651	0.0191098	0.0147624	0.00585469	0.00278857	0.000323352	0.249266	0.0215272	0.0257308	0.00649719	0.146817	0.0195884	0.0253449	0.0334934	0.116624	0.0789602	0.014622	0.750745	0.00555511	0.00173688	0.0605874	0.483101	3.45457	0.374145	0.344578	0.0948798	0.186398	13.92399
240	-14391.1	-14280.2	-110.923	0.2316753	0.772342	0.791711	0.919223	0.523774	1.02439	0.424226	0.630036	1.2302	0.882652	0.516621	0.214484	0.26209	0.515374	0.579541	0.559076	0.59443	0.389722	0.310326	0.475588	0.367261	0.403725	0.177243	0.752811	0.0305662	0.00882115	0.168646	0.102632	0.0152716	0.0172252	0.261679	0.0324978	0.00448874	0.0391634	0.00566367	0.00372889	0.00207471	0.140423	0.0139312	0.0361602	0.00636029	0.16252	0.0178006	0.0105561	0.0273978	0.115972	0.0785188	0.0168841	0.746548	0.0146796	0.00136484	0.0538135	0.461216	3.48361	0.373827	0.344285	0.0947992	0.187089	14.39705
250	-14389.2	-14291.5	-97.7376	0.2326948	0.602715	0.793598	0.722366	0.459423	0.742057	0.56059	0.658166	0.94673	0.882894	0.51674	0.199785	0.215495	0.558206	0.381764	0.657862	0.412823	0.449866	0.319175	0.521247	0.231153	0.367184	0.147508	0.691199	0.0103414	0.00825863	0.244608	0.0900032	0.00819424	0.04919	0.112668	0.00236561	0.0185511	0.000840456	0.016201	0.0214668	0.0405927	0.118701	0.0501345	0.0298141	0.00434971	0.196283	0.011092	0.00632593	0.0273755	0.120827	0.0784548	0.0127354	0.74594	0.0146676	0.00140092	0.0545092	0.463544	3.48055	0.387254	0.340578	0.0906812	0.181487	13.07853
260	-14384.8	-14283	-101.857	0.2491041	0.771473	0.790118	0.708801	0.507318	0.820028	0.651507	0.722089	1.06724	0.92945	0.521531	0.193116	0.285031	0.438104	0.392771	0.519666	0.453236	0.475098	0.270578	0.3683	0.240059	0.401027	0.188037	0.670596	0.0118082	0.00898367	0.30038	0.058347	0.0103423	0.0755648	0.138198	0.00262324	0.0226534	0.00220688	0.0279475	0.0146506	0.0211019	0.106466	0.0804967	0.0280259	0.0069363	0.174287	0.0130498	0.00118014	0.0302075	0.116347	0.0785623	0.0132336	0.746962	0.0146877	0.00207026	0.0660437	0.499592	3.43229	0.38301	0.336846	0.0942437	0.1859	13.49042
270	-14386.2	-14281.7	-104.495	0.2349735	0.723822	0.741819	0.770917	0.695047	0.873571	0.50903	0.703679	1.02498	0.834958	0.545082	0.14863	0.242771	0.530862	0.486426	0.557684	0.536611	0.581558	0.26543	0.438829	0.268667	0.46615	0.165737	0.645309	0.0118355	0.0213952	0.263967	0.0410854	0.0107104	0.0331468	0.183781	0.00102622	0.0402758	0.0091943	0.0432228	0.00648787	0.0347696	0.137226	0.0733863	0.00858382	0.00495079	0.047802	0.021616	0.00223736	0.0299057	0.115185	0.0777774	0.00992796	0.752663	0.014541	0.00148384	0.0560736	0.468708	3.47373	0.384283	0.336151	0.0940494	0.185517	13.75427
280	-14388.2	-14278.2	-110.008	0.2441241	0.780461	0.77167	0.770917	0.722778	0.980645	0.560713	0.798254	1.21523	0.847537	0.611448	0.141332	0.250714	0.407314	0.387649	0.557684	0.515312	0.523938	0.352839	0.585756	0.343561	0.451511	0.125555	0.661208	0.00446807	0.0426966	0.258287	0.0194521	0.014298	0.024787	0.183238	0.00243669	0.00415748	0.0307013	0.0259484	0.0149868	0.0177653	0.125895	0.0702054	0.00616409	0.0119944	0.0722273	0.00426865	0.00758487	0.0297539	0.117801	0.0773825	0.00977624	0.748842	0.0164443	0.00184913	0.0624806	0.488929	3.44674	0.376744	0.336495	0.0941456	0.192615	14.30558
290	-14383.5	-14276.1	-107.408	0.2441241	0.711555	0.838771	0.777375	0.44268	1.06027	0.522744	0.705371	1.06357	0.88937	0.568829	0.244709	0.24206	0.569863	0.426653	0.59051	0.413676	0.435448	0.345022	0.44973	0.252399	0.331439	0.181262	0.764109	0.00424652	0.0197627	0.229222	0.0457596	0.00288004	0.00875853	0.298904	0.00202641	0.0141665	0.030858	0.0304408	0.00819499	0.0247757	0.139336	0.0941609	0.0112364	0.00845571	0.193615	0.025314	0.0260171	0.0255711	0.115405	0.078346	0.00607099	0.758166	0.0164412	0.00184913	0.0624806	0.488929	3.44674	0.376744	0.336495	0.0941456	0.192615	14.04554
