Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-14373.2	-14278.4	-94.7946	0.5184767	0.862654	0.600567	0.678329	0.652729	0.750527	0.282496	0.78259	0.882732	0.436888	0.570705	0.398125	0.361692	0.493685	0.334537	0.438078	0.485588	0.472436	0.407279	0.46892	0.442146	0.358504	0.299787	0.569236	0.0134509	0.0160855	0.00497215	0.0343501	0.0209956	0.407586	0.0144234	0.0084914	0.0403475	0.0110623	0.00318477	0.00722093	0.0195727	0.0592061	0.0384069	0.0122155	0.0130196	0.00749392	0.00960429	0.0123011	0.0210318	0.384575	0.0535553	0.0628059	0.453481	0.0245509	0.0368613	0.263807	0.83326	2.86607	0.341583	0.390269	0.0546308	0.213517	0.3833787	12.78422
210	-14370.4	-14274.5	-95.9603	0.5094895	0.855415	0.536191	0.709808	0.652729	0.852734	0.205291	0.864122	0.882732	0.474574	0.572341	0.425457	0.468994	0.536221	0.434338	0.408678	0.463256	0.32845	0.327491	0.464263	0.327994	0.285529	0.324778	0.695786	0.00340555	0.0325641	0.00820736	0.0415328	0.0271166	0.437116	0.00222006	0.00081696	0.0578833	0.0119203	0.00142765	0.0108256	0.00597197	0.0273927	0.0513504	0.0273906	0.0344892	0.0161103	0.00523815	0.000643687	0.0208179	0.384093	0.0627686	0.0619531	0.443035	0.0273325	0.0351598	0.258066	0.827052	2.87972	0.355166	0.371186	0.0610994	0.212549	0.3833787	12.9008
220	-14380.8	-14295.7	-85.0473	0.4991299	0.774996	0.603586	0.598343	0.744547	0.716228	0.245863	0.711591	0.744662	0.491654	0.428758	0.407912	0.328856	0.366429	0.311009	0.389729	0.425381	0.352911	0.36257	0.537848	0.315783	0.313115	0.293875	0.602743	0.000811837	0.0251744	0.0703843	0.0464161	0.0146488	0.334864	0.0181193	0.000502573	0.0475728	0.00496275	0.00248182	0.00343435	0.00135833	0.0388152	0.0352196	0.0342284	0.0130956	0.00467809	0.0440705	0.0002633	0.0190527	0.375055	0.0612917	0.0761449	0.432611	0.0358438	0.0332266	0.251347	0.819634	2.89579	0.351001	0.37856	0.0603828	0.210056	0.3992195	11.80949
230	-14372.5	-14289	-83.5144	0.5018302	0.694685	0.484742	0.643252	0.65858	0.806363	0.245863	0.886057	0.763087	0.346898	0.408435	0.244054	0.370256	0.410344	0.449255	0.370657	0.419766	0.400376	0.331832	0.450379	0.313818	0.289338	0.255194	0.60124	0.00228926	0.019226	0.0185499	0.0176668	0.00934946	0.498057	0.0153459	0.00309184	0.067202	0.0144229	0.00206852	0.00824879	0.00922506	0.0405863	0.00737044	0.0114711	0.00487751	0.0146887	0.0471575	0.000839382	0.0184804	0.378446	0.0618458	0.0768333	0.439769	0.0246256	0.0337275	0.253109	0.821596	2.89157	0.357814	0.366498	0.0615549	0.214133	0.3947226	11.65621
240	-14377.9	-14281.3	-96.5789	0.4976123	0.736728	0.62359	0.746685	0.750955	0.866787	0.246965	0.862169	0.88532	0.442364	0.578152	0.266289	0.473258	0.41757	0.385308	0.411615	0.412092	0.415707	0.389862	0.562157	0.367559	0.309887	0.280489	0.60597	0.00183624	0.0307023	0.0143047	0.00429278	0.00679879	0.503433	0.0207963	0.00662719	0.0803008	0.0155024	0.00357237	0.026974	0.00684516	0.099882	0.0110083	0.00661699	0.05992	0.0152783	0.0096432	0.000840987	0.0185246	0.37935	0.0608295	0.0770169	0.440819	0.0234596	0.0329461	0.250354	0.818523	2.89818	0.357814	0.366498	0.0615549	0.214133	0.3954216	12.96265
250	-14373	-14281.5	-91.4523	0.4698363	0.82587	0.585324	0.694773	0.579211	0.74831	0.184502	0.781048	0.853422	0.395809	0.390523	0.290208	0.427669	0.42616	0.413478	0.459923	0.481978	0.572	0.454236	0.482488	0.295762	0.384954	0.277738	0.612275	0.00704074	0.0221418	0.00505184	0.00352725	0.0213471	0.442274	0.0280113	0.00317012	0.105326	0.0115326	0.000678706	0.0148482	0.00736205	0.0394449	0.0494326	0.0197451	0.0307102	0.0116646	0.00794819	0.00107676	0.0191992	0.386515	0.0619783	0.051041	0.449145	0.0321221	0.0279427	0.231769	0.797016	2.94327	0.357814	0.366498	0.0615549	0.214133	0.3695159	12.44999
260	-14376.3	-14262.2	-114.123	0.4615326	0.926116	0.685585	0.901308	0.857378	0.931846	0.261663	1.04449	0.853422	0.443159	0.534436	0.375683	0.453321	0.543783	0.534206	0.573521	0.633597	0.632938	0.406844	0.457914	0.384841	0.334814	0.288965	0.724386	0.0266296	0.0174988	0.00146014	0.00124613	0.0242256	0.569898	0.00397674	0.0109957	0.113071	0.0169413	0.00101306	0.0333871	0.00659744	0.0137483	0.0509725	0.0239348	0.00805805	0.00449028	0.00399291	0.000714337	0.0220889	0.337802	0.0624465	0.0572586	0.489574	0.0308304	0.0264993	0.226063	0.790126	2.95731	0.357653	0.366334	0.0619755	0.214037	0.3464622	14.71707
270	-14385.2	-14278.6	-106.671	0.4639078	1.02986	0.649887	0.897127	0.715306	0.971629	0.281678	0.960161	0.853422	0.30994	0.583757	0.336213	0.461156	0.537064	0.512785	0.4724	0.592711	0.340454	0.362434	0.423195	0.372505	0.354615	0.25109	0.633636	0.0608473	0.0400087	0.00438156	0.000547776	0.0467732	0.530424	0.00686252	0.0027057	0.0436787	0.0322931	0.00701528	0.0283529	0.0119241	0.0636696	0.112414	0.0159163	0.00649597	0.00786071	0.02127	0.0253953	0.021587	0.31136	0.0622642	0.0527766	0.532311	0.0197014	0.0269095	0.227702	0.79212	2.95327	0.360292	0.369036	0.0624328	0.208239	0.3692112	13.97186
280	-14376	-14271.2	-104.811	0.4992456	0.890148	0.658024	0.704405	0.635385	0.862526	0.279027	0.839709	0.947865	0.467457	0.49995	0.428734	0.452242	0.510873	0.502367	0.465323	0.479077	0.49207	0.386527	0.470888	0.385526	0.378184	0.351803	0.819352	0.0341056	0.0399634	0.011015	0.000357205	0.0295608	0.466453	0.0100861	0.0358721	0.0484608	0.0314086	0.00811216	0.023268	0.00987456	0.014248	0.0339488	0.00455861	0.00719471	0.044413	0.0211289	0.00433411	0.0185144	0.304863	0.0609649	0.0572927	0.527114	0.0312514	0.033248	0.251423	0.819719	2.89561	0.376123	0.350712	0.0630078	0.210157	0.3692112	13.78583
290	-14392	-14275.3	-116.768	0.5308397	0.907912	0.628719	0.788515	0.637873	0.849774	0.346295	0.929578	1.19024	0.531272	0.657961	0.47204	0.430655	0.500754	0.457649	0.524796	0.506394	0.402547	0.473555	0.497184	0.429455	0.373227	0.396909	0.913833	0.0314581	0.0106795	0.0224518	0.00208634	0.0491144	0.577757	0.0165842	0.0358721	0.0623611	0.0186891	0.0272928	0.0379851	0.0251726	0.0690444	0.0276729	0.00240128	0.081579	0.0180234	0.0139865	0.00423934	0.01877	0.309071	0.0618065	0.0580836	0.53439	0.0178779	0.0392364	0.271573	0.841473	2.84772	0.364519	0.370744	0.0610639	0.203673	0.3916538	14.98159
300	-14386.1	-14272.5	-113.614	0.5115145	0.982814	0.592296	0.99784	0.763055	0.752668	0.282938	0.968272	0.985526	0.394941	0.5162	0.324613	0.4808	0.477074	0.457649	0.619324	0.567994	0.422504	0.559103	0.591587	0.362846	0.39693	0.327899	0.931403	0.042339	0.0220358	0.015431	0.00187961	0.00681517	0.577757	0.00641934	0.00400504	0.0600089	0.0120052	0.0203533	0.0211999	0.00462707	0.0557882	0.00887388	0.00171397	0.0115832	0.0283397	0.00348709	0.00525142	0.0189826	0.312571	0.0573788	0.0587412	0.540441	0.0118851	0.0355412	0.259366	0.828469	2.87662	0.364519	0.370744	0.0610639	0.203673	0.350734	14.66619
