Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
29	1	-14771.5	-14781	9.50916	0.160168	0.127497	0.120835	0.0846154	0.11414	0.0851794	0.153971	0.0705649	0.099977	0.185896	0.0676114	0.0811318	0.092882	0.098707	0.125404	0.120332	0.112158	0.128194	0.133082	0.0786817	0.088361	0.0799981	0.193742	0.027025	0.0473179	0.0229357	0.0189837	0.0523362	0.0517991	0.0529923	0.067737	0.0201348	0.0253637	0.0857911	0.00845826	0.032797	0.044578	0.0494492	0.0269841	0.0356424	0.0352101	0.0359153	0.0459459	4.000525	0.270313	0.290753	0.102319	0.336615	3.390523
30	0	-14772.2	-14781.6	9.36877	0.144788	0.109683	0.101573	0.080896	0.107451	0.0887953	0.113968	0.0729774	0.0959435	0.186729	0.0748355	0.0635222	0.109221	0.119223	0.113846	0.126635	0.127408	0.134886	0.129569	0.0757009	0.0917857	0.0776733	0.186929	0.030184	0.0487826	0.0310522	0.0441457	0.0382181	0.022775	0.066519	0.0667583	0.0262606	0.0528256	0.0399371	0.0842023	0.0141814	0.0440231	0.0175236	0.0243774	0.0672978	0.0409295	0.0504496	0.0562818	4.064478	0.276179	0.298128	0.0911843	0.334509	3.400765
31	1	-14767.6	-14778	10.3971	0.13777	0.091336	0.119273	0.1009	0.115636	0.0747925	0.122011	0.0948954	0.0750779	0.181928	0.0705968	0.0880963	0.0911964	0.111787	0.122133	0.127468	0.144175	0.120011	0.126647	0.0750181	0.088179	0.0743964	0.17625	0.0174816	0.0355241	0.0397347	0.0260171	0.0444365	0.0713307	0.0456656	0.0717158	0.0415831	0.0288471	0.0990798	0.00466336	0.0348209	0.0451819	0.04725	0.0304933	0.0167641	0.0347342	0.0199683	0.0249134	3.866766	0.271105	0.291605	0.0996885	0.337601	3.309781
32	0	-14765.5	-14775.3	9.81621	0.140514	0.0796109	0.112097	0.0983398	0.115099	0.0646486	0.119586	0.0897154	0.0958872	0.172981	0.0843533	0.0898519	0.103819	0.119223	0.119579	0.123972	0.115531	0.127718	0.128298	0.0821561	0.0868826	0.0765155	0.199116	0.030101	0.0362975	0.0495773	0.0422345	0.0284688	0.0296792	0.0647742	0.0493172	0.016818	0.045572	0.0348804	0.0844668	0.038765	0.0372034	0.0302597	0.0282789	0.0431274	0.0277298	0.0542378	0.0552326	3.790948	0.272254	0.293891	0.1041	0.329755	3.372514
33	1	-14769.8	-14780	10.1681	0.146621	0.0913631	0.103774	0.1014	0.136158	0.0701212	0.133572	0.0875369	0.108436	0.158093	0.0779015	0.0961283	0.0793472	0.128929	0.109167	0.127524	0.125156	0.106181	0.144516	0.0749415	0.0838184	0.0706537	0.17625	0.038954	0.0505896	0.0291298	0.0215914	0.0510522	0.0647657	0.0425015	0.0448517	0.0325542	0.0241119	0.100681	0.0104151	0.0209025	0.0466341	0.0370072	0.0416435	0.0279126	0.0533064	0.0224366	0.028895	3.95216	0.26866	0.297996	0.0987892	0.334555	3.327527
34	0	-14761.6	-14772.1	10.5151	0.13778	0.0989261	0.104753	0.0863544	0.134736	0.0693483	0.135779	0.0934736	0.0935278	0.192419	0.0853401	0.0795503	0.123583	0.0922864	0.111519	0.123483	0.133519	0.101584	0.127811	0.0891416	0.0821769	0.0757128	0.185254	0.0378746	0.0268362	0.0222036	0.0433623	0.0263479	0.024969	0.0453514	0.0544811	0.0174077	0.0525668	0.0319575	0.0903054	0.0293553	0.0337149	0.0358077	0.023103	0.0424409	0.0180172	0.0418844	0.0491354	3.749506	0.262457	0.283316	0.100354	0.353873	3.305182
35	1	-14764.2	-14774.7	10.4534	0.145368	0.0957742	0.109376	0.0960743	0.108582	0.0723943	0.131647	0.071761	0.114538	0.171703	0.0690623	0.0879754	0.101491	0.0894398	0.0894795	0.117912	0.149278	0.140537	0.144516	0.0669191	0.0845706	0.0832079	0.159866	0.0309114	0.0544044	0.0354476	0.0273509	0.0474478	0.0760671	0.059397	0.0526896	0.0369626	0.0249308	0.0876934	0.0204135	0.0257773	0.0379749	0.0294362	0.026182	0.0218311	0.0366429	0.0314027	0.0345597	3.95216	0.26866	0.297996	0.0987892	0.334555	3.298995
36	0	-14765.8	-14775.8	9.97587	0.154789	0.0856458	0.099017	0.0946084	0.117816	0.103147	0.114455	0.0925428	0.0832674	0.176482	0.0658035	0.085641	0.117509	0.121139	0.118348	0.119625	0.141584	0.112994	0.132362	0.0678002	0.0867491	0.0881506	0.174432	0.0268642	0.0435104	0.0340651	0.041231	0.0337869	0.0252887	0.0674291	0.0629449	0.0110267	0.0558033	0.0249057	0.0944843	0.0305031	0.0306424	0.0393795	0.0135597	0.049299	0.0234079	0.039819	0.0505787	3.858103	0.271587	0.293171	0.103845	0.331397	3.352437
37	1	-14768.5	-14778.8	10.2943	0.137976	0.0900785	0.0969858	0.0960743	0.116058	0.109523	0.109656	0.086687	0.0909365	0.193379	0.069851	0.0798765	0.115391	0.135654	0.104651	0.152192	0.12243	0.113469	0.0939608	0.0667171	0.0820353	0.0939792	0.172254	0.0252291	0.0483401	0.026511	0.0221017	0.0498388	0.0556956	0.064605	0.0639429	0.0255339	0.0351659	0.0900979	0.0122108	0.019908	0.0569858	0.0372388	0.0318503	0.0189281	0.0328009	0.036127	0.0319764	3.95216	0.2706	0.293314	0.0991151	0.336971	3.314903
38	0	-14778.6	-14787.8	9.13901	0.160281	0.105079	0.106985	0.0885416	0.139887	0.0734797	0.150322	0.0713807	0.11053	0.183027	0.0839933	0.0869625	0.124583	0.103345	0.120936	0.14622	0.110037	0.112123	0.133193	0.0667897	0.0719811	0.074525	0.176488	0.0306665	0.0498445	0.0576462	0.0349976	0.0264676	0.0173833	0.0600992	0.0760719	0.00846739	0.0585847	0.0308469	0.113069	0.0336392	0.0490038	0.0212646	0.0319603	0.051354	0.0127197	0.0371484	0.0341982	3.858103	0.277711	0.293342	0.0973579	0.33159	3.436123
39	1	-14770.9	-14780	9.10558	0.124095	0.0928681	0.103757	0.0906103	0.109548	0.0888478	0.146164	0.079002	0.090066	0.165623	0.0679724	0.0895891	0.111983	0.113328	0.126123	0.154467	0.168223	0.101688	0.118769	0.0916278	0.0843456	0.094519	0.172254	0.0210922	0.0563224	0.026848	0.0465439	0.0656006	0.0788479	0.0489516	0.05474	0.0320344	0.0240398	0.108036	0.0269738	0.0201556	0.0457659	0.0465083	0.0241425	0.0275492	0.0401399	0.0246208	0.0305231	3.93338	0.2706	0.293314	0.0991151	0.336971	3.434906
40	0	-14767.4	-14777.7	10.2804	0.124333	0.0885644	0.0977307	0.0791075	0.107106	0.0812365	0.12913	0.0743914	0.104907	0.164684	0.0885423	0.0935309	0.0967356	0.127186	0.116429	0.119126	0.117342	0.121679	0.125272	0.0888968	0.105357	0.0826611	0.206	0.0257148	0.0363256	0.0184935	0.0316811	0.0307923	0.0228757	0.0678956	0.0558789	0.0201908	0.0436502	0.0247343	0.109008	0.0234167	0.0480093	0.025765	0.0307485	0.0526884	0.0401885	0.0353909	0.0385833	3.858103	0.276668	0.29224	0.100748	0.330344	3.321982
