Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15801.6	-15813.9	12.2802	0.13742	0.102434	0.0941533	0.10212	0.112216	0.0948402	0.142619	0.0678118	0.0881987	0.166098	0.0832082	0.0806376	0.10505	0.103576	0.102915	0.12426	0.122835	0.0979961	0.112438	0.0907989	0.0964315	0.0928317	0.178552	0.0417717	0.0706548	0.0253374	0.0176625	0.0883777	0.0543968	0.0319381	0.012009	0.0219386	0.0279089	0.0400028	0.0320296	0.0335056	0.0298018	0.0253035	0.0262201	0.0573801	0.0575518	0.0358597	0.0317969	3.260888
210	-15806.3	-15819.6	13.2803	0.167887	0.100995	0.100249	0.0921438	0.105227	0.0803083	0.10744	0.0634557	0.111298	0.160341	0.0715178	0.0834014	0.0906177	0.115771	0.0934785	0.132785	0.105387	0.0937477	0.112438	0.0687595	0.0828897	0.0796146	0.168434	0.0526948	0.0600927	0.0216807	0.0275352	0.0842429	0.0693887	0.0287685	0.0177383	0.021475	0.0372241	0.0532904	0.0266999	0.0349998	0.0271334	0.0264452	0.0411276	0.0434731	0.0425859	0.030395	0.0256987	3.160877
220	-15798.6	-15811.8	13.2303	0.137451	0.0868994	0.0892325	0.0838769	0.122899	0.08916	0.112789	0.0677403	0.113799	0.161327	0.0842074	0.0794723	0.101213	0.0884788	0.109249	0.116989	0.132547	0.126953	0.104146	0.0753219	0.0930656	0.0971769	0.163011	0.0412054	0.0382218	0.0276881	0.0210973	0.0878247	0.0587147	0.019543	0.0155913	0.0250239	0.023598	0.0532904	0.0348631	0.0396284	0.0321329	0.0228299	0.0263843	0.0557861	0.0504019	0.0327935	0.0222495	3.165874
230	-15808.8	-15821.4	12.5351	0.132141	0.117197	0.107154	0.112271	0.120208	0.0609259	0.115523	0.0835228	0.103571	0.183069	0.0764116	0.0664368	0.0928976	0.0900406	0.11388	0.10642	0.116907	0.117715	0.116601	0.0572626	0.102109	0.0944454	0.158554	0.0571254	0.0732075	0.0313239	0.0124176	0.093558	0.0558254	0.0296791	0.0297665	0.0270926	0.0282034	0.0364627	0.0294895	0.0258392	0.034542	0.0463307	0.0277686	0.0528731	0.0440246	0.0200878	0.0345144	3.235396
240	-15812	-15822.7	10.7124	0.131911	0.10001	0.104579	0.100899	0.10872	0.0821115	0.131967	0.0789692	0.113676	0.17325	0.0659114	0.0744862	0.107331	0.101063	0.11388	0.137105	0.125025	0.130608	0.143243	0.0934423	0.095323	0.0974502	0.204584	0.0333251	0.0578532	0.042841	0.0184009	0.100503	0.0609708	0.0190692	0.0145635	0.027523	0.0331097	0.0541106	0.0294895	0.0378615	0.034542	0.0299941	0.0250962	0.0557032	0.0471331	0.0215394	0.0584893	3.417663
250	-15809.8	-15822.3	12.4842	0.170828	0.0956592	0.0897476	0.103513	0.0875156	0.0746192	0.137979	0.0686496	0.10503	0.159049	0.0836069	0.086479	0.103659	0.094456	0.0947067	0.124937	0.142229	0.113836	0.127989	0.0815411	0.0885132	0.0681293	0.174482	0.0327424	0.0577602	0.0357279	0.037429	0.0883181	0.0601539	0.0280483	0.0141906	0.017161	0.046867	0.0518078	0.0356845	0.029171	0.0244391	0.0237458	0.0230642	0.0385902	0.0561237	0.0246967	0.0376071	3.240485
260	-15811.5	-15824.2	12.7012	0.121373	0.100949	0.119751	0.0822955	0.109661	0.0839732	0.155842	0.0667767	0.0802924	0.150611	0.0916714	0.0785015	0.105817	0.0784502	0.127415	0.119048	0.153275	0.106339	0.137479	0.0645526	0.0840392	0.0805788	0.166777	0.0315963	0.0443394	0.0328993	0.0174755	0.0785262	0.063405	0.0244574	0.017774	0.0306817	0.0444876	0.062475	0.0210003	0.0387379	0.0431945	0.0237653	0.0225479	0.0491123	0.0402611	0.0242409	0.0423391	3.218785
270	-15808.9	-15822.3	13.4117	0.147218	0.0890216	0.107147	0.0908733	0.104172	0.0891973	0.117715	0.0750538	0.0880047	0.150199	0.0877597	0.0887751	0.0880295	0.0712813	0.128496	0.108204	0.107613	0.126371	0.120283	0.0594103	0.0976461	0.0766538	0.182414	0.0504265	0.0476851	0.0345768	0.0167165	0.0909598	0.0651352	0.0273472	0.0234009	0.0197246	0.0412325	0.0422884	0.0349044	0.0324078	0.0419139	0.0302225	0.0159383	0.0276725	0.0370888	0.0295967	0.0369584	3.147738
280	-15802.9	-15816	13.122	0.12269	0.128328	0.0899149	0.0965002	0.123537	0.0631433	0.117811	0.0838464	0.105356	0.1696	0.0872402	0.0813222	0.090458	0.0953447	0.0964192	0.112531	0.118801	0.0997936	0.125087	0.0746017	0.0889318	0.0915639	0.157397	0.0542998	0.062075	0.0338886	0.0142313	0.0687648	0.0615623	0.0176717	0.0274915	0.0259704	0.0311899	0.0560723	0.0374881	0.0319331	0.0382641	0.0302512	0.0259852	0.0403978	0.0312086	0.0245042	0.0432395	3.176708
290	-15804.2	-15817	12.7963	0.147153	0.0830934	0.0911679	0.0934962	0.0994575	0.081146	0.118814	0.0892759	0.105052	0.158924	0.0917771	0.0813222	0.0925704	0.086217	0.110536	0.0992471	0.13961	0.0950708	0.123847	0.078549	0.0863343	0.0931117	0.173966	0.028152	0.0608033	0.044016	0.0378757	0.0822116	0.0540127	0.0347692	0.00914179	0.0295351	0.0273203	0.0532797	0.021749	0.0315225	0.0428364	0.0323991	0.0363448	0.0460394	0.04348	0.0365895	0.0374637	3.209282
