Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-15381.3	-15397.2	15.9288	0.136109	0.0986729	0.0880439	0.098298	0.108659	0.0808939	0.11549	0.0826428	0.0983301	0.1802	0.0742185	0.0839465	0.0986073	0.0900463	0.115796	0.120612	0.114326	0.138424	0.121847	0.0643475	0.0799823	0.0634973	0.135944	0.0313391	0.0225289	0.0261284	0.0522292	0.0300989	0.0433969	0.0479698	0.0152567	0.0274662	0.0417984	0.0187776	0.0114901	0.0233097	0.0372215	0.0918905	0.0182269	0.0417195	0.0251329	0.0217936	0.058494	0.216474	0.282311	0.105543	0.395672	3.075202
210	-15370.3	-15384.7	14.4385	0.120738	0.091553	0.0880439	0.120384	0.116674	0.0793426	0.131328	0.0795373	0.0984848	0.171914	0.0746845	0.0839959	0.0849018	0.0931873	0.109481	0.130643	0.144323	0.11125	0.113656	0.0796839	0.0946274	0.0842673	0.156629	0.0225903	0.0284629	0.0316366	0.0351022	0.0278499	0.0493758	0.0331593	0.0152804	0.0365019	0.0456518	0.0379939	0.0268304	0.0490543	0.0361199	0.0803264	0.0233481	0.0568063	0.0543031	0.0304189	0.0440895	0.206904	0.302689	0.103267	0.38714	3.224231
220	-15372.4	-15387.6	15.1516	0.138832	0.0922762	0.109337	0.111966	0.114764	0.0783649	0.115277	0.0801077	0.0985799	0.15123	0.0988569	0.0729574	0.110239	0.0882964	0.100673	0.131319	0.104094	0.110767	0.121311	0.086794	0.0875024	0.0827938	0.165055	0.0303964	0.0293091	0.0310027	0.0312228	0.0250931	0.051747	0.0321251	0.0303605	0.0240285	0.0371909	0.0110925	0.0146649	0.0546645	0.0412347	0.0803264	0.0254085	0.0392019	0.0324243	0.0484791	0.0315627	0.22006	0.291145	0.102928	0.385868	3.152927
230	-15375.1	-15390.6	15.5	0.131167	0.0854914	0.0830915	0.0922028	0.130434	0.0990249	0.132353	0.0692328	0.10206	0.170967	0.0633855	0.0795601	0.0926647	0.0752713	0.10428	0.129402	0.120309	0.120569	0.106201	0.0695871	0.0779117	0.0825283	0.171053	0.0197572	0.0171225	0.0486798	0.0356864	0.0211996	0.0449362	0.0373303	0.0301245	0.0268251	0.0357882	0.0233934	0.0290362	0.0471529	0.0300934	0.0843272	0.0268183	0.0426935	0.0387163	0.0378789	0.0517793	0.219777	0.290771	0.104079	0.385373	3.118087
240	-15366.3	-15381.7	15.383	0.123686	0.0960172	0.0943589	0.0999462	0.0922917	0.0866471	0.132353	0.0876774	0.0860167	0.160469	0.0821982	0.093402	0.0994767	0.080179	0.10669	0.140382	0.133167	0.102419	0.134869	0.0639721	0.0790551	0.0940264	0.162764	0.0279616	0.0176664	0.0338831	0.0434128	0.0219276	0.0345533	0.0360727	0.0194564	0.030292	0.0466169	0.0283618	0.0301604	0.0459679	0.0295798	0.0842168	0.0285384	0.0349914	0.0400025	0.0207307	0.0433288	0.218148	0.288615	0.107083	0.386153	3.129784
250	-15373.1	-15388.6	15.5027	0.143559	0.0996494	0.102536	0.0992758	0.113747	0.091741	0.105386	0.0761769	0.0819049	0.175756	0.0801775	0.0659754	0.0777734	0.100854	0.111288	0.140582	0.156262	0.10531	0.113095	0.0693201	0.0727615	0.0839537	0.155541	0.0267013	0.019674	0.0368334	0.0485733	0.0210415	0.049423	0.0387582	0.0192385	0.0327086	0.0373197	0.011421	0.022972	0.033503	0.0422378	0.0742087	0.0256586	0.0311682	0.044877	0.0395644	0.0393108	0.218236	0.28833	0.107126	0.386308	3.117818
260	-15377.2	-15391.8	14.6077	0.109599	0.103904	0.0900812	0.0981847	0.103651	0.0907241	0.108418	0.0845019	0.10022	0.175756	0.0868634	0.0976251	0.120446	0.102937	0.137502	0.136801	0.150646	0.11791	0.129365	0.0679225	0.0927735	0.0757122	0.153345	0.0383825	0.0287313	0.032392	0.0321884	0.0189533	0.0462161	0.0293639	0.0218608	0.0223197	0.041025	0.016257	0.0243705	0.038613	0.0416704	0.0675796	0.0243489	0.0222434	0.044877	0.0442421	0.0367943	0.218236	0.28833	0.107126	0.386308	3.207318
270	-15367.2	-15382.1	14.9082	0.126355	0.101973	0.112894	0.0895688	0.114408	0.0743144	0.141852	0.080863	0.0959139	0.181131	0.0769878	0.086156	0.100402	0.0937308	0.118602	0.128025	0.113489	0.11386	0.100604	0.0654663	0.0834885	0.087333	0.164334	0.0242182	0.0188695	0.0292307	0.0340988	0.0244695	0.0414028	0.0460103	0.0226852	0.0417012	0.0566888	0.0212489	0.0315194	0.0568116	0.0360245	0.0697108	0.0226011	0.0388594	0.0441009	0.0358042	0.0294561	0.215755	0.301189	0.101139	0.381918	3.177265
280	-15372.2	-15387.1	14.9139	0.123191	0.11544	0.112962	0.0882501	0.1006	0.0748147	0.12612	0.0839043	0.104094	0.181321	0.0943954	0.0814126	0.121634	0.0891743	0.102444	0.128025	0.137198	0.117558	0.126233	0.0623563	0.0896022	0.0781502	0.164334	0.0394603	0.0207523	0.0250694	0.0386195	0.0263115	0.0527742	0.0316712	0.0177434	0.0241532	0.0451376	0.0322313	0.0160983	0.0479365	0.0447087	0.0717218	0.0202367	0.0235145	0.0250318	0.0349759	0.0353355	0.215127	0.300311	0.103757	0.380805	3.176698
290	-15371.9	-15388.1	16.1446	0.10244	0.102532	0.0900417	0.0992796	0.100132	0.0794535	0.12554	0.0814406	0.10292	0.181321	0.0804427	0.0777198	0.0879795	0.0794279	0.101553	0.123073	0.117394	0.140229	0.106489	0.0702695	0.089512	0.087453	0.152894	0.0344036	0.028302	0.0461659	0.041414	0.0204735	0.048578	0.0353462	0.0153352	0.0137	0.045845	0.0179169	0.0232485	0.0547655	0.0278805	0.066786	0.0198315	0.0369712	0.0352681	0.0307964	0.0310605	0.217332	0.293593	0.10482	0.384254	3.053625
