Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15800.8	-15814.3	13.5007	0.129328	0.103033	0.10794	0.104477	0.0871136	0.084269	0.122579	0.072042	0.0926775	0.158352	0.0805863	0.0688674	0.0991959	0.104193	0.112246	0.1082	0.119268	0.102799	0.135638	0.0760524	0.0859751	0.0839122	0.17773	0.0354073	0.076438	0.0250201	0.0173926	0.0944572	0.0520437	0.0136115	0.0193824	0.0241343	0.026668	0.0449028	0.0318636	0.0216709	0.0387569	0.0404978	0.0241048	0.0443342	0.0360222	0.0257382	0.0299165	3.138838
21	1	-15806.7	-15819.1	12.3632	0.140412	0.0930808	0.0939579	0.113952	0.149541	0.0970818	0.12328	0.0747482	0.088509	0.162105	0.0725103	0.0710489	0.09769	0.09346	0.103515	0.114176	0.150775	0.139356	0.108177	0.0912162	0.0787128	0.0874613	0.183563	0.0294884	0.0310963	0.0434888	0.0347893	0.018394	0.0551064	0.0330482	0.0643262	0.0141793	0.0337712	0.0584596	0.0453749	0.020175	0.0208869	0.0435332	0.0347462	0.0221275	0.0323561	0.0470483	0.0418594	3.252583
22	0	-15811.4	-15824.8	13.3874	0.118911	0.10468	0.080414	0.125982	0.104786	0.0827376	0.106926	0.0946559	0.0822206	0.158352	0.0988428	0.0762948	0.090083	0.096358	0.116463	0.108445	0.111117	0.114894	0.135638	0.0830982	0.0769624	0.100216	0.154071	0.0373901	0.0550824	0.0318479	0.0141195	0.0576513	0.0520734	0.0283403	0.0214805	0.0223479	0.0263674	0.0516961	0.0272461	0.0466662	0.0376203	0.0413849	0.0277086	0.0443342	0.0461829	0.0224538	0.0360259	3.150167
23	1	-15797.9	-15809.8	11.9409	0.141868	0.106918	0.0952499	0.0956394	0.0947999	0.0982037	0.119481	0.0799414	0.100205	0.182504	0.0771581	0.0928705	0.0980514	0.0888267	0.120513	0.137542	0.137157	0.101154	0.124486	0.0772549	0.0897347	0.0854913	0.177569	0.0348374	0.049006	0.0395289	0.0403591	0.0273574	0.0415774	0.0297204	0.0712427	0.023055	0.0332475	0.0623293	0.0524203	0.0142585	0.0304529	0.0219903	0.0403621	0.0243864	0.0393143	0.0507464	0.0460116	3.294823
24	0	-15809.3	-15823.3	13.9791	0.131514	0.10258	0.103737	0.0946972	0.120824	0.0622611	0.0947956	0.0777569	0.112414	0.137752	0.0845021	0.0683595	0.101577	0.0838479	0.0997027	0.112555	0.134267	0.0966523	0.107232	0.072384	0.0969172	0.0903088	0.13755	0.0396556	0.0662936	0.0318361	0.0168581	0.0766852	0.0494188	0.0200722	0.043077	0.0257121	0.0311354	0.0410634	0.0443707	0.028425	0.0306502	0.0284657	0.0310024	0.0383629	0.0571618	0.0229072	0.0436554	3.090997
25	1	-15806.3	-15819.2	12.9439	0.119157	0.0976369	0.108045	0.0933742	0.0931698	0.0876449	0.118026	0.0753326	0.0834014	0.169878	0.100545	0.079398	0.105069	0.077461	0.109712	0.138648	0.123945	0.128273	0.120813	0.0774405	0.092065	0.0751472	0.184136	0.0306735	0.0479062	0.0466989	0.0351344	0.0248335	0.06059	0.030404	0.0835553	0.0381756	0.0210616	0.0541859	0.0322559	0.0120628	0.0168897	0.0353323	0.0377587	0.0169791	0.0299764	0.039399	0.0423213	3.194515
26	0	-15800.4	-15813.4	13.0341	0.120659	0.0993303	0.097382	0.0901815	0.13294	0.0796449	0.111849	0.075162	0.0924183	0.159221	0.0835767	0.0855452	0.0875137	0.116073	0.106858	0.111731	0.116769	0.0895096	0.134791	0.0863214	0.0772392	0.0884121	0.179019	0.0425133	0.0659867	0.0293307	0.0274263	0.0732429	0.0722882	0.0184443	0.0154489	0.0259324	0.0219794	0.0574078	0.0306329	0.0319889	0.0347053	0.0245934	0.04089	0.0437314	0.0456291	0.0348134	0.0263617	3.185493
27	1	-15818.5	-15831	12.4719	0.126968	0.0938182	0.0895227	0.105022	0.107396	0.0765414	0.120133	0.0840837	0.0821646	0.163511	0.102592	0.0804099	0.111187	0.0857788	0.0768856	0.129313	0.140369	0.104613	0.120881	0.0774405	0.100195	0.0959296	0.132328	0.0400885	0.0684103	0.0531187	0.0496917	0.0282481	0.0410011	0.0418514	0.0794055	0.0337229	0.040218	0.0288984	0.044189	0.0220509	0.0277227	0.0328724	0.0291672	0.0345329	0.0405513	0.0501228	0.0487756	3.241722
28	0	-15806.2	-15819.2	12.9942	0.156386	0.106242	0.101373	0.0837723	0.0918152	0.082185	0.107319	0.0719049	0.0955912	0.17627	0.0647001	0.0814877	0.0982233	0.0891209	0.109719	0.118465	0.106384	0.115409	0.141125	0.062866	0.0902564	0.0838608	0.201221	0.0292594	0.0689651	0.0285978	0.0343347	0.0793654	0.0576815	0.0270784	0.016458	0.0216331	0.0200109	0.0615572	0.0302392	0.0182169	0.0427025	0.0261499	0.02778	0.0438176	0.0484858	0.0332219	0.0382374	3.18949
29	1	-15804.1	-15817.4	13.2821	0.118416	0.101208	0.106233	0.0915802	0.115852	0.0856676	0.121145	0.0938729	0.10217	0.1518	0.0942231	0.0783716	0.0917052	0.0951439	0.115425	0.129313	0.140369	0.117652	0.120881	0.0878448	0.0717431	0.0898772	0.151941	0.0153743	0.0459487	0.0439761	0.030897	0.0263831	0.0369679	0.0159014	0.0946234	0.00914939	0.0272035	0.0520377	0.0304993	0.0147472	0.0230932	0.0482061	0.0405685	0.0165312	0.0364263	0.0364972	0.0432317	3.160698
30	0	-15801.4	-15814.7	13.3349	0.146126	0.0883873	0.101373	0.0882401	0.0982879	0.0688895	0.122442	0.0780454	0.0865804	0.149963	0.0642108	0.0890467	0.101676	0.0806127	0.118378	0.115478	0.120541	0.0996552	0.126967	0.0849331	0.0813015	0.0868029	0.156014	0.0467957	0.0614257	0.0181436	0.0239378	0.09109	0.0641332	0.0397365	0.0220031	0.0244648	0.0325611	0.0510435	0.0232016	0.0330955	0.0328668	0.0334217	0.0247694	0.0680624	0.0508095	0.0315053	0.0284027	3.155421
31	1	-15802.2	-15814.9	12.759	0.117522	0.113379	0.106233	0.0915802	0.0949977	0.0936421	0.133237	0.084788	0.0935838	0.148685	0.0969663	0.0824104	0.100964	0.103223	0.117444	0.130956	0.152951	0.124922	0.129884	0.055152	0.0768853	0.0676873	0.151941	0.0260848	0.0485851	0.0377335	0.0331311	0.0236366	0.0399213	0.0243361	0.0840845	0.0186383	0.0404196	0.0594585	0.0356716	0.0350001	0.0219171	0.0352394	0.0336375	0.0258513	0.0348202	0.0489877	0.0368193	3.213007
32	0	-15811	-15823.8	12.7934	0.138543	0.0933698	0.105997	0.0913435	0.0971768	0.0853298	0.134646	0.0724235	0.102932	0.149263	0.0660454	0.0793254	0.111471	0.0785684	0.119066	0.106024	0.104448	0.10335	0.126209	0.0717876	0.0923812	0.0745809	0.174752	0.0432617	0.0789214	0.0246691	0.0202649	0.101236	0.062933	0.0247726	0.0286684	0.0087012	0.0336205	0.032061	0.0419011	0.0503103	0.0363334	0.041007	0.0263853	0.0509082	0.057713	0.0262341	0.0406299	3.209564
33	1	-15811.7	-15825.3	13.6423	0.136577	0.104554	0.102426	0.116409	0.0979506	0.0838377	0.114075	0.0604144	0.0976687	0.142	0.0742156	0.0752474	0.092307	0.0913415	0.11606	0.11841	0.140082	0.122312	0.107967	0.0907887	0.0883692	0.0866073	0.131266	0.013642	0.0582275	0.0341292	0.0497383	0.0269287	0.026794	0.0421898	0.076386	0.0165918	0.0445294	0.0414252	0.0449538	0.0158268	0.0385245	0.0245027	0.0256979	0.0224482	0.0303339	0.0382464	0.0626742	3.124676
34	0	-15803.6	-15816.2	12.6395	0.15456	0.107438	0.0875929	0.0918952	0.108606	0.0827683	0.119585	0.0717683	0.0951853	0.172734	0.095978	0.0817619	0.106554	0.0938588	0.12164	0.111773	0.134258	0.0988196	0.118275	0.0711551	0.107402	0.081741	0.163652	0.0377746	0.0569332	0.0191742	0.0408463	0.0981232	0.0688372	0.0183155	0.0243336	0.0103199	0.0324504	0.0536713	0.032815	0.0358948	0.0287869	0.0382331	0.0202431	0.0495502	0.033706	0.019705	0.0262445	3.224959
35	1	-15805.4	-15818.3	12.9038	0.145829	0.114583	0.0880723	0.0953444	0.109263	0.0838947	0.109231	0.0741559	0.0976687	0.171537	0.0940669	0.0889063	0.0820325	0.091711	0.104006	0.11841	0.140978	0.116669	0.0996138	0.0842027	0.0774026	0.0832457	0.165221	0.0130515	0.0424198	0.0546079	0.0360057	0.0312216	0.0400617	0.0287576	0.0847658	0.0147416	0.0297755	0.0435924	0.0450246	0.00923238	0.0343766	0.0404191	0.0420785	0.0195685	0.0262953	0.0674997	0.058985	3.198525
36	0	-15813.1	-15824.6	11.5855	0.147874	0.0950525	0.0951325	0.104163	0.0960672	0.09502	0.138226	0.0639568	0.0954221	0.174521	0.0890501	0.087636	0.10537	0.0888886	0.094835	0.111773	0.145921	0.117543	0.123266	0.0751035	0.106288	0.0818847	0.179756	0.0390581	0.0541552	0.0187142	0.0178729	0.0875248	0.0668363	0.0531259	0.0218233	0.0135441	0.0234122	0.0586931	0.0392286	0.0287874	0.0392352	0.0291696	0.0268388	0.0541598	0.039412	0.0488265	0.0571873	3.330354
37	1	-15797.5	-15810.6	13.1371	0.104474	0.100128	0.084931	0.121516	0.126727	0.0760546	0.140582	0.072062	0.0963332	0.160726	0.0855288	0.0830097	0.102703	0.0765326	0.115738	0.120349	0.122846	0.120312	0.107193	0.0705989	0.0812321	0.0832457	0.176042	0.0261828	0.0465792	0.0288387	0.032927	0.0386494	0.0439165	0.0332483	0.0920354	0.0161931	0.03497	0.0490894	0.0340815	0.0209574	0.0356332	0.0267533	0.0343833	0.0154656	0.0254608	0.0544453	0.0565223	3.175198
38	0	-15815.2	-15827.3	12.1128	0.140813	0.0965347	0.124464	0.094166	0.0970704	0.100253	0.120334	0.0858903	0.0792601	0.181903	0.0588828	0.0790316	0.106202	0.0922893	0.115864	0.133997	0.128874	0.103208	0.133646	0.0721519	0.0898854	0.0882102	0.174485	0.0414031	0.0586412	0.0267912	0.0282179	0.0815651	0.055599	0.0462076	0.0106789	0.0308903	0.0186167	0.0564083	0.0254551	0.0289294	0.0301433	0.0287392	0.0504854	0.0495168	0.0435216	0.0303408	0.0380647	3.277632
