Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-15374	-15388.7	14.6585	0.139353	0.122328	0.101859	0.080551	0.0998713	0.0869095	0.110638	0.0849305	0.107401	0.175873	0.0788522	0.0779506	0.0763545	0.0892036	0.100402	0.127462	0.139303	0.102924	0.119063	0.0815168	0.0844535	0.0729252	0.189393	0.0263313	0.0250419	0.0392171	0.0584058	0.0348523	0.0531977	0.0350806	0.0158985	0.033114	0.0645298	0.0349208	0.0174624	0.0399983	0.0398053	0.0632358	0.024908	0.0415674	0.0359113	0.036702	0.0325373	0.220736	0.304442	0.10151	0.373313	3.202237
21	1	-15378.3	-15393.8	15.4367	0.120741	0.0833148	0.11044	0.080753	0.1014	0.0881642	0.127146	0.0888399	0.103431	0.145737	0.0668768	0.0836987	0.0880821	0.10134	0.101517	0.140583	0.122552	0.120028	0.112342	0.0733696	0.0887606	0.0825516	0.193933	0.051472	0.0411346	0.0397234	0.0214132	0.102904	0.0339439	0.0399682	0.0151174	0.0225964	0.042366	0.0125731	0.0268865	0.0192263	0.0123287	0.0189665	0.0513509	0.0259324	0.0553317	0.0382963	0.0272782	0.223012	0.294293	0.103662	0.379033	3.124411
22	0	-15377.5	-15393	15.5946	0.11591	0.089028	0.107568	0.0901554	0.105792	0.0934166	0.123688	0.08321	0.110537	0.169307	0.0770341	0.0847001	0.0917518	0.0673805	0.107294	0.113558	0.105343	0.0851007	0.108446	0.0724882	0.0790821	0.0858991	0.189787	0.0232992	0.0220179	0.0316447	0.0463878	0.0270804	0.0600476	0.0357292	0.0212131	0.0373831	0.0646488	0.0299078	0.0256298	0.0546511	0.0352869	0.0663121	0.0281936	0.0310687	0.0528287	0.0318871	0.0269314	0.217823	0.300423	0.108154	0.3736	3.108627
23	1	-15372	-15388	16.0364	0.137562	0.0951602	0.111474	0.0788054	0.107428	0.0730337	0.127532	0.0770414	0.0964169	0.167663	0.0802086	0.0836987	0.0996959	0.0868633	0.120385	0.103938	0.130539	0.118827	0.112342	0.0726516	0.0878702	0.0760832	0.136904	0.0422818	0.0340091	0.0319141	0.0160944	0.0868978	0.030692	0.043825	0.0167533	0.0327072	0.042366	0.00635791	0.0171639	0.0361335	0.0178743	0.0366846	0.0575946	0.0186248	0.0494363	0.027637	0.0372691	0.223012	0.294293	0.103662	0.379033	3.064439
24	0	-15371	-15386.2	15.1726	0.12058	0.107283	0.0897406	0.0949989	0.105792	0.109787	0.12077	0.0847976	0.0934474	0.154478	0.0770341	0.085299	0.0987643	0.0908323	0.118472	0.122685	0.129567	0.0981028	0.118619	0.0853399	0.0774426	0.0723694	0.208415	0.0295062	0.0122478	0.0316447	0.0401718	0.0283637	0.0422976	0.0379419	0.0150153	0.0293203	0.0572493	0.0161567	0.0327026	0.0516625	0.0339789	0.0810466	0.0213049	0.0274079	0.040008	0.0306061	0.0275776	0.217823	0.300423	0.108154	0.3736	3.150827
25	1	-15379.7	-15394.3	14.5918	0.150739	0.105587	0.0814535	0.0991413	0.102341	0.0797387	0.135887	0.0768637	0.0865257	0.16091	0.070225	0.0737737	0.0958214	0.0972197	0.119852	0.114491	0.144353	0.109619	0.115769	0.0873816	0.116041	0.0880746	0.16921	0.0461629	0.0377874	0.026222	0.0306111	0.0810301	0.0241046	0.051433	0.028755	0.0307652	0.0474127	0.00223904	0.0305273	0.0291056	0.0293063	0.0303108	0.0564679	0.0302954	0.0446237	0.0277098	0.0430191	0.221213	0.294975	0.103902	0.37991	3.208906
26	0	-15374.2	-15389	14.7701	0.139517	0.10265	0.0837075	0.103783	0.0939573	0.0866111	0.116539	0.0874225	0.0934474	0.165548	0.0944477	0.0849638	0.128288	0.0811367	0.107417	0.124852	0.143494	0.116169	0.110841	0.0754703	0.0858304	0.0836011	0.190354	0.0225108	0.0148877	0.0270776	0.0470032	0.0130098	0.0477742	0.0323431	0.0210574	0.0206938	0.0622955	0.00892405	0.0139786	0.0515933	0.0347243	0.0861462	0.0277916	0.0356054	0.0527133	0.032184	0.0387092	0.217823	0.300423	0.108154	0.3736	3.191073
27	1	-15383.5	-15398.8	15.3623	0.109413	0.0848257	0.0997773	0.0934724	0.112692	0.0706036	0.13893	0.0737511	0.0894232	0.172455	0.0765125	0.0753397	0.0831069	0.116082	0.101615	0.12009	0.127311	0.126834	0.121788	0.0684659	0.0848575	0.0954534	0.146774	0.034938	0.0368786	0.0246658	0.0307942	0.0872977	0.0417806	0.0479592	0.0295348	0.0226934	0.0283069	0.0091136	0.0388581	0.0347336	0.0263333	0.0216428	0.0536755	0.039016	0.0822634	0.0212265	0.0305684	0.221213	0.294975	0.103902	0.37991	3.131855
28	0	-15374	-15389.6	15.5714	0.119191	0.100371	0.0837075	0.112768	0.0939573	0.0877484	0.116539	0.0709222	0.0920261	0.150961	0.0730976	0.0875688	0.109296	0.0896041	0.12075	0.122474	0.150223	0.0997786	0.127917	0.0708375	0.0858594	0.0836011	0.153998	0.0337767	0.0324177	0.0279872	0.047568	0.0100491	0.039578	0.036214	0.0102104	0.0295902	0.06546	0.0150984	0.0143179	0.05706	0.0372783	0.0672281	0.0288782	0.036664	0.0429116	0.0246541	0.0508053	0.209338	0.303682	0.109327	0.377653	3.110943
29	1	-15379.3	-15394.1	14.8492	0.13655	0.100139	0.0856216	0.0680693	0.101546	0.0788568	0.127133	0.0923579	0.116627	0.189146	0.07726	0.0855963	0.0921366	0.0912482	0.105298	0.119234	0.131143	0.119597	0.112586	0.0782498	0.100311	0.0778303	0.158957	0.053375	0.0332917	0.0333089	0.0188524	0.0910686	0.0433465	0.0532081	0.01022	0.0265653	0.0257808	0.0263551	0.0373362	0.0438661	0.0207889	0.0276452	0.0587746	0.0193392	0.0532312	0.0331187	0.0281986	0.22115	0.294891	0.104156	0.379803	3.183166
