Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14767.4	-14777.7	10.2804	0.124333	0.0885644	0.0977307	0.0791075	0.107106	0.0812365	0.12913	0.0743914	0.104907	0.164684	0.0885423	0.0935309	0.0967356	0.127186	0.116429	0.119126	0.117342	0.121679	0.125272	0.0888968	0.105357	0.0826611	0.206	0.0257148	0.0363256	0.0184935	0.0316811	0.0307923	0.0228757	0.0678956	0.0558789	0.0201908	0.0436502	0.0247343	0.109008	0.0234167	0.0480093	0.025765	0.0307485	0.0526884	0.0401885	0.0353909	0.0385833	3.858103	0.276668	0.29224	0.100748	0.330344	3.321982
210	-14770.9	-14781.4	10.463	0.119224	0.0961023	0.104997	0.101104	0.104015	0.0748054	0.128894	0.0868247	0.0876553	0.167289	0.102808	0.0816909	0.0835965	0.100175	0.116734	0.1515	0.145695	0.12726	0.125272	0.0803337	0.0873843	0.0848894	0.186417	0.0345009	0.0240171	0.0219202	0.0345955	0.0170565	0.0272414	0.0514133	0.0533189	0.00937371	0.0670444	0.0384516	0.111704	0.0272672	0.0479774	0.0284936	0.0235315	0.0415937	0.0301847	0.0464545	0.0397203	3.587799	0.276158	0.291701	0.102407	0.329735	3.320527
220	-14767.3	-14776.9	9.66605	0.149193	0.0867536	0.112371	0.100653	0.102947	0.0729328	0.139818	0.0785225	0.109582	0.184004	0.102403	0.0754172	0.109726	0.112826	0.108777	0.121903	0.131104	0.124404	0.128249	0.06741	0.0713377	0.0879289	0.210074	0.0291812	0.0328344	0.0355989	0.0424609	0.0246169	0.0269057	0.080761	0.059162	0.0254323	0.0457544	0.0222704	0.0762564	0.0172476	0.0501528	0.0293224	0.0391629	0.0387881	0.0177582	0.0334312	0.0571168	4.038836	0.276158	0.291701	0.102407	0.329735	3.372555
230	-14766.5	-14776.3	9.75218	0.135518	0.123626	0.121477	0.101007	0.102158	0.0905006	0.137568	0.105966	0.0954801	0.145416	0.0856354	0.0717978	0.0933389	0.110295	0.127975	0.126881	0.121986	0.127516	0.124918	0.0747106	0.114275	0.0845898	0.20081	0.0266693	0.0229698	0.0227111	0.0316767	0.0244792	0.0211313	0.0602357	0.057135	0.0153702	0.047103	0.0376947	0.0963853	0.0254187	0.0439178	0.0219603	0.0192974	0.0400536	0.0271885	0.0451809	0.0539186	4.038836	0.276158	0.291701	0.102407	0.329735	3.363942
240	-14772.8	-14783.8	10.9917	0.137583	0.102236	0.11371	0.0884674	0.110029	0.0690857	0.114023	0.0721551	0.101681	0.167278	0.0772254	0.0615653	0.113858	0.103763	0.133891	0.105578	0.127757	0.121671	0.130547	0.0824203	0.0860858	0.0713257	0.201715	0.018891	0.0211639	0.0330442	0.0364357	0.0439935	0.0186309	0.0584128	0.0467755	0.0221116	0.0542991	0.0160916	0.0857051	0.0177653	0.0366395	0.0376704	0.0163661	0.0591434	0.0258152	0.0356676	0.0617194	4.038836	0.266308	0.287484	0.099412	0.346796	3.239991
250	-14769.3	-14778.8	9.46728	0.14286	0.112627	0.092555	0.118059	0.10373	0.0758766	0.139607	0.0807836	0.108586	0.169128	0.0778099	0.0945663	0.110188	0.104309	0.10875	0.123281	0.112271	0.122647	0.123834	0.0830947	0.0978424	0.0808818	0.185206	0.0355012	0.0279228	0.033284	0.0248886	0.0473995	0.0227309	0.0444127	0.0594323	0.0300647	0.0616769	0.0292018	0.0828539	0.0172153	0.0473128	0.0426313	0.0248723	0.0585687	0.0359478	0.0393369	0.0593173	4.028141	0.268756	0.286525	0.0990803	0.345639	3.393067
260	-14771	-14781	10.0397	0.130825	0.0951879	0.104041	0.0909667	0.0995936	0.070535	0.109167	0.0813175	0.108926	0.168175	0.0809941	0.0925754	0.0843758	0.109353	0.121392	0.134797	0.154595	0.13699	0.133026	0.0829393	0.112182	0.0951268	0.200019	0.0418076	0.0339229	0.0235441	0.0327192	0.0367488	0.0109854	0.0601313	0.0623776	0.016034	0.056841	0.0406659	0.0767373	0.0167474	0.0508384	0.0260565	0.0279341	0.0334415	0.0207934	0.0173247	0.0530712	4.028141	0.268941	0.286722	0.0984611	0.345877	3.335822
270	-14763.1	-14774	10.9393	0.116879	0.107603	0.110683	0.098231	0.0917689	0.0723216	0.117104	0.0871929	0.0984536	0.180605	0.0809941	0.0798137	0.112475	0.106594	0.107511	0.138087	0.113648	0.11096	0.11696	0.0916566	0.0811981	0.0867169	0.189162	0.0211182	0.0248086	0.0254683	0.0331146	0.0276263	0.029296	0.0612977	0.0530557	0.00996589	0.0482922	0.02823	0.105505	0.0424595	0.0353734	0.0286275	0.0232559	0.0381735	0.017642	0.0495559	0.0599363	3.803668	0.271016	0.288934	0.099221	0.340828	3.259421
280	-14768.8	-14779.1	10.2717	0.144966	0.0955731	0.106502	0.0843197	0.124852	0.0946684	0.121451	0.066918	0.0987694	0.202074	0.0688912	0.0831656	0.10321	0.0893713	0.123084	0.146826	0.123155	0.117576	0.141025	0.0701387	0.0872162	0.0599429	0.179953	0.0239972	0.0378667	0.0266319	0.0366658	0.0264321	0.011177	0.0484472	0.0649168	0.0140991	0.0473861	0.0381228	0.0911785	0.0334153	0.0658623	0.0263324	0.0335476	0.0400544	0.0234026	0.0417039	0.048393	4.017178	0.262004	0.281461	0.102938	0.353596	3.313281
290	-14772	-14782.3	10.386	0.123819	0.114341	0.100631	0.0853297	0.132232	0.083592	0.119711	0.0687815	0.099901	0.177722	0.0912783	0.0810173	0.120141	0.10634	0.0887539	0.131633	0.139718	0.105187	0.115273	0.0693253	0.0959841	0.0737603	0.167773	0.0233431	0.0289872	0.0317818	0.0302954	0.0230781	0.0264699	0.0491692	0.0679745	0.0171481	0.0616737	0.0349328	0.119217	0.0211522	0.041969	0.0303361	0.032846	0.0520869	0.0143834	0.0485795	0.0541736	4.017178	0.25534	0.296294	0.103764	0.344602	3.301844
300	-14781.6	-14791.9	10.2304	0.134286	0.103294	0.111951	0.0879029	0.0972861	0.0767805	0.107803	0.0729481	0.103427	0.161572	0.0736406	0.0850907	0.127482	0.126961	0.118373	0.140115	0.146809	0.130018	0.133834	0.0696704	0.100798	0.0717651	0.177082	0.0285024	0.0328761	0.013243	0.0425494	0.0290592	0.0402198	0.0731732	0.0670293	0.0229386	0.0418882	0.0381327	0.0839843	0.0298008	0.0425548	0.0199325	0.0198495	0.0388353	0.0134431	0.0363732	0.0672094	3.640054	0.282027	0.301104	0.105449	0.31142	3.340486
