Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-13988	-13991	3.01257	1.500718	0.141937	0.124401	0.116761	0.133501	0.191157	0.084985	0.165702	0.106754	0.134675	0.223162	0.0897443	0.107251	0.113169	0.102128	0.15231	0.183902	0.12999	0.167722	0.124889	0.10763	0.122798	0.0694519	0.2331	0.0371839	0.0413001	0.0283623	0.066738	0.0445926	0.125546	0.0278904	0.0839031	0.10662	0.0365243	0.00885334	0.00293159	0.0478707	0.0492501	0.0830936	0.0140427	0.0379279	0.0316557	0.0350999	0.0411514	0.225433	0.588676	1.05046	2.13543	0.210941	0.384306	0.0889448	0.315808	0.3651768	4.077657
210	-13988.9	-13992.4	3.47414	1.800362	0.135435	0.106827	0.10933	0.121646	0.118721	0.0912446	0.190441	0.103242	0.125717	0.218439	0.112263	0.107251	0.157491	0.121652	0.135752	0.173293	0.200628	0.165284	0.16613	0.109429	0.09767	0.0978074	0.28365	0.0231349	0.0369853	0.0247853	0.0587901	0.0625608	0.117381	0.0196372	0.072774	0.0690065	0.0300682	0.0200342	0.00590401	0.0365856	0.0555268	0.0483344	0.0132001	0.0439129	0.0362683	0.0260888	0.0216721	0.26822	0.631954	1.06409	2.03574	0.212081	0.386384	0.0840196	0.317515	0.3651768	4.07199
220	-13989	-13992.7	3.66497	1.412613	0.178269	0.110258	0.115755	0.137317	0.153713	0.0909953	0.150166	0.0820329	0.126884	0.249501	0.0763892	0.122434	0.100063	0.129974	0.116824	0.155653	0.203503	0.191649	0.168943	0.112277	0.117144	0.0695268	0.248039	0.0268081	0.0524091	0.0237223	0.0527819	0.0549689	0.144892	0.0230317	0.0526007	0.0690065	0.023761	0.029099	0.00345102	0.0557008	0.0290253	0.0433215	0.017237	0.0161742	0.024277	0.0230571	0.0241982	0.211502	0.573334	1.04485	2.17032	0.197669	0.393451	0.0855564	0.323323	0.3651768	3.996834
230	-13987.4	-13990.8	3.44366	1.817892	0.184118	0.0974703	0.11971	0.124231	0.164989	0.102195	0.152149	0.0787742	0.149638	0.223584	0.0884717	0.0917844	0.0944939	0.124343	0.153611	0.145165	0.165706	0.16647	0.17843	0.0780921	0.147665	0.109548	0.261772	0.0692034	0.0487225	0.0316068	0.0680665	0.0635111	0.121946	0.0011046	0.0652659	0.0714489	0.0417295	0.0269293	0.00793199	0.0209131	0.0519534	0.0408991	0.0216806	0.0332583	0.0305704	0.0319191	0.0258528	0.270523	0.634138	1.06469	2.03065	0.197669	0.393451	0.0855564	0.323323	0.3651768	4.076924
240	-13995.5	-13999.5	4.05651	1.461585	0.184912	0.13328	0.124695	0.10618	0.131655	0.103926	0.136373	0.0946032	0.122822	0.213756	0.10235	0.114539	0.106458	0.10575	0.146266	0.16001	0.147142	0.124066	0.179005	0.0979944	0.167115	0.1168	0.208708	0.0538295	0.0431906	0.0422054	0.0525207	0.0941285	0.097135	0.0020031	0.0636837	0.0649425	0.035091	0.00608788	0.00765308	0.0317464	0.0533409	0.0619238	0.018953	0.0317619	0.0188863	0.0411075	0.0179908	0.219327	0.582035	1.04808	2.15055	0.197669	0.393451	0.0855564	0.323323	0.3651768	3.966588
250	-13989.7	-13991.6	1.88271	1.415672	0.152224	0.134182	0.129924	0.144021	0.156617	0.138508	0.199687	0.0748169	0.138623	0.214216	0.0820518	0.1099	0.123984	0.106878	0.156636	0.148602	0.197558	0.144178	0.185065	0.0926364	0.117055	0.0821671	0.266928	0.0201101	0.0379099	0.0310109	0.0489317	0.0762164	0.151358	0.0231837	0.0484543	0.0860911	0.0429524	0.00830776	0.00878172	0.0276369	0.0514719	0.0856831	0.0220689	0.0349392	0.0313915	0.0254169	0.0172605	0.211997	0.57389	1.04506	2.16905	0.197077	0.392272	0.0882974	0.322354	0.3651768	4.175636
260	-13991.5	-13994.5	3.00672	1.589497	0.157281	0.189364	0.1224	0.123379	0.130603	0.0734197	0.169996	0.0954163	0.128012	0.19658	0.08317	0.0930797	0.126587	0.11476	0.146881	0.16113	0.19183	0.156972	0.155122	0.0703745	0.137807	0.105766	0.223858	0.0191646	0.0603807	0.0444656	0.0509898	0.0882658	0.089517	0.0175256	0.0781438	0.0975288	0.053937	0.00738272	0.0289625	0.0367628	0.065654	0.0555306	0.0100378	0.0419666	0.0256033	0.0370628	0.0293938	0.238823	0.602806	1.05527	2.1031	0.202137	0.3898	0.087741	0.320322	0.3989774	4.092063
270	-13988.4	-13992.4	3.98041	1.414251	0.193002	0.124341	0.117363	0.127531	0.140198	0.0901958	0.17538	0.0755574	0.112087	0.210161	0.0866214	0.0980914	0.129718	0.127165	0.112417	0.154946	0.167102	0.17537	0.125778	0.104145	0.100285	0.103437	0.221923	0.0304312	0.0483764	0.0265373	0.0639292	0.0934193	0.0937129	0.020529	0.111628	0.0865898	0.025334	0.0117053	0.00968964	0.0484157	0.03345	0.0833845	0.0099197	0.0281825	0.016785	0.016376	0.0343878	0.211767	0.573632	1.04496	2.16964	0.202193	0.389908	0.0874869	0.320411	0.3995029	3.965598
280	-13983.5	-13988	4.57179	1.723224	0.154066	0.123449	0.118458	0.0960044	0.136127	0.0901958	0.17538	0.101804	0.120664	0.235519	0.0822354	0.0951239	0.118748	0.0959678	0.158242	0.169065	0.167102	0.149236	0.181449	0.0880871	0.116485	0.103619	0.250849	0.0106414	0.0418025	0.0168283	0.0494798	0.0579926	0.0944064	0.00793593	0.0886435	0.0750218	0.0248931	0.0041419	0.0230924	0.0420505	0.0451087	0.083124	0.0374132	0.0284038	0.0354607	0.00712993	0.0519137	0.257839	0.621936	1.06123	2.059	0.21002	0.36752	0.0848531	0.337607	0.3995029	3.953362
290	-13990.2	-13994.6	4.39934	1.452929	0.171647	0.130483	0.0959484	0.142055	0.131744	0.130548	0.14423	0.0779894	0.124341	0.217619	0.0976772	0.121117	0.138179	0.114205	0.144304	0.161827	0.151449	0.19878	0.165512	0.0856651	0.100831	0.0785868	0.202263	0.0391484	0.0327942	0.0214201	0.0359702	0.0560749	0.110602	0.0189349	0.0897584	0.0564249	0.0227678	0.00952273	0.0261882	0.0412163	0.0403716	0.0662156	0.0120599	0.0474578	0.0142797	0.0237325	0.0388362	0.217959	0.580529	1.04753	2.15398	0.21002	0.36752	0.0848531	0.337607	0.3694974	3.930776
300	-13984.4	-13989.3	4.83687	1.483791	0.185371	0.102291	0.148397	0.112566	0.127642	0.100276	0.125835	0.100908	0.105064	0.212788	0.0945221	0.0979261	0.120863	0.097501	0.138656	0.149026	0.190052	0.134333	0.151849	0.101188	0.0933668	0.0938176	0.23053	0.0189789	0.0563701	0.0353182	0.0744842	0.0715128	0.0956096	0.0241129	0.0708744	0.0926043	0.0404188	0.00236303	0.0113015	0.038659	0.033089	0.0710888	0.0319905	0.0325452	0.00941486	0.039531	0.0273502	0.222808	0.585836	1.04946	2.1419	0.21002	0.36752	0.0848531	0.337607	0.3694974	3.892387
310	-13992.4	-13994.9	2.51091	1.595669	0.185371	0.143995	0.117645	0.130782	0.127642	0.103269	0.150481	0.087661	0.114608	0.314391	0.0946179	0.113005	0.109291	0.157374	0.156328	0.148886	0.180538	0.135167	0.199577	0.0667917	0.116415	0.0813902	0.273183	0.0288745	0.0297908	0.0163651	0.0455983	0.0878908	0.107295	0.0328364	0.0775623	0.0767741	0.0274435	0.00665769	0.0363724	0.0201239	0.0390513	0.0880054	0.0208719	0.0184347	0.0188479	0.0161742	0.0391625	0.23973	0.603743	1.05558	2.10095	0.203535	0.368501	0.0859585	0.342006	0.3694974	4.142541
320	-13991.5	-13997.1	5.62404	1.92517	0.13588	0.108057	0.159538	0.0923936	0.125259	0.0760944	0.132584	0.094952	0.105894	0.265102	0.0926031	0.0872247	0.11234	0.121072	0.156328	0.153982	0.174041	0.133149	0.156322	0.0823709	0.112486	0.0813902	0.213032	0.0383368	0.0173132	0.0446311	0.0435432	0.0733599	0.104448	0.0222966	0.0708876	0.0996428	0.0559106	0.00904147	0.0228091	0.0408656	0.0368049	0.0981673	0.0112291	0.0409959	0.0221712	0.020532	0.0244069	0.284176	0.646813	1.068	2.00101	0.203535	0.368501	0.0859585	0.342006	0.3694974	3.869488
330	-13992.5	-13993.6	1.06597	1.42515	0.168888	0.131412	0.164827	0.127629	0.133139	0.122704	0.167004	0.126419	0.107321	0.251039	0.0839067	0.113227	0.166743	0.11799	0.128015	0.187842	0.169577	0.19894	0.137467	0.0916977	0.104871	0.0984772	0.248559	0.0598548	0.0291401	0.0216857	0.0649975	0.0607028	0.097583	0.0184495	0.0857352	0.0892145	0.028867	0.0133063	0.0126448	0.0317319	0.0546048	0.0619291	0.0194993	0.0456517	0.0307604	0.0280622	0.0569602	0.213525	0.575604	1.04571	2.16517	0.203535	0.368501	0.0859585	0.342006	0.3749335	4.259076
340	-13994.8	-13997.2	2.38382	1.577229	0.140783	0.144006	0.102917	0.102974	0.136515	0.0952485	0.15502	0.0748337	0.12154	0.260661	0.104511	0.083242	0.120313	0.12549	0.197522	0.168265	0.270509	0.187779	0.156249	0.102315	0.125414	0.0899161	0.243609	0.0281591	0.0340536	0.00790694	0.0492825	0.0537449	0.0866233	0.0139577	0.0857352	0.0970252	0.0254894	0.0180543	0.012615	0.0405166	0.0508853	0.0580374	0.015131	0.0608804	0.0359871	0.0344177	0.0344096	0.23701	0.600926	1.05465	2.10741	0.203682	0.368768	0.0852963	0.342253	0.3749335	4.152546
