Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
20	0	-13988.8	-13992.6	3.72041	1.556818	0.165432	0.146483	0.134767	0.136917	0.13051	0.0986323	0.166992	0.0809557	0.13148	0.2342	0.105595	0.103981	0.105395	0.111055	0.144999	0.118436	0.149284	0.122455	0.15894	0.10388	0.10391	0.112794	0.193419	0.0451247	0.0617092	0.0114794	0.0823298	0.0342166	0.0377859	0.124605	0.0633915	0.102837	0.0112946	0.0493612	0.0313286	0.0379673	0.0210987	0.015678	0.0611494	0.0616384	0.0297681	0.0560851	0.0164507	0.233968	0.597748	1.05359	2.11469	0.214009	0.377643	0.0896906	0.318658	0.3852639	4.015808
21	1	-13983.9	-13987.1	3.21518	1.897494	0.204739	0.115979	0.129495	0.137947	0.146552	0.0899152	0.172446	0.0949585	0.113355	0.233329	0.0750687	0.103457	0.116038	0.0975374	0.148306	0.178883	0.166202	0.149197	0.156248	0.0903715	0.123525	0.0926868	0.259439	0.0289736	0.0235584	0.0103705	0.0624824	0.0788515	0.157008	0.012418	0.0973942	0.0820179	0.0338914	0.0219609	0.0172001	0.0241397	0.0691509	0.0702276	0.0207285	0.0268359	0.0291222	0.00947902	0.0363016	0.280724	0.643651	1.0672	2.00843	0.21207	0.394633	0.0817512	0.311546	0.3817702	4.107785
22	0	-13984.8	-13988.2	3.39959	1.814402	0.206794	0.12169	0.144498	0.143136	0.146615	0.0757761	0.173783	0.0830258	0.118365	0.260514	0.0956837	0.0936869	0.0951284	0.116171	0.13081	0.157477	0.164889	0.132766	0.161949	0.0897877	0.126752	0.102802	0.236291	0.0293303	0.0739926	0.0309118	0.0606041	0.0404661	0.0309849	0.121487	0.0839805	0.0781688	0.0163139	0.0191076	0.0243257	0.0255887	0.0344277	0.033044	0.0464616	0.0489081	0.0189498	0.0604565	0.0250576	0.270066	0.633705	1.06457	2.03166	0.214009	0.377643	0.0896906	0.318658	0.3852639	4.080959
23	1	-13988.6	-13990.8	2.26247	1.588473	0.229124	0.0963131	0.156172	0.104984	0.122259	0.0888626	0.171429	0.0856588	0.12422	0.233329	0.0842188	0.121639	0.123951	0.138116	0.161726	0.149297	0.191333	0.153917	0.169794	0.0975113	0.109899	0.117295	0.239201	0.0295091	0.0375841	0.0419262	0.0702839	0.0526161	0.127225	0.0242623	0.07605	0.0559954	0.0272278	0.029371	0.00950634	0.0327159	0.0775714	0.0437193	0.0216395	0.0282512	0.039212	0.0268457	0.0445762	0.238672	0.60265	1.05522	2.10346	0.223097	0.373344	0.0838844	0.319675	0.3817702	4.166338
24	0	-13986.4	-13988.4	2.02456	1.654417	0.15675	0.128404	0.153742	0.108329	0.14417	0.10969	0.173684	0.114563	0.130361	0.277928	0.080221	0.102449	0.124829	0.106039	0.142483	0.135405	0.160624	0.17047	0.161584	0.0846107	0.139023	0.106757	0.248349	0.0227215	0.0706876	0.0572818	0.101904	0.0292997	0.0542147	0.111156	0.0853486	0.0638795	0.0319657	0.0145282	0.0139381	0.0312644	0.0383233	0.0192792	0.0452936	0.0457955	0.0284322	0.0586993	0.0148614	0.248222	0.612392	1.05834	2.08105	0.210553	0.371544	0.0882422	0.329661	0.3852639	4.199339
25	1	-13996.4	-13999.4	3.0674	2.06012	0.199911	0.104594	0.10776	0.115546	0.14024	0.113559	0.186321	0.0646375	0.126103	0.224213	0.11576	0.0816623	0.100476	0.105421	0.152011	0.167623	0.180209	0.141684	0.169323	0.131171	0.134921	0.0772978	0.215684	0.032668	0.0413374	0.0360471	0.0809437	0.066932	0.105579	0.00957063	0.0802555	0.101249	0.0395068	0.016974	0.0196245	0.0460385	0.0473057	0.0670527	0.0332191	0.0531077	0.033922	0.0412196	0.0277726	0.300347	0.661258	1.07142	1.96697	0.224111	0.37504	0.0842655	0.316584	0.3817702	4.136452
26	0	-13984.5	-13990.6	6.16347	1.623913	0.179587	0.104797	0.129749	0.130061	0.13449	0.0887724	0.105821	0.0882527	0.104085	0.213265	0.080221	0.0892167	0.106115	0.114951	0.142483	0.145174	0.183223	0.159206	0.12914	0.0814453	0.108117	0.0824885	0.223331	0.0397959	0.0654803	0.030264	0.0874612	0.0665647	0.0229268	0.0998735	0.0633933	0.072745	0.0497336	0.0226319	0.0228502	0.0239724	0.0228303	0.0339788	0.0185666	0.0645671	0.0123103	0.0289996	0.00835879	0.243845	0.607962	1.05694	2.09125	0.215428	0.36925	0.0876973	0.327625	0.4016838	3.781294
27	1	-13985.8	-13988.6	2.77828	1.54031	0.187007	0.124802	0.111381	0.0957314	0.138715	0.141931	0.185403	0.0859293	0.118273	0.234154	0.0762676	0.101597	0.125012	0.0978411	0.179087	0.121709	0.183616	0.168809	0.164076	0.0759623	0.149392	0.0924628	0.238174	0.039983	0.042475	0.0320842	0.0523457	0.0442168	0.13023	0.012476	0.0946357	0.088829	0.0285563	0.0157407	0.014817	0.04416	0.0579466	0.0808979	0.0233194	0.0304141	0.0191414	0.0357843	0.0220811	0.231483	0.595131	1.0527	2.12068	0.209683	0.382014	0.0858325	0.322471	0.3817702	4.107466
28	0	-13985.5	-13991	5.51508	1.850893	0.131308	0.142619	0.119234	0.106462	0.1198	0.102263	0.132382	0.0719704	0.129696	0.264429	0.082844	0.0918233	0.131041	0.10582	0.162291	0.149584	0.151686	0.154686	0.153633	0.0987425	0.112968	0.0931066	0.213619	0.0428678	0.0545574	0.0341863	0.105401	0.0436443	0.027663	0.121317	0.0474958	0.0724399	0.0105042	0.0400661	0.0169664	0.0149272	0.0279428	0.0360777	0.0312454	0.0467423	0.012963	0.0452714	0.0189215	0.274802	0.63816	1.06577	2.02127	0.215428	0.36925	0.0876973	0.327625	0.4016838	3.873211
29	1	-13975.6	-13979.1	3.48792	1.620171	0.184769	0.128968	0.124191	0.0979536	0.138715	0.0943541	0.189989	0.103834	0.124045	0.20896	0.078592	0.107584	0.116214	0.129801	0.120594	0.17535	0.212702	0.17149	0.16123	0.0970669	0.107213	0.10192	0.223383	0.0123238	0.0382435	0.0159114	0.0445101	0.0556455	0.127448	0.00915743	0.100222	0.0794825	0.0288146	0.0115771	0.0275247	0.0408592	0.0355784	0.0776193	0.0374996	0.0276006	0.0285073	0.022986	0.0278957	0.243304	0.607409	1.05676	2.09252	0.209683	0.382014	0.0858325	0.322471	0.3817702	4.048327
