Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
270	-16846.5	-16847.4	0.936454	0.17782	0.20287	0.186272	0.163654	0.171531	0.202787	0.185574	0.228655	0.171887	0.158509	0.114152	0.11582	0.113117	0.156348	0.171495	0.153744	0.183717	0.157069	0.20675	0.157639	0.122903	0.137469	0.218496	0.0269172	0.0386411	0.0255577	0.00590256	0.0164755	0.0189848	0.000247837	0.0395302	0.0202833	0.0810215	0.0037814	0.00348888	0.020326	0.0284691	0.00848255	0.00226717	0.0163418	0.0621783	0.0357456	0.00715984	2.89036	0.286479	0.296358	0.0949283	0.322235	4.32008
280	-16850.2	-16853	2.74519	0.166893	0.197584	0.167998	0.125835	0.197518	0.180513	0.180944	0.204684	0.165428	0.15693	0.142818	0.109398	0.0918293	0.13922	0.154174	0.152493	0.180477	0.173655	0.164182	0.141706	0.154995	0.131225	0.231276	0.014034	0.0466573	0.013828	0.0124194	0.017008	0.0165333	0.000464016	0.0489118	0.0104318	0.0580558	0.00462276	0.00139871	0.0294647	0.0299662	0.0330714	0.00525075	0.00913657	0.0582026	0.0297729	0.00706555	2.63201	0.279491	0.316595	0.0918748	0.312039	4.15807
290	-16842.5	-16845.2	2.65401	0.188287	0.174847	0.16119	0.15267	0.177248	0.185124	0.184013	0.224933	0.17537	0.15778	0.148208	0.0963032	0.0877947	0.147878	0.141355	0.154394	0.173869	0.159753	0.15746	0.172923	0.134296	0.134515	0.202254	0.00930733	0.0511295	0.0324965	0.0076383	0.00861745	0.0337168	0.000957076	0.0362475	0.019883	0.085587	0.0102522	0.0021815	0.025179	0.0334184	0.0101964	0.00467739	0.0112105	0.0636731	0.0156539	0.00578916	2.725236	0.280629	0.294752	0.0855361	0.339082	4.160277
300	-16858	-16859.5	1.48953	0.172158	0.208341	0.147991	0.148507	0.194614	0.185255	0.171986	0.217138	0.191845	0.205751	0.1219	0.136902	0.0688077	0.147878	0.163297	0.138897	0.156559	0.186814	0.202522	0.157532	0.147167	0.130644	0.22657	0.00666262	0.0482162	0.00845473	0.00910361	0.00749091	0.0333886	0.000509224	0.0444401	0.00835878	0.085571	0.00834305	0.00131599	0.0151626	0.0421356	0.00727935	0.00535654	0.0193712	0.0646954	0.0235704	0.00147361	2.817862	0.279434	0.293498	0.0894293	0.337639	4.269977
310	-16860	-16861.2	1.2348	0.170876	0.209898	0.168084	0.162109	0.167456	0.185255	0.202989	0.225354	0.182004	0.149009	0.132327	0.106043	0.125409	0.140353	0.156835	0.147092	0.219706	0.194947	0.2129	0.15142	0.116511	0.113524	0.210198	0.00571694	0.0649241	0.0112807	0.016156	0.00928807	0.0209612	0.000277779	0.0349267	0.0135174	0.0760895	0.0132796	0.00266333	0.0199255	0.0334581	0.0376779	0.00169308	0.0237811	0.0371275	0.0216322	0.000773132	2.817862	0.279434	0.293498	0.0894293	0.337639	4.29545
320	-16852.9	-16854.1	1.19478	0.17934	0.215738	0.170833	0.166711	0.182151	0.229095	0.189146	0.212774	0.169167	0.154333	0.124204	0.114348	0.114024	0.169444	0.14759	0.165735	0.18746	0.183099	0.149406	0.15142	0.136075	0.150642	0.200083	0.00816143	0.0649241	0.00244715	0.0119468	0.00897131	0.0338834	5.57525e-05	0.0320408	0.0140367	0.075469	0.0173584	0.00114941	0.00943465	0.0247355	0.0131676	0.000464309	0.0250353	0.0598118	0.0384071	0.00211774	2.72204	0.280055	0.29415	0.0896281	0.336167	4.306436
330	-16851.3	-16853.4	2.14019	0.140965	0.224647	0.215047	0.154968	0.184603	0.181797	0.199116	0.215412	0.159456	0.181524	0.139107	0.112409	0.0918832	0.135818	0.16749	0.150414	0.140411	0.162169	0.173092	0.159795	0.133852	0.136016	0.210376	0.0238573	0.0307617	0.0237049	0.017914	0.00497931	0.021835	0.000360928	0.0381021	0.0269703	0.0654299	0.0110582	0.00137896	0.00793949	0.0382378	0.0232356	0.00176517	0.0193206	0.0549986	0.0205541	0.00912503	2.72204	0.273679	0.307731	0.0900772	0.328513	4.211894
340	-16844.3	-16847.2	2.95656	0.189928	0.198669	0.17375	0.16608	0.161374	0.186075	0.159539	0.223658	0.174771	0.165721	0.138647	0.116924	0.107677	0.14108	0.131287	0.145604	0.167871	0.153095	0.152857	0.139822	0.151775	0.124252	0.176145	0.0014841	0.0492379	0.0164384	0.0100666	0.00763381	0.0301269	0.00374775	0.04273	0.0177226	0.0890628	0.0193415	0.00375097	0.0201274	0.0310925	0.0236427	0.00412469	0.0212263	0.057902	0.0265061	0.00719834	2.728748	0.27582	0.310138	0.0829596	0.331083	4.129765
350	-16849.9	-16851.8	1.87375	0.189928	0.203055	0.160618	0.163006	0.15145	0.211562	0.160403	0.225612	0.163286	0.201649	0.145513	0.10175	0.121306	0.143951	0.146199	0.139876	0.184265	0.153352	0.151416	0.157107	0.147367	0.129304	0.221254	0.00395519	0.0421385	0.0234836	0.00962735	0.0163083	0.0192577	0.00203214	0.0298704	0.0104822	0.0706117	0.0106575	0.0130914	0.032916	0.0424749	0.00913241	0.00131488	0.0161908	0.0632074	0.0451904	0.00583904	2.688507	0.272748	0.319578	0.0816836	0.32599	4.241012
360	-16853.8	-16855.4	1.62453	0.185848	0.191522	0.162722	0.156861	0.189506	0.219949	0.160066	0.240161	0.154882	0.157518	0.127056	0.112252	0.120678	0.13019	0.163886	0.13835	0.167534	0.169301	0.160247	0.157107	0.124022	0.156984	0.211465	0.00542625	0.0619828	0.0171913	0.00239241	0.0270244	0.0268865	0.00411688	0.0427033	0.0205084	0.110332	0.00528607	0.00704658	0.0203343	0.0383539	0.00411704	0.000991488	0.0107473	0.0642473	0.0192406	0.0189011	2.688507	0.281594	0.297512	0.0843326	0.336562	4.265934
