Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14365.6	-14259.8	-105.823	0.2495855	0.791411	0.631706	0.913885	0.551758	0.938327	0.705789	0.783964	0.810824	0.885731	0.503459	0.392556	0.515774	0.430412	0.396814	0.44726	0.551626	0.533677	0.39568	0.315361	0.238534	0.430383	0.136983	0.922201	0.0938474	0.0280746	0.0192627	0.184512	0.042272	0.000754882	0.0388536	0.0142553	0.0397418	0.0083182	0.0041023	0.0413053	0.00204072	0.0538312	0.00327659	0.0185855	0.00398509	0.018055	0.016969	0.0309417	0.0331854	0.153815	0.0709765	0.0152538	0.722748	0.0040213	0.0020925	0.0663908	0.500611	3.43091	0.357273	0.355373	0.0896748	0.19768	13.8871
210	-14366.8	-14269.3	-97.5018	0.2428562	0.77841	0.532086	0.791849	0.557285	0.812861	0.556771	0.645698	0.879565	0.698121	0.560893	0.410094	0.42784	0.434955	0.512076	0.446522	0.484607	0.451257	0.36696	0.388985	0.229994	0.397846	0.132418	0.893737	0.089282	0.0295343	0.00567568	0.193392	0.0184746	0.000261099	0.057461	0.00612283	0.0819545	0.00322352	0.00433355	0.0314347	0.000752665	0.0209488	0.00260457	0.0312224	0.00628382	0.0127156	0.0101922	0.0582448	0.0484498	0.14505	0.0703982	0.0161062	0.716859	0.00313649	0.00179537	0.0615815	0.486176	3.45045	0.353018	0.351141	0.0920932	0.203748	13.05494
220	-14371.9	-14268.6	-103.285	0.2531318	0.81543	0.65633	0.897432	0.565258	0.812861	0.713376	0.936	0.982871	0.870012	0.530176	0.314386	0.462161	0.445863	0.458335	0.4207	0.484308	0.46216	0.203899	0.405124	0.263893	0.329597	0.149062	0.838348	0.0844793	0.00561678	0.0393139	0.151781	0.00444811	0.0001793	0.0463075	0.00879167	0.0135135	0.0269532	0.0358925	0.0746369	0.000870259	0.0263265	0.00179175	0.0416755	0.0200386	0.0117775	0.00808225	0.0132358	0.0486287	0.145585	0.0655237	0.00666412	0.725917	0.00768052	0.00226094	0.0689608	0.508044	3.42073	0.353018	0.351141	0.0920932	0.203748	13.63329
230	-14373.6	-14269.9	-103.773	0.2287155	0.719405	0.587062	0.957116	0.703131	0.702076	0.685689	0.924019	0.919863	0.781075	0.569893	0.460027	0.449393	0.389365	0.391188	0.56559	0.459702	0.483635	0.216133	0.395197	0.23389	0.318926	0.196998	0.885191	0.0881852	0.0265538	0.0327261	0.175021	0.0115623	0.000512013	0.0800422	0.0198505	0.0213267	0.0077965	0.0107484	0.111134	6.11135e-05	0.00901234	0.00402364	0.00848923	0.00625957	0.0107138	0.00538474	0.0581265	0.0499602	0.126796	0.0570672	0.00340651	0.744364	0.0184059	0.00126359	0.0518094	0.454401	3.49253	0.355565	0.353674	0.0927575	0.198004	13.68209
240	-14371.5	-14270.8	-100.7	0.2492305	0.747279	0.573638	0.780712	0.707376	0.770007	0.685689	0.709184	0.954424	0.85121	0.500015	0.335683	0.480879	0.429991	0.445593	0.437481	0.373374	0.527177	0.338982	0.36568	0.279539	0.420213	0.125054	0.750363	0.128299	0.0207942	0.00359566	0.147569	0.0218944	0.000666637	0.0584856	0.00388723	0.0922209	0.00340369	0.00513695	0.0522073	5.29826e-05	0.059792	0.0111152	0.0241346	0.0206688	0.0410327	0.0183407	0.0719423	0.0498091	0.126413	0.0633349	0.00327517	0.742112	0.0150559	0.00207609	0.0661348	0.49986	3.43193	0.353742	0.351861	0.0974074	0.196989	13.37478
250	-14368.7	-14273.8	-94.9041	0.2563978	0.782384	0.615777	0.626454	0.560677	0.680281	0.650808	0.740716	0.767161	0.871932	0.448833	0.374273	0.387518	0.473519	0.485298	0.493043	0.561527	0.45569	0.305869	0.387264	0.285819	0.370169	0.128931	0.765069	0.078909	0.00615623	0.00299129	0.203212	0.0121229	0.000467256	0.0580628	0.000842651	0.00285103	0.00587612	0.00253164	0.0294603	0.000106822	0.0142564	0.0527285	0.00955699	0.0159016	0.0325595	0.0153369	0.0322361	0.0503717	0.11899	0.0562025	0.0142849	0.750495	0.00965646	0.00242343	0.0713476	0.514785	3.41144	0.350173	0.348311	0.106515	0.195002	12.79518
260	-14369.7	-14263.3	-106.352	0.2460875	0.671316	0.59719	0.651937	0.559954	0.756135	0.824352	0.85977	1.07705	0.917284	0.54567	0.36619	0.464385	0.53254	0.381986	0.536936	0.442208	0.474406	0.372421	0.434806	0.270022	0.406082	0.161218	0.765069	0.12662	0.0172185	0.00704928	0.239763	0.051821	0.00626774	0.0680303	0.00598601	0.0482545	0.00935176	0.0139515	0.103638	0.0030604	0.00248312	0.0510391	0.0350298	0.00832781	0.029281	0.00806416	0.0357889	0.0491071	0.119571	0.0564771	0.00927586	0.754161	0.0114078	0.0019344	0.0638793	0.493162	3.44102	0.350173	0.348311	0.106515	0.195002	13.93996
270	-14366.6	-14265.2	-101.384	0.2559403	0.642241	0.644555	0.732147	0.646128	0.700842	0.698618	0.971538	1.10171	0.706708	0.561525	0.319097	0.438953	0.49262	0.323595	0.459292	0.550011	0.462919	0.33758	0.367943	0.273382	0.278051	0.170178	0.770771	0.14168	0.0067911	0.00348706	0.149786	0.126238	0.0352535	0.0296871	0.0122181	0.0201348	0.0126072	0.0215995	0.116015	0.00165593	0.00121876	0.00246736	0.0629254	0.00131928	0.00181205	0.0200194	0.0258341	0.0393871	0.117257	0.0819479	0.00909639	0.73957	0.0127411	0.00240024	0.0710122	0.513846	3.41274	0.350467	0.348603	0.106604	0.194325	13.44315
280	-14370.3	-14277.3	-92.9843	0.2420031	0.735778	0.608341	0.788236	0.628693	0.65846	0.668048	0.739752	0.895497	0.822145	0.453956	0.359775	0.335064	0.370701	0.394678	0.410459	0.485053	0.413946	0.269728	0.330377	0.244467	0.328388	0.134574	0.830562	0.0675079	0.030215	0.0214607	0.0820907	0.0686088	0.0253563	0.0594536	0.0347932	0.0106125	0.0286712	0.0376566	0.070247	0.0176385	0.0111572	0.00265053	0.0478008	0.00146799	0.0195301	0.0250856	0.0345092	0.0391012	0.116406	0.0813532	0.0170653	0.734202	0.0118716	0.00175978	0.0609786	0.484315	3.45295	0.359889	0.343328	0.105398	0.191385	12.60319
290	-14357.9	-14266.6	-91.249	0.2531312	0.727562	0.550096	0.663392	0.562891	0.711214	0.665642	0.696214	0.947565	0.827648	0.477744	0.313562	0.402222	0.4847	0.334603	0.460547	0.479253	0.451672	0.273336	0.280725	0.185379	0.260861	0.14801	0.769948	0.108232	0.0104199	0.0207133	0.133196	0.0904217	0.0367402	0.0391922	0.0414898	0.0147831	0.0208612	0.0204905	0.0969673	0.0225304	0.00606992	0.0041539	0.0196763	0.0205914	0.0106551	0.00837892	0.0293186	0.0384853	0.130163	0.0800718	0.0122676	0.722638	0.0163746	0.00226091	0.0689604	0.508043	3.42074	0.359889	0.343328	0.105398	0.191385	12.42967
