Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-17203.9	-17211.1	7.17362	0.189331	0.15818	0.186257	0.186465	0.149824	0.17764	0.229193	0.182476	0.189632	0.138355	0.132549	0.111348	0.11344	0.121375	0.148643	0.109537	0.124663	0.151481	0.222881	0.0960205	0.114496	0.130686	0.211359	0.0243736	0.00889015	0.0532848	0.0269595	0.00155315	0.0264672	0.00609995	0.000708177	0.0144853	0.0278643	0.0329763	0.0293999	0.0062107	0.00441253	0.0261791	0.00666235	0.017401	0.0246041	0.0199803	0.016377	0.221697	0.322958	0.0878745	0.36747	3.950721
21	1	-17381.6	-17386.8	5.2242	0.21648	0.16305	0.230579	0.196325	0.212246	0.15369	0.182382	0.186337	0.195736	0.166568	0.109952	0.13952	0.147513	0.134492	0.135962	0.170854	0.167585	0.14175	0.164608	0.146639	0.146961	0.135775	0.186581	0.00932272	0.0153562	0.0303565	0.00176008	0.0225071	0.0237627	0.0222546	0.00687229	0.0138501	0.0197342	0.00953614	0.0281552	0.014212	0.0181647	0.00345313	0.022996	0.0065022	0.0170913	0.0167562	0.0114344	0.224345	0.337412	0.0910001	0.347243	4.145664
22	0	-17207.9	-17213.2	5.32387	0.189256	0.15818	0.207056	0.202607	0.191186	0.216069	0.21421	0.195646	0.195464	0.179551	0.152544	0.138583	0.114047	0.132112	0.13867	0.109924	0.11307	0.146108	0.167516	0.104016	0.112534	0.142567	0.211359	0.0503392	0.0148336	0.0509026	0.0297741	0.00274845	0.026786	0.00352562	0.00148027	0.0220176	0.0356491	0.0277027	0.0322584	0.0120789	0.00388351	0.0206284	0.0213078	0.0115675	0.00837818	0.0113293	0.0162339	0.221697	0.322958	0.0878745	0.36747	4.135697
23	1	-17378.9	-17384.2	5.31101	0.21648	0.187431	0.237044	0.197657	0.185435	0.149593	0.182382	0.219678	0.211988	0.166568	0.147593	0.133345	0.120896	0.138412	0.165209	0.148294	0.137707	0.126678	0.142158	0.146524	0.12626	0.14684	0.18386	0.00971881	0.0104073	0.0460085	0.0043773	0.0235915	0.00911426	0.0219343	0.0110533	0.0215612	0.0184615	0.00796171	0.0276599	0.00997208	0.0130689	0.00473016	0.0213158	0.0117565	0.0103254	0.0259722	0.00995886	0.224345	0.337412	0.0910001	0.347243	4.136983
24	0	-17202.8	-17209.5	6.76662	0.235597	0.146089	0.161041	0.173841	0.16201	0.156459	0.203288	0.161378	0.201174	0.149278	0.154807	0.119458	0.114047	0.135788	0.138632	0.161923	0.138284	0.162146	0.216684	0.0785594	0.139164	0.120006	0.187042	0.0367403	0.011335	0.075871	0.0186614	0.00107414	0.0281006	0.00278004	0.0131345	0.0117366	0.0512489	0.0130345	0.0225355	0.00965257	0.00267033	0.0141442	0.0108712	0.00787828	0.0179254	0.00779935	0.0175312	0.221697	0.322958	0.0878745	0.36747	3.991422
25	1	-17374.5	-17379.7	5.16429	0.265465	0.181634	0.199892	0.187884	0.189782	0.17642	0.163512	0.169749	0.194753	0.169444	0.164179	0.113656	0.107899	0.138412	0.154061	0.148294	0.154953	0.136552	0.187963	0.146524	0.152408	0.149382	0.184475	0.0114172	0.00869842	0.0317497	0.00654382	0.0169448	0.00900726	0.019643	0.0130243	0.02162	0.0137574	0.0065762	0.0261905	0.00732036	0.0228857	0.00333562	0.0176642	0.0132191	0.0265412	0.0248496	0.0133747	0.229417	0.322432	0.0930574	0.355093	4.151655
26	0	-17190.7	-17196.6	5.90314	0.215954	0.17173	0.179872	0.214168	0.139474	0.178734	0.209266	0.17038	0.213484	0.150725	0.122022	0.151368	0.114047	0.130397	0.164729	0.130675	0.138517	0.167549	0.168776	0.0905611	0.139164	0.120006	0.187042	0.0401261	0.0115575	0.0668297	0.013103	0.000636434	0.027252	0.0025611	0.0180549	0.0164605	0.0491061	0.0150776	0.0387426	0.0100831	0.00652781	0.0160854	0.0185665	0.0107732	0.0212376	0.0111689	0.0151794	0.221697	0.322958	0.0878745	0.36747	4.07777
27	1	-17373.4	-17377.2	3.79888	0.212095	0.182842	0.235658	0.224588	0.189749	0.180402	0.19303	0.186518	0.205206	0.170956	0.135994	0.137975	0.131114	0.141755	0.163554	0.145807	0.159727	0.179689	0.154739	0.138113	0.137745	0.149382	0.208664	0.0063231	0.0051994	0.0237231	0.00925164	0.0207829	0.019453	0.0312663	0.0121993	0.0153811	0.0104048	0.00607192	0.0407843	0.00659538	0.0258506	0.00138865	0.0278835	0.00478134	0.0258989	0.0171861	0.012469	0.229417	0.322432	0.0930574	0.355093	4.288196
28	0	-17192.8	-17199.4	6.54644	0.214318	0.146704	0.201107	0.215619	0.134373	0.182024	0.209266	0.184295	0.232803	0.150951	0.133642	0.117444	0.118408	0.108625	0.157029	0.156565	0.130521	0.143331	0.168776	0.102872	0.139164	0.115017	0.165876	0.0290269	0.011216	0.0597301	0.0166334	0.00122939	0.0192354	0.0027399	0.0130994	0.0185299	0.0294303	0.0156169	0.0425468	0.0155658	0.00785742	0.0192641	0.0177653	0.00473422	0.023588	0.021151	0.015747	0.220321	0.320953	0.0935354	0.36519	4.01344
29	1	-17379.6	-17384.3	4.73491	0.216613	0.186562	0.235732	0.19149	0.166604	0.174472	0.196585	0.183822	0.219112	0.170956	0.145323	0.136621	0.119576	0.144061	0.126876	0.130515	0.178396	0.119416	0.154739	0.156807	0.136044	0.162765	0.211546	0.00743449	0.00238583	0.0442722	0.00165942	0.00380794	0.0136489	0.0301445	0.0148621	0.0334401	0.0101153	0.00576382	0.0454298	0.0148112	0.0153059	0.00086945	0.0167231	0.00268421	0.0200255	0.0336401	0.0129358	0.22633	0.323197	0.100158	0.350315	4.194593
