Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-14387.5	-14289.8	-97.7834	0.2362286	0.734366	0.776362	0.767099	0.495923	0.786454	0.616107	0.618762	1.06902	0.754862	0.514768	0.257109	0.261007	0.502455	0.411945	0.50927	0.470399	0.562761	0.280565	0.430658	0.219888	0.310787	0.120623	0.613175	0.00254299	0.00732193	0.21464	0.05272	0.0270598	0.0195455	0.195072	0.0152504	0.0501776	0.00777324	0.00712584	0.0101425	0.000899234	0.207368	0.0789634	0.0080513	0.00671277	0.071396	0.0128229	0.00315446	0.034314	0.112521	0.0728348	0.0190742	0.753319	0.0079365	0.00153086	0.0569408	0.47153	3.47	0.385539	0.340727	0.0965061	0.177227	13.0831
21	1	-14366.2	-14261.7	-104.497	0.2459539	0.657866	0.675017	0.685093	0.602051	0.848913	0.746888	0.861155	0.952989	0.928822	0.560505	0.368767	0.409329	0.496286	0.386979	0.529208	0.52901	0.488967	0.325485	0.381591	0.280077	0.417869	0.136007	0.751702	0.146985	0.00706095	0.0297632	0.14295	0.0316471	0.00642828	0.0280121	0.0108985	0.0416567	0.0668792	0.00078712	0.0645478	0.0289689	0.0266151	0.0143083	0.0110593	0.018448	0.0042479	0.022314	0.0302713	0.0340772	0.118482	0.0655123	0.0130978	0.758708	0.010123	0.00192852	0.0637839	0.492875	3.44141	0.360461	0.347903	0.093684	0.197952	13.75443
22	0	-14383.6	-14278.1	-105.519	0.2420011	0.749289	0.767687	0.767099	0.52206	1.19332	0.565304	0.760943	1.11612	0.98323	0.579085	0.167558	0.165205	0.560324	0.400699	0.552038	0.495579	0.39102	0.336853	0.447113	0.221107	0.357523	0.174542	0.578523	0.00948555	0.013759	0.245712	0.0974312	0.0172039	0.022973	0.159126	0.0164695	0.0344822	0.0121665	0.0147686	0.00718305	0.00507544	0.0856599	0.0939891	0.00349638	0.00206459	0.141138	0.0179961	0.00427087	0.0340352	0.126306	0.072243	0.018799	0.747198	0.0014183	0.00175969	0.0609772	0.484311	3.45295	0.381611	0.339136	0.0960554	0.183198	13.85667
23	1	-14367.3	-14270.9	-96.4189	0.2539634	0.659507	0.616218	0.682301	0.602051	0.715863	0.667917	0.792707	0.952989	0.604566	0.578726	0.368123	0.462105	0.44109	0.443143	0.443756	0.548414	0.369392	0.264452	0.403893	0.24317	0.327938	0.133696	0.89028	0.120862	0.0276841	0.0212686	0.14019	0.0316079	0.00621732	0.054172	0.0152113	0.0170202	0.0193763	0.00218144	0.0866309	0.0593064	0.0389899	0.011147	0.0174571	0.00861056	0.00913479	0.0290674	0.0182184	0.0334216	0.116202	0.0768457	0.0169033	0.744112	0.0125157	0.00230164	0.0695668	0.50977	3.41836	0.384325	0.334024	0.0915954	0.190055	12.94665
24	0	-14380.3	-14270.4	-109.825	0.2401268	0.782773	0.845778	0.826723	0.624397	0.832195	0.544953	0.804436	0.99503	1.12916	0.574437	0.238915	0.218507	0.469335	0.452049	0.57097	0.540506	0.453814	0.296717	0.458398	0.286254	0.379565	0.165895	0.791358	0.00931966	0.0105961	0.247283	0.0346977	0.0116514	0.010444	0.264635	0.0100578	0.0497054	0.00774795	0.0107531	0.00751952	0.00374396	0.09776	0.108139	0.00116687	0.00276625	0.100897	0.0133273	0.0028767	0.0339673	0.126054	0.0781685	0.0115217	0.745707	0.00458108	0.00168311	0.0596582	0.480197	3.45846	0.381611	0.339136	0.0960554	0.183198	14.28725
25	1	-14367.6	-14272.3	-95.2874	0.2670126	0.757195	0.550131	0.765193	0.554163	0.731611	0.681922	1.00725	0.753582	0.79968	0.459744	0.37712	0.389522	0.495811	0.365929	0.49851	0.401474	0.400594	0.254214	0.278115	0.227709	0.322808	0.162468	0.857211	0.0839841	0.0258118	0.0107993	0.163935	0.0655212	0.0035167	0.0668005	0.0326744	0.0328313	0.0129184	0.0012655	0.0819764	0.0251502	0.00674545	0.0143758	0.027103	0.00471757	0.0372226	0.0336883	0.0105155	0.0302037	0.118045	0.0770575	0.0155733	0.746163	0.0129576	0.0030012	0.0792223	0.536017	3.38176	0.384325	0.334024	0.0915954	0.190055	12.83351
26	0	-14391.5	-14290.1	-101.398	0.2359265	0.703707	0.763131	0.7099	0.489067	0.963282	0.47498	0.859934	0.800129	0.83636	0.559077	0.199095	0.194084	0.476483	0.514367	0.635024	0.532636	0.384515	0.375791	0.451329	0.229105	0.441602	0.095195	0.673735	0.00298949	0.0012863	0.324431	0.059791	0.00564332	0.022134	0.150942	0.0324581	0.044299	0.0301584	0.0192436	0.00579768	0.00456992	0.142522	0.119829	0.000982211	0.00154429	0.110112	0.00163263	0.00170516	0.0333684	0.123831	0.0767903	0.0130701	0.73256	0.0203798	0.00151946	0.0567317	0.470852	3.4709	0.381611	0.339136	0.0960554	0.183198	13.4446
27	1	-14357.4	-14259.4	-97.9902	0.2373544	0.71488	0.520157	0.784625	0.58117	0.788692	0.680279	0.778175	0.927306	0.852922	0.489891	0.413811	0.398768	0.476722	0.440298	0.44918	0.581773	0.407116	0.276136	0.317256	0.184532	0.29191	0.145352	0.800959	0.133542	0.0185679	0.0219111	0.195194	0.0441774	0.00420956	0.0409911	0.00735461	0.0297046	0.0189349	0.00236778	0.0993938	0.066678	0.0154938	0.00494597	0.0481761	0.0157269	0.0197836	0.0109137	0.00381209	0.0302542	0.118243	0.0771865	0.0121285	0.747412	0.0147765	0.00157386	0.0577219	0.474048	3.46666	0.384325	0.334024	0.0915954	0.190055	13.10379
28	0	-14396.4	-14300.2	-96.2016	0.2501998	0.703707	0.508286	0.881861	0.524745	0.773203	0.610959	0.838943	0.921874	0.775028	0.534032	0.194602	0.238482	0.477292	0.369199	0.48367	0.490779	0.293052	0.377027	0.335679	0.302271	0.387593	0.115723	0.801122	0.00205642	0.00393005	0.191123	0.0640448	0.0280976	0.0227416	0.168629	0.0564011	0.0567387	0.0550361	0.0195352	0.005097	0.00338391	0.122138	0.0487249	0.000988044	0.00627162	0.123551	0.00321845	0.00408691	0.030979	0.114942	0.0788153	0.0128162	0.751878	0.0105699	0.00212108	0.0668343	0.501907	3.42914	0.379015	0.336829	0.102204	0.181952	12.92492
29	1	-14374.2	-14269.5	-104.74	0.2379037	0.748798	0.719038	0.803447	0.58117	0.754171	0.632715	0.799082	0.984297	0.861485	0.59092	0.400503	0.455626	0.51782	0.369316	0.482953	0.503584	0.413965	0.368325	0.434015	0.208715	0.347082	0.162936	0.837915	0.085062	0.062119	0.0370352	0.195895	0.0476503	0.00428065	0.0245213	0.00473448	0.0434162	0.0586804	0.00146887	0.039133	0.0282789	0.0145422	0.00378323	0.0079491	0.0771028	0.0220781	0.0388668	0.00433294	0.0305392	0.119356	0.073696	0.011844	0.754451	0.0101131	0.00159513	0.0581042	0.475273	3.46503	0.384325	0.334024	0.0915954	0.190055	13.77881
30	0	-14395	-14297.4	-97.6206	0.2411715	0.741323	0.754363	0.767666	0.508352	0.719839	0.733374	0.791116	0.813931	0.862273	0.56171	0.250856	0.286258	0.592981	0.418908	0.463338	0.543402	0.326605	0.351298	0.366563	0.222673	0.325307	0.159162	0.59507	0.00934285	0.0141942	0.191123	0.0291763	0.0278309	0.0339351	0.0862994	0.0352685	0.0330445	0.039634	0.0271002	0.00218993	0.0201936	0.0710599	0.0922476	0.000749224	0.00531404	0.182598	0.00191591	0.0072429	0.0308635	0.114513	0.0785214	0.0158266	0.749073	0.0112023	0.00172552	0.0603924	0.482494	3.45539	0.379015	0.336829	0.102204	0.181952	13.06683
31	1	-14369.4	-14258.3	-111.122	0.2389564	0.809054	0.653223	0.748462	0.693814	0.924782	0.879449	0.766527	1.02379	0.935269	0.60077	0.392117	0.497812	0.51782	0.371605	0.50504	0.532718	0.428939	0.29691	0.343619	0.22157	0.433612	0.137581	0.858174	0.100104	0.0326773	0.0633391	0.185928	0.0891012	0.0051283	0.101629	0.00375506	0.0255286	0.0440533	0.00286403	0.026835	0.027263	0.0262266	0.00374015	0.0255468	0.0248283	0.0264826	0.0247405	0.00455326	0.0308534	0.114888	0.0698615	0.0119658	0.762214	0.0102172	0.00163641	0.0588386	0.47761	3.46191	0.359333	0.347583	0.0953135	0.19777	14.41698
32	0	-14384.7	-14279.4	-105.3	0.2443812	0.853489	0.762477	0.767666	0.488381	0.909541	0.57718	0.808461	1.06512	0.857634	0.584011	0.175087	0.203467	0.506751	0.425053	0.461706	0.471173	0.485202	0.314046	0.45313	0.304747	0.382985	0.155088	0.766905	0.0114245	0.032581	0.299524	0.00961518	0.0109999	0.0861492	0.108997	0.0337057	0.00978773	0.0185433	0.0239748	0.00162161	0.0225676	0.100459	0.167831	0.00147886	0.00410633	0.0907532	0.0129507	0.00841701	0.0309893	0.11498	0.0788415	0.0146607	0.752128	0.0084009	0.00186015	0.0626632	0.489486	3.44599	0.378653	0.336506	0.103063	0.181778	13.83479
