Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-14383.1	-14281.3	-101.783	0.5405931	0.450459	0.677968	0.364444	0.841246	0.913092	0.849498	0.881478	0.957614	0.880777	0.555211	0.318214	0.322325	0.509918	0.417221	0.472189	0.435553	0.384764	0.318245	0.405018	0.316304	0.227184	0.277279	0.587143	0.029482	0.00356384	0.131756	0.197515	0.00153743	0.0188604	0.00661995	0.00635965	0.0645052	0.0267055	0.00658232	0.504016	0.00102554	0.00638843	0.0440451	0.00706815	0.00158478	0.0409505	0.00129807	0.0200396	0.0308659	0.271003	0.0429494	0.0509615	0.582527	0.0216929	0.0411361	0.277592	0.847697	2.83357	0.387997	0.342691	0.0654468	0.203865	0.3982331	13.48305
210	-14389.7	-14278.2	-111.45	0.5135665	0.367209	0.659649	0.417687	0.686766	0.956272	0.958125	1.01102	1.18335	1.03097	0.684536	0.301552	0.391751	0.621339	0.339272	0.503362	0.568595	0.40055	0.431757	0.425902	0.314487	0.304123	0.291682	0.718212	0.0318314	0.0183657	0.0610162	0.126635	0.00226601	0.0169948	0.00253861	0.00288049	0.0282978	0.0459257	0.00640631	0.440662	0.0106681	0.00675133	0.00346674	0.022352	0.000873813	0.0247867	0.00445324	0.0243988	0.0326993	0.268475	0.0436019	0.0545643	0.591377	0.00928222	0.035929	0.26068	0.829894	2.8735	0.378824	0.358431	0.0600508	0.202693	0.3982331	14.44973
220	-14403	-14289.5	-113.511	0.5386188	0.535569	0.592381	0.42182	0.784064	1.07896	0.745503	1.02005	1.04385	1.02259	0.609636	0.386654	0.283157	0.56722	0.430974	0.480109	0.542922	0.328988	0.431757	0.418671	0.326663	0.392596	0.332064	0.904932	0.0701953	0.039025	0.072248	0.115928	0.000570062	0.0686715	0.00812776	0.00849521	0.0730428	0.0166257	0.000560961	0.386057	0.00491996	0.00688782	0.0136493	0.00953575	0.00150779	0.00408609	0.0139524	0.0606813	0.0331508	0.246643	0.0383011	0.0499436	0.61765	0.0143124	0.0407498	0.276381	0.846455	2.83641	0.372144	0.360471	0.0635385	0.203847	0.3982331	14.6559
230	-14402.3	-14275.7	-126.612	0.5163676	0.565802	0.779523	0.381279	0.674484	0.954537	1.11103	1.08898	1.23292	1.08307	0.66398	0.512971	0.456946	0.484251	0.519338	0.518079	0.600832	0.491956	0.438762	0.445244	0.292036	0.254634	0.390038	0.826553	0.0157935	0.0366182	0.191382	0.185706	0.00096725	0.0377799	0.00574757	0.00155569	0.00980749	0.0333383	0.00321591	0.573679	0.00397385	0.0173869	0.00568013	0.0252541	0.0014918	0.001244	0.0298418	0.0182168	0.0289242	0.317333	0.0334178	0.0638894	0.538902	0.0175341	0.0364601	0.262467	0.831822	2.86925	0.35259	0.376704	0.0562951	0.214412	0.3919221	15.96593
240	-14401.6	-14274.3	-127.297	0.4842398	0.546321	0.864227	0.306416	0.70656	0.982763	0.917443	1.31115	1.18384	1.02404	0.706579	0.38797	0.374203	0.631973	0.467895	0.484326	0.602598	0.449031	0.308613	0.590732	0.360373	0.371214	0.393922	0.843155	0.0267114	0.00784154	0.142976	0.145354	3.61293e-05	0.0122952	4.30773e-05	0.00848604	0.0572335	0.0406378	0.00198473	0.640631	0.000324204	0.0100153	0.00395337	0.056394	0.00744133	0.00168549	0.0263947	0.0286483	0.0290057	0.318226	0.0335119	0.0640693	0.540419	0.0147673	0.0305051	0.241503	0.808453	2.91954	0.359724	0.361354	0.0600868	0.218835	0.3919221	16.03443
250	-14406.8	-14296.7	-110.073	0.6562128	0.436379	0.725042	0.483976	0.801225	0.838323	0.857754	0.89884	1.15908	1.09058	0.672333	0.320063	0.390456	0.412846	0.301971	0.392847	0.445727	0.409922	0.38649	0.434618	0.470107	0.368089	0.26458	0.656481	0.0359629	0.0146167	0.0781846	0.164705	6.52533e-05	0.00375538	0.000586966	0.0178692	0.117507	0.0801008	0.00152035	0.430707	0.00129657	0.0151816	0.011766	0.0181424	0.0330867	0.00538052	0.0164732	0.0474045	0.02958	0.314167	0.0469839	0.063252	0.533526	0.0124918	0.0648714	0.342116	0.907495	2.68552	0.355737	0.368274	0.0599328	0.216056	0.4049921	14.31205
260	-14388.2	-14274.8	-113.412	0.5216429	0.603088	0.686707	0.534526	0.672917	0.84464	0.93525	1.01802	1.19729	0.730747	0.677241	0.424327	0.336879	0.59346	0.338975	0.51676	0.585107	0.507477	0.352559	0.477904	0.253593	0.232948	0.260367	0.758278	0.0652767	0.0167472	0.0980456	0.183077	0.000821155	0.00687323	0.000438552	0.0169977	0.098051	0.0468023	0.00156438	0.474242	0.00161059	0.0072513	0.00468458	0.0219848	0.0020053	0.016697	0.00907702	0.0347009	0.0277384	0.325174	0.0453888	0.0418483	0.515413	0.0444381	0.0374659	0.26581	0.835399	2.86132	0.355519	0.368049	0.0605088	0.215923	0.3820456	14.64601
270	-14388.6	-14281.4	-107.223	0.4336668	0.495751	0.602124	0.429116	0.796472	0.802059	0.693772	0.941201	1.06001	1.10214	0.552383	0.343508	0.337241	0.683052	0.353111	0.513367	0.611826	0.441828	0.417572	0.397259	0.320085	0.343498	0.24854	0.789893	0.0309513	0.0238794	0.0549831	0.130045	0.000127943	0.00486858	0.00281008	0.00258853	0.0302661	0.033717	0.00180809	0.394803	0.0055737	0.000499251	0.00155823	0.0140761	0.00329627	0.00244735	0.00586585	0.00712454	0.0240523	0.298559	0.0540107	0.0481944	0.526929	0.0482539	0.0218558	0.206428	0.765285	3.00643	0.356301	0.368858	0.0584434	0.216398	0.3820456	14.0271
280	-14383.5	-14280.1	-103.409	0.4589098	0.442891	0.648412	0.311	0.774267	0.85792	0.781	1.02059	1.02747	0.85033	0.624729	0.299408	0.228371	0.529888	0.331068	0.470109	0.473832	0.441828	0.443753	0.409803	0.333405	0.283018	0.2432	0.808587	0.0463982	0.0089347	0.0901092	0.27807	0.000223134	0.0106911	0.0179185	0.000446167	0.0290967	0.00218039	0.00422445	0.444294	0.0245153	0.000152039	0.00899027	0.0078876	0.0304306	0.00173655	0.00289989	0.00154997	0.0237679	0.295029	0.0477463	0.0533357	0.532438	0.0476833	0.0260488	0.224247	0.787903	2.9618	0.379577	0.35552	0.0563301	0.208573	0.3820456	13.64562
290	-14382.1	-14279.7	-102.367	0.4272309	0.437468	0.687403	0.332118	0.729644	0.922656	0.974906	0.818577	1.05658	0.812924	0.553341	0.343567	0.315994	0.525769	0.369797	0.444251	0.499577	0.422342	0.355688	0.329029	0.266758	0.25949	0.212014	0.720329	0.0480723	0.0149048	0.15712	0.308619	0.00105018	0.00964585	0.00877385	0.00113522	0.068693	0.00667938	0.00107085	0.48609	0.00289593	0.000170339	0.00413445	0.00653801	0.0210086	0.000160135	0.000813172	0.0037152	0.0180683	0.331572	0.0466888	0.0577866	0.520645	0.0252391	0.0208309	0.201789	0.759143	3.01824	0.383178	0.358893	0.0568644	0.201065	0.3820456	13.54151
