Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
23	1	-15382.9	-15398.7	15.7324	0.139753	0.122197	0.107953	0.0950678	0.0930973	0.0837467	0.125183	0.0716233	0.0975901	0.163215	0.0723578	0.0764885	0.0805603	0.0951246	0.115107	0.125977	0.111541	0.115171	0.117365	0.0605943	0.0858907	0.0953747	0.133885	0.0560688	0.0371285	0.0210557	0.0582652	0.0390837	0.0178201	0.0245713	0.0304816	0.0443266	0.0450253	0.0227792	0.0600553	0.0425171	0.0438206	0.0275674	0.0289792	0.0261303	0.0220374	0.0351901	0.0270818	0.23241	0.291828	0.0994734	0.376288	3.094848
24	0	-15380	-15396.1	16.1385	0.136489	0.117466	0.0945465	0.0953603	0.110255	0.0806541	0.111718	0.0875258	0.0812592	0.141867	0.082814	0.0819724	0.0918281	0.112791	0.0876321	0.104615	0.137211	0.104726	0.108735	0.0742441	0.0915563	0.0885706	0.15565	0.0373524	0.0317221	0.0208807	0.0485635	0.0530659	0.0308556	0.00669779	0.0357075	0.0129247	0.0461973	0.0209966	0.0619355	0.0221327	0.0346276	0.0429353	0.0200208	0.0385314	0.0456537	0.0284397	0.0355074	0.219483	0.299384	0.101137	0.379996	3.054232
25	1	-15374.8	-15389.8	15.0084	0.144799	0.0861171	0.0878828	0.0968492	0.103828	0.0888815	0.141152	0.0922884	0.0891907	0.163215	0.0723578	0.0923955	0.0875439	0.105748	0.0987104	0.128382	0.13839	0.100346	0.114964	0.0711041	0.124829	0.0834476	0.154047	0.0785094	0.043306	0.0157336	0.0538405	0.0453522	0.0443351	0.0220802	0.0223367	0.0338594	0.0371503	0.0125819	0.0511272	0.0306539	0.0444773	0.0250884	0.0285477	0.0252803	0.0319854	0.035336	0.0191955	0.231735	0.290979	0.102092	0.375194	3.167246
26	0	-15372.5	-15388.3	15.807	0.10584	0.107701	0.0977863	0.0923869	0.118783	0.0757963	0.112837	0.0778361	0.0988674	0.168501	0.085062	0.0765651	0.0911753	0.0838127	0.102403	0.124064	0.110152	0.111115	0.129455	0.0876343	0.0853676	0.0998972	0.153979	0.0588628	0.0255195	0.0236291	0.0414993	0.0443075	0.0220133	0.0128807	0.0376743	0.0128002	0.0346905	0.0292183	0.0597474	0.0190346	0.0186148	0.0509351	0.035646	0.0628503	0.0434402	0.0220943	0.0349109	0.215124	0.301056	0.101702	0.382118	3.087386
27	1	-15374	-15389.9	15.8632	0.132829	0.0933863	0.085808	0.0972867	0.104615	0.0717813	0.143611	0.0835534	0.0891907	0.168849	0.0800358	0.06612	0.103026	0.0817948	0.0975281	0.12587	0.127678	0.11502	0.113754	0.0944596	0.0860092	0.0797773	0.144293	0.093508	0.0570102	0.0127699	0.0475051	0.0271956	0.0441365	0.0247063	0.033909	0.0382312	0.0489589	0.0140137	0.0460634	0.0395366	0.0349454	0.0139479	0.0290943	0.0209494	0.0303048	0.0177318	0.0209732	0.229532	0.288214	0.109009	0.373246	3.081768
28	0	-15375.6	-15391	15.4159	0.123799	0.108738	0.0993327	0.0943652	0.11796	0.0912339	0.121374	0.0735696	0.0776128	0.177416	0.0677029	0.09339	0.0939067	0.0954476	0.0963094	0.1181	0.111914	0.109732	0.122691	0.0730759	0.0850647	0.0809996	0.191731	0.0593064	0.0279912	0.0292654	0.0365367	0.0613538	0.0180247	0.0244994	0.0300529	0.00886643	0.0546143	0.0209727	0.0883378	0.0152521	0.0236494	0.0295792	0.0517386	0.046098	0.0402613	0.0154917	0.0191317	0.215124	0.301056	0.101702	0.382118	3.126491
29	1	-15373.6	-15389.2	15.5756	0.126535	0.0938461	0.0934809	0.0990568	0.089731	0.0836925	0.117334	0.0835534	0.0932293	0.188737	0.0800358	0.0669741	0.111391	0.10598	0.107489	0.147325	0.10921	0.10947	0.100331	0.0890632	0.0706473	0.079223	0.162253	0.0974609	0.0461064	0.0162511	0.0485603	0.0323026	0.0270036	0.0237873	0.0471132	0.0228947	0.0497527	0.0267204	0.0342274	0.0375649	0.0370716	0.0225562	0.0242906	0.0267373	0.0444424	0.0205721	0.0165151	0.216877	0.294332	0.107621	0.38117	3.110519
30	0	-15377.1	-15392	14.9218	0.126172	0.105389	0.111188	0.0924613	0.117312	0.0839768	0.11757	0.0809291	0.104337	0.15847	0.0725531	0.0764259	0.0946214	0.0920124	0.0981476	0.123032	0.106417	0.109732	0.146403	0.086596	0.0858569	0.0720957	0.200278	0.0639858	0.0388399	0.0400204	0.0327995	0.0311479	0.0388743	0.0257869	0.0408271	0.0250319	0.0391214	0.0130917	0.0850082	0.0178121	0.0354603	0.0270247	0.0216951	0.0357295	0.0559264	0.01761	0.0281377	0.215124	0.301056	0.101702	0.382118	3.175908
31	1	-15374	-15388.9	14.9488	0.13103	0.0961205	0.103336	0.113649	0.0959928	0.0676364	0.126668	0.0778692	0.103142	0.156547	0.108954	0.0845393	0.0899521	0.102131	0.107511	0.137695	0.146296	0.0973533	0.107833	0.0890632	0.0704194	0.0887626	0.17936	0.0788028	0.033938	0.0248365	0.0492464	0.0472134	0.0376095	0.0257737	0.0428666	0.0347779	0.0427774	0.0145764	0.0386654	0.040859	0.0308159	0.0210599	0.0239915	0.0173306	0.0350052	0.0356556	0.0155373	0.216877	0.294332	0.107621	0.38117	3.1732
32	0	-15378.6	-15394.1	15.5075	0.126172	0.105389	0.094044	0.09358	0.129192	0.067046	0.104048	0.0910558	0.100859	0.136321	0.0850172	0.0781711	0.0956164	0.0744576	0.0981344	0.144007	0.135144	0.109732	0.119888	0.092809	0.088655	0.068266	0.171363	0.0513802	0.0344208	0.0265536	0.0305172	0.0442271	0.0256457	0.0306519	0.0302824	0.015879	0.0625135	0.0290651	0.0848383	0.0249285	0.0174232	0.0270861	0.0298867	0.0333715	0.0458159	0.0126023	0.0512729	0.211091	0.302603	0.102224	0.384081	3.11733
33	1	-15372.2	-15388.8	16.6344	0.103598	0.105436	0.103336	0.0833362	0.0959928	0.0814225	0.128581	0.0724273	0.0784221	0.151767	0.0761662	0.0793621	0.0974168	0.091466	0.121947	0.105241	0.117958	0.125426	0.0986702	0.0808336	0.0821043	0.0711696	0.164544	0.064882	0.0420228	0.0235241	0.0482629	0.0380774	0.0440768	0.0230514	0.0351194	0.0441308	0.0510764	0.0153849	0.0337199	0.0363179	0.0279035	0.0175842	0.021488	0.0273556	0.0322285	0.0380264	0.0237869	0.215474	0.292429	0.0979186	0.394178	3.004645
