Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14508.9	-14530.1	21.2838	0.108404	0.0956871	0.0779255	0.112688	0.0851311	0.0675236	0.121107	0.0787067	0.0983259	0.179298	0.0727273	0.081025	0.107199	0.10143	0.100631	0.129045	0.114846	0.111474	0.116428	0.0876508	0.0947738	0.0762718	0.168093	0.0794462	0.0137173	0.0347461	0.0131983	0.0343776	0.0352134	0.0184024	0.0307641	0.0181217	0.0572626	0.0176881	0.0472676	0.0567715	0.0240569	0.017655	0.031674	0.0150959	0.0364448	0.0304843	0.0196722	0.225563	0.293932	0.0547284	0.032039	0.38216	0.0115771	0.227624	0.237206	0.154706	0.380464	3.018452
210	-14510.4	-14531.9	21.4473	0.120455	0.106104	0.108571	0.112688	0.0933978	0.0692551	0.112578	0.0663502	0.0810499	0.197877	0.0758893	0.0735606	0.0892944	0.0858135	0.105413	0.120231	0.0943541	0.108012	0.141332	0.0758198	0.086463	0.0903216	0.148831	0.0694113	0.0204663	0.0328454	0.0141705	0.0453517	0.0276921	0.0180092	0.00708629	0.0072238	0.0563442	0.0347296	0.0510788	0.0447819	0.0434974	0.024996	0.0306683	0.0225144	0.0375145	0.0244466	0.025611	0.222641	0.295808	0.0540194	0.031624	0.37721	0.0186985	0.227814	0.237147	0.154668	0.380371	3.002099
220	-14504.8	-14525	20.2192	0.133243	0.103279	0.119392	0.11102	0.112471	0.0739306	0.121121	0.070709	0.0839508	0.169419	0.0883973	0.0633444	0.0971473	0.0994299	0.095692	0.144504	0.134949	0.0938176	0.130973	0.0872505	0.0819669	0.096827	0.153039	0.086194	0.0211051	0.0331911	0.0226051	0.0502185	0.0325301	0.0263057	0.0178115	0.0058437	0.0431722	0.0100411	0.058741	0.0596097	0.0402285	0.0240187	0.0387205	0.0155651	0.033311	0.0192011	0.0206283	0.226196	0.300531	0.0548819	0.0221226	0.383233	0.0130356	0.232678	0.235654	0.153694	0.377975	3.124915
230	-14504.7	-14525.5	20.8227	0.117673	0.0794843	0.0985775	0.0994792	0.120985	0.0778887	0.114058	0.0659325	0.0922497	0.203105	0.0759275	0.0684356	0.0888285	0.0985344	0.101112	0.10932	0.127887	0.107697	0.132405	0.071776	0.102151	0.106866	0.140848	0.103239	0.0259974	0.0443426	0.0152048	0.0315201	0.0390473	0.0285023	0.0206971	0.00764605	0.0503509	0.0209963	0.0572481	0.0400619	0.0377091	0.0234063	0.0223859	0.0282008	0.026254	0.0239464	0.0165834	0.208099	0.306415	0.0559564	0.0296694	0.390736	0.00912505	0.234089	0.2404	0.139924	0.385587	3.064559
240	-14503.4	-14523.9	20.5258	0.13527	0.102696	0.108951	0.0991068	0.103727	0.0829447	0.116033	0.0702909	0.0957137	0.186592	0.0794527	0.090674	0.103012	0.109122	0.0974404	0.111144	0.110505	0.107481	0.133203	0.0739825	0.0563043	0.109165	0.174904	0.0684798	0.0212389	0.0437894	0.0275868	0.0385337	0.0389957	0.0240197	0.0367096	0.0133595	0.0433811	0.0303508	0.0391239	0.034013	0.0329565	0.0194634	0.0296883	0.0280805	0.03396	0.0181465	0.0146619	0.226388	0.300243	0.0547842	0.0294378	0.382866	0.00628119	0.242759	0.237678	0.13834	0.381223	3.094254
250	-14509	-14530.3	21.3159	0.106253	0.10472	0.0933975	0.0851795	0.108985	0.075644	0.108046	0.0650686	0.0808361	0.208433	0.0713592	0.0798247	0.0996705	0.0837008	0.10134	0.107014	0.136077	0.121253	0.116495	0.0907695	0.0635857	0.0769738	0.163725	0.086585	0.0226198	0.0341674	0.0359095	0.0282707	0.0347362	0.0171255	0.0222445	0.0232144	0.0379595	0.0254399	0.0467507	0.0527164	0.033876	0.0145993	0.0466609	0.0370006	0.033451	0.00962541	0.0239364	0.235467	0.278353	0.0569813	0.0168605	0.398447	0.0138905	0.239001	0.233998	0.151681	0.37532	3.015239
260	-14497	-14518	20.9983	0.118585	0.101402	0.107428	0.0957913	0.108985	0.0633963	0.113973	0.067007	0.0883043	0.168702	0.0771405	0.0822566	0.0963694	0.126707	0.113055	0.111605	0.128862	0.103792	0.113812	0.0764012	0.0692774	0.0867968	0.156372	0.0763766	0.0306695	0.0407512	0.0103998	0.030512	0.0472121	0.0268201	0.0403599	0.0101736	0.0497636	0.0242575	0.047629	0.0527164	0.0348711	0.0201912	0.0347652	0.0318237	0.0262966	0.0178338	0.0175601	0.223176	0.263797	0.0559761	0.0377706	0.408592	0.0106876	0.240489	0.235456	0.152626	0.371429	3.047002
270	-14500.2	-14521.8	21.5233	0.130813	0.101402	0.0954932	0.107791	0.108985	0.0830271	0.120325	0.0633326	0.0883043	0.183324	0.0645065	0.0726019	0.0963694	0.097826	0.108214	0.101721	0.12404	0.0981322	0.108233	0.07097	0.0968257	0.0933374	0.165421	0.0793283	0.0156966	0.0261871	0.0144677	0.0463527	0.0347746	0.0188773	0.0204486	0.00853158	0.0423413	0.0254863	0.0411476	0.0498473	0.0438823	0.0325832	0.028264	0.0193483	0.0323813	0.0249169	0.00864207	0.233558	0.263029	0.0558131	0.0263271	0.407402	0.0138705	0.236423	0.236717	0.153443	0.373418	2.994499
280	-14498.9	-14520.2	21.2916	0.127587	0.0915107	0.112655	0.097299	0.108985	0.0650399	0.106221	0.0621561	0.0876258	0.170871	0.0785327	0.0829415	0.101125	0.0778229	0.0895232	0.134623	0.132806	0.110505	0.12724	0.0935786	0.0854882	0.0909163	0.148017	0.0910964	0.015026	0.0409255	0.0080846	0.0393246	0.0439408	0.0310102	0.0296552	0.00412994	0.0461118	0.0251493	0.0470226	0.0388636	0.0338974	0.0222415	0.0372187	0.0280465	0.0329641	0.0109885	0.00891123	0.234583	0.264183	0.0560581	0.0264426	0.40919	0.00954264	0.241698	0.219687	0.156866	0.381749	3.017677
290	-14511.7	-14533.1	21.426	0.109269	0.0925951	0.090201	0.0995941	0.115564	0.0623355	0.119154	0.0542791	0.0701746	0.17672	0.0777425	0.0786399	0.100708	0.0924657	0.103989	0.125108	0.108942	0.0954066	0.141527	0.0798478	0.0741424	0.105086	0.191014	0.100055	0.0166215	0.0300034	0.0106747	0.0330736	0.0461591	0.0220355	0.0203652	0.00806817	0.0435062	0.0155258	0.0560347	0.0472477	0.0478247	0.0184785	0.0269785	0.0292718	0.0257617	0.020393	0.0216501	0.235878	0.265642	0.0563676	0.0265886	0.41145	0.00407375	0.243874	0.22762	0.164566	0.36394	3.004235
