Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15820.3	-15834.4	14.1423	0.12483	0.0743852	0.0961623	0.0960113	0.101431	0.0576092	0.112167	0.0657659	0.113055	0.123852	0.0808986	0.0820693	0.109033	0.0969083	0.104722	0.0873553	0.150482	0.103485	0.105446	0.0821666	0.0892969	0.0877875	0.204948	0.0222237	0.0339538	0.0414283	0.0198516	0.0385387	0.0401389	0.0262084	0.0284368	0.0666236	0.0403424	0.0340136	0.0586277	0.0203728	0.0385645	0.0622409	0.0322311	0.025434	0.041265	0.0305656	0.0237529	3.074681
21	1	-15805.4	-15817.2	11.7922	0.127562	0.098167	0.102508	0.110441	0.110606	0.0673536	0.118428	0.0952513	0.105148	0.154161	0.0868928	0.0821398	0.101462	0.117241	0.101856	0.13846	0.117248	0.123465	0.15291	0.0772968	0.0756999	0.0952892	0.188874	0.06061	0.0368994	0.0306505	0.0391795	0.033533	0.0167307	0.0245327	0.0472975	0.0412006	0.0326882	0.0551284	0.0307823	0.0379109	0.0750026	0.0147915	0.042996	0.0247497	0.0624414	0.0203327	0.0337649	3.309685
22	0	-15815.2	-15828.2	12.9661	0.155704	0.0874929	0.101888	0.0892644	0.115165	0.0847235	0.119937	0.0929387	0.0831758	0.167896	0.0729456	0.0870717	0.109782	0.0882187	0.103276	0.09395	0.0945218	0.133427	0.132997	0.0964167	0.0878537	0.0978778	0.15434	0.0165646	0.0295067	0.0334662	0.0158649	0.0410029	0.03946	0.0221825	0.0330794	0.0529208	0.0526232	0.0281394	0.0630081	0.0376828	0.0196519	0.0989144	0.0382629	0.0165618	0.0412763	0.0357015	0.0255671	3.192301
23	1	-15803.2	-15815.6	12.4068	0.134154	0.115428	0.0894835	0.109978	0.125994	0.0859883	0.110668	0.0756265	0.0925112	0.165905	0.0797373	0.0781519	0.0867779	0.099791	0.13039	0.130786	0.133706	0.12003	0.11241	0.0970288	0.102431	0.0896624	0.15413	0.0421217	0.0413194	0.0378092	0.0427766	0.0348678	0.0236443	0.0240014	0.0489596	0.0408963	0.025979	0.0496147	0.0271672	0.0173604	0.0799874	0.0249196	0.0437824	0.0261375	0.0474097	0.0204115	0.0282942	3.248228
24	0	-15806.4	-15818.1	11.7391	0.153855	0.0852415	0.109271	0.0870321	0.115165	0.0715134	0.12667	0.0941714	0.0961019	0.181591	0.084241	0.0940379	0.103705	0.121248	0.124346	0.0949801	0.117769	0.103142	0.126405	0.0726355	0.105252	0.0955211	0.17612	0.0375501	0.0581606	0.0307056	0.0336362	0.0241609	0.0271703	0.0108344	0.0284812	0.0537554	0.0553833	0.0155125	0.0697657	0.0348574	0.0271564	0.080546	0.037774	0.0288632	0.0578206	0.0366269	0.0262199	3.314995
25	1	-15805.1	-15817.9	12.8077	0.130964	0.100704	0.108044	0.0912827	0.134026	0.0870621	0.139742	0.0790998	0.0980011	0.188695	0.0739823	0.0634449	0.103133	0.0855228	0.116454	0.130786	0.118795	0.10703	0.137086	0.0774466	0.101764	0.0677098	0.149542	0.048521	0.0251863	0.031477	0.0407701	0.0272332	0.0102304	0.0229878	0.054277	0.0326554	0.0233369	0.0405338	0.0373306	0.0402877	0.0709598	0.017166	0.0518257	0.0240364	0.0595678	0.0325779	0.0268657	3.208142
26	0	-15808.7	-15820.7	11.9882	0.152191	0.114439	0.116274	0.095502	0.103459	0.0742126	0.111419	0.0689573	0.0968862	0.147037	0.0712929	0.0920483	0.0977631	0.0959187	0.108144	0.0949801	0.151214	0.128941	0.145507	0.0703675	0.0711381	0.106224	0.165439	0.0235873	0.0587436	0.0248633	0.0237331	0.0244747	0.0322001	0.0241587	0.0345543	0.0479616	0.0490638	0.0226654	0.0702433	0.0288284	0.0357795	0.0900108	0.0476933	0.0322318	0.0616022	0.0377475	0.0405922	3.290088
27	1	-15802.8	-15815.4	12.6549	0.141341	0.126743	0.0927191	0.113133	0.120144	0.085038	0.128339	0.0798543	0.0886512	0.167906	0.0868052	0.0812251	0.115723	0.102537	0.116454	0.119909	0.128324	0.121849	0.108543	0.086676	0.0946225	0.0857841	0.144949	0.0489846	0.0141493	0.0246551	0.0224249	0.0287874	0.0210657	0.0144842	0.0611132	0.0279827	0.0244701	0.053284	0.0343984	0.0277824	0.0708578	0.035971	0.0538137	0.0272723	0.0517299	0.0226235	0.0203007	3.22342
28	0	-15811.3	-15823.8	12.5076	0.152191	0.0919941	0.124032	0.0726306	0.113507	0.0869118	0.111419	0.0689573	0.102625	0.207489	0.0714455	0.109565	0.0863565	0.102911	0.118964	0.102997	0.119359	0.110977	0.114196	0.0732573	0.0825747	0.0929324	0.189414	0.0236748	0.0371559	0.0279927	0.0272097	0.0248713	0.0273762	0.0116697	0.0355939	0.0533445	0.0349815	0.0192034	0.0664966	0.0281472	0.0324626	0.073545	0.0391925	0.0424837	0.0545643	0.0390694	0.0324057	3.238146
29	1	-15803.8	-15816.9	13.168	0.129582	0.0878103	0.0923599	0.0944399	0.111544	0.0681312	0.121106	0.0767911	0.0952646	0.157492	0.0623242	0.10163	0.106978	0.0940778	0.102663	0.119909	0.141928	0.106589	0.131565	0.0977395	0.0810972	0.0843811	0.158874	0.0387674	0.0255132	0.0172954	0.0238608	0.0250155	0.0223978	0.0216743	0.0396899	0.0272537	0.0316747	0.0634797	0.0419911	0.037123	0.0860609	0.0366349	0.0516693	0.0335912	0.0715493	0.028687	0.023903	3.172107
30	0	-15814.7	-15827.3	12.65	0.116298	0.102674	0.104503	0.111073	0.12186	0.0958983	0.106991	0.0787631	0.0844268	0.170451	0.0670978	0.0872529	0.114323	0.0848658	0.113152	0.106485	0.167638	0.100366	0.125985	0.0668162	0.0790773	0.0929324	0.159854	0.0325495	0.0311411	0.0466136	0.0246678	0.0250003	0.0314823	0.0244158	0.0478706	0.068852	0.0340097	0.0393541	0.0561986	0.0149641	0.0297359	0.0716621	0.0424808	0.0314929	0.0394921	0.0352725	0.0378751	3.223913
31	1	-15807.3	-15819.7	12.4119	0.140027	0.114851	0.0997741	0.130935	0.12059	0.0859015	0.129473	0.0771175	0.109651	0.148245	0.0788332	0.0892452	0.113211	0.0975872	0.102851	0.126898	0.122064	0.101689	0.126718	0.0696303	0.0736616	0.0832943	0.213352	0.0409115	0.0310699	0.0127321	0.0286675	0.0277741	0.0264481	0.020935	0.0465575	0.025532	0.0290092	0.0367424	0.0360783	0.0513197	0.0781356	0.0269161	0.0452754	0.0326106	0.0399196	0.0231714	0.0323124	3.247716
32	0	-15819	-15831.5	12.5025	0.115333	0.099933	0.0965589	0.105763	0.0904967	0.105272	0.139318	0.0780328	0.0876259	0.174	0.0866678	0.0961951	0.1089	0.0861155	0.0971601	0.130272	0.11862	0.118131	0.118522	0.106025	0.111212	0.0971092	0.179647	0.0226825	0.0384792	0.030888	0.0403198	0.0133558	0.0324652	0.0282131	0.0306515	0.062377	0.0365865	0.022586	0.0539278	0.0101168	0.0381057	0.063111	0.0303093	0.0292387	0.0428009	0.047681	0.0178578	3.238663
