Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-14512.6	-14533.4	20.7813	0.131131	0.121543	0.0988693	0.0836187	0.10861	0.0726669	0.115608	0.0845359	0.0794371	0.184798	0.0698732	0.0806321	0.110461	0.0805904	0.0995352	0.152573	0.149309	0.104395	0.0892648	0.0608192	0.0823562	0.0838112	0.150745	0.0488247	0.0239013	0.0386127	0.0273744	0.0434351	0.0573113	0.0236455	0.0184399	0.0326815	0.0239892	0.0350042	0.0860947	0.0374676	0.0146757	0.0216455	0.0417663	0.0201895	0.0231835	0.0292135	0.0260639	0.217568	0.254832	0.0657904	0.0257457	0.426778	0.00928603	0.266112	0.230849	0.170512	0.332528	3.068704
21	1	-14498.4	-14519.4	20.9472	0.14138	0.111057	0.0933239	0.104212	0.10394	0.0793117	0.134663	0.068597	0.0742714	0.167282	0.0666309	0.0791362	0.0770805	0.0936091	0.102558	0.131764	0.140619	0.120068	0.123108	0.0911618	0.0898369	0.0925287	0.152816	0.0833299	0.0182026	0.0409308	0.0130142	0.0284316	0.0358819	0.0155492	0.0184032	0.0244509	0.0399151	0.0249944	0.0313488	0.0472326	0.04668	0.018648	0.0358248	0.0255967	0.0264353	0.0273655	0.0109211	0.206442	0.277404	0.0600701	0.0291734	0.412521	0.0143903	0.240253	0.23637	0.157066	0.366312	3.052111
22	0	-14509.2	-14530	20.7741	0.112771	0.10597	0.111303	0.0907314	0.100774	0.0726669	0.109648	0.087848	0.102509	0.181561	0.0722244	0.0710462	0.0973482	0.101721	0.105962	0.119561	0.144685	0.110816	0.110359	0.0749817	0.0716553	0.0966695	0.168227	0.0277363	0.0167931	0.0492983	0.0186385	0.0453951	0.0372889	0.0190925	0.0403179	0.0424406	0.0254479	0.0306873	0.0822407	0.0443794	0.0169786	0.0149173	0.0461193	0.0254657	0.0112935	0.0338769	0.0199763	0.216269	0.270776	0.0567153	0.0255921	0.424231	0.00641558	0.266112	0.230849	0.170512	0.332528	3.069422
23	1	-14500.3	-14521.1	20.8316	0.128465	0.111057	0.083252	0.0989462	0.0851083	0.0793117	0.116872	0.0757297	0.086863	0.174816	0.0766756	0.0737469	0.0979508	0.0884682	0.117228	0.128127	0.125733	0.120103	0.123108	0.0764088	0.0824065	0.0732977	0.185901	0.0765107	0.0247051	0.0434612	0.0271227	0.0326298	0.0332209	0.0079213	0.021794	0.0192542	0.031603	0.0334657	0.0497557	0.0410696	0.042267	0.0362248	0.0316409	0.0290332	0.0208845	0.0244936	0.0270333	0.232283	0.272489	0.0579961	0.0178859	0.405211	0.0141354	0.241635	0.231978	0.157969	0.368418	3.063668
24	0	-14498.9	-14519	20.1499	0.145006	0.103696	0.106766	0.0888609	0.103609	0.0642831	0.118513	0.0860548	0.0843044	0.192593	0.0655021	0.0822438	0.103656	0.104698	0.117655	0.136715	0.123108	0.116134	0.11678	0.0754772	0.07987	0.0966695	0.153663	0.0369204	0.0195158	0.0336936	0.0279289	0.0501838	0.0494739	0.0270755	0.0343697	0.0294269	0.0254082	0.0299271	0.101403	0.0330548	0.00577795	0.0160414	0.0530402	0.0206311	0.0268379	0.0301453	0.0151227	0.201878	0.252758	0.0603871	0.0277543	0.446276	0.0109459	0.255069	0.22127	0.163436	0.360226	3.131838
25	1	-14498.5	-14520.3	21.8077	0.118706	0.0881389	0.0895542	0.100453	0.104319	0.0583972	0.116872	0.0825396	0.0881412	0.154325	0.0711243	0.0708962	0.0982723	0.10248	0.0981651	0.128127	0.130192	0.133549	0.11443	0.0735832	0.0900271	0.0870667	0.155215	0.065186	0.0342912	0.0416314	0.0166238	0.0348831	0.0339102	0.0158004	0.0275611	0.0141484	0.0299947	0.0277717	0.0349462	0.0583887	0.0319641	0.0198627	0.0389676	0.0168941	0.0357633	0.0196312	0.0132697	0.231013	0.270999	0.057679	0.0254404	0.402996	0.0118732	0.241635	0.231978	0.157969	0.368418	2.966064
26	0	-14511	-14531.6	20.6103	0.129753	0.097132	0.0780908	0.11682	0.0962474	0.0727903	0.119144	0.0774975	0.0926988	0.184788	0.0913821	0.0892264	0.0838647	0.100863	0.105428	0.122547	0.112562	0.121056	0.116924	0.108188	0.0808149	0.107525	0.172106	0.023841	0.0215298	0.0370951	0.0211306	0.0465658	0.050975	0.0248065	0.0294092	0.0305813	0.0176403	0.0279765	0.0814062	0.0461555	0.00955052	0.0106553	0.0294723	0.0326835	0.0281242	0.0273174	0.0114353	0.200761	0.252291	0.0615837	0.027703	0.445451	0.0122101	0.251738	0.218381	0.174358	0.355523	3.0858
27	1	-14504.4	-14524.5	20.0979	0.126525	0.113805	0.111475	0.103173	0.0978921	0.0755435	0.100071	0.0704406	0.115233	0.194646	0.0855059	0.0782559	0.106016	0.0962507	0.122359	0.117675	0.130192	0.128664	0.11443	0.0809112	0.0677364	0.0858239	0.18133	0.0808062	0.0151649	0.0532776	0.028938	0.024423	0.0420966	0.0151969	0.0188144	0.0186665	0.0389879	0.0276246	0.0346787	0.0552494	0.0418359	0.0183836	0.0371672	0.0156407	0.0306869	0.0145749	0.0208711	0.229171	0.268838	0.0644401	0.0259897	0.399783	0.0117786	0.240835	0.23121	0.160756	0.367199	3.137039
28	0	-14499.7	-14521.4	21.7238	0.135319	0.0992602	0.0960999	0.0905054	0.0926592	0.0638471	0.108337	0.0679064	0.095287	0.175234	0.0760249	0.0905191	0.0971162	0.105334	0.113643	0.112121	0.123626	0.10599	0.12169	0.0736963	0.0970457	0.0871152	0.138785	0.0326688	0.0181299	0.0246618	0.0256704	0.0426784	0.0433135	0.0201684	0.047959	0.0444446	0.0244683	0.0226443	0.0676293	0.0324267	0.0119511	0.0194843	0.0370993	0.0263414	0.0185664	0.0307995	0.016182	0.22538	0.254823	0.0584678	0.0263013	0.422913	0.0121149	0.251738	0.218381	0.174358	0.355523	2.974449
29	1	-14513.9	-14534.8	20.9664	0.106784	0.08789	0.0986012	0.105645	0.0964615	0.0676376	0.100071	0.061459	0.100416	0.2026	0.0730895	0.0781299	0.105782	0.0958349	0.114547	0.129678	0.146521	0.119656	0.129114	0.0948327	0.0731489	0.0747272	0.154727	0.0846098	0.0313108	0.0458702	0.0234972	0.0331189	0.0488479	0.0071571	0.0191897	0.0124036	0.042779	0.0183257	0.0424803	0.0340563	0.038654	0.00499411	0.046525	0.041293	0.0329761	0.00923535	0.0155208	0.229399	0.269105	0.0645042	0.0254446	0.40018	0.0113673	0.237518	0.22489	0.158542	0.37905	3.050197
