Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14767.9	-14778	10.0547	0.145914	0.096519	0.0983953	0.083595	0.0982808	0.0740555	0.143552	0.0887662	0.0747327	0.167068	0.0727971	0.0774875	0.0927701	0.0991891	0.124582	0.122099	0.156113	0.114103	0.125253	0.0852795	0.0977006	0.0955514	0.199363	0.0367756	0.0513856	0.0511417	0.0214235	0.0303227	0.110003	0.0201013	0.0305474	0.0192354	0.0373315	0.0216811	0.0393272	0.0598646	0.0577515	0.0554266	0.0263438	0.0455375	0.0408237	0.0230971	0.0237031	4.017028	0.274862	0.292887	0.0952154	0.337036	3.33499
210	-14762.4	-14772.2	9.83238	0.145914	0.105216	0.104931	0.100479	0.104293	0.0810678	0.132426	0.0887662	0.0822397	0.167068	0.0880045	0.0878564	0.106022	0.119602	0.118366	0.114742	0.137731	0.124067	0.131202	0.0819613	0.0949674	0.0787817	0.166214	0.024625	0.0456739	0.0367516	0.0290842	0.0198168	0.10689	0.0496313	0.0419771	0.0198753	0.0473146	0.0274023	0.0331746	0.0566572	0.0468938	0.0539946	0.025168	0.0373883	0.0404671	0.0262574	0.029941	3.955401	0.269894	0.287593	0.0934207	0.349092	3.360902
220	-14768.4	-14777.7	9.28548	0.124084	0.0800853	0.0931804	0.112598	0.12127	0.0742336	0.147038	0.0694821	0.0949544	0.16945	0.100178	0.0878564	0.123465	0.11886	0.109069	0.149679	0.140756	0.112858	0.129092	0.0819613	0.0803597	0.102522	0.180732	0.0313635	0.0342146	0.0258414	0.0335254	0.0272096	0.112227	0.0379997	0.0385316	0.0193083	0.0581747	0.0188049	0.0308362	0.0616374	0.0478142	0.0518962	0.027973	0.0568886	0.0333992	0.0311708	0.0350324	3.921818	0.27351	0.291447	0.107086	0.327958	3.417612
230	-14767.8	-14778.3	10.5066	0.124084	0.101741	0.092837	0.0852181	0.124233	0.0682968	0.105881	0.0884609	0.0930282	0.165628	0.0931765	0.0848347	0.0995577	0.126719	0.108266	0.146742	0.114042	0.135909	0.110357	0.0719019	0.102648	0.0965679	0.165769	0.027786	0.04676	0.0311395	0.036936	0.0197596	0.0820474	0.0389902	0.0401878	0.0229825	0.0509672	0.0227129	0.0239279	0.0585644	0.0463385	0.0546105	0.0365586	0.0598319	0.0270706	0.0314711	0.0353634	3.849298	0.273847	0.291806	0.105986	0.328362	3.299903
240	-14770.6	-14779.6	9.02239	0.136725	0.1091	0.111184	0.110977	0.110733	0.0795892	0.138289	0.0999994	0.089208	0.195704	0.0879127	0.0842726	0.0995121	0.125169	0.0974423	0.124388	0.112453	0.130218	0.124956	0.0897215	0.0872186	0.077021	0.179334	0.0241884	0.0667614	0.0340323	0.0342047	0.0238845	0.0864312	0.0297621	0.0474157	0.0167757	0.0505599	0.0223815	0.0382024	0.0406216	0.052741	0.0613513	0.0318046	0.0730365	0.0511909	0.0185324	0.0224315	4.200561	0.27172	0.289539	0.0971323	0.341609	3.427437
250	-14764.5	-14774.6	10.1039	0.137411	0.0986528	0.0995288	0.115141	0.13213	0.0938155	0.13697	0.0732913	0.103621	0.183872	0.0809179	0.0842726	0.0968734	0.103872	0.114058	0.152679	0.130351	0.100299	0.141945	0.0969423	0.0872186	0.0835508	0.193345	0.0335096	0.0257545	0.0191023	0.0245804	0.0348146	0.0787594	0.0315354	0.0327365	0.0179568	0.0401813	0.0121075	0.0234767	0.0467613	0.0589439	0.0679725	0.0218579	0.056579	0.0402486	0.0202595	0.0208605	3.710039	0.270656	0.289962	0.0972742	0.342108	3.348754
260	-14773	-14784.4	11.416	0.135854	0.0992362	0.132404	0.102723	0.110913	0.110609	0.106548	0.0952581	0.0724097	0.183156	0.0752694	0.0781028	0.100211	0.095301	0.0908315	0.125164	0.142679	0.110713	0.127501	0.0966069	0.084828	0.0824417	0.166668	0.0220462	0.0270892	0.0263026	0.0244789	0.0131474	0.0800799	0.0162863	0.0389275	0.0130145	0.0385602	0.0220936	0.0321397	0.0538983	0.046228	0.0520617	0.0191406	0.058825	0.0289333	0.0293296	0.0319959	3.997686	0.27755	0.287221	0.0963547	0.338874	3.200009
270	-14765.2	-14775.2	9.95648	0.139512	0.09975	0.105375	0.0892026	0.11152	0.0851357	0.12102	0.0896341	0.0739743	0.178674	0.0752694	0.107098	0.121151	0.124325	0.11849	0.147333	0.136151	0.10825	0.123652	0.0728768	0.0825204	0.0824417	0.207839	0.0259065	0.0429732	0.0208435	0.0218234	0.0326346	0.0860176	0.0316147	0.0321358	0.0201831	0.05762	0.0137044	0.0249289	0.0563309	0.0480132	0.0584468	0.0283514	0.0391283	0.0412048	0.0254388	0.0279047	4.159758	0.275767	0.291801	0.0957355	0.336696	3.3364
280	-14778.5	-14788.9	10.4123	0.12235	0.0801634	0.0809153	0.117064	0.103775	0.0811298	0.126805	0.0973253	0.0848928	0.16191	0.101944	0.067964	0.0872866	0.151727	0.0878614	0.13912	0.149183	0.112513	0.13212	0.072578	0.118367	0.0958855	0.188642	0.0350957	0.033656	0.0409503	0.0173819	0.0164894	0.0865688	0.0209705	0.0402108	0.0164523	0.0541162	0.0147672	0.0335423	0.0537549	0.0569217	0.0468242	0.0308545	0.0552888	0.0362356	0.033329	0.0216559	3.894359	0.275767	0.291801	0.0957355	0.336696	3.306589
290	-14770.5	-14780.8	10.3188	0.125364	0.107624	0.081803	0.114882	0.106676	0.0913666	0.127253	0.0913776	0.0908905	0.198662	0.0678344	0.100164	0.0964004	0.110001	0.114964	0.123539	0.149949	0.123345	0.134045	0.0555264	0.087708	0.0734403	0.195363	0.0231933	0.0533648	0.0269747	0.0264275	0.0194933	0.080721	0.0180807	0.0348743	0.00630303	0.0414082	0.0290824	0.0209941	0.0498459	0.045811	0.0549953	0.023939	0.0834344	0.0472853	0.0276984	0.0334091	3.901434	0.279439	0.288311	0.0995804	0.332669	3.315515
300	-14780	-14790.2	10.2665	0.135851	0.0962254	0.120681	0.108504	0.0966893	0.0683711	0.112966	0.0656942	0.0982675	0.172115	0.0678344	0.0781198	0.098068	0.114772	0.0978625	0.139636	0.133161	0.105603	0.144166	0.0735735	0.0787381	0.0884648	0.165166	0.0369526	0.0373553	0.0318287	0.023412	0.0438008	0.100799	0.0195263	0.0334459	0.0287642	0.0512741	0.0219966	0.0523475	0.055287	0.0668077	0.0451703	0.0342764	0.0715474	0.0403912	0.0230296	0.0308948	4.090846	0.280572	0.285425	0.0999843	0.334018	3.309436
