Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
21	1	-14882.8	-14893.3	10.4872	0.146617	0.0948995	0.0970294	0.0889143	0.0910878	0.068691	0.108505	0.0897493	0.105787	0.029634	0.0759273	0.0915452	0.105761	0.117464	0.114569	0.145783	0.133264	0.117776	0.12747	0.0974346	0.101178	0.0876263	0.193088	0.0400875	0.0295207	0.0284781	0.0184397	0.0266843	0.109168	0.031441	0.0399657	0.0316724	0.0527053	0.0581546	0.0305749	0.0674865	0.0797708	0.0507253	0.0289999	0.0556371	0.033962	0.0327446	0.0280163	3.813343	0.276021	0.306303	0.0961303	0.321545	3.304036
22	0	-14773	-14782.9	9.84865	0.108507	0.0944217	0.109398	0.0981473	0.11207	0.0990103	0.144785	0.092838	0.0862939	0.202264	0.070302	0.0773269	0.101943	0.0972226	0.100161	0.111788	0.14223	0.110912	0.139727	0.089507	0.0795666	0.0779405	0.177613	0.0316788	0.0331033	0.0197064	0.0360296	0.0153643	0.0485819	0.0682011	0.0961534	0.0377956	0.0572072	0.0615725	0.0484992	0.0353529	0.0481354	0.0253472	0.0568224	0.0123044	0.0301167	0.0368028	0.0237951	4.170717	0.273087	0.28547	0.0956031	0.34584	3.346544
23	1	-14799.1	-14809.6	10.5533	0.167659	0.098164	0.10158	0.0894108	0.0976113	0.0888888	0.108505	0.100126	0.0957351	0.088928	0.0710853	0.096707	0.10643	0.10355	0.115411	0.128961	0.143505	0.122209	0.132081	0.0743001	0.0854128	0.0655606	0.189281	0.0233221	0.0266592	0.0369149	0.0251958	0.0159676	0.130315	0.0299691	0.0423437	0.0336057	0.0332727	0.020732	0.0278439	0.0588138	0.0645327	0.0689298	0.0334561	0.0575287	0.0364375	0.0310447	0.0205602	3.959794	0.28418	0.289663	0.090908	0.335249	3.288548
24	0	-14768.9	-14779.8	10.916	0.164985	0.0832346	0.109476	0.0981473	0.102805	0.102318	0.137957	0.0883366	0.100593	0.170505	0.0754661	0.0995224	0.0814005	0.0947937	0.100161	0.123222	0.107363	0.112882	0.114514	0.0686348	0.0896399	0.0874841	0.16568	0.0211156	0.0436955	0.0270586	0.0353717	0.0172183	0.0520182	0.0493943	0.0820373	0.0488103	0.0314193	0.0507226	0.0288262	0.0545465	0.0414814	0.0243933	0.0620403	0.0125303	0.0363174	0.031685	0.0175376	4.04247	0.273087	0.28547	0.0956031	0.34584	3.247341
25	1	-14767.4	-14776.7	9.27357	0.121201	0.097488	0.108603	0.0826396	0.112525	0.0957693	0.131635	0.0883575	0.0928094	0.169883	0.0729812	0.0867634	0.100407	0.10355	0.108608	0.152208	0.1527	0.12726	0.147323	0.0760277	0.0940237	0.0925283	0.209402	0.0263388	0.0339564	0.0286097	0.0438525	0.0143186	0.0827971	0.0322366	0.0375251	0.0285775	0.048065	0.0147093	0.0278764	0.0464359	0.0707882	0.0633671	0.0219209	0.0505337	0.0439682	0.0441319	0.0271041	4.038794	0.28418	0.289663	0.090908	0.335249	3.411805
26	0	-14773.8	-14784.2	10.4417	0.152824	0.0936426	0.0899447	0.0925239	0.105279	0.0763791	0.147219	0.0688254	0.106563	0.186381	0.0723154	0.0870175	0.105195	0.0953261	0.122151	0.153172	0.107363	0.129429	0.130487	0.0752273	0.0811275	0.0993282	0.162265	0.0291507	0.0374004	0.0311345	0.0188732	0.0258117	0.0370803	0.048175	0.0994194	0.0564556	0.040806	0.0534169	0.0348282	0.0277397	0.0683203	0.0288313	0.0536909	0.0110853	0.02681	0.0270994	0.00872447	3.874751	0.274115	0.285066	0.095468	0.345351	3.304839
27	1	-14765.8	-14776.2	10.4572	0.133378	0.0884063	0.087292	0.0954127	0.107313	0.0769782	0.133737	0.0749731	0.117499	0.17526	0.102576	0.0883048	0.0974277	0.115389	0.108608	0.127728	0.130217	0.10989	0.111243	0.0902235	0.0782408	0.0849159	0.19099	0.021603	0.0472095	0.022982	0.035155	0.0242808	0.10884	0.0327986	0.0360645	0.032633	0.0425644	0.0195052	0.0119422	0.0629962	0.0433259	0.0562475	0.0286232	0.0507648	0.0417235	0.0315374	0.0166391	4.038794	0.28418	0.289663	0.090908	0.335249	3.293439
28	0	-14762	-14772.7	10.7048	0.13463	0.08825	0.103848	0.0947126	0.121364	0.0731197	0.14017	0.093657	0.0850687	0.175376	0.0876092	0.0840885	0.109235	0.0914056	0.103906	0.141207	0.110876	0.115738	0.127183	0.0765356	0.0779303	0.089786	0.176074	0.0316482	0.0248355	0.0205487	0.0266694	0.0200118	0.0632366	0.0641509	0.0905531	0.0319801	0.0361561	0.0760853	0.0281348	0.0372458	0.0424552	0.0361732	0.0412476	0.0183697	0.0314581	0.0244751	0.0249026	3.981291	0.274115	0.285066	0.095468	0.345351	3.272108
29	1	-14779.7	-14790.3	10.6034	0.118335	0.0786771	0.105568	0.0992189	0.136089	0.0791472	0.138493	0.100502	0.0990829	0.166371	0.0680157	0.0671096	0.0961613	0.106638	0.108608	0.13498	0.153329	0.0919294	0.165125	0.0564754	0.0650632	0.0854471	0.177516	0.0273935	0.0367946	0.021827	0.0333347	0.0348256	0.10884	0.0283254	0.0295546	0.0252093	0.0505556	0.0159101	0.0301998	0.0639639	0.0447658	0.0431832	0.030359	0.0428046	0.0616307	0.0364965	0.0224961	3.913117	0.28418	0.289663	0.090908	0.335249	3.28635
30	0	-14764	-14773.9	9.92003	0.13867	0.0964202	0.0912268	0.103294	0.116461	0.0836004	0.120467	0.0863992	0.101979	0.180429	0.0963385	0.0819675	0.106921	0.113456	0.109567	0.12495	0.136921	0.119527	0.14262	0.0620239	0.0866949	0.102908	0.169005	0.0407622	0.027154	0.0230948	0.0231446	0.0181802	0.0496575	0.0538586	0.101514	0.0370241	0.0337953	0.0576152	0.0418134	0.0451926	0.0424552	0.0258681	0.0407042	0.0353749	0.0169797	0.0267245	0.0378243	3.981291	0.274115	0.285066	0.095468	0.345351	3.350585
