Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-15370.3	-15385.2	14.8399	0.117511	0.111776	0.102896	0.100548	0.0951012	0.0759505	0.126853	0.0741156	0.0910242	0.182814	0.0734731	0.0693012	0.0817744	0.0928036	0.108768	0.128202	0.131599	0.110144	0.141984	0.0917431	0.0790672	0.0811263	0.197789	0.0805473	0.0507629	0.0199711	0.065842	0.0435173	0.0282592	0.029878	0.0342208	0.0284026	0.0525356	0.0194943	0.0409335	0.0343831	0.0360781	0.0223524	0.0281217	0.0368594	0.0286407	0.0191656	0.0177687	0.215867	0.299863	0.095951	0.388318	3.184098
210	-15365.8	-15382.4	16.6651	0.109489	0.101973	0.095206	0.0859505	0.100205	0.0773865	0.12386	0.0874219	0.0908311	0.178876	0.0667346	0.0861145	0.0797622	0.0891458	0.108768	0.13131	0.112624	0.0969169	0.122684	0.0751684	0.0779276	0.067608	0.156142	0.0814438	0.0450306	0.0271235	0.0583779	0.0370188	0.0264305	0.0220559	0.0165612	0.0352779	0.0336831	0.0181047	0.0501024	0.0348418	0.0407154	0.0269272	0.0182075	0.0338593	0.0362513	0.018778	0.0186815	0.213655	0.296791	0.105214	0.38434	3.001577
220	-15372.8	-15387.6	14.7729	0.132319	0.0900492	0.137055	0.0970862	0.101897	0.0838821	0.137845	0.0664419	0.0908311	0.188817	0.0674928	0.0872022	0.0873916	0.0872382	0.109642	0.100781	0.139493	0.114317	0.128147	0.0795995	0.0951972	0.0821803	0.196918	0.0814438	0.0547065	0.0257174	0.0545668	0.0359782	0.0323842	0.0237955	0.0244892	0.0241005	0.043488	0.0161001	0.0568793	0.0308389	0.0433017	0.0317096	0.01969	0.0180907	0.0307495	0.0234428	0.0174945	0.213655	0.296791	0.105214	0.38434	3.190792
230	-15378	-15393.3	15.3787	0.11778	0.109281	0.0866001	0.0953479	0.105431	0.0848708	0.10578	0.0736006	0.105807	0.168209	0.0889378	0.0880711	0.0958391	0.0821014	0.111731	0.134997	0.118658	0.0982589	0.104255	0.0637958	0.0925613	0.0759779	0.175048	0.0806937	0.0545824	0.0321186	0.04383	0.0401966	0.0488201	0.0305362	0.0350288	0.0279067	0.0429153	0.0155105	0.0199711	0.0355842	0.051101	0.0240063	0.0233573	0.0294431	0.0321121	0.0420628	0.0374935	0.20841	0.314672	0.102015	0.374903	3.130211
240	-15372.4	-15388	15.5765	0.132291	0.119564	0.0939409	0.109523	0.120401	0.0618502	0.132143	0.0827966	0.0921241	0.16072	0.0747588	0.0871925	0.0870884	0.0847937	0.112295	0.112769	0.113135	0.104755	0.109431	0.0786658	0.0837727	0.0819089	0.171969	0.0713181	0.0495902	0.0286805	0.0597967	0.0278671	0.0323579	0.0421537	0.020315	0.0230657	0.0509153	0.0135356	0.0367678	0.0321865	0.0375189	0.042161	0.0285754	0.0207169	0.0378669	0.0273679	0.0197869	0.20841	0.314672	0.102015	0.374903	3.110433
250	-15370.4	-15385.7	15.3277	0.116065	0.0960994	0.0758255	0.099524	0.108354	0.0751751	0.130075	0.0734837	0.0884275	0.15361	0.0839718	0.0855923	0.0899262	0.102533	0.112295	0.123976	0.15829	0.123804	0.117019	0.075047	0.0887497	0.0859571	0.16691	0.0731461	0.0466502	0.032254	0.0528765	0.0315186	0.0345943	0.0272229	0.0279816	0.0285274	0.0448056	0.0312399	0.0457817	0.0349843	0.0476499	0.0216707	0.0118906	0.0347602	0.031262	0.0379948	0.00778995	0.209085	0.315692	0.102345	0.372878	3.135311
260	-15384.5	-15400.1	15.5625	0.121594	0.110979	0.114771	0.093392	0.0999451	0.0986396	0.120687	0.0737971	0.0881169	0.17883	0.0839718	0.0733598	0.108659	0.100052	0.0982811	0.141657	0.11524	0.0939146	0.106986	0.0863564	0.0883038	0.0827152	0.140345	0.0560702	0.0440243	0.0236405	0.0650797	0.0560843	0.0295099	0.0274153	0.022811	0.0379441	0.0607385	0.0166081	0.0674828	0.0432182	0.025036	0.0302242	0.00805189	0.0265471	0.0364432	0.0116244	0.00268702	0.209085	0.315692	0.102345	0.372878	3.111835
270	-15377.8	-15393.1	15.3056	0.151726	0.0820113	0.101642	0.119847	0.110015	0.0811659	0.116302	0.0798555	0.103929	0.140918	0.0719905	0.0688369	0.118333	0.112769	0.101378	0.127487	0.141687	0.123106	0.113733	0.0784475	0.0853685	0.0734434	0.164457	0.0692816	0.0579908	0.0176035	0.0632679	0.0283527	0.0432947	0.0224717	0.0231258	0.0301551	0.0541592	0.0197927	0.0397986	0.0370548	0.0401576	0.0212627	0.0200341	0.0306709	0.03012	0.0194416	0.00104198	0.211678	0.307205	0.103615	0.377502	3.137527
280	-15373.9	-15390.1	16.1865	0.123191	0.116019	0.0792122	0.0909232	0.125708	0.079461	0.114591	0.075407	0.0930198	0.151911	0.0831454	0.0664534	0.0940573	0.093238	0.112834	0.131275	0.118453	0.119117	0.113282	0.0846331	0.105944	0.0781486	0.141523	0.0738767	0.0424418	0.0270349	0.0455276	0.0311388	0.032845	0.020719	0.0222328	0.0356439	0.0552208	0.0256607	0.0397986	0.0302237	0.0357968	0.0298969	0.0189052	0.0241822	0.0237368	0.0397881	0.00321178	0.202878	0.313955	0.104056	0.379111	3.049429
290	-15377.1	-15392.3	15.2748	0.128925	0.0924537	0.107619	0.113932	0.100736	0.0754349	0.127754	0.0808326	0.0835416	0.149753	0.0794654	0.0898492	0.110614	0.0928137	0.091479	0.131275	0.124111	0.131227	0.114552	0.0743797	0.0621676	0.0809937	0.196813	0.0755137	0.0367212	0.031645	0.0456414	0.033612	0.0223902	0.0287247	0.0359235	0.0355315	0.0550089	0.0272964	0.0384686	0.0443393	0.0280704	0.0222917	0.0240555	0.0321626	0.0438572	0.0251987	0.0134276	0.212309	0.282064	0.108893	0.396733	3.140601
