Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-15380.7	-15396.1	15.4475	0.109625	0.116976	0.0938843	0.115324	0.0968718	0.101484	0.145663	0.0649516	0.0884937	0.136733	0.0821605	0.0697047	0.0975874	0.0857173	0.123071	0.132006	0.109613	0.0973143	0.123098	0.0765373	0.0840442	0.0934691	0.185053	0.0284772	0.0144624	0.0364064	0.0357349	0.0239096	0.0732946	0.0200114	0.0576942	0.0181484	0.0471622	0.0312632	0.0188571	0.0200852	0.027307	0.0299289	0.0357849	0.0525997	0.0481024	0.0313342	0.0433859	0.218139	0.29875	0.107319	0.375792	3.123332
210	-15371.9	-15386.9	15.0116	0.109625	0.102182	0.0999204	0.116989	0.101016	0.0866046	0.137368	0.0846973	0.0833266	0.174807	0.071022	0.0747767	0.0821168	0.0800078	0.11249	0.124792	0.144353	0.110299	0.126146	0.0661972	0.0857947	0.0870955	0.1586	0.0436197	0.0116791	0.036415	0.031322	0.022379	0.0912618	0.0418204	0.0371881	0.0319189	0.0324019	0.0370788	0.0477306	0.0183444	0.0313403	0.0282015	0.0251561	0.0354051	0.0450053	0.0245382	0.0738895	0.222201	0.299111	0.102442	0.376246	3.166923
220	-15372.1	-15386.7	14.6081	0.13213	0.112166	0.100537	0.105974	0.102648	0.0905993	0.131958	0.0734688	0.0935743	0.183222	0.0835136	0.0902979	0.0982168	0.125315	0.0972546	0.123588	0.1242	0.102623	0.12591	0.0661972	0.0779243	0.0857358	0.14767	0.0464298	0.014342	0.0534927	0.0307945	0.023725	0.0738486	0.0285379	0.0345964	0.0378382	0.0265442	0.035198	0.0251603	0.0177014	0.0346793	0.0283153	0.0280582	0.0749324	0.0437256	0.0195776	0.0550515	0.222201	0.299111	0.102442	0.376246	3.207271
230	-15370.6	-15385.6	14.9696	0.12437	0.101584	0.115438	0.0932772	0.0968572	0.0780618	0.118061	0.0840006	0.0958526	0.15666	0.0833009	0.0782135	0.0968221	0.103601	0.104939	0.131213	0.116608	0.124284	0.118496	0.0929074	0.0983688	0.104207	0.157526	0.043334	0.0152966	0.0544567	0.0282546	0.0155951	0.0702892	0.024602	0.0382913	0.0230968	0.0410853	0.0290088	0.0371467	0.0346394	0.0344518	0.00896077	0.0384619	0.0347927	0.0396448	0.0358689	0.0491939	0.20668	0.305079	0.104486	0.383754	3.171123
240	-15371.9	-15386.6	14.7488	0.135444	0.118341	0.106677	0.0967085	0.11621	0.0815741	0.115091	0.0901696	0.0952676	0.173208	0.0750686	0.0946584	0.0798308	0.110296	0.0966404	0.144674	0.118083	0.113435	0.112336	0.0672002	0.0857864	0.0785294	0.183047	0.0330219	0.0129903	0.0455799	0.0204968	0.0168881	0.0900323	0.0268583	0.0484078	0.0194883	0.0372246	0.0358818	0.0405162	0.0262878	0.0261414	0.0272726	0.0400564	0.0364713	0.03898	0.0278166	0.0545153	0.202509	0.30655	0.103529	0.387412	3.193202
250	-15381.1	-15395.7	14.5424	0.0969532	0.123522	0.11767	0.1069	0.0898902	0.0872828	0.14228	0.0775591	0.120642	0.161731	0.0751847	0.0858245	0.0960537	0.0826476	0.101387	0.131779	0.1576	0.116252	0.119501	0.072968	0.0862606	0.0783288	0.174201	0.032577	0.0103322	0.036562	0.037932	0.0195647	0.0826882	0.0254325	0.0419392	0.0296738	0.0312671	0.0381503	0.0200025	0.026139	0.0423257	0.0288108	0.0275491	0.0540822	0.0463233	0.025682	0.0543887	0.20787	0.304007	0.103925	0.384198	3.213842
260	-15373.3	-15388.3	15.0302	0.108128	0.102022	0.112104	0.120336	0.0945115	0.0833382	0.130347	0.0822267	0.0887965	0.144345	0.0832603	0.0645549	0.0875003	0.0945805	0.109637	0.134871	0.149957	0.124045	0.117571	0.088515	0.0883313	0.0767209	0.185747	0.031637	0.00905971	0.0547173	0.0335311	0.0221516	0.0744347	0.030808	0.0392344	0.0128502	0.0403226	0.0454877	0.0306988	0.0195654	0.0455579	0.0213489	0.0324449	0.0401497	0.0480852	0.0263193	0.035215	0.20787	0.304007	0.103925	0.384198	3.165065
270	-15373.6	-15387.7	14.1099	0.1399	0.0978749	0.106491	0.116548	0.105799	0.0837616	0.126149	0.0849229	0.0987616	0.182581	0.0915139	0.0935995	0.103519	0.0778748	0.117335	0.140647	0.132813	0.115919	0.115995	0.0661283	0.0942912	0.0958845	0.166417	0.0321643	0.0162563	0.058421	0.0263181	0.0153162	0.0742971	0.0292865	0.0413932	0.0252837	0.0428052	0.0302451	0.0393439	0.0206154	0.0340443	0.0102817	0.0496568	0.033963	0.0491704	0.021219	0.0522901	0.20787	0.304007	0.103925	0.384198	3.257098
280	-15376.7	-15391.3	14.6119	0.141053	0.109765	0.105914	0.10268	0.104607	0.0961646	0.121562	0.0849229	0.0861895	0.18037	0.072022	0.0843712	0.0807052	0.0885343	0.123957	0.140958	0.151831	0.116653	0.127894	0.0904132	0.0704227	0.0749024	0.142522	0.0325512	0.0174535	0.0542485	0.0320998	0.0139665	0.0860907	0.0571009	0.0368029	0.035004	0.0394491	0.0258202	0.0199222	0.0340377	0.0348946	0.0160089	0.0407303	0.0377786	0.036561	0.0179085	0.0400489	0.226638	0.295964	0.103365	0.374033	3.206893
290	-15375.2	-15390.3	15.0999	0.131068	0.109765	0.0803836	0.10087	0.114711	0.0711696	0.11859	0.081383	0.0918473	0.16563	0.083621	0.0829325	0.100233	0.0918192	0.0940672	0.13376	0.159033	0.121194	0.126462	0.0763226	0.0799197	0.0819945	0.180963	0.0429005	0.0107691	0.0404351	0.0241411	0.0127204	0.091687	0.0336774	0.0566983	0.0209071	0.0369836	0.0238212	0.0280365	0.0264513	0.048336	0.00574338	0.032746	0.0361607	0.0447476	0.0247328	0.0386634	0.231482	0.30229	0.0944106	0.371817	3.158098
300	-15376.2	-15391	14.8008	0.102039	0.0997164	0.0841053	0.10087	0.0973759	0.10814	0.146344	0.078783	0.0918473	0.160417	0.0711173	0.0868852	0.083881	0.105837	0.110892	0.12929	0.132133	0.127554	0.125789	0.0674727	0.0855887	0.0898112	0.160539	0.0384633	0.0182745	0.0500977	0.0353791	0.0167229	0.0718712	0.0399402	0.0443028	0.0399229	0.0573457	0.0253677	0.020384	0.0371269	0.0297352	0.0212904	0.0249223	0.0402179	0.0332614	0.0373478	0.0596038	0.207373	0.311773	0.0973723	0.383481	3.188005
310	-15366.8	-15381.5	14.6439	0.128085	0.0995082	0.0995086	0.0974279	0.116096	0.0940452	0.135207	0.0782559	0.0951966	0.171901	0.0626754	0.0859283	0.0959262	0.0983402	0.113335	0.12929	0.122533	0.11451	0.127107	0.0933535	0.0981512	0.0872157	0.166951	0.0370372	0.0193732	0.042556	0.0178372	0.0200598	0.0702682	0.0409572	0.0343802	0.0239311	0.0374374	0.0362913	0.0223944	0.0132206	0.035572	0.0229437	0.0288839	0.0549782	0.055783	0.0273217	0.0519179	0.204426	0.307343	0.110199	0.378032	3.203689
320	-15369.9	-15386.1	16.1792	0.117957	0.111553	0.0849708	0.100156	0.11489	0.0783897	0.114368	0.0728571	0.0878726	0.163046	0.0863114	0.0859283	0.0830904	0.0916517	0.106116	0.108454	0.151323	0.107748	0.114796	0.0775489	0.07906	0.0716559	0.170425	0.0309142	0.0126526	0.0473885	0.0317263	0.0212514	0.0599407	0.0378322	0.0336143	0.0173398	0.0420899	0.0283546	0.0178497	0.0224394	0.0400843	0.0331483	0.0368303	0.0447084	0.035333	0.0264333	0.0500678	0.204426	0.307343	0.110199	0.378032	3.050167
330	-15373.1	-15388.1	14.9546	0.109914	0.106385	0.0993982	0.118288	0.101779	0.0930786	0.128766	0.0733331	0.126327	0.169878	0.0798935	0.0677004	0.083409	0.0821516	0.100773	0.140608	0.112789	0.118833	0.117305	0.0787616	0.0730237	0.0774609	0.161746	0.0454421	0.0144727	0.0627666	0.0367653	0.0193641	0.0860116	0.0414869	0.0457732	0.023067	0.0465836	0.0368511	0.0292234	0.0209998	0.0454099	0.0195348	0.0364007	0.0360431	0.0447302	0.0175333	0.0425607	0.204426	0.307343	0.110199	0.378032	3.172622
340	-15372.2	-15387	14.8187	0.132289	0.0982048	0.107578	0.101081	0.0972982	0.0907892	0.124254	0.06335	0.111602	0.166488	0.0801496	0.0889472	0.0937861	0.103374	0.109841	0.139327	0.131303	0.129484	0.100847	0.0973043	0.0852305	0.0760293	0.1439	0.0326955	0.0124625	0.0417484	0.0268548	0.0237025	0.0830004	0.0260274	0.0368786	0.0287368	0.0547094	0.0335654	0.0286151	0.02921	0.0477332	0.0262401	0.0308879	0.045091	0.0499199	0.019027	0.0366518	0.210728	0.28599	0.113596	0.389686	3.186214
