Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
270	-14760.2	-14770.4	10.1788	0.142226	0.0998248	0.101055	0.103576	0.112765	0.0834122	0.121114	0.0806216	0.10337	0.169914	0.0845075	0.0942544	0.1046	0.105261	0.0948227	0.122392	0.139949	0.12049	0.121998	0.0727669	0.104981	0.0679565	0.157773	0.0429524	0.0178591	0.0458997	0.0449764	0.0425706	0.0236634	0.037775	0.033148	0.0326017	0.028703	0.0820738	0.06306	0.025514	0.0735709	0.0267295	0.0363656	0.0206774	0.0308352	0.046498	0.0545199	4.06672	0.276687	0.294086	0.0942336	0.334994	3.319624
280	-14766.1	-14776.1	10.0465	0.156029	0.0956017	0.0962682	0.0791125	0.115439	0.0863531	0.101617	0.0935569	0.099898	0.182342	0.0695959	0.0932781	0.103073	0.0831211	0.0942389	0.138205	0.142221	0.1254	0.147357	0.0877617	0.0839089	0.0869818	0.177563	0.0340437	0.020156	0.062753	0.0530686	0.0472204	0.0404643	0.0204734	0.024604	0.0478084	0.0299269	0.0797583	0.059863	0.0140319	0.055085	0.0287248	0.0295064	0.0279591	0.0250391	0.040957	0.0524923	4.06672	0.2777	0.291501	0.0945787	0.33622	3.332857
290	-14768.8	-14778.8	9.97382	0.156029	0.0824227	0.0858735	0.107528	0.131927	0.0813995	0.111895	0.0827121	0.0771475	0.17532	0.0873695	0.096001	0.108797	0.112842	0.10297	0.132763	0.142061	0.123894	0.133788	0.0875748	0.0941239	0.0695947	0.1785	0.0306286	0.0254758	0.0428665	0.0505475	0.0478628	0.019302	0.0288958	0.0325436	0.0347643	0.0339265	0.108223	0.0628058	0.0148569	0.0433856	0.0298925	0.025925	0.0321227	0.0403433	0.0374831	0.0316821	4.135806	0.2777	0.291501	0.0945787	0.33622	3.336065
300	-14769.9	-14780.1	10.117	0.141929	0.0973064	0.0981447	0.11298	0.0980558	0.0896026	0.139867	0.0854281	0.09983	0.17793	0.0571522	0.0716151	0.113056	0.104471	0.108301	0.132763	0.139532	0.117902	0.116558	0.0652362	0.0834883	0.0889067	0.210729	0.0382297	0.0176343	0.0597702	0.0440283	0.0187489	0.0213266	0.0302137	0.0318489	0.0226918	0.0201564	0.097786	0.0753778	0.0302903	0.0510391	0.0314956	0.0317758	0.0227769	0.025791	0.050078	0.0542852	4.061232	0.279112	0.292983	0.0899756	0.337929	3.32613
310	-14768.3	-14777.9	9.53933	0.165167	0.113616	0.10973	0.0987733	0.115865	0.079782	0.130616	0.0714379	0.0879423	0.198418	0.0614215	0.0956873	0.0923162	0.122716	0.12147	0.153557	0.135574	0.140487	0.148237	0.0800385	0.0855687	0.071634	0.210508	0.0423515	0.0133213	0.0401079	0.0458276	0.0205105	0.0235468	0.0184515	0.0285116	0.0402819	0.0218953	0.0936057	0.0586544	0.0179375	0.0536353	0.0205093	0.0219629	0.0233161	0.0276537	0.0422375	0.0409215	4.029141	0.273976	0.288193	0.106121	0.33171	3.385803
320	-14775.6	-14785.6	10.0668	0.149921	0.107886	0.0934186	0.113046	0.120727	0.0851214	0.130616	0.0831596	0.0730278	0.192126	0.05989	0.0854663	0.119887	0.108467	0.110605	0.150922	0.141951	0.112654	0.120783	0.0711117	0.0866884	0.0614438	0.172427	0.0324555	0.0155938	0.03548	0.0387668	0.0446002	0.0165888	0.0233065	0.049894	0.0306499	0.0231838	0.0937741	0.0470838	0.00853587	0.0761179	0.0245971	0.0326767	0.0258457	0.0333619	0.0563674	0.0638142	4.182516	0.275134	0.289412	0.104496	0.330958	3.324039
330	-14771.4	-14781.7	10.2945	0.158698	0.122175	0.0971155	0.0889335	0.0989171	0.0732168	0.123759	0.100477	0.0696576	0.175662	0.0905278	0.0776825	0.0907787	0.118844	0.109177	0.141287	0.146697	0.129194	0.127181	0.0786416	0.105663	0.0863829	0.161495	0.0382273	0.0153983	0.050699	0.0398455	0.0277492	0.0324972	0.0390956	0.0229215	0.0223633	0.0321742	0.0781086	0.0633989	0.0217355	0.0462851	0.029774	0.0200494	0.0374146	0.0250195	0.0412464	0.0465232	4.158167	0.275134	0.289412	0.104496	0.330958	3.302688
340	-14771.7	-14782.1	10.4791	0.134672	0.101745	0.0883514	0.0900705	0.11173	0.0853641	0.154638	0.0899779	0.0861928	0.154759	0.0701015	0.0885625	0.105721	0.103906	0.0908464	0.117983	0.13594	0.118603	0.11816	0.0633727	0.0897782	0.0697769	0.188226	0.0436712	0.0238356	0.0461723	0.0523578	0.0513427	0.0244861	0.0390877	0.0209492	0.0484995	0.0183198	0.118685	0.0685234	0.0152693	0.0655988	0.0233393	0.021604	0.0301531	0.0334655	0.0530817	0.0542056	3.71167	0.282037	0.285472	0.0932305	0.339261	3.311128
350	-14767.1	-14777.9	10.8207	0.155246	0.101409	0.101037	0.0685992	0.117592	0.094569	0.161712	0.0826984	0.0894439	0.186436	0.0744734	0.0714117	0.113828	0.0946015	0.0947273	0.120849	0.131891	0.129351	0.121723	0.0651795	0.0825123	0.0722714	0.169923	0.0358889	0.0103055	0.0591318	0.0448158	0.0267917	0.033863	0.0265905	0.0292475	0.0336171	0.0202134	0.105027	0.0443878	0.0276701	0.0501805	0.0286488	0.0341088	0.0195711	0.0255253	0.0464585	0.0485859	4.123147	0.276925	0.287505	0.0938943	0.341676	3.252114
360	-14766.9	-14777.5	10.6041	0.151492	0.109641	0.103711	0.0939124	0.0961753	0.0838127	0.161712	0.087597	0.103837	0.157226	0.072073	0.102644	0.103024	0.101186	0.0905099	0.13182	0.123002	0.12408	0.140662	0.0709217	0.0971852	0.0937286	0.17087	0.0358889	0.0238517	0.041533	0.0415816	0.0399707	0.0241129	0.0273807	0.0224978	0.0359595	0.0172879	0.0950452	0.0544879	0.0287863	0.0720486	0.0215644	0.019178	0.0199043	0.0250693	0.0294044	0.040848	3.897513	0.273427	0.283873	0.105339	0.337361	3.287224
