Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-13146.2	-13106.6	-39.5539	0.8974248	0.308125	0.165703	0.158857	0.139657	0.216569	0.143776	0.255214	0.123619	0.166182	0.399234	0.103209	0.179735	0.269203	0.25279	0.270427	0.374937	0.231827	0.280997	0.300232	0.0985881	0.154786	0.142066	0.567261	0.0445627	0.0531772	0.0681361	0.243404	0.110743	0.0105464	0.118105	0.0372559	0.0897739	0.0592029	0.182189	0.0712571	0.0228677	0.209101	0.0608806	0.0724673	0.0828531	0.108281	0.1028	0.209558	0.0258807	0.370395	0.0573081	0.0268425	0.47257	0.0470041	0.116061	0.44359	0.980682	2.45967	0.354782	0.374167	0.0627448	0.208306	0.3914741	7.260156
210	-13149.4	-13110.2	-39.1919	0.6992077	0.357078	0.153811	0.257798	0.122749	0.211994	0.158644	0.300887	0.132357	0.125371	0.408698	0.141313	0.122419	0.221476	0.271444	0.221489	0.39715	0.308184	0.218395	0.203334	0.101021	0.202673	0.130142	0.503314	0.0373524	0.0461709	0.0704563	0.196106	0.0693238	0.00415008	0.107929	0.0269689	0.0820754	0.103331	0.132424	0.12948	0.0274729	0.290863	0.0483054	0.118701	0.0331066	0.0968333	0.110257	0.220905	0.0216083	0.377004	0.0563802	0.0299893	0.454808	0.0602094	0.0740191	0.363156	0.924574	2.63825	0.346452	0.378997	0.0635549	0.210995	0.3914741	7.223954
220	-13152.6	-13112.5	-40.1694	0.8444429	0.375098	0.138041	0.206796	0.154446	0.240495	0.158644	0.219446	0.0928034	0.195392	0.402273	0.148901	0.136306	0.203428	0.271869	0.19668	0.349411	0.322509	0.240566	0.278447	0.0757345	0.120206	0.117122	0.61745	0.0519251	0.0623613	0.0719194	0.30653	0.0990147	0.0143492	0.095326	0.020789	0.118724	0.0632312	0.0978744	0.0735832	0.00254132	0.236739	0.0535904	0.177056	0.0639054	0.0842141	0.0564678	0.309494	0.030125	0.366404	0.0591108	0.0180419	0.476835	0.0494831	0.104974	0.42443	0.968548	2.50205	0.346455	0.379001	0.063547	0.210997	0.3520953	7.321702
230	-13151.4	-13109.9	-41.4586	0.9595609	0.325732	0.114312	0.182604	0.153213	0.255846	0.180687	0.256416	0.19969	0.167973	0.382104	0.179104	0.139845	0.268241	0.287494	0.298308	0.357311	0.295085	0.203588	0.243859	0.0928816	0.16318	0.134208	0.590677	0.0650183	0.04108	0.071534	0.309472	0.0341314	0.0131964	0.0743011	0.0466129	0.116071	0.0553281	0.175837	0.0927589	0.00443939	0.220129	0.0395777	0.161733	0.101747	0.0662752	0.0569369	0.232086	0.0306771	0.333128	0.0601941	0.0221858	0.485574	0.0682405	0.128816	0.46425	0.992962	2.41397	0.344551	0.376918	0.0686928	0.209838	0.3520953	7.450625
240	-13144.9	-13108.7	-36.1972	0.83626	0.365788	0.185139	0.20009	0.144271	0.24081	0.160456	0.274348	0.133168	0.175139	0.382323	0.135363	0.112016	0.23553	0.250341	0.233929	0.290979	0.287474	0.189388	0.191166	0.125544	0.145517	0.116991	0.533972	0.0353015	0.0294271	0.0423034	0.218275	0.0646689	0.0139524	0.15297	0.0155895	0.0354769	0.0377589	0.186057	0.0483672	0.0187725	0.198525	0.089956	0.161733	0.0499402	0.0824923	0.116457	0.216722	0.0289882	0.334468	0.0604363	0.0200641	0.487528	0.068515	0.103248	0.421333	0.966517	2.5089	0.350618	0.365947	0.0699023	0.213533	0.3520953	6.92449
250	-13156.5	-13117.7	-38.7682	0.735659	0.367088	0.151056	0.260165	0.132744	0.168705	0.208165	0.237266	0.173072	0.151748	0.364942	0.0935667	0.174458	0.249295	0.210824	0.210328	0.393794	0.281417	0.279061	0.235219	0.0629442	0.15429	0.0688012	0.586542	0.0565831	0.082145	0.04352	0.276793	0.0480308	0.00961755	0.125132	0.0173066	0.109196	0.0668727	0.22569	0.0917764	0.0295382	0.158299	0.0787613	0.126566	0.0489528	0.0288558	0.164771	0.177681	0.0319552	0.290501	0.066622	0.0243736	0.537427	0.049121	0.0818155	0.37988	0.937398	2.60091	0.33771	0.369571	0.0770711	0.215648	0.3520953	7.181581
260	-13158.5	-13126.8	-31.7741	0.8889	0.299449	0.207701	0.194734	0.178707	0.179269	0.165438	0.220215	0.131865	0.174228	0.316401	0.100093	0.129907	0.242993	0.235488	0.215909	0.278893	0.25715	0.152158	0.240576	0.057171	0.12381	0.0832386	0.524313	0.0714997	0.0204393	0.0310929	0.236231	0.0693558	0.00362652	0.129571	0.0633201	0.12092	0.0581581	0.153378	0.0840661	0.0581457	0.120095	0.0368699	0.183591	0.0349009	0.0440362	0.092112	0.161062	0.0315014	0.301031	0.0656759	0.0235736	0.529795	0.0484234	0.114289	0.440608	0.978841	2.46626	0.337864	0.369739	0.0766516	0.215746	0.3840912	6.482175
270	-13159.1	-13122.1	-37.0784	1.002324	0.310312	0.182195	0.154814	0.162418	0.203382	0.230676	0.2922	0.23046	0.13052	0.416973	0.138749	0.138807	0.229208	0.190081	0.212875	0.316978	0.322503	0.203142	0.209872	0.061561	0.186394	0.123485	0.423841	0.0370438	0.0287187	0.0447348	0.310984	0.0701169	0.0081776	0.0671273	0.0232483	0.0630463	0.0433599	0.187352	0.0632297	0.0600401	0.195826	0.04916	0.172006	0.0667885	0.0465358	0.124081	0.279579	0.0377419	0.308227	0.0727273	0.0198861	0.525084	0.0363337	0.137417	0.477449	1.00038	2.38475	0.338788	0.369388	0.0754888	0.216336	0.3840912	7.012603
280	-13142	-13114.5	-27.4837	1.031933	0.232304	0.126373	0.156302	0.131103	0.207811	0.120995	0.266791	0.110918	0.137095	0.333327	0.100987	0.128087	0.208634	0.188421	0.203684	0.224401	0.275643	0.273555	0.217624	0.0859536	0.125868	0.0729386	0.482548	0.0108035	0.05521	0.0851938	0.226101	0.0305342	0.0314533	0.0766919	0.0248264	0.0524653	0.0429045	0.11954	0.106187	0.0491863	0.200756	0.0336344	0.143909	0.0554172	0.0477649	0.0778376	0.171358	0.0430649	0.346707	0.055133	0.0316524	0.480418	0.0430244	0.143281	0.486144	1.0051	2.36548	0.338788	0.369388	0.0754888	0.216336	0.3840912	6.053138
290	-13153.2	-13122.3	-30.897	0.9427293	0.273144	0.122786	0.14683	0.11663	0.250602	0.127997	0.175547	0.114742	0.137471	0.377493	0.12368	0.143852	0.204406	0.256475	0.187941	0.305948	0.261848	0.204824	0.232564	0.101577	0.2071	0.0647285	0.566013	0.0098057	0.0517164	0.0120331	0.203611	0.0785085	0.0250464	0.0998328	0.00363921	0.12003	0.0739886	0.148513	0.0602206	0.0637461	0.145156	0.0307289	0.168617	0.0362071	0.0651851	0.117254	0.176422	0.0481957	0.293822	0.0617016	0.0127804	0.537656	0.0458443	0.12539	0.458834	0.989822	2.42595	0.342368	0.373292	0.0762867	0.208053	0.3767947	6.39446
