Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15800.8	-15813.9	13.0985	0.132985	0.0963396	0.0957945	0.104584	0.0999711	0.0858473	0.131732	0.0856718	0.104453	0.158662	0.0724949	0.111669	0.0972001	0.0933603	0.0992216	0.124512	0.117673	0.11677	0.128281	0.0693931	0.0910709	0.0749725	0.155059	0.0241099	0.0222981	0.0325316	0.0446098	0.0546916	0.0201024	0.093568	0.0221819	0.0319572	0.0126869	0.046195	0.0379781	0.0472514	0.0225696	0.0493032	0.0289087	0.0199589	0.0361385	0.0417383	0.0425652	3.179062
21	1	-15807.5	-15820	12.432	0.116843	0.107334	0.118536	0.0817069	0.153209	0.075764	0.142425	0.0826036	0.0984202	0.175129	0.0817294	0.0763769	0.0961084	0.0911601	0.115433	0.124137	0.113472	0.121726	0.127716	0.0703339	0.0866251	0.0857357	0.18224	0.0487987	0.0246295	0.0319611	0.0343804	0.0374085	0.0433626	0.0463278	0.00950219	0.017904	0.0561526	0.0210816	0.0223203	0.0426767	0.0235301	0.0331502	0.0804192	0.028817	0.0361115	0.0679405	0.0144636	3.245704
22	0	-15798.9	-15812	13.0923	0.127578	0.106417	0.107929	0.104584	0.102804	0.0780436	0.115628	0.0748066	0.0987234	0.186126	0.0776998	0.0829075	0.096125	0.102199	0.137143	0.122382	0.128264	0.118811	0.113446	0.0748047	0.0914504	0.0778254	0.17445	0.0314145	0.0220158	0.022473	0.0347594	0.0546916	0.0295731	0.080757	0.0251228	0.0335433	0.0270733	0.0352774	0.0305955	0.0391541	0.0125669	0.0483495	0.0241663	0.0156022	0.0243299	0.0445127	0.0435491	3.179674
23	1	-15803.3	-15816.1	12.8108	0.138394	0.0925144	0.0888968	0.0884288	0.0982297	0.0885616	0.122781	0.0574408	0.091847	0.185231	0.0809298	0.08814	0.0935734	0.089116	0.118881	0.11491	0.125306	0.111823	0.128241	0.0849181	0.0963173	0.103641	0.161994	0.0349611	0.0284142	0.0317628	0.0436423	0.054506	0.0428939	0.0464434	0.0174182	0.0182762	0.0561305	0.0266617	0.0284685	0.0415835	0.0364092	0.0470397	0.081807	0.017974	0.0226494	0.0632629	0.0174038	3.207824
24	0	-15808.3	-15821.2	12.8919	0.119625	0.103592	0.107929	0.082527	0.13523	0.0780436	0.137905	0.0835571	0.106689	0.165602	0.0796759	0.0876372	0.108107	0.0895482	0.0929367	0.122382	0.148807	0.0989039	0.10231	0.0710769	0.0738782	0.0802037	0.175153	0.0300315	0.0392639	0.0175794	0.0455928	0.0430644	0.0151899	0.0889228	0.0313738	0.0443896	0.0171666	0.0381091	0.0192894	0.057056	0.029092	0.0465933	0.0352134	0.031051	0.0336541	0.0429681	0.042798	3.199717
25	1	-15806.2	-15819.5	13.3	0.142709	0.0848061	0.0847582	0.0984306	0.0918137	0.0885616	0.134894	0.077117	0.110489	0.185231	0.0849455	0.0768843	0.097292	0.0823557	0.106078	0.11491	0.118783	0.142832	0.119961	0.0783677	0.0901422	0.0835826	0.164596	0.0347668	0.0297217	0.0366272	0.027564	0.0398052	0.0399452	0.0675982	0.0158904	0.0310028	0.0309746	0.0347745	0.0309973	0.0345989	0.0245338	0.0277255	0.0831872	0.0193721	0.0226494	0.0426292	0.0250068	3.158911
26	0	-15803.8	-15816.8	13.0187	0.116924	0.111109	0.117459	0.10197	0.114453	0.0971732	0.139033	0.0789998	0.0909558	0.16305	0.0846081	0.0986889	0.0934216	0.0949788	0.114033	0.120399	0.126619	0.0976821	0.127012	0.0891905	0.0897126	0.0992307	0.160946	0.0173207	0.0375354	0.0234118	0.037536	0.0349689	0.0242584	0.0728139	0.0265112	0.0464659	0.0230852	0.0239324	0.0259057	0.0414302	0.0192235	0.0478586	0.0238625	0.0341179	0.0373318	0.0386324	0.0231904	3.187042
27	1	-15805	-15817.7	12.6791	0.136043	0.0843951	0.109021	0.109097	0.124668	0.0502904	0.123695	0.085446	0.0922888	0.164685	0.0719071	0.0808897	0.0806494	0.104556	0.10945	0.11491	0.106478	0.12581	0.105673	0.0837545	0.0942578	0.0878201	0.179526	0.0338625	0.029405	0.0311326	0.0434659	0.0386592	0.0564187	0.0624621	0.0238254	0.0251516	0.062545	0.0225964	0.0201577	0.028586	0.0357827	0.0364979	0.086605	0.0325518	0.0416874	0.0632115	0.0210853	3.221001
28	0	-15812.1	-15824.1	11.9357	0.149124	0.114309	0.0842437	0.0989544	0.116306	0.0946038	0.119542	0.0886689	0.0949558	0.176622	0.065855	0.0868503	0.101246	0.104522	0.153533	0.135494	0.123019	0.116451	0.126339	0.0791004	0.0942381	0.0798761	0.154041	0.0298865	0.0343951	0.0310777	0.034704	0.0292411	0.0266757	0.0771643	0.0207628	0.0624887	0.0321028	0.0397629	0.0285839	0.0662823	0.012806	0.0524667	0.0215352	0.0291438	0.0312065	0.0476235	0.0295286	3.295335
29	1	-15814	-15826.7	12.6986	0.138328	0.100624	0.0796166	0.107721	0.107173	0.0502904	0.130257	0.103084	0.0922888	0.169725	0.0865051	0.0919414	0.109971	0.100266	0.126159	0.11491	0.117952	0.0895012	0.123269	0.0696476	0.0958527	0.0781624	0.171158	0.0372266	0.0254206	0.017804	0.0341281	0.0433281	0.0536466	0.0692224	0.0278652	0.0249213	0.044602	0.0242436	0.0212094	0.0210734	0.0277275	0.045461	0.0862574	0.0309	0.0354502	0.0691186	0.0250369	3.219049
