Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-14783.1	-14792.8	9.69399	0.131372	0.089458	0.0972748	0.0773417	0.101073	0.0940959	0.12142	0.0743233	0.10227	0.187296	0.0833504	0.0742447	0.0924244	0.104856	0.11774	0.136343	0.137177	0.133915	0.134615	0.0806074	0.0804863	0.098639	0.200459	0.0561714	0.0380184	0.0589736	0.0331281	0.0404328	0.0327088	0.0394618	0.0279982	0.0371847	0.0438105	0.106817	0.063669	0.0135759	0.0543691	0.0440756	0.016401	0.020222	0.0144621	0.0504098	0.037932	3.858441	0.273638	0.295832	0.104384	0.326147	3.380604
21	1	-14778.6	-14787.5	8.86737	0.129378	0.106461	0.0813841	0.103935	0.125295	0.0877333	0.124518	0.0817283	0.131438	0.15155	0.0891352	0.1015	0.109669	0.120866	0.102574	0.158154	0.130928	0.121155	0.145365	0.059759	0.103108	0.098482	0.185129	0.0426995	0.0189296	0.019152	0.0266915	0.0463751	0.0295405	0.0390544	0.0127934	0.0216858	0.0455032	0.0465039	0.0451429	0.0351935	0.0610423	0.0454631	0.113361	0.0230391	0.0456603	0.0317107	0.0406219	4.261719	0.274652	0.300421	0.0909231	0.334004	3.439408
22	0	-14782.9	-14792.6	9.67526	0.141303	0.0961242	0.0830693	0.0915698	0.117099	0.0714784	0.124358	0.0916279	0.0873045	0.184735	0.0832146	0.0777674	0.0987991	0.0923672	0.102451	0.136343	0.126175	0.141441	0.146644	0.0986498	0.0867581	0.0919168	0.169051	0.0529073	0.0232802	0.066352	0.029764	0.0346225	0.0256854	0.0438388	0.0336327	0.0301576	0.031087	0.122213	0.0712148	0.0206789	0.0468704	0.0345179	0.027259	0.0279938	0.0108425	0.0480621	0.0489647	4.063159	0.273638	0.295832	0.104384	0.326147	3.370194
23	1	-14777.8	-14786.9	9.01327	0.129378	0.0952779	0.101208	0.088282	0.11645	0.084861	0.143772	0.0964955	0.102218	0.165968	0.0808884	0.0852877	0.125146	0.0946183	0.109604	0.144671	0.122985	0.133357	0.152748	0.0723924	0.0717626	0.0883345	0.204107	0.0273069	0.031835	0.0108583	0.0344146	0.0329933	0.0234126	0.0422128	0.0232593	0.0104569	0.0425263	0.0459121	0.0454416	0.0335063	0.0771292	0.0593974	0.118272	0.0267188	0.0596548	0.0317269	0.0458704	4.125604	0.282241	0.298579	0.0934353	0.325745	3.432717
24	0	-14786.5	-14796.2	9.70092	0.150147	0.0872137	0.125892	0.0911152	0.119957	0.0839267	0.125213	0.0672208	0.11008	0.220573	0.0774443	0.0882087	0.0859619	0.115312	0.127493	0.120824	0.156819	0.110463	0.141603	0.0825843	0.076799	0.0713502	0.169051	0.0375812	0.0219676	0.0462261	0.0421123	0.0580128	0.0232965	0.0255242	0.0279857	0.0317013	0.0277363	0.0908878	0.0606776	0.0175941	0.0438747	0.0385052	0.0250442	0.0465174	0.0158136	0.0424811	0.0439256	3.977615	0.294565	0.2857	0.09201	0.327725	3.372716
25	1	-14773.1	-14783.3	10.208	0.138626	0.08208	0.112878	0.0967815	0.139806	0.0857271	0.117522	0.0789481	0.105727	0.174048	0.0643257	0.0750566	0.105465	0.0906697	0.112618	0.145408	0.124228	0.125982	0.14028	0.0780222	0.0835745	0.0782167	0.171616	0.0441957	0.0316583	0.0120244	0.0262987	0.0357027	0.0370877	0.0398276	0.0297281	0.0490177	0.0512145	0.055993	0.0401191	0.0360005	0.0628678	0.0560986	0.0558657	0.0149742	0.0425459	0.0236263	0.0470108	4.020259	0.269904	0.301312	0.100057	0.328727	3.319465
26	0	-14784.2	-14793.8	9.63683	0.171032	0.0989253	0.134918	0.0790346	0.0993917	0.0933452	0.157675	0.0709856	0.101116	0.160435	0.071294	0.0851078	0.100989	0.0949492	0.124517	0.154245	0.136879	0.112802	0.145606	0.0650683	0.0808252	0.0906495	0.204599	0.0499231	0.00659952	0.0835187	0.0451864	0.0245378	0.0282766	0.027615	0.0348102	0.0320531	0.0215351	0.0972521	0.036463	0.0166602	0.0591642	0.0229814	0.0162702	0.0239011	0.0214804	0.0458122	0.0496377	3.995299	0.288506	0.288154	0.0928003	0.33054	3.378068
27	1	-14768.3	-14777.4	9.02881	0.162426	0.091603	0.0896724	0.0860957	0.104098	0.082086	0.117701	0.0846314	0.0886697	0.174048	0.0801694	0.101978	0.115424	0.118587	0.0996947	0.129712	0.142598	0.125982	0.135034	0.0946778	0.0878386	0.0831608	0.217628	0.0277794	0.0386399	0.0120831	0.040072	0.0237063	0.0302308	0.0391863	0.0206019	0.0355396	0.0464992	0.0465168	0.0398964	0.0287601	0.0778159	0.0687363	0.0889013	0.012638	0.0517847	0.0276826	0.0537883	4.242406	0.269012	0.303621	0.0997261	0.327641	3.424375
28	0	-14774.1	-14783.5	9.38222	0.162872	0.10469	0.101516	0.0888969	0.118196	0.0748328	0.147643	0.0870994	0.0821323	0.166682	0.100928	0.0822468	0.0834628	0.12102	0.114681	0.161149	0.164299	0.112802	0.13042	0.0782554	0.107938	0.0710223	0.191101	0.0416983	0.00649964	0.0534112	0.0510787	0.0367031	0.0266354	0.0262198	0.0340314	0.0444062	0.0199358	0.099284	0.0471341	0.0228034	0.04834	0.0284292	0.0226619	0.0149358	0.0229297	0.0444473	0.0580563	3.995299	0.285245	0.284897	0.103054	0.326804	3.403528
29	1	-14782.7	-14792.7	10.0208	0.156645	0.101153	0.0916337	0.079311	0.119721	0.069451	0.127482	0.0830818	0.120555	0.173706	0.0677413	0.0902281	0.113939	0.0931684	0.100601	0.1377	0.118516	0.0990502	0.14824	0.0950438	0.0616186	0.0917722	0.199875	0.0330872	0.0260267	0.0194251	0.0209073	0.0306858	0.0237472	0.0306196	0.0387697	0.019424	0.0387076	0.0430725	0.0452681	0.0311368	0.0679798	0.0501699	0.0918589	0.0279207	0.034838	0.0245777	0.0929151	4.135675	0.261649	0.306679	0.100731	0.330941	3.331371
