Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-13142.7	-13110.3	-32.3681	0.8487853	0.271949	0.127267	0.201697	0.134333	0.238915	0.174804	0.265105	0.231151	0.152346	0.394958	0.105362	0.135797	0.290528	0.193011	0.216696	0.311859	0.296581	0.231593	0.23881	0.129389	0.139744	0.113962	0.432076	0.0338026	0.131954	0.0933258	0.0498398	0.00257698	0.133	0.0889102	0.0641213	0.0717571	0.137881	0.058214	0.0478811	0.234984	0.0154373	0.0375127	0.102656	0.210674	0.0559049	0.115555	0.114534	0.105889	0.426058	0.969607	2.49845	10.34248	0.343805	0.37426	0.0580172	0.223917	0.3678621	6.828454
210	-13147.4	-13113.3	-34.1413	0.8938942	0.236753	0.136876	0.183789	0.147641	0.156245	0.174026	0.278225	0.170723	0.13902	0.452983	0.101733	0.144806	0.266429	0.243762	0.245573	0.3387	0.250972	0.329196	0.261693	0.0841274	0.139744	0.0721363	0.597708	0.0438303	0.129644	0.0688466	0.0628155	0.000719068	0.200424	0.112878	0.0683157	0.0751291	0.195259	0.0191899	0.0368984	0.222333	0.00340815	0.0233092	0.0686142	0.214167	0.0380859	0.0991198	0.178417	0.115327	0.44236	0.979924	2.46239	10.73666	0.334205	0.377199	0.0593881	0.229208	0.4051439	7.014263
220	-13144.2	-13117.8	-26.3697	0.9905971	0.256686	0.12156	0.187011	0.143164	0.185624	0.126937	0.240696	0.128191	0.119942	0.327385	0.084514	0.183064	0.160678	0.279562	0.194128	0.239284	0.239235	0.186765	0.233738	0.0960818	0.159626	0.114716	0.519974	0.0552989	0.0993199	0.0665921	0.0493856	0.00303661	0.130662	0.0632476	0.0674718	0.0883655	0.197258	0.00941965	0.0896843	0.204568	0.00317044	0.0550967	0.0665571	0.171969	0.0485781	0.104381	0.207513	0.135074	0.473907	0.998424	2.39259	9.704724	0.33408	0.377058	0.0597403	0.229122	0.3574699	6.310139
230	-13145.4	-13118.3	-27.1122	0.9119163	0.273542	0.107165	0.212709	0.168746	0.219159	0.104002	0.276293	0.128766	0.154239	0.300666	0.0897084	0.173144	0.202657	0.274818	0.212124	0.296605	0.261368	0.171422	0.274389	0.0748939	0.163878	0.126439	0.359109	0.0628328	0.157552	0.0405613	0.0882183	0.00323518	0.164457	0.0589849	0.0436922	0.0629335	0.1526	0.0421873	0.0450586	0.248483	0.00783941	0.034363	0.0541722	0.152773	0.0383573	0.0796938	0.152991	0.119061	0.448575	0.98372	2.44864	10.81448	0.344772	0.371003	0.0587811	0.225443	0.3916963	6.316826
240	-13149.9	-13117.2	-32.6743	0.7868508	0.294906	0.0966738	0.177358	0.155568	0.218399	0.176158	0.229975	0.158611	0.106152	0.396869	0.104422	0.134895	0.284329	0.239196	0.198709	0.265815	0.296919	0.227929	0.274389	0.0482116	0.153667	0.12901	0.437455	0.0207483	0.157552	0.0735799	0.0876438	0.000706012	0.191576	0.0576564	0.0440774	0.128692	0.156239	0.0912376	0.0479108	0.218287	0.0178714	0.046246	0.0777993	0.188676	0.135284	0.0713174	0.187599	0.0927578	0.401786	0.953244	2.55221	10.99371	0.345122	0.371379	0.0639619	0.219537	0.3932373	6.806316
250	-13157.4	-13123.9	-33.5394	0.89043	0.272031	0.0824084	0.196804	0.122402	0.196861	0.219679	0.214148	0.164149	0.159942	0.342325	0.109565	0.126137	0.271112	0.278052	0.188718	0.271894	0.243244	0.244047	0.271063	0.106771	0.227334	0.0910971	0.516181	0.0401184	0.155251	0.118778	0.066119	0.00299461	0.237213	0.101975	0.0919115	0.148135	0.11952	0.0339613	0.0715842	0.279592	0.000933807	0.0255551	0.0649028	0.187645	0.0246602	0.0686471	0.180905	0.114607	0.441146	0.979174	2.46507	11.25972	0.345122	0.371379	0.0639619	0.219537	0.3932373	6.936367
260	-13151.9	-13120.3	-31.6648	0.824314	0.314193	0.0977923	0.195959	0.139198	0.282394	0.158808	0.226642	0.148115	0.132894	0.352445	0.150698	0.127586	0.194893	0.225157	0.151901	0.355147	0.23269	0.206712	0.289851	0.0744008	0.107066	0.0936832	0.566544	0.0236684	0.0667395	0.0667134	0.0444745	0.0129086	0.166119	0.103258	0.0479265	0.112032	0.132857	0.0653245	0.0620708	0.269211	0.000937199	0.0129261	0.0448131	0.191223	0.0652437	0.13708	0.255933	0.100721	0.416742	0.963471	2.51907	11.62409	0.347567	0.376831	0.0528426	0.222759	0.3932373	6.706227
270	-13164	-13124.5	-39.5351	0.8039039	0.366777	0.103328	0.210938	0.13961	0.28339	0.149099	0.293296	0.221945	0.141335	0.341449	0.125922	0.174943	0.310382	0.238891	0.240445	0.37712	0.295481	0.218041	0.198505	0.132276	0.140974	0.100319	0.570322	0.0241676	0.0478035	0.0382895	0.0570471	0.0414413	0.12786	0.0504622	0.0472275	0.14061	0.176352	0.0866816	0.105807	0.344203	0.0040037	0.0661167	0.0834469	0.241129	0.0501886	0.119394	0.250346	0.0963892	0.408701	0.958031	2.53688	11.80032	0.328716	0.387719	0.0543694	0.229195	0.3300809	7.477366
280	-13154.8	-13121.3	-33.5366	0.9321445	0.337266	0.163968	0.191268	0.157723	0.220086	0.151027	0.234167	0.13676	0.164787	0.307321	0.0885286	0.156056	0.171182	0.313753	0.252964	0.33023	0.356054	0.214636	0.24789	0.110259	0.191417	0.110398	0.541184	0.0400985	0.0568982	0.0386525	0.0553034	0.0375832	0.178622	0.0820712	0.0493999	0.0763612	0.16205	0.0249021	0.0559716	0.245322	0.0641846	0.0161822	0.0202895	0.216303	0.0515155	0.15028	0.167027	0.123224	0.455361	0.987779	2.43364	11.80032	0.328716	0.387719	0.0543694	0.229195	0.3738844	6.937943
290	-13154.6	-13122.5	-32.1158	0.9588713	0.273537	0.163968	0.231665	0.138268	0.19454	0.147212	0.234999	0.157183	0.137319	0.358725	0.0753022	0.160215	0.199848	0.296673	0.200504	0.320226	0.335343	0.185582	0.273446	0.037031	0.141441	0.0966437	0.642824	0.0391088	0.0254344	0.0657605	0.0352815	0.0578028	0.216904	0.0804845	0.102355	0.0450234	0.0696382	0.0474953	0.0662601	0.231868	0.0315118	0.0664344	0.0315053	0.25329	0.0602119	0.148719	0.163257	0.128676	0.464031	0.992836	2.41446	10.67813	0.339512	0.375563	0.0623685	0.222557	0.3770905	6.840843
