Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-16555.7	-16568.4	12.6806	0.174872	0.179123	0.216336	0.140412	0.191882	0.165963	0.176448	0.147032	0.202516	0.182963	0.151328	0.160327	0.0900806	0.0946759	0.13682	0.0957394	0.147363	0.156538	0.184548	0.139816	0.126239	0.137846	0.190226	0.00376307	0.00250284	0.0201038	0.00370662	0.00580528	0.0295138	0.00268673	0.0179142	0.00705865	0.026563	0.00509982	0.0214864	0.0727879	0.00369064	0.0339186	0.00275794	0.00332486	0.00613802	0.0146474	0.00620851	0.296864	0.279779	0.0747168	0.0479638	0.296009	0.00466761	0.205275	0.243486	0.128343	0.422897	3.878771
210	-16554.5	-16565.9	11.4509	0.184482	0.216964	0.218342	0.20247	0.138515	0.161223	0.190398	0.147032	0.187425	0.167965	0.139432	0.155106	0.0990094	0.135645	0.148396	0.108467	0.148046	0.159054	0.180217	0.136399	0.124217	0.127793	0.18455	0.00708024	0.00104377	0.057861	0.0133326	0.00920416	0.0309042	0.00595512	0.00453387	0.00214113	0.041615	0.00539041	0.0332558	0.0601323	0.00557463	0.0306264	0.00080778	0.00276494	0.00812571	0.00507023	0.0151809	0.278875	0.292008	0.0756225	0.0485452	0.299597	0.00535235	0.219787	0.239039	0.125999	0.415174	4.001747
220	-16547.7	-16561	13.2819	0.158089	0.169417	0.203765	0.185421	0.189693	0.162001	0.174109	0.151041	0.172664	0.168028	0.130101	0.161248	0.123165	0.0996304	0.138894	0.112086	0.176175	0.151074	0.137854	0.157782	0.108695	0.118351	0.159924	0.000901103	0.000247499	0.0222162	0.00337093	0.00398001	0.0347461	0.00789038	0.0166199	0.00619584	0.0340478	0.00698397	0.0257376	0.071287	0.00822309	0.0207554	0.00212022	0.00335484	0.0166998	0.0152257	0.00882953	0.276962	0.301764	0.0688143	0.0476488	0.29623	0.00858173	0.221383	0.239572	0.120856	0.418189	3.818641
230	-16551.9	-16564.3	12.4156	0.168911	0.171815	0.219696	0.189728	0.186334	0.154838	0.197628	0.133489	0.178236	0.170864	0.138003	0.124516	0.145159	0.116695	0.140007	0.112086	0.183031	0.15163	0.168161	0.123787	0.133011	0.129776	0.164515	0.000863609	0.00203054	0.0309844	0.00440807	0.0111349	0.0347461	0.00680784	0.0155716	0.00101453	0.0404239	0.000895725	0.0268911	0.0552877	0.00110832	0.0192777	0.00147781	0.00204294	0.0174048	0.0217771	0.00920374	0.279032	0.30402	0.0693287	0.0405299	0.298444	0.00864588	0.221383	0.239572	0.120856	0.418189	3.905268
240	-16545.4	-16558.1	12.7556	0.177649	0.228356	0.202627	0.183471	0.165196	0.164307	0.167845	0.156456	0.182967	0.141678	0.143596	0.138312	0.0928838	0.112192	0.153857	0.119199	0.192263	0.138813	0.176258	0.153089	0.124028	0.122018	0.163473	0.00659235	0.00140477	0.0340401	0.00318679	0.00268671	0.0292261	0.0064422	0.00584756	0.00531441	0.0372714	0.000862055	0.0272707	0.0438853	0.00384264	0.0306126	0.000255227	0.00111029	0.0153317	0.0115473	0.00400719	0.27966	0.297101	0.0703985	0.0489031	0.299115	0.0048227	0.212335	0.247659	0.121071	0.418935	3.871272
250	-16542.1	-16553.6	11.4229	0.182801	0.164621	0.186408	0.199439	0.202243	0.153723	0.211325	0.160524	0.187772	0.147039	0.145461	0.15195	0.101391	0.116685	0.153857	0.0961922	0.192263	0.155599	0.178536	0.14574	0.138127	0.146985	0.163473	0.0180511	0.00119233	0.0403822	0.00570813	0.00345382	0.0435907	0.00730508	0.0133132	0.00473421	0.0372567	0.00834322	0.0265664	0.0613163	0.00219887	0.0152992	0.000685797	0.00704781	0.00829815	0.0149885	0.00266095	0.278747	0.290536	0.0735261	0.0489629	0.301909	0.00631862	0.212335	0.247659	0.121071	0.418935	4.004545
260	-16549.9	-16561.3	11.4405	0.182687	0.192083	0.216899	0.218659	0.141731	0.168184	0.200455	0.181418	0.187772	0.1614	0.147735	0.155141	0.107115	0.122309	0.135679	0.120638	0.172663	0.131561	0.197375	0.120826	0.120314	0.136357	0.160055	0.00758509	0.00182083	0.0330587	0.00381469	0.00213876	0.0526278	0.00899501	0.00597983	0.00411689	0.0427593	0.0134088	0.0278635	0.0455599	0.000465692	0.0141276	0.00163502	0.020129	0.0090862	0.0200958	0.00846406	0.278762	0.290552	0.0719239	0.0510578	0.301925	0.00577992	0.212627	0.246624	0.121238	0.419511	4.002787
270	-16534.6	-16547.1	12.5262	0.171246	0.177052	0.199706	0.188444	0.181411	0.173068	0.162722	0.135854	0.195814	0.1614	0.13527	0.150591	0.100814	0.127314	0.151426	0.120013	0.186233	0.141441	0.169458	0.146104	0.134278	0.140541	0.147058	0.00306269	0.000861841	0.0311527	0.00465411	0.00402779	0.0314501	0.00816911	0.00707945	0.00502337	0.0427593	0.0040438	0.0237687	0.0513781	0.000217824	0.0385825	0.000429336	0.0133023	0.00564599	0.017347	0.00400292	0.282899	0.294864	0.0729915	0.0524626	0.292581	0.00420183	0.212627	0.246624	0.121238	0.419511	3.894216
280	-16544.9	-16558	13.0455	0.174658	0.177858	0.181748	0.182355	0.178319	0.141975	0.186027	0.162483	0.179577	0.163767	0.139046	0.150591	0.126852	0.121218	0.16731	0.0951034	0.166693	0.113955	0.183754	0.138733	0.143932	0.109415	0.160781	0.00774179	0.000638159	0.0189292	0.0098893	0.00326163	0.0477976	0.00771292	0.00576424	0.0072453	0.0423118	0.00979078	0.0253499	0.048739	9.75857e-05	0.0149328	0.00164558	0.0203839	0.00973633	0.0130379	0.00112366	0.28252	0.294469	0.0728935	0.0514622	0.292188	0.00646801	0.206328	0.239318	0.13285	0.421504	3.842279
290	-16537.3	-16550.1	12.7992	0.151231	0.177858	0.22691	0.179508	0.168827	0.163412	0.186027	0.155937	0.177788	0.156626	0.139872	0.161929	0.12747	0.108573	0.160223	0.108861	0.151496	0.128628	0.178203	0.171822	0.130962	0.128068	0.157175	0.0127524	0.00236911	0.0104627	0.0105077	0.00290616	0.0474365	0.0054514	0.00618818	0.00152251	0.0425469	0.00351378	0.0147801	0.045286	0.000202593	0.0203884	0.0015064	0.012518	0.00708483	0.0170998	0.00498581	0.286035	0.295854	0.0744888	0.0449124	0.293563	0.00514629	0.206328	0.239318	0.13285	0.421504	3.866912
