Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
20	0	-13159.2	-13126.7	-32.5443	0.9966248	0.32712	0.15923	0.193575	0.142891	0.239031	0.165159	0.287472	0.171451	0.154269	0.348078	0.142609	0.146374	0.260292	0.199462	0.234931	0.297391	0.223966	0.217339	0.233796	0.0740878	0.117059	0.104012	0.397119	0.0465439	0.163937	0.0189072	0.111982	0.0676138	0.082544	0.0398435	0.030109	0.0269204	0.0360165	0.0917986	0.0482814	0.164697	0.153474	0.137064	0.120376	0.0288729	0.0550438	0.226709	0.0717513	0.0461344	0.268206	0.0793698	0.0179179	0.568734	0.0196378	0.13628	0.475735	0.999439	2.38855	0.309282	0.385504	0.0958135	0.2094	0.3427601	6.559198
21	1	-13147.3	-13105.2	-42.1288	0.7477993	0.383532	0.193013	0.205328	0.15217	0.191917	0.209925	0.208651	0.190005	0.153748	0.504474	0.141331	0.186808	0.262897	0.288021	0.244396	0.335577	0.290862	0.213151	0.244803	0.0818802	0.175022	0.0946346	0.572816	0.0252293	0.0838515	0.0206877	0.212808	0.0565554	0.066936	0.0361025	0.0701963	0.0988737	0.0173947	0.0468562	0.141608	0.0350661	0.074382	0.0950867	0.163852	0.10662	0.183985	0.189778	0.266818	0.0308233	0.368963	0.0523834	0.0257098	0.474481	0.0476394	0.0844137	0.385237	0.941371	2.58898	0.33749	0.37302	0.0694438	0.220046	0.3822412	7.51765
22	0	-13155.3	-13123.3	-31.9838	0.9448466	0.267212	0.136689	0.175445	0.121099	0.233656	0.125514	0.202004	0.136319	0.17031	0.294191	0.101665	0.147564	0.209932	0.214748	0.257105	0.261118	0.206756	0.207035	0.280058	0.0556795	0.16955	0.105772	0.535354	0.0482408	0.150797	0.0431849	0.0859247	0.0489701	0.0606724	0.0665556	0.057841	0.0193108	0.0672991	0.0830316	0.0336686	0.166334	0.189515	0.161233	0.212164	0.0536581	0.0706279	0.195111	0.074231	0.0489616	0.267631	0.0791996	0.0128459	0.567514	0.0238482	0.125822	0.459522	0.990224	2.42443	0.309282	0.385504	0.0958135	0.2094	0.3427601	6.503145
23	1	-13162.9	-13127	-35.8949	0.8147869	0.328425	0.210124	0.17606	0.137145	0.264361	0.11494	0.256201	0.173362	0.249475	0.44487	0.115659	0.162966	0.20455	0.190582	0.159134	0.362699	0.278123	0.180255	0.303888	0.0850396	0.153991	0.118024	0.384088	0.0420334	0.0989287	0.0193334	0.229166	0.0907757	0.0625718	0.0103394	0.110711	0.0673209	0.00280038	0.0265087	0.0967598	0.0546398	0.0618977	0.111954	0.117346	0.159589	0.124295	0.145426	0.207892	0.0285939	0.370292	0.0602127	0.0258024	0.469157	0.0459419	0.0987011	0.41302	0.960969	2.52731	0.349672	0.381387	0.0667093	0.202232	0.3822412	6.894251
24	0	-13166.6	-13129.5	-37.0934	0.8933529	0.275556	0.182961	0.16933	0.151968	0.361639	0.142938	0.224544	0.152089	0.171252	0.317359	0.169382	0.118883	0.174081	0.255784	0.220437	0.297257	0.328693	0.167099	0.24621	0.0755809	0.185161	0.16306	0.397201	0.0806666	0.130759	0.0906121	0.0971163	0.0797078	0.0926223	0.0543709	0.110855	0.0315767	0.0258447	0.101297	0.0423571	0.239491	0.168398	0.200206	0.148938	0.0829606	0.0801401	0.184757	0.0229661	0.0437544	0.260449	0.0770744	0.0125012	0.576591	0.0296295	0.115215	0.44217	0.979808	2.46281	0.309282	0.385504	0.0958135	0.2094	0.3427601	7.014108
25	1	-13152.8	-13112.6	-40.1684	0.8639477	0.249172	0.152575	0.298616	0.124283	0.234133	0.146116	0.342032	0.145096	0.19405	0.409364	0.13592	0.0970315	0.328313	0.229566	0.205305	0.365142	0.306204	0.18854	0.274739	0.147663	0.15724	0.0880216	0.479085	0.0478416	0.0903877	0.0303695	0.245978	0.0825986	0.083088	0.0103176	0.0575695	0.0538061	0.00662654	0.0917354	0.121638	0.0375072	0.0436089	0.132205	0.205722	0.122745	0.140869	0.24912	0.16966	0.0285939	0.370292	0.0602127	0.0258024	0.469157	0.0459419	0.109076	0.43166	0.973212	2.48605	0.344981	0.377665	0.0660582	0.211296	0.3822412	7.321601
26	0	-13148.5	-13116.4	-32.0562	0.8908322	0.312059	0.166356	0.16542	0.148252	0.255103	0.151177	0.271913	0.163235	0.186098	0.27825	0.104929	0.127081	0.202163	0.182605	0.177893	0.308957	0.276971	0.172948	0.262999	0.136881	0.130232	0.149839	0.469937	0.0490244	0.0760882	0.043687	0.0504387	0.0790345	0.0843072	0.0341336	0.0570434	0.0290599	0.0352238	0.09711	0.0275165	0.232469	0.180771	0.152437	0.171412	0.065145	0.0367613	0.166272	0.0411525	0.0397709	0.259905	0.0645218	0.0207378	0.575385	0.0396793	0.114691	0.441287	0.979262	2.46476	0.356684	0.371966	0.0693036	0.202046	0.3427601	6.510383
27	1	-13150.5	-13111	-39.4702	0.8150027	0.350528	0.162002	0.215805	0.150592	0.173628	0.135231	0.28612	0.162162	0.150615	0.336943	0.160222	0.133314	0.265671	0.255758	0.246075	0.342301	0.280532	0.237429	0.248472	0.147663	0.12638	0.0653766	0.683609	0.0743378	0.0883819	0.0282451	0.201474	0.0643747	0.0530861	0.00554697	0.0822686	0.0238424	0.00344788	0.0657113	0.137111	0.0711484	0.0705383	0.0697294	0.147472	0.0940704	0.257316	0.192166	0.205091	0.0272156	0.352443	0.0573102	0.0207681	0.4763	0.0659633	0.098747	0.413105	0.961027	2.52712	0.352577	0.376883	0.0644352	0.206104	0.3822412	7.251788
28	0	-13150.7	-13115.3	-35.4598	0.809137	0.344214	0.138065	0.162298	0.140606	0.251516	0.171568	0.178283	0.156637	0.152289	0.358898	0.116613	0.172868	0.252576	0.281237	0.224657	0.365913	0.200862	0.15565	0.251994	0.107099	0.168373	0.148059	0.471604	0.0367945	0.0805034	0.0401874	0.0437525	0.0525715	0.0995702	0.0767504	0.0699133	0.027824	0.0501538	0.190405	0.0346315	0.181759	0.187573	0.226064	0.135741	0.0340086	0.0658271	0.162038	0.0827965	0.0420241	0.282451	0.0622054	0.0199933	0.554729	0.0385968	0.0975015	0.410787	0.959455	2.53226	0.351028	0.366067	0.0840622	0.198842	0.3427601	6.850744
29	1	-13156.2	-13115.1	-41.0379	0.7803605	0.329027	0.185894	0.271034	0.1195	0.15748	0.127455	0.375699	0.177592	0.147003	0.432379	0.116405	0.142358	0.248531	0.216878	0.208396	0.41824	0.340773	0.174508	0.257799	0.0811588	0.204996	0.107972	0.646644	0.0353644	0.0762834	0.017129	0.297341	0.0832361	0.0752112	0.00782759	0.0519386	0.0517772	0.0027665	0.0513632	0.0756464	0.0508994	0.112435	0.0858181	0.146337	0.127416	0.184372	0.134124	0.253553	0.0253511	0.40248	0.0523114	0.0248924	0.434755	0.0602097	0.0913733	0.399105	0.951361	2.55816	0.350965	0.380611	0.0641406	0.204283	0.3822412	7.408558
