Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
26	0	-14771.2	-14781.2	9.98861	0.165636	0.0981129	0.0971273	0.094753	0.112909	0.0838448	0.121097	0.0794261	0.0849743	0.173981	0.0759545	0.0795671	0.0993752	0.115776	0.122238	0.113808	0.124814	0.123238	0.126728	0.0763924	0.0773999	0.0926396	0.189436	0.0150048	0.0534683	0.0241745	0.0524295	0.0258403	0.0203113	0.0643019	0.0819868	0.0256758	0.015746	0.0250094	0.0320825	0.0736703	0.0620957	0.0470162	0.0396785	0.0332534	0.0546081	0.0343459	0.0304721	4.037151	0.282681	0.287621	0.0948134	0.334885	3.340398
27	1	-14774.3	-14784.8	10.5029	0.127112	0.0963812	0.0956315	0.106676	0.10653	0.101669	0.138637	0.088706	0.0903384	0.17344	0.0655984	0.0862853	0.117053	0.107434	0.111509	0.131308	0.111747	0.118138	0.138987	0.0663971	0.0665244	0.0751371	0.182131	0.0694367	0.0304068	0.0197345	0.0537032	0.0648383	0.0334558	0.0337396	0.0970687	0.0429271	0.0271466	0.0400169	0.0291201	0.0367935	0.00718292	0.0242993	0.0149534	0.0667539	0.0479192	0.0141664	0.0244701	4.164075	0.278074	0.282321	0.097564	0.342041	3.281502
28	0	-14781	-14792.1	11.041	0.128077	0.0984443	0.0949509	0.0779579	0.101049	0.0796225	0.110496	0.0947936	0.100335	0.15482	0.0982271	0.0964448	0.0974901	0.09125	0.127136	0.110445	0.129727	0.103293	0.124018	0.070492	0.0660774	0.101015	0.163194	0.0214306	0.0415537	0.0421193	0.0434813	0.0229237	0.0366013	0.0711366	0.0839848	0.0463636	0.0293052	0.0220161	0.0400953	0.0677782	0.0360313	0.0475542	0.0376411	0.0326083	0.0382824	0.0310728	0.0238291	4.037151	0.278118	0.296547	0.0958559	0.329479	3.235164
29	1	-14766.7	-14776.5	9.78343	0.12449	0.0963812	0.0908342	0.106129	0.118292	0.0857715	0.125813	0.0805183	0.0881961	0.17344	0.0741404	0.0734045	0.123028	0.108253	0.111119	0.161572	0.115274	0.113369	0.128607	0.0935826	0.107676	0.0780042	0.203536	0.055587	0.0599532	0.0249408	0.0487393	0.030833	0.0340104	0.0461069	0.101304	0.0605645	0.0293788	0.0235647	0.0267218	0.0250095	0.00723745	0.029783	0.0248325	0.0558773	0.052012	0.0159083	0.0196585	4.164075	0.282447	0.286761	0.0990981	0.331695	3.353454
30	0	-14776.1	-14786.3	10.1612	0.129105	0.104617	0.13329	0.0870995	0.104027	0.100352	0.127527	0.082775	0.0935611	0.185425	0.0678158	0.0728444	0.119517	0.0986222	0.119307	0.122528	0.134856	0.116643	0.145059	0.0727866	0.0812336	0.108508	0.147408	0.00491137	0.0676064	0.045453	0.0299091	0.0242696	0.0275388	0.0622537	0.0918908	0.0350563	0.0176107	0.0233474	0.0296089	0.060842	0.0383426	0.0436829	0.0315016	0.0304309	0.0566814	0.0173993	0.0417509	3.840155	0.278118	0.296547	0.0958559	0.329479	3.334995
31	1	-14793.1	-14802	8.91765	0.121121	0.13687	0.107142	0.0943656	0.104347	0.0780224	0.128161	0.0939539	0.0800166	0.193078	0.093222	0.0647474	0.133243	0.119576	0.104375	0.129933	0.137571	0.128282	0.13431	0.0595702	0.0946285	0.0998934	0.179731	0.0416883	0.0371998	0.0281722	0.0386803	0.0457919	0.0267408	0.0477138	0.125114	0.034507	0.0346881	0.0447617	0.0154901	0.0330531	0.0338937	0.0205286	0.0182916	0.0895219	0.0730575	0.00797011	0.013583	4.398233	0.274639	0.286802	0.0963586	0.3422	3.426607
32	0	-14774.3	-14784	9.69093	0.119016	0.0737891	0.117951	0.108487	0.131355	0.0763262	0.127527	0.0840621	0.0937358	0.174711	0.0894659	0.0738435	0.117392	0.110625	0.11664	0.11072	0.147308	0.11159	0.124114	0.0790307	0.0919739	0.0843682	0.167008	0.00714603	0.0722573	0.0482947	0.0519018	0.027775	0.0215343	0.0680362	0.101657	0.0247104	0.0165424	0.0325399	0.0380539	0.0645293	0.0505137	0.0330776	0.0358917	0.024529	0.0685709	0.0200849	0.0265515	4.120708	0.27611	0.294405	0.0992983	0.330186	3.365238
33	1	-14781.6	-14790.9	9.25331	0.154829	0.113576	0.109199	0.103447	0.110519	0.0928419	0.146705	0.0968608	0.0791503	0.143356	0.0840773	0.0917865	0.0881803	0.106222	0.107263	0.146068	0.121288	0.114665	0.142616	0.0827468	0.103931	0.0706372	0.168713	0.0685485	0.0334782	0.0228478	0.0513919	0.0488488	0.0200631	0.0407378	0.120706	0.0637631	0.0247362	0.0472343	0.0318441	0.0232685	0.0219184	0.0473495	0.0317205	0.0682409	0.0365213	0.00539321	0.0307245	3.968637	0.276196	0.288428	0.0956482	0.339728	3.418015
34	0	-14779.5	-14789.5	10.0331	0.134849	0.114639	0.0976929	0.0945679	0.138172	0.0852152	0.139871	0.0801701	0.105532	0.172713	0.0632267	0.0797648	0.10965	0.106198	0.12492	0.128197	0.114745	0.143372	0.1498	0.0792744	0.0719502	0.0831754	0.178651	0.00675998	0.0630668	0.0380085	0.029715	0.0261694	0.0267028	0.0451217	0.107602	0.0405422	0.0187704	0.0248692	0.0315777	0.0528961	0.0588144	0.0318692	0.0264193	0.0295979	0.0493701	0.0203351	0.023033	3.843832	0.27611	0.294405	0.0992983	0.330186	3.347587
35	1	-14773.3	-14782.3	8.97153	0.157122	0.0870212	0.107991	0.113148	0.114567	0.0679319	0.153471	0.102051	0.0952413	0.17411	0.0842815	0.0833296	0.101562	0.11432	0.0986144	0.134539	0.144276	0.133484	0.133706	0.0914876	0.0891332	0.0871053	0.177443	0.054857	0.0453241	0.0251474	0.0426067	0.0359714	0.0323902	0.0512585	0.0812093	0.0620003	0.0217066	0.0461574	0.0250943	0.0247723	0.0373132	0.0338601	0.0281382	0.0547756	0.0371048	0.0153862	0.031145	4.206907	0.276196	0.288428	0.0956482	0.339728	3.432155
