Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-13162.1	-13129.4	-32.7398	0.9677605	0.281223	0.167511	0.174526	0.13916	0.254287	0.191153	0.314332	0.121971	0.156703	0.294617	0.120183	0.10468	0.224029	0.178864	0.210786	0.370683	0.27767	0.204482	0.213072	0.127368	0.156255	0.0840687	0.475312	0.0319187	0.151008	0.243415	0.0147357	0.043041	0.239884	0.0854479	0.101345	0.00293602	0.0627235	0.0584139	0.150058	0.0116535	0.0518379	0.0996201	0.0481094	0.10918	0.039049	0.0160911	0.175344	0.04105	0.280961	0.0592035	5.60058e-11	0.544856	0.0739292	0.130477	0.466842	0.994446	2.40823	0.346569	0.364662	0.0853228	0.203446	0.3704043	6.578746
210	-13160.2	-13126.6	-33.577	0.9174352	0.251935	0.16203	0.199945	0.160431	0.261687	0.160853	0.226121	0.151432	0.200329	0.301551	0.0951323	0.130667	0.229141	0.237436	0.163627	0.27109	0.27767	0.223039	0.199214	0.09818	0.155958	0.0989634	0.435831	0.0484749	0.190824	0.259969	0.0643014	0.0492212	0.287912	0.048639	0.126922	0.0121326	0.088343	0.0680583	0.129595	0.0333954	0.0578176	0.0769478	0.0440953	0.100562	0.0934889	0.0196964	0.169801	0.0423396	0.309031	0.0561913	1.31364e-10	0.521656	0.0707814	0.1202	0.450446	0.984848	2.44451	0.34899	0.367209	0.0789339	0.204867	0.3565482	6.662462
220	-13166.2	-13132.5	-33.7328	0.9081916	0.334791	0.143419	0.187031	0.124892	0.209573	0.137079	0.313582	0.105023	0.189944	0.356308	0.108092	0.126891	0.235415	0.243973	0.12477	0.254709	0.303145	0.207191	0.234827	0.132376	0.0998622	0.101796	0.457896	0.0574437	0.190824	0.284016	0.0831061	0.0563838	0.243172	0.0580376	0.169794	0.0130276	0.0531667	0.0141354	0.185042	0.0484676	0.0536946	0.0732281	0.0188348	0.10158	0.0361485	0.0537984	0.151563	0.0472824	0.286347	0.0520667	1.05116e-10	0.555429	0.0588753	0.118291	0.447304	0.98295	2.45145	0.357309	0.360092	0.0817021	0.200897	0.3851068	6.678048
230	-13151.1	-13116	-35.0186	0.8401917	0.282493	0.197744	0.176694	0.106123	0.247499	0.135118	0.260678	0.214452	0.16272	0.375432	0.103085	0.172727	0.235415	0.215285	0.202015	0.338844	0.271421	0.199378	0.274454	0.0980329	0.18901	0.127704	0.424504	0.0519197	0.173926	0.226365	0.0297934	0.0521919	0.278537	0.0719742	0.121236	0.0551552	0.0797806	0.0367761	0.125762	0.0245464	0.0550318	0.0474529	0.039725	0.0900115	0.0435404	0.0378884	0.154185	0.0418198	0.253265	0.0585835	1.32179e-09	0.58526	0.0610715	0.104078	0.422826	0.967498	2.5056	0.357309	0.360092	0.0817021	0.200897	0.3440917	6.806624
240	-13164.1	-13125	-39.0941	0.8731597	0.436924	0.133999	0.164287	0.154888	0.266101	0.142519	0.266729	0.177595	0.194218	0.41195	0.132321	0.153074	0.192203	0.228756	0.310735	0.310481	0.308527	0.243126	0.227979	0.120697	0.182096	0.115433	0.46149	0.0619033	0.204663	0.30782	0.0808265	0.030217	0.202894	0.068326	0.121441	0.0542656	0.0837582	0.0281497	0.146454	0.0237942	0.0689623	0.0554415	0.0859233	0.0695692	0.0231726	0.0473066	0.11316	0.0417033	0.275821	0.0569538	1.34627e-08	0.568979	0.0565427	0.111005	0.435002	0.975333	2.47866	0.35812	0.360909	0.0796182	0.201353	0.3549355	7.214174
250	-13178	-13127.2	-50.7277	0.7364833	0.334346	0.20153	0.226121	0.203464	0.265365	0.175371	0.281709	0.219493	0.126822	0.395731	0.180637	0.212392	0.177231	0.322283	0.189	0.407191	0.310833	0.260273	0.261819	0.112363	0.203344	0.141192	0.802562	0.0668959	0.29547	0.325065	0.0715784	0.00910779	0.244977	0.071934	0.0591595	0.0870109	0.0994583	0.0585501	0.220192	0.0167634	0.0728718	0.114313	0.124465	0.176791	0.0458676	0.0658723	0.140124	0.0335963	0.277584	0.0564429	2.12275e-08	0.563875	0.0685022	0.0819919	0.380247	0.937672	2.60009	0.36444	0.358939	0.0763672	0.200254	0.3618016	8.377538
260	-13159.3	-13120.7	-38.6191	0.8020049	0.38793	0.147938	0.202019	0.17439	0.275448	0.16655	0.249253	0.165356	0.198097	0.282716	0.136738	0.147349	0.160769	0.210204	0.227233	0.395769	0.291791	0.236129	0.198187	0.110432	0.124545	0.150537	0.570466	0.0531566	0.209505	0.274036	0.0337778	0.0853159	0.195743	0.0664673	0.104467	0.0625758	0.0965333	0.0619019	0.0946534	0.0136125	0.0513055	0.0705678	0.063676	0.172219	0.0449434	0.0335842	0.168784	0.0363131	0.282934	0.0555359	4.49717e-10	0.556397	0.0688201	0.0959853	0.40794	0.957509	2.53857	0.364904	0.358123	0.0764644	0.200508	0.3353434	7.166671
270	-13166.4	-13126.4	-40.0045	0.8017286	0.275734	0.129349	0.245245	0.123316	0.287052	0.195142	0.236295	0.165102	0.126575	0.318477	0.105236	0.199561	0.264177	0.275757	0.166897	0.362531	0.286692	0.239592	0.247477	0.112096	0.133891	0.140941	0.532885	0.0488541	0.32374	0.244235	0.0523312	0.0239773	0.19696	0.0953009	0.141788	0.0512087	0.0690327	0.0669543	0.135472	0.0435763	0.140221	0.108772	0.107056	0.0778876	0.0230141	0.0143067	0.170507	0.0246542	0.282232	0.0655392	2.42294e-09	0.558925	0.0686494	0.0959265	0.407829	0.957433	2.53881	0.364904	0.358123	0.0764644	0.200508	0.370271	7.305214
280	-13175.9	-13131.2	-44.6855	0.7926126	0.326214	0.174736	0.176149	0.129624	0.174924	0.235033	0.257282	0.152369	0.17116	0.334573	0.129557	0.152289	0.244665	0.247781	0.239994	0.361189	0.297242	0.371968	0.225024	0.0927884	0.175005	0.208053	0.681435	0.0596803	0.303653	0.268561	0.0174293	0.0188216	0.19696	0.0388359	0.124336	0.0887825	0.118964	0.109615	0.18774	0.0253858	0.103706	0.106513	0.0780324	0.0644139	0.069644	0.0339334	0.199252	0.0291948	0.284898	0.0646766	3.35078e-08	0.574095	0.0471358	0.0939858	0.404143	0.954887	2.54698	0.356501	0.371317	0.0777911	0.194391	0.3447124	7.773313
290	-13152.7	-13113.4	-39.2948	0.7752678	0.33815	0.135955	0.218316	0.132417	0.217939	0.170465	0.268605	0.155646	0.196341	0.352637	0.138568	0.178019	0.217394	0.240628	0.208297	0.281353	0.350365	0.271461	0.251037	0.116879	0.176125	0.150255	0.525489	0.0406946	0.230846	0.252346	0.0219651	0.0386279	0.18507	0.0538184	0.125352	0.0727066	0.0851245	0.054419	0.182067	0.0122405	0.130267	0.0624074	0.084531	0.0907628	0.0445119	0.0139532	0.160195	0.0284701	0.275375	0.0708167	1.43136e-07	0.554905	0.0704331	0.0902862	0.396983	0.949859	2.56287	0.361953	0.3589	0.0817836	0.197364	0.3447124	7.234248
300	-13169.4	-13127	-42.3873	0.9083007	0.353295	0.180743	0.177189	0.177079	0.315464	0.117406	0.313828	0.168583	0.17276	0.383253	0.116823	0.168638	0.212077	0.259831	0.227844	0.345632	0.309751	0.372535	0.247627	0.129022	0.209503	0.0789569	0.540692	0.0735228	0.280509	0.271213	0.0226573	0.0553226	0.194856	0.0757037	0.0947949	0.0689667	0.100204	0.0105018	0.141998	0.0530852	0.0588808	0.0358123	0.047079	0.187292	0.0313456	0.0145926	0.14662	0.0361431	0.276956	0.0748951	2.72389e-07	0.55809	0.0539152	0.118314	0.447341	0.982973	2.45137	0.355992	0.351646	0.0840102	0.208352	0.3836586	7.54349
310	-13164.3	-13123.3	-40.9317	0.9211696	0.332077	0.143835	0.214457	0.153515	0.279232	0.129549	0.232038	0.127217	0.223375	0.35612	0.0824857	0.149072	0.191981	0.212676	0.238932	0.375929	0.342843	0.277412	0.276018	0.1181	0.200564	0.0897428	0.532339	0.0522434	0.170758	0.187997	0.020558	0.0279699	0.281633	0.107894	0.101012	0.0495751	0.141899	0.0673311	0.167408	0.0639017	0.0987437	0.0767341	0.0982248	0.10625	0.0407331	0.0270376	0.230517	0.0312532	0.259919	0.0698471	1.94508e-06	0.576473	0.0625057	0.120969	0.451704	0.985603	2.44172	0.356972	0.35111	0.0838824	0.208035	0.3836586	7.397931
320	-13161.5	-13124.5	-37.0179	0.8225277	0.294505	0.158203	0.214171	0.153083	0.215523	0.178153	0.207962	0.148838	0.137074	0.403679	0.129267	0.127763	0.221259	0.288891	0.181268	0.378749	0.273791	0.199636	0.256255	0.14764	0.159499	0.0755683	0.51183	0.0745443	0.239878	0.288096	0.0138423	0.0776525	0.197795	0.0952817	0.11013	0.0656723	0.0687991	0.0518472	0.0874452	0.0133823	0.0352876	0.0754913	0.0778621	0.124452	0.0315158	0.0285692	0.1864	0.0326679	0.243346	0.0730088	6.88355e-07	0.602569	0.0484075	0.100343	0.416048	0.963007	2.5206	0.356972	0.35111	0.0838824	0.208035	0.3792248	7.006551
330	-13154.5	-13122.8	-31.725	1.0538	0.292188	0.155337	0.153934	0.139537	0.24784	0.113929	0.207962	0.120628	0.157365	0.309302	0.109165	0.162281	0.224149	0.191013	0.239614	0.299938	0.286276	0.231168	0.19273	0.137595	0.144606	0.126854	0.453652	0.0291198	0.194292	0.228911	0.0417607	0.0155412	0.196675	0.094266	0.103857	0.0538166	0.0977834	0.0140119	0.151599	0.0390435	0.0675499	0.0431649	0.0554376	0.0835745	0.0456114	0.019158	0.205027	0.0398401	0.270739	0.0739478	4.88115e-06	0.562909	0.0525595	0.147562	0.492346	1.00837	2.35172	0.348822	0.36118	0.0833309	0.206667	0.3982841	6.477264
340	-13160.7	-13127.5	-33.1604	0.9125303	0.230727	0.175049	0.161678	0.144999	0.256093	0.15737	0.250825	0.150132	0.154967	0.277967	0.112899	0.162496	0.195326	0.253962	0.210328	0.34258	0.312752	0.19955	0.226109	0.0921506	0.154697	0.11036	0.575035	0.0319153	0.18587	0.194373	0.0946466	0.0162747	0.217505	0.0495995	0.0873309	0.04705	0.0863616	0.022189	0.151599	0.00493817	0.0860073	0.0393376	0.0866674	0.0762944	0.0196341	0.0419777	0.17318	0.0399783	0.283158	0.0769489	1.52751e-05	0.548669	0.0512299	0.119188	0.448784	0.983847	2.44818	0.344895	0.370955	0.0837167	0.200433	0.3982841	6.620803
350	-13156.9	-13119.8	-37.1029	0.9576809	0.287978	0.12825	0.176446	0.121019	0.2636	0.138009	0.234335	0.157344	0.190899	0.331043	0.115564	0.133334	0.247113	0.256342	0.222739	0.352445	0.258858	0.19955	0.200225	0.141786	0.124954	0.099276	0.579801	0.0602563	0.27181	0.274249	0.091418	0.0254602	0.198285	0.0744624	0.0697975	0.031776	0.0817596	0.0478597	0.194736	0.0028071	0.107087	0.0542339	0.0329291	0.167321	0.0398466	0.0178187	0.210231	0.0318551	0.286692	0.0704465	0.00191648	0.555517	0.053572	0.128435	0.463651	0.992618	2.4153	0.347643	0.37391	0.0764183	0.202029	0.378328	7.015051
