Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
30	0	-15804.6	-15816.5	11.8854	0.14898	0.11421	0.100375	0.117712	0.130173	0.061665	0.126076	0.0760113	0.102179	0.156154	0.0800611	0.0908604	0.107903	0.0959894	0.120186	0.131601	0.12047	0.122002	0.112733	0.0809661	0.0928148	0.083788	0.155887	0.0285516	0.0351888	0.0282682	0.0405977	0.0307681	0.0339895	0.0373567	0.0398193	0.0556587	0.0233479	0.0313567	0.0453844	0.0660459	0.0492232	0.0518643	0.0214901	0.0188043	0.0628155	0.0197868	0.0512478	3.300363
31	1	-15811.6	-15823.3	11.6672	0.127008	0.101815	0.101564	0.107687	0.112066	0.10263	0.128407	0.0974134	0.118335	0.19184	0.0778151	0.0793279	0.102172	0.0907685	0.104581	0.110255	0.1157	0.124518	0.12331	0.0750339	0.100867	0.0774589	0.185764	0.0331948	0.0417629	0.068536	0.0268284	0.0543273	0.0349079	0.0677335	0.0656083	0.0271552	0.00348592	0.0465466	0.0226002	0.0401114	0.0412596	0.027105	0.0280629	0.0236869	0.0253911	0.0353876	0.0521568	3.322184
32	0	-15803.8	-15816.3	12.5138	0.107439	0.0881234	0.0907761	0.105081	0.123914	0.0977317	0.156198	0.0893879	0.0802634	0.1653	0.0800611	0.0820806	0.102811	0.107173	0.107236	0.137808	0.111838	0.108093	0.131446	0.0776585	0.0946739	0.0705727	0.172593	0.0292162	0.0361509	0.0283832	0.0370189	0.01258	0.0387013	0.0335433	0.0222497	0.0494355	0.0357112	0.0465619	0.0560498	0.0735131	0.0288475	0.0488756	0.0317068	0.0209452	0.0473108	0.0262148	0.0462512	3.237526
33	1	-15807.5	-15820.3	12.8312	0.117736	0.125029	0.0772068	0.117252	0.100429	0.0955449	0.127223	0.0694003	0.118335	0.169799	0.101175	0.0727479	0.0919254	0.0918221	0.115775	0.0901358	0.131456	0.114157	0.12912	0.0860888	0.0831838	0.0670027	0.171614	0.0236513	0.0332035	0.0528882	0.0162302	0.0546415	0.0238983	0.0849928	0.0586086	0.0336226	0.010129	0.0468868	0.0322023	0.0414716	0.0195813	0.0290821	0.0291454	0.0418123	0.0375724	0.0284439	0.0435623	3.205784
34	0	-15802.1	-15815.9	13.8135	0.137847	0.0898449	0.101975	0.0897701	0.124488	0.0832516	0.122452	0.0760065	0.074335	0.188797	0.077384	0.0839807	0.103811	0.103213	0.120075	0.126855	0.108556	0.126366	0.115056	0.0675144	0.0883874	0.0772642	0.159163	0.025305	0.0303817	0.0111175	0.0298003	0.0312643	0.0412493	0.021455	0.0416651	0.0376446	0.0229029	0.0297082	0.033335	0.0628916	0.0275734	0.0495112	0.0192483	0.0251039	0.0517939	0.0235569	0.0456533	3.107555
35	1	-15799.7	-15812.7	13.0151	0.124923	0.112177	0.101985	0.105228	0.104681	0.0824084	0.143178	0.0892523	0.0945159	0.171588	0.0677234	0.0802473	0.100183	0.0933228	0.110881	0.107489	0.125888	0.12271	0.0972252	0.0849635	0.0739231	0.0831781	0.158795	0.0190805	0.0281257	0.0610846	0.0212688	0.0490091	0.0151374	0.0772391	0.0685377	0.0231388	0.010556	0.0409094	0.0299778	0.0500691	0.0436644	0.0263158	0.0366873	0.0458467	0.0300654	0.0233451	0.0508705	3.187393
36	0	-15807.4	-15819.9	12.4815	0.127915	0.105278	0.122876	0.10034	0.134375	0.0890771	0.12116	0.0676262	0.107631	0.161533	0.0938353	0.0980409	0.106232	0.0961936	0.111179	0.137245	0.103325	0.0953761	0.115056	0.0604299	0.0967919	0.0772642	0.159163	0.0465655	0.0280594	0.0211521	0.0315171	0.0197236	0.0495274	0.0347434	0.0340032	0.0551254	0.0315434	0.0370592	0.0455184	0.0774155	0.0350787	0.0433767	0.0281241	0.0234769	0.0483032	0.0321617	0.0303413	3.240758
37	1	-15810	-15822.7	12.6509	0.132505	0.0945967	0.127402	0.0985868	0.112993	0.068808	0.118302	0.0639209	0.0896399	0.171406	0.0746746	0.0833402	0.0978632	0.100359	0.1017	0.102735	0.123044	0.0943417	0.127892	0.0774431	0.0855686	0.0961597	0.166667	0.0220147	0.0277606	0.0589082	0.0270422	0.0652566	0.0344559	0.0770638	0.0473238	0.0369956	0.0209248	0.0360873	0.0278975	0.0397724	0.0359169	0.0263158	0.0456365	0.0485719	0.0254206	0.0620902	0.0484138	3.223818
38	0	-15809.3	-15822	12.6718	0.141314	0.104922	0.0981778	0.094018	0.088576	0.0712386	0.12159	0.0778776	0.0925785	0.159749	0.0788915	0.0646322	0.0975908	0.0792403	0.113379	0.12001	0.142994	0.112476	0.115707	0.0927326	0.0990127	0.0904626	0.171731	0.0357295	0.0245148	0.0240657	0.0564008	0.031685	0.0288894	0.048194	0.0266144	0.055626	0.0356526	0.0326971	0.0429165	0.0792158	0.0301883	0.0660727	0.0343232	0.0115185	0.0478992	0.0330927	0.0475352	3.221733
39	1	-15804.2	-15817.3	13.1621	0.106621	0.10573	0.0953494	0.0993443	0.112993	0.074549	0.126195	0.0784653	0.0892692	0.150424	0.0838017	0.0864377	0.0908975	0.102276	0.099123	0.142978	0.130317	0.113355	0.115378	0.0841294	0.0782415	0.0765922	0.152072	0.0164739	0.0262127	0.0622734	0.0331123	0.0717628	0.0369027	0.0939146	0.0508285	0.0326299	0.0104323	0.0405333	0.0319833	0.0322875	0.0353846	0.0203952	0.0422816	0.0346806	0.0312934	0.0342656	0.0405104	3.172698
