Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-14551.4	-14539.2	-12.2571	0.134024	0.0726444	0.109224	0.0925336	0.0937755	0.0751434	0.117465	0.0582505	0.0795107	0.200034	0.0748618	0.0779532	0.109296	0.107013	0.106361	0.112731	0.124153	0.0944726	0.117483	0.0877488	0.0901801	0.0833309	0.193412	0.0234251	0.0252979	0.037233	0.0127234	0.0422934	0.0238689	0.0201173	0.0112801	0.0447441	0.048424	0.0121713	0.0217907	0.0751341	0.0197356	0.0365753	0.0185345	0.0415826	0.0314517	0.0573855	0.0502758	0.223461	0.247583	0.0680888	0.0297605	0.41478	0.0163278	0.246475	0.231484	0.1576	0.364441	3.065645
21	1	-14558.3	-14547.9	-10.4313	0.123541	0.112449	0.10279	0.0942833	0.113239	0.0797631	0.110455	0.0649145	0.0892684	0.1805	0.0991369	0.0628255	0.0979818	0.0709235	0.0964359	0.120895	0.127122	0.0919256	0.10857	0.0588361	0.0978435	0.0990018	0.186964	0.0525196	0.0384358	0.0332092	0.032259	0.0367011	0.00697113	0.0916342	0.0264681	0.0412872	0.0383777	0.0330101	0.0202851	0.0309761	0.0149576	0.0247225	0.0267524	0.0254908	0.0482595	0.0169533	0.0174689	0.226955	0.254048	0.0531891	0.0292377	0.415342	0.0212283	0.250688	0.223781	0.164155	0.361376	3.046404
22	0	-14544.6	-14535.5	-9.13987	0.139902	0.101263	0.112133	0.0922356	0.0895198	0.0748568	0.12697	0.0727249	0.0780785	0.154118	0.0661922	0.073412	0.102584	0.108128	0.112004	0.0990635	0.127553	0.116276	0.10669	0.0651367	0.0985335	0.0721826	0.162069	0.0358311	0.0182608	0.0330259	0.0131497	0.0316286	0.0237647	0.0298678	0.0213211	0.041218	0.049077	0.0130806	0.0203763	0.0868227	0.0210774	0.046	0.0255258	0.0428945	0.035904	0.0281005	0.0501839	0.217631	0.279472	0.0550582	0.0333023	0.392947	0.0215895	0.240539	0.233308	0.158842	0.367312	3.018737
23	1	-14553.1	-14540.8	-12.285	0.123541	0.109271	0.105102	0.0985784	0.113239	0.0796693	0.118314	0.0931635	0.0882119	0.179428	0.064311	0.0653569	0.0815192	0.0994986	0.104918	0.111478	0.133628	0.0982861	0.12395	0.0830497	0.098732	0.0660056	0.138251	0.0607409	0.0392399	0.035829	0.0200486	0.0362661	0.00438567	0.08639	0.0266721	0.0309518	0.0312755	0.0201662	0.012352	0.0287034	0.0119045	0.0145473	0.0164363	0.0320177	0.0412075	0.0270268	0.0222609	0.224345	0.251127	0.0525776	0.0289015	0.4263	0.0167477	0.250688	0.223781	0.164155	0.361376	2.975925
24	0	-14547.2	-14539.5	-7.73458	0.148387	0.110433	0.114641	0.0940745	0.107444	0.0491827	0.137689	0.0652497	0.0905442	0.169061	0.0758011	0.0872398	0.0903507	0.108128	0.0975396	0.11931	0.106425	0.123866	0.104849	0.0756473	0.0878654	0.0971968	0.159562	0.0285579	0.0134606	0.0533047	0.0211486	0.0526532	0.0219482	0.0442881	0.0210343	0.0156502	0.0365485	0.0186652	0.00945733	0.0776731	0.0353868	0.0385871	0.0293705	0.0259354	0.0300568	0.0417564	0.0365852	0.229186	0.235981	0.0624323	0.0350704	0.413809	0.0235221	0.240539	0.233308	0.158842	0.367312	3.072555
25	1	-14554.9	-14547	-7.91247	0.112114	0.118822	0.105102	0.0874863	0.105573	0.0707487	0.105412	0.0642927	0.0740722	0.179428	0.060858	0.084317	0.079941	0.111985	0.100491	0.100618	0.118349	0.0850473	0.0956621	0.0894228	0.0794627	0.111336	0.166905	0.0516426	0.0336561	0.0296701	0.0158815	0.0430596	0.00439487	0.0939373	0.0336863	0.0447275	0.0384146	0.0227907	0.0245977	0.0136691	0.023748	0.0150515	0.0211312	0.0185044	0.0471647	0.0306804	0.0285611	0.220646	0.246986	0.0583007	0.0333013	0.419271	0.0214948	0.23631	0.230008	0.164386	0.369296	2.942414
26	0	-14528.7	-14519.6	-9.05355	0.1347	0.0992876	0.0945235	0.0858876	0.107444	0.0770662	0.108325	0.0652251	0.105076	0.169061	0.0557944	0.0837229	0.0973342	0.106813	0.118983	0.110927	0.135938	0.108632	0.119401	0.0725743	0.0925611	0.087924	0.146582	0.0302342	0.0137461	0.0349537	0.0269311	0.0371514	0.0163355	0.0337819	0.0268192	0.026395	0.040743	0.011662	0.016594	0.0838047	0.0276145	0.0576312	0.0204522	0.0395321	0.0285983	0.0417801	0.0310539	0.215011	0.266642	0.0585711	0.0329014	0.405599	0.0212745	0.241562	0.230048	0.159517	0.368874	3.029597
27	1	-14561.6	-14547.6	-13.9932	0.143491	0.114108	0.0998515	0.121261	0.106441	0.0631371	0.117153	0.0615846	0.0904033	0.169942	0.0665623	0.0655415	0.101957	0.118162	0.100491	0.142619	0.117575	0.0916447	0.1117	0.0761615	0.0764793	0.0934987	0.157085	0.0407789	0.040301	0.0489558	0.0158356	0.0429602	0.00807121	0.117683	0.0327477	0.0568312	0.0485058	0.0419943	0.0109895	0.0140301	0.00817772	0.0101628	0.0225436	0.015869	0.0379138	0.0416116	0.0387091	0.223503	0.250185	0.0590556	0.0262914	0.4247	0.016265	0.263222	0.236817	0.153999	0.345962	3.101521
28	0	-14529.3	-14521.3	-7.9858	0.130576	0.0835695	0.10195	0.0925082	0.0950965	0.0751704	0.132521	0.0640725	0.0843978	0.15254	0.0529094	0.0664509	0.101414	0.104992	0.0926554	0.129459	0.110604	0.113072	0.113786	0.0681982	0.0929314	0.0829648	0.156865	0.0367371	0.0175715	0.0401291	0.0162195	0.0420423	0.016491	0.0341163	0.0338192	0.0236414	0.0488314	0.0165365	0.0148864	0.0916422	0.0313147	0.0324143	0.0239977	0.0281241	0.0267245	0.0401202	0.0414823	0.214785	0.266362	0.0585096	0.0334422	0.405173	0.0217281	0.24129	0.230912	0.159338	0.36846	2.955547
29	1	-14540.2	-14531.3	-8.84043	0.124582	0.0928421	0.108043	0.0993788	0.106554	0.0767073	0.0953069	0.0732175	0.0984106	0.166159	0.0769994	0.0801206	0.0818006	0.100859	0.115921	0.105274	0.125893	0.114585	0.105975	0.074374	0.0963113	0.0940378	0.17385	0.0445078	0.0400054	0.0302124	0.0282441	0.0464537	0.0213385	0.0943193	0.0328339	0.0380497	0.0702554	0.0363756	0.0200832	0.0255026	0.013771	0.0238278	0.0314349	0.027049	0.0583581	0.0340793	0.0240465	0.193669	0.255864	0.0603963	0.0333351	0.434342	0.0223931	0.262458	0.236129	0.155965	0.345448	3.12795
30	0	-14536	-14527.5	-8.52763	0.110119	0.0747764	0.0942471	0.0994721	0.110484	0.080376	0.137535	0.0681922	0.113865	0.177267	0.0878942	0.0818208	0.0879698	0.0842398	0.10402	0.136391	0.137147	0.0955554	0.111237	0.0565606	0.0963314	0.0726682	0.177598	0.0217791	0.0161747	0.0376219	0.0126119	0.0354494	0.0114717	0.0375206	0.0179749	0.0231762	0.0441158	0.00906769	0.012517	0.0793413	0.0354882	0.0360413	0.0216465	0.034819	0.0374397	0.0408258	0.0505943	0.214356	0.266508	0.0585416	0.0334605	0.405395	0.02174	0.24129	0.230912	0.159338	0.36846	3.011445
31	1	-14534.8	-14519.6	-15.1882	0.125182	0.109806	0.119593	0.103048	0.112587	0.084008	0.122038	0.0611029	0.0830423	0.169295	0.0736981	0.0849547	0.105694	0.0882377	0.102157	0.114695	0.125893	0.115103	0.110574	0.0807772	0.0896549	0.0823089	0.168751	0.0411033	0.0535974	0.0123355	0.0220767	0.0490025	0.0244379	0.0692016	0.0426396	0.043486	0.0432046	0.0405184	0.0215573	0.015828	0.0114987	0.0182753	0.026071	0.0163021	0.0530401	0.027723	0.0251466	0.214662	0.261918	0.0591117	0.0241114	0.425104	0.0150934	0.255758	0.238275	0.157382	0.348586	3.089247
