Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-13212.6	-13175.4	-37.1642	0.3015049	0.261523	0.139025	0.185293	0.142937	0.192654	0.200097	0.276086	0.159329	0.120137	0.310878	0.150029	0.127405	0.227591	0.255628	0.23684	0.367861	0.279958	0.260172	0.22403	0.102387	0.178572	0.119712	0.515348	0.251725	0.0413685	0.0726771	0.179249	0.0303986	0.227997	0.160924	0.0980998	0.0232379	0.051709	0.109585	0.010737	0.0558265	0.068563	0.173844	0.0740936	0.0605895	0.0340133	0.198902	0.0641577	0.0355761	0.510123	0.0290347	0.0382276	0.354481	0.032557	0.00541818	0.105666	0.598322	3.29059	0.325792	0.376526	0.0544409	0.24324	7.02119
21	1	-13267.9	-13228.2	-39.693	0.2417914	0.30019	8.20463e-05	0.211173	0.0993318	0.144317	0.127812	0.27334	0.153742	0.148821	0.385883	0.126287	0.0997615	0.243052	0.296489	0.250633	0.379744	0.297771	0.234642	0.239919	0.0692233	0.134535	0.127369	0.522556	0.0392202	0.0630251	0.0248205	0.191818	0.0763211	0.0308784	0.272055	0.0826148	0.459882	0.235512	0.0921197	0.0838731	0.0196903	0.268814	0.0316065	0.028629	0.241847	0.0662332	0.00830813	0.0901183	0.00675108	0.687129	0.0208096	0.0562385	0.162911	0.0661604	0.00175101	0.0608292	0.483852	3.45357	0.317717	0.406423	0.0419512	0.233909	7.274061
22	0	-13218	-13175.6	-42.3589	0.3015049	0.256707	0.183926	0.216791	0.164598	0.234685	0.131755	0.212798	0.22126	0.178935	0.371848	0.088938	0.162367	0.283322	0.328382	0.260551	0.330891	0.267117	0.256615	0.219476	0.115158	0.149708	0.138937	0.605187	0.202762	0.0723579	0.0785438	0.239396	0.0304594	0.234942	0.160669	0.0831432	0.0478034	0.0377026	0.0542759	0.00630609	0.0437436	0.0867373	0.233049	0.117064	0.0387518	0.047132	0.279477	0.0663828	0.0394096	0.459857	0.0334175	0.0209506	0.40799	0.0383745	0.00541818	0.105666	0.598322	3.29059	0.325142	0.375775	0.0563278	0.242755	7.540653
23	1	-13263.6	-13221	-42.6464	0.2495166	0.254227	9.72702e-05	0.199217	0.123434	0.172407	0.245573	0.34286	0.186342	0.144679	0.44958	0.207425	0.15451	0.279476	0.27905	0.288536	0.347136	0.274351	0.245126	0.270192	0.0876084	0.155033	0.0927673	0.567603	0.0420176	0.0580373	0.00571644	0.180337	0.0371591	0.0644501	0.201789	0.0995872	0.43064	0.24428	0.0906707	0.0306665	0.065856	0.185763	0.0646025	0.10497	0.143432	0.0811087	0.0281032	0.0429842	0.0108404	0.605084	0.0250901	0.0599229	0.221478	0.0775846	0.00208931	0.0663411	0.500465	3.4311	0.323556	0.395515	0.0427221	0.238208	7.5694
24	0	-13209.8	-13168.5	-41.2872	0.2801282	0.347652	0.223491	0.161836	0.157175	0.193198	0.193956	0.243698	0.169919	0.152712	0.380795	0.0891949	0.201772	0.2748	0.247901	0.279149	0.335771	0.318345	0.236969	0.25013	0.0857295	0.220447	0.12848	0.568863	0.224543	0.0750068	0.0976593	0.211172	0.0139539	0.258083	0.0829179	0.0236176	0.0759265	0.0373524	0.0675318	0.0118322	0.0387296	0.0727491	0.223473	0.112618	0.0477633	0.0243324	0.224997	0.0472389	0.0335252	0.487726	0.0354427	0.0454476	0.362117	0.0357422	0.00382211	0.0891551	0.560871	3.34615	0.335942	0.375547	0.0530262	0.235484	7.433481
25	1	-13261	-13208.5	-52.5342	0.270698	0.392316	0.0001957	0.365345	0.133244	0.295603	0.242228	0.313798	0.179767	0.20314	0.400259	0.207748	0.127052	0.259924	0.378545	0.22863	0.428864	0.304159	0.245126	0.306749	0.113588	0.188779	0.12224	0.624273	0.0478122	0.054221	0.0154153	0.173269	0.062842	0.0746197	0.26	0.104617	0.521583	0.153555	0.180155	0.0430212	0.046709	0.231232	0.0919926	0.0166673	0.285922	0.0670957	0.0237692	0.0421136	0.01641	0.620256	0.0257193	0.0556333	0.227031	0.05495	0.00321982	0.0819933	0.543151	3.37164	0.329306	0.38477	0.0434815	0.242442	8.558186
26	0	-13214.6	-13172.5	-42.132	0.2760631	0.284569	0.155696	0.230966	0.131222	0.175143	0.160133	0.266693	0.207761	0.154567	0.395351	0.110128	0.155771	0.213318	0.340941	0.210663	0.431829	0.329893	0.254453	0.291551	0.138324	0.146083	0.142389	0.537868	0.209284	0.0812902	0.078888	0.149572	0.0221416	0.298415	0.171602	0.0244012	0.12466	0.0476251	0.0785588	0.0203792	0.0784824	0.0734534	0.177497	0.104084	0.0551256	0.0209284	0.202912	0.0333514	0.0265789	0.536234	0.0280992	0.0432674	0.287088	0.0787327	0.00355488	0.0860562	0.553326	3.35706	0.335683	0.375257	0.0537571	0.235303	7.517965
27	1	-13254.9	-13200	-54.8476	0.2595782	0.316841	8.67091e-05	0.306752	0.191741	0.318698	0.213283	0.313798	0.167427	0.149562	0.473898	0.144442	0.132929	0.269649	0.390658	0.210772	0.463629	0.307537	0.326774	0.309854	0.11195	0.145607	0.0975926	0.784657	0.0396897	0.0683885	0.0354624	0.247732	0.0883309	0.063305	0.206113	0.111315	0.469548	0.218903	0.108021	0.111192	0.0631684	0.192098	0.0847234	0.0174242	0.31273	0.0505727	0.0576912	0.0949741	0.0141973	0.619091	0.0256709	0.0555287	0.226604	0.0589077	0.00258853	0.0736891	0.521254	3.40247	0.329876	0.385435	0.0418284	0.242861	8.789524
28	0	-13211.4	-13166.9	-44.4355	0.2760631	0.342807	0.198634	0.184012	0.2043	0.27219	0.180242	0.233813	0.146224	0.202072	0.373481	0.155442	0.178373	0.284401	0.281863	0.19694	0.431325	0.29938	0.256166	0.317411	0.0996285	0.15572	0.0964483	0.51572	0.211393	0.0353616	0.0867226	0.190176	0.0228857	0.27965	0.135007	0.0932665	0.0809254	0.0191394	0.0545283	0.015894	0.0584661	0.0589915	0.176729	0.156495	0.0611657	0.0738475	0.209654	0.121425	0.0192644	0.562337	0.0300253	0.045317	0.262445	0.0806115	0.00355488	0.0860562	0.553326	3.35706	0.33745	0.377233	0.0477394	0.237578	7.748316
29	1	-13245	-13202.6	-42.3736	0.2566138	0.320621	0.000176491	0.230329	0.114957	0.213969	0.174925	0.259863	0.171482	0.177692	0.329031	0.133662	0.11841	0.254163	0.259139	0.242659	0.343869	0.390177	0.261969	0.311813	0.0966331	0.129912	0.118884	0.562463	0.0171777	0.0680495	0.0405883	0.194238	0.0697647	0.0274487	0.216089	0.105364	0.359946	0.300689	0.111234	0.0516589	0.0915324	0.169559	0.0920992	0.0414825	0.195711	0.0425857	0.0406577	0.089453	0.0156064	0.620391	0.0257249	0.0433429	0.235903	0.0590314	0.00243444	0.0715062	0.515227	3.41083	0.329876	0.385435	0.0418284	0.242861	7.542126
