Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-15389.4	-15403.7	14.3141	0.147225	0.115446	0.106211	0.0916183	0.109961	0.115261	0.103556	0.0836583	0.0762862	0.168445	0.0805724	0.0750263	0.109791	0.0823294	0.117587	0.155891	0.130979	0.137261	0.110844	0.0693811	0.0885279	0.0715688	0.161169	0.0217933	0.0576997	0.0451143	0.0435468	0.0473885	0.0249392	0.0321699	0.0288443	0.0308799	0.0499501	0.0210503	0.0436102	0.0160432	0.0627028	0.0142966	0.0301213	0.0386815	0.000338129	0.0356543	0.0832525	0.228997	0.294536	0.0977323	0.378734	3.236672
21	1	-15377.7	-15393.3	15.514	0.123884	0.0972919	0.0752669	0.0971496	0.100511	0.0748024	0.116122	0.0840278	0.0988685	0.167175	0.0722828	0.0741571	0.0963852	0.104032	0.118872	0.117754	0.14617	0.0841388	0.120681	0.0768707	0.117598	0.0781497	0.176975	0.0438178	0.0362214	0.021482	0.0189443	0.0226648	0.0503952	0.0210215	0.035651	0.0382774	0.0247262	0.0124532	0.028007	0.0303962	0.0840708	0.0446107	0.0212599	0.0487282	0.0157879	0.0629209	0.0360869	0.21376	0.292579	0.105842	0.387819	3.116688
22	0	-15388.7	-15404.7	15.9997	0.112804	0.0875539	0.0795215	0.106625	0.118471	0.085194	0.122709	0.05646	0.0862849	0.168445	0.0884717	0.0676607	0.125804	0.118254	0.0967792	0.1348	0.110229	0.106059	0.118932	0.0629834	0.0728921	0.0876779	0.148456	0.0288364	0.0469468	0.0519376	0.0544628	0.0280101	0.0148936	0.0307779	0.0554306	0.0193755	0.0441919	0.0284306	0.0214734	0.0130595	0.0362725	0.0256728	0.0447497	0.0422323	0.00232623	0.037706	0.0782583	0.20953	0.304192	0.100936	0.385343	3.06811
23	1	-15385.2	-15400.3	15.0636	0.137237	0.0903282	0.102813	0.105386	0.10893	0.0900946	0.126212	0.080001	0.0872082	0.180466	0.10878	0.0678013	0.0958974	0.0875119	0.118872	0.10906	0.111841	0.0964978	0.101106	0.0695541	0.111118	0.0741029	0.147393	0.0306239	0.0485982	0.0285746	0.0174107	0.0291957	0.0337262	0.0119386	0.0381672	0.0390115	0.0357043	0.014649	0.016496	0.034294	0.101654	0.0624503	0.0283136	0.0436724	0.0246848	0.0589868	0.0553581	0.21376	0.292579	0.105842	0.387819	3.161723
24	0	-15373.9	-15388.8	14.9269	0.11679	0.0896205	0.0982685	0.117199	0.123936	0.102791	0.121217	0.0733833	0.0922638	0.194662	0.0958223	0.0900802	0.109339	0.0914458	0.107374	0.117411	0.133151	0.107132	0.125635	0.0818396	0.0930046	0.0720293	0.146074	0.0209058	0.0497263	0.0604053	0.0350442	0.0419599	0.0168276	0.0497671	0.0238578	0.02661	0.0381227	0.0225283	0.0248877	0.0214487	0.047739	0.0202192	0.0379529	0.0319338	0.00385317	0.0253604	0.0757726	0.210631	0.305791	0.101467	0.382111	3.17539
25	1	-15375.7	-15390.7	15.0552	0.119097	0.117698	0.0947175	0.0891467	0.118881	0.0820884	0.129318	0.0937622	0.0766711	0.170467	0.0812951	0.101195	0.109867	0.0966541	0.112511	0.135612	0.113133	0.104896	0.108205	0.0812481	0.0816941	0.0786977	0.166304	0.052437	0.0486559	0.0295604	0.0223766	0.0112709	0.0340635	0.0137404	0.0308959	0.0302937	0.0272203	0.0343487	0.024628	0.042206	0.0960337	0.0370427	0.0215911	0.0445961	0.0310183	0.0357036	0.0317188	0.21376	0.292579	0.105842	0.387819	3.162561
26	0	-15370	-15386	16.0718	0.119865	0.0975632	0.114753	0.0984927	0.0958315	0.0718149	0.100126	0.0880289	0.0999855	0.149421	0.0748479	0.0717599	0.107395	0.0943104	0.104407	0.121226	0.115338	0.107132	0.112541	0.0738558	0.087215	0.0720293	0.162098	0.034862	0.0505775	0.048283	0.0307969	0.0374112	0.020317	0.0356819	0.030567	0.0293657	0.0628506	0.010017	0.0346353	0.032379	0.0530592	0.0236093	0.0364743	0.0384222	0.00821765	0.0382107	0.0651333	0.209791	0.306117	0.101575	0.382518	3.060907
27	1	-15367.2	-15383	15.7362	0.135966	0.101575	0.0981827	0.115475	0.102782	0.0820884	0.137375	0.0690051	0.0935947	0.181233	0.0871777	0.0754131	0.0962085	0.102492	0.0991517	0.139064	0.128423	0.113844	0.121073	0.0629051	0.0867358	0.0769143	0.152397	0.0450149	0.0354289	0.0329105	0.0123885	0.0206317	0.0374097	0.0153693	0.0320247	0.0309743	0.0185368	0.0161955	0.0267425	0.0378627	0.0705031	0.0448336	0.020716	0.0333735	0.00813384	0.0432545	0.0530861	0.215101	0.294414	0.100232	0.390252	3.094466
28	0	-15372.5	-15387.3	14.8001	0.110414	0.0963524	0.101624	0.0940561	0.12137	0.0825846	0.116785	0.0915339	0.0947919	0.188048	0.0766876	0.0755785	0.088165	0.0935715	0.11389	0.145979	0.151521	0.136445	0.101354	0.0884284	0.0847797	0.0696955	0.155693	0.023784	0.0472006	0.0290352	0.0289439	0.0374623	0.0285229	0.0383426	0.0340337	0.0253543	0.0376269	0.00973965	0.039478	0.0258302	0.0499905	0.0157257	0.0462001	0.0328588	0.0222162	0.0439991	0.0923823	0.211611	0.300097	0.102456	0.385837	3.188075
29	1	-15366.5	-15382.3	15.8181	0.11917	0.0919269	0.0936172	0.10021	0.104381	0.0910387	0.11649	0.0925019	0.0926185	0.170974	0.0851557	0.0727051	0.0994205	0.0918463	0.100817	0.117339	0.129152	0.108098	0.132366	0.0697809	0.0676925	0.0737224	0.158596	0.0500572	0.0451499	0.0340893	0.0234021	0.0285919	0.0381237	0.0289263	0.0398928	0.0288446	0.0397471	0.0127274	0.0352049	0.0310173	0.0775666	0.0502479	0.0240481	0.0261593	0.0162437	0.0348802	0.0417328	0.215101	0.294414	0.100232	0.390252	3.086272
