Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
200	-14780.8	-14790.9	10.1041	0.141361	0.105928	0.0916428	0.112832	0.107288	0.10068	0.143694	0.0775704	0.0762105	0.166555	0.0916768	0.0743212	0.0879914	0.134699	0.099681	0.155322	0.124768	0.121147	0.129724	0.0742977	0.0683461	0.0824025	0.162431	0.0492456	0.0428045	0.0299993	0.0276676	0.0517296	0.0216961	0.0191378	0.0715874	0.0274544	0.0247782	0.0241346	0.0654953	0.0562014	0.0377404	0.0327307	0.054129	0.0411675	0.0628685	0.0415911	0.0188551	3.991187	0.283968	0.291022	0.102316	0.322694	3.331583
210	-14777.5	-14786.8	9.2506	0.16161	0.0857352	0.0992917	0.115464	0.101091	0.071928	0.12546	0.092478	0.0705819	0.152758	0.0858438	0.092728	0.138143	0.0991336	0.110386	0.129683	0.157487	0.10339	0.13553	0.0730656	0.0890517	0.102218	0.213671	0.0659853	0.0564792	0.0230992	0.0324063	0.0230916	0.0374534	0.0103447	0.0979268	0.0242427	0.0346021	0.0279061	0.0324225	0.0452888	0.0361882	0.0305704	0.0575599	0.0306731	0.0697186	0.0430949	0.0311537	3.991187	0.281385	0.297471	0.101385	0.319759	3.416936
220	-14776.6	-14787.1	10.4733	0.126155	0.103693	0.11765	0.0870954	0.115314	0.109681	0.0950751	0.0656313	0.107341	0.174962	0.0795813	0.0897274	0.102071	0.100919	0.111306	0.121574	0.129737	0.120403	0.127371	0.102563	0.086168	0.0945494	0.16662	0.0551228	0.0514697	0.0217095	0.0288598	0.0202556	0.030705	0.0214711	0.0715623	0.0239741	0.0400406	0.0314608	0.0375023	0.0357325	0.0329416	0.0380273	0.0612956	0.0424482	0.0525118	0.0335046	0.0456652	3.715884	0.259355	0.305912	0.105902	0.328832	3.311448
230	-14770.4	-14779.8	9.47962	0.147251	0.0943763	0.0855276	0.0999662	0.114234	0.0976285	0.12022	0.0980925	0.104308	0.153274	0.0692496	0.0917327	0.11396	0.12602	0.109209	0.157797	0.135295	0.110824	0.127464	0.079166	0.0919487	0.0754394	0.206578	0.0622488	0.0512247	0.0117996	0.0356586	0.0357222	0.0212105	0.0190359	0.0989398	0.038942	0.0188945	0.0223744	0.0496554	0.0323054	0.0230055	0.0280753	0.0592282	0.0357889	0.0612941	0.0243811	0.0502809	4.065361	0.284037	0.297387	0.0989081	0.319668	3.389628
240	-14774.6	-14784	9.39279	0.149122	0.0850593	0.0855276	0.0999662	0.0879848	0.0894725	0.113686	0.0706204	0.0951318	0.153274	0.079538	0.0978389	0.10556	0.105715	0.120337	0.137609	0.142421	0.131436	0.140762	0.0954282	0.0912902	0.100282	0.188403	0.0595348	0.0579281	0.0370884	0.0384405	0.027258	0.0213703	0.0236589	0.0859709	0.030162	0.0137037	0.0497289	0.0391932	0.0387804	0.0424063	0.0324895	0.0741045	0.0254411	0.0442178	0.0398613	0.0429649	4.194157	0.282007	0.290648	0.0913469	0.335999	3.390768
250	-14768.2	-14778.4	10.1833	0.137422	0.0955762	0.111579	0.0999662	0.0879848	0.0754139	0.153827	0.0883337	0.0847484	0.175607	0.0709126	0.0876512	0.100543	0.108549	0.118544	0.140066	0.1475	0.115373	0.120419	0.0791298	0.0907914	0.0627619	0.182531	0.0392526	0.0552095	0.0243708	0.0239791	0.0160202	0.0136167	0.0214078	0.0873815	0.0349903	0.0185563	0.0241083	0.0565188	0.0402453	0.0397099	0.0281963	0.0654661	0.0326476	0.0546914	0.051338	0.0468875	4.226807	0.276528	0.285647	0.109094	0.328731	3.309824
260	-14765.6	-14775.3	9.72103	0.153114	0.100695	0.122784	0.100672	0.112967	0.108758	0.117927	0.0832581	0.0941974	0.171673	0.0693933	0.0679322	0.1046	0.0992781	0.113427	0.140066	0.143294	0.109075	0.138698	0.0788865	0.116251	0.0758404	0.174137	0.0527902	0.0479171	0.0246887	0.0296513	0.0230042	0.0182327	0.0219078	0.0836799	0.0367296	0.022349	0.028853	0.0388901	0.0488331	0.0337478	0.0192383	0.0727599	0.0284964	0.0491177	0.0436057	0.0412953	4.112441	0.276528	0.285647	0.109094	0.328731	3.362713
270	-14774.1	-14783.4	9.25432	0.118278	0.113848	0.0934737	0.099223	0.107774	0.0723469	0.149216	0.0806899	0.0961548	0.186783	0.083465	0.0891221	0.109484	0.112583	0.122375	0.11462	0.157308	0.107059	0.131344	0.0788865	0.0982312	0.0879959	0.190308	0.0691365	0.0479171	0.0403408	0.033977	0.0333219	0.029887	0.0209464	0.0604755	0.0362616	0.0239163	0.0336042	0.0418842	0.0435313	0.0315958	0.0352103	0.0746698	0.0344406	0.0597494	0.035306	0.0246743	4.077907	0.272966	0.294847	0.107689	0.324497	3.411416
280	-14769.6	-14779.9	10.2278	0.140195	0.111282	0.101519	0.0882565	0.117743	0.0823959	0.139503	0.0777079	0.0899806	0.169152	0.0767152	0.0922684	0.119891	0.0983966	0.115666	0.138521	0.121879	0.128297	0.125019	0.0900081	0.0955884	0.076479	0.196336	0.0694934	0.0521365	0.0200724	0.0214637	0.0315016	0.0213603	0.00898973	0.0918572	0.0312848	0.0324258	0.0276994	0.0338227	0.0421657	0.0262381	0.0199483	0.066815	0.0238045	0.0431344	0.0408064	0.0235916	3.954496	0.272966	0.294847	0.107689	0.324497	3.321411
290	-14773.1	-14782.3	9.23923	0.138797	0.116361	0.0886097	0.0973688	0.112594	0.0896804	0.114429	0.0881055	0.100391	0.181981	0.0836424	0.089602	0.109598	0.127775	0.11247	0.161659	0.127924	0.121602	0.161489	0.0862495	0.0754685	0.0845662	0.203788	0.0438098	0.0489013	0.0435076	0.026584	0.0302808	0.0297836	0.0140774	0.0836697	0.0315773	0.0180821	0.0212738	0.0297277	0.0420437	0.0381649	0.0158798	0.0697653	0.0193992	0.0384657	0.0359049	0.0491339	4.227685	0.272966	0.294847	0.107689	0.324497	3.404183
