Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
200	-14769	-14778.7	9.63544	0.144924	0.0811986	0.106923	0.106984	0.107237	0.0826657	0.122179	0.0946371	0.0767051	0.169724	0.075989	0.0807692	0.11342	0.110618	0.100992	0.145154	0.134731	0.106355	0.137549	0.0689184	0.0717497	0.0877695	0.185637	0.059307	0.032879	0.0305291	0.0436957	0.038149	0.0167829	0.0249591	0.0272643	0.0460087	0.0573468	0.0412707	0.0385103	0.10964	0.0648961	0.0171767	0.0472961	0.0354516	0.0408514	0.0525106	0.0332046	4.1246	0.261548	0.30364	0.101364	0.333448	3.370559
210	-14780.7	-14790.9	10.2332	0.153086	0.099101	0.106923	0.0997379	0.148009	0.0569566	0.125912	0.0841435	0.0751403	0.192464	0.0668476	0.0972589	0.103051	0.122931	0.0895116	0.11541	0.131915	0.112735	0.135967	0.0645004	0.108183	0.094193	0.186392	0.0430786	0.0232179	0.0182706	0.0361992	0.0326135	0.021791	0.0248816	0.0341404	0.0474953	0.0386577	0.0245958	0.0430452	0.118845	0.0461732	0.0231942	0.0352291	0.0289507	0.0200388	0.0500414	0.0299522	4.1246	0.261548	0.30364	0.101364	0.333448	3.310779
220	-14777.3	-14786.9	9.66362	0.147949	0.100303	0.0931457	0.12568	0.0998333	0.0822944	0.141456	0.0795767	0.110697	0.168561	0.100847	0.075273	0.105527	0.113239	0.111151	0.150075	0.14646	0.114477	0.114358	0.0728815	0.0698686	0.0948796	0.155223	0.0516831	0.022111	0.0336718	0.043407	0.0256667	0.0254143	0.0411758	0.0249027	0.0405342	0.0515164	0.0181418	0.0504767	0.0891221	0.0547973	0.02176	0.0322461	0.0243717	0.0594882	0.0444266	0.0362335	4.173209	0.292356	0.283442	0.0988907	0.325312	3.364902
230	-14780.5	-14790.6	10.1891	0.130634	0.0921471	0.0894711	0.0789925	0.0978165	0.0647022	0.116599	0.0602242	0.108736	0.181175	0.0988152	0.0815373	0.110288	0.0978534	0.124843	0.120951	0.118891	0.119447	0.136896	0.117099	0.0790979	0.0993462	0.173957	0.0525381	0.0168476	0.036309	0.0374969	0.0195373	0.0361748	0.0252048	0.0354932	0.0361492	0.0621976	0.014424	0.029324	0.110296	0.0688854	0.0236612	0.045851	0.0386216	0.038594	0.0493039	0.0348701	4.19134	0.292945	0.281999	0.0990899	0.325967	3.311299
240	-14779	-14789.7	10.6885	0.130634	0.0882205	0.102109	0.0984131	0.133296	0.110346	0.148803	0.0516937	0.0979599	0.191604	0.0705583	0.0872338	0.0977633	0.123889	0.0932094	0.126041	0.135118	0.125901	0.121741	0.0693788	0.0929783	0.0566246	0.177293	0.0509725	0.021001	0.0261937	0.0241377	0.0248429	0.0187746	0.0271177	0.0198762	0.0348638	0.0466024	0.0240147	0.0353071	0.10909	0.0608081	0.0194486	0.0523753	0.0383674	0.0480962	0.0441526	0.0196242	3.935723	0.292945	0.281999	0.0990899	0.325967	3.276476
250	-14767.4	-14778.4	11.0227	0.162532	0.0798997	0.0931527	0.0947627	0.116478	0.0647921	0.13599	0.0863404	0.0952776	0.189757	0.0741064	0.0754646	0.0999495	0.0925127	0.104807	0.112081	0.128422	0.102728	0.122132	0.0711793	0.0880541	0.0702524	0.182637	0.0489549	0.0349291	0.0196533	0.0571409	0.0387627	0.0207231	0.0307503	0.0326664	0.0363347	0.0330525	0.0221817	0.0335645	0.111139	0.057575	0.0172427	0.044028	0.034319	0.0379731	0.0696126	0.0191399	3.935723	0.282735	0.276018	0.0997423	0.341505	3.243052
260	-14770	-14780.3	10.3145	0.138828	0.101087	0.100899	0.0914866	0.107097	0.0913323	0.112198	0.0907578	0.0953173	0.178624	0.0708116	0.0788921	0.118416	0.0874189	0.0894009	0.115778	0.125156	0.124434	0.127126	0.0939717	0.0999024	0.0836107	0.168235	0.0672568	0.0205884	0.0337665	0.0510911	0.0378882	0.0140283	0.02811	0.0299546	0.039161	0.0437559	0.0134785	0.0454472	0.0980681	0.0765166	0.0203145	0.0582276	0.0262132	0.0326296	0.0569445	0.0276354	3.969175	0.281949	0.277709	0.099465	0.340877	3.311859
270	-14766.6	-14777.1	10.4804	0.15833	0.098806	0.100495	0.09772	0.105961	0.0662823	0.121114	0.0729154	0.107302	0.167822	0.0595945	0.0897996	0.0959356	0.0996438	0.117107	0.138776	0.142254	0.12746	0.106017	0.105834	0.080578	0.0755529	0.186498	0.041036	0.0216425	0.0297192	0.0460613	0.0270848	0.0321685	0.0271795	0.0231025	0.0419079	0.0544748	0.0179403	0.0338519	0.0887658	0.0708759	0.0154862	0.0401299	0.0359769	0.0450125	0.0451873	0.0282838	4.097	0.281949	0.277709	0.099465	0.340877	3.287688
280	-14767.3	-14777.9	10.6891	0.129048	0.0852375	0.100811	0.09772	0.104341	0.088028	0.135881	0.0787675	0.102501	0.185704	0.0793032	0.0879687	0.115503	0.0983823	0.106292	0.123246	0.161013	0.10765	0.120644	0.0864756	0.0687738	0.0638957	0.177052	0.0514661	0.022967	0.0303031	0.0448052	0.0226843	0.025404	0.0325837	0.0202328	0.0458615	0.0316734	0.0349776	0.0280878	0.0781443	0.0696634	0.0264755	0.0494734	0.0305212	0.0363314	0.059199	0.0217218	4.097	0.281308	0.277077	0.102145	0.33947	3.266816
290	-14765.1	-14776.2	11.0429	0.126436	0.100344	0.101774	0.0797267	0.112896	0.0725716	0.122393	0.0680467	0.0990865	0.188289	0.0718252	0.0702335	0.119303	0.0985393	0.128179	0.150264	0.131019	0.110823	0.136002	0.0645372	0.0683378	0.0810709	0.178982	0.0508933	0.0229545	0.0275909	0.0273397	0.0197851	0.0336819	0.0273951	0.019229	0.0379009	0.046634	0.0266646	0.0313635	0.0947722	0.0522415	0.0162009	0.0462349	0.0379235	0.0576504	0.0598713	0.031902	3.806124	0.280514	0.28285	0.103029	0.333607	3.248908
