Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
200	-15803.8	-15816.7	12.883	0.133009	0.112719	0.0840415	0.0862898	0.110341	0.0789656	0.125997	0.08744	0.10262	0.192326	0.0633928	0.0966083	0.085506	0.112125	0.129408	0.116418	0.117496	0.112276	0.120793	0.0703095	0.0809725	0.079692	0.143866	0.0289413	0.0695382	0.016723	0.0498572	0.031627	0.0283301	0.0464337	0.0393608	0.0338044	0.0235485	0.0248692	0.0491137	0.0314946	0.0325977	0.0364234	0.0470068	0.0223436	0.0409728	0.0615092	0.0435037	3.200609
210	-15810.9	-15822.6	11.6982	0.118084	0.0986096	0.130273	0.0922273	0.145125	0.0735286	0.135468	0.0649739	0.0909714	0.184754	0.0888393	0.0815978	0.117453	0.0984692	0.123022	0.129874	0.138411	0.103821	0.123883	0.0764734	0.0884346	0.0986969	0.150402	0.0204876	0.089541	0.0251826	0.0467334	0.0299959	0.00995943	0.0364161	0.0673468	0.0299746	0.0171708	0.026691	0.061167	0.0366379	0.0452917	0.0295715	0.0571503	0.0197112	0.0341716	0.0442287	0.0382663	3.319088
220	-15799.4	-15811.8	12.4444	0.135211	0.0982944	0.107017	0.0908565	0.0945091	0.0933551	0.133827	0.0831119	0.106228	0.151761	0.0790902	0.0957416	0.0844428	0.0967424	0.107924	0.127805	0.118462	0.123238	0.117755	0.082325	0.0874856	0.0973122	0.179975	0.0383114	0.0780566	0.0201115	0.045797	0.0355449	0.0255763	0.0248375	0.0502588	0.027867	0.0370675	0.0288268	0.0462971	0.0455722	0.037834	0.0325798	0.0539188	0.0149582	0.0288008	0.0442287	0.0355552	3.244471
230	-15807.3	-15819.9	12.5928	0.126591	0.113771	0.108139	0.10903	0.107887	0.0865256	0.135505	0.0786776	0.0904098	0.159677	0.0576386	0.0850742	0.0950934	0.0872128	0.126337	0.101402	0.126264	0.134113	0.119486	0.08984	0.0879122	0.0812985	0.182541	0.018269	0.0744709	0.0246853	0.0728706	0.0431874	0.00902502	0.035627	0.0500066	0.0198752	0.0272424	0.024926	0.0343201	0.0414759	0.0323405	0.0249612	0.0461383	0.0166478	0.0437096	0.0553993	0.0440191	3.229623
240	-15803.2	-15816.2	12.9774	0.12752	0.113144	0.0950083	0.105243	0.106413	0.0821034	0.12484	0.0907263	0.068002	0.169691	0.0889661	0.0965374	0.0800134	0.0985004	0.118497	0.133762	0.13267	0.122982	0.121074	0.0704269	0.089032	0.0916291	0.148612	0.0183355	0.0887223	0.0453882	0.0408505	0.0364559	0.0101308	0.0209569	0.0557309	0.0221096	0.0296169	0.0202517	0.0519591	0.0380728	0.0317342	0.0442052	0.0497414	0.0125351	0.030918	0.0381611	0.0298937	3.191165
250	-15796.5	-15808.7	12.1295	0.128145	0.113729	0.10542	0.119583	0.116136	0.0863012	0.130883	0.0824776	0.108643	0.15176	0.0722678	0.0773646	0.0898768	0.0911762	0.130717	0.137341	0.136289	0.128899	0.13319	0.0662614	0.0996273	0.0791749	0.181513	0.0269322	0.0743032	0.0414657	0.0383538	0.0318412	0.0199354	0.0355637	0.0604186	0.0185659	0.0268635	0.0197043	0.0424427	0.0338048	0.0300648	0.027615	0.0517343	0.0146926	0.0282334	0.0502022	0.0364458	3.27596
260	-15800.9	-15813.5	12.6386	0.134843	0.11141	0.110957	0.0947583	0.107068	0.0790238	0.128011	0.0726212	0.122507	0.141203	0.0833727	0.0820275	0.0966853	0.0885914	0.116846	0.123444	0.14997	0.124551	0.145467	0.0868171	0.0749682	0.069591	0.167236	0.0227289	0.0804124	0.0448761	0.0594876	0.032121	0.0150524	0.030319	0.0473751	0.0244335	0.0374612	0.024429	0.0331804	0.0334418	0.0368553	0.0313881	0.0435644	0.016485	0.0198415	0.0389631	0.0406598	3.225045
270	-15804.2	-15816.5	12.3089	0.129	0.106804	0.0939897	0.11375	0.110736	0.100497	0.12161	0.0937435	0.0859601	0.18332	0.0929486	0.0880074	0.0888121	0.121729	0.103605	0.118481	0.142015	0.111349	0.131893	0.0881417	0.0780767	0.0942012	0.167236	0.0106157	0.0861674	0.0341365	0.051443	0.031879	0.0245419	0.0213888	0.0507408	0.0279059	0.0274154	0.0177473	0.0432284	0.0415745	0.0248057	0.0260101	0.0459797	0.0361238	0.0243823	0.0414231	0.0246061	3.258022
280	-15807.4	-15820.3	12.8991	0.116986	0.0983404	0.100267	0.093622	0.118718	0.0826231	0.13616	0.0960537	0.0861232	0.180114	0.0750131	0.0812038	0.112006	0.0875277	0.107803	0.113947	0.130161	0.107158	0.12098	0.0638601	0.0781811	0.107406	0.175928	0.0145538	0.0752017	0.0420206	0.0480596	0.0327615	0.0127454	0.0381029	0.0459009	0.0271503	0.0264418	0.0385199	0.0297599	0.0510955	0.0430889	0.0342891	0.0576608	0.0270373	0.0317095	0.0290458	0.023673	3.199
290	-15807.1	-15820.1	12.9748	0.144463	0.0828068	0.100267	0.0988867	0.116974	0.0841681	0.12216	0.100933	0.0958628	0.142166	0.0718529	0.0883127	0.1054	0.0873573	0.119412	0.11761	0.117217	0.098863	0.130853	0.0551439	0.0905183	0.0960372	0.172785	0.0344485	0.0871542	0.0292544	0.0564696	0.0280083	0.0402584	0.0273071	0.0537718	0.0328784	0.0388835	0.0194649	0.0297599	0.0243184	0.0291277	0.0386346	0.0378058	0.014	0.0321158	0.0502791	0.0474387	3.191429
