Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TreeLengths
210	-13146.3	-13114.8	-31.4539	0.8080052	0.384085	0.143719	0.173315	0.12102	0.169017	0.141892	0.233641	0.143117	0.148431	0.341642	0.107277	0.117214	0.234017	0.252845	0.212176	0.326484	0.32631	0.255415	0.221847	0.068547	0.141552	0.123229	0.398468	0.081536	0.0744648	0.0138546	0.075929	0.0288163	0.0798252	0.161697	0.0456258	0.191139	0.0405122	0.124339	0.0769006	0.0173931	0.0279427	0.0184957	0.107107	0.191073	0.150898	0.087068	0.07028	0.0326869	0.342298	0.0732149	0.0274975	0.474999	0.0493039	0.097261	0.410337	0.959149	2.53325	0.333608	0.387317	0.067596	0.211478	0.3696081	6.450159
220	-13153.9	-13122.4	-31.4723	0.8241449	0.336338	0.0859969	0.173315	0.14092	0.230532	0.149621	0.191093	0.130255	0.141889	0.310866	0.122803	0.0915816	0.242128	0.229354	0.209653	0.377376	0.18539	0.184771	0.230315	0.0936717	0.186386	0.0814247	0.518201	0.0432046	0.0551437	0.0188003	0.0573493	0.0433029	0.0655776	0.115235	0.0831233	0.287297	0.0631097	0.151395	0.0762295	0.0213275	0.0378164	0.0402798	0.107107	0.145875	0.190803	0.122418	0.0827201	0.0369313	0.341254	0.0537344	0.0281403	0.498696	0.0412445	0.100685	0.416676	0.963427	2.51921	0.333009	0.386622	0.0674747	0.212894	0.387689	6.451998
230	-13135.2	-13106.2	-28.9373	0.9045919	0.320889	0.149979	0.15687	0.13692	0.190848	0.125105	0.212869	0.151145	0.148036	0.408791	0.0835367	0.173949	0.191786	0.181082	0.191963	0.271701	0.277417	0.223869	0.217282	0.0982235	0.144998	0.084613	0.506455	0.0526978	0.0480988	0.00580385	0.0500422	0.0322475	0.0634248	0.118038	0.0251683	0.190943	0.0885059	0.135548	0.0920401	0.0270974	0.0619559	0.0277776	0.117846	0.153702	0.131832	0.0354252	0.0919749	0.034899	0.392486	0.0645749	0.0246551	0.436932	0.0464532	0.117546	0.446069	0.982199	2.45419	0.330088	0.38323	0.0664037	0.220279	0.387689	6.198497
240	-13140.1	-13109	-31.0208	1.105996	0.335087	0.168696	0.199802	0.15781	0.196573	0.164671	0.228719	0.153044	0.147901	0.390667	0.0901235	0.151089	0.163803	0.256652	0.163027	0.224635	0.292281	0.199703	0.239924	0.0784744	0.146344	0.0922071	0.545969	0.0604469	0.0179026	0.00403099	0.0496578	0.0420663	0.0357142	0.176029	0.0247809	0.196901	0.0671277	0.169777	0.0532265	0.0258383	0.0536043	0.0571948	0.105351	0.143111	0.158673	0.0608187	0.117389	0.0358453	0.380292	0.0663259	0.0248794	0.443887	0.0487705	0.157604	0.506447	1.01556	2.32039	0.330088	0.38323	0.0664037	0.220279	0.387689	6.406843
250	-13148.5	-13118.5	-30.0698	0.9841982	0.366356	0.119212	0.159921	0.139294	0.232016	0.174926	0.264153	0.153044	0.120912	0.309809	0.0895689	0.156069	0.223253	0.176272	0.14989	0.27959	0.238974	0.182199	0.215349	0.0773411	0.15733	0.107172	0.432934	0.0846626	0.00621069	0.00950103	0.0440153	0.0278681	0.0818128	0.151773	0.0629411	0.299655	0.0753372	0.161944	0.0809485	0.0151539	0.0264148	0.0847833	0.104937	0.193058	0.146747	0.0403435	0.0880514	0.0402757	0.386478	0.0543542	0.0247539	0.451187	0.0429509	0.13379	0.47195	0.997332	2.39693	0.326861	0.389258	0.0657547	0.218126	0.3739162	6.311742
260	-13145.6	-13113.9	-31.7736	1.031015	0.323165	0.111071	0.201309	0.15402	0.287749	0.130046	0.230219	0.164965	0.122666	0.378959	0.0937047	0.177638	0.204619	0.191347	0.14646	0.293527	0.212989	0.233546	0.211341	0.113646	0.120795	0.0653939	0.458498	0.0539084	0.0540891	0.0227731	0.069828	0.0321796	0.0923431	0.172544	0.0241758	0.159999	0.096205	0.23524	0.0540141	0.0251786	0.0484114	0.0333964	0.0923372	0.246451	0.146747	0.0754661	0.119161	0.0395246	0.337761	0.0595506	0.0271204	0.494321	0.0417214	0.143101	0.48588	1.00495	2.36606	0.325362	0.387472	0.0700406	0.217125	0.3681771	6.482125
270	-13139.4	-13106.1	-33.2994	0.7992418	0.34624	0.136427	0.200354	0.122523	0.211916	0.150106	0.204851	0.1414	0.172088	0.281907	0.131634	0.17488	0.204619	0.247916	0.183786	0.298275	0.289343	0.266542	0.222839	0.109476	0.172829	0.0828023	0.475722	0.0708048	0.0264154	0.0296095	0.0325077	0.0495547	0.0855754	0.163208	0.0337	0.254925	0.0510951	0.153383	0.0840237	0.0114196	0.044916	0.0366884	0.0577621	0.225706	0.217165	0.0597832	0.117994	0.036027	0.384232	0.0557618	0.0169913	0.462871	0.0441172	0.0953974	0.406829	0.956745	2.54103	0.334331	0.382321	0.0691094	0.214239	0.3663142	6.634709
280	-13139	-13106.2	-32.7959	0.879384	0.389406	0.12349	0.147069	0.132778	0.203159	0.191809	0.228161	0.142585	0.145841	0.323936	0.122371	0.111783	0.172397	0.185941	0.217732	0.339156	0.30235	0.215468	0.200392	0.10352	0.154936	0.091251	0.49262	0.0796713	0.0535565	0.0422774	0.0883996	0.0201865	0.0792677	0.146313	0.025861	0.279615	0.0781948	0.165531	0.048847	0.0323971	0.0447793	0.0382708	0.120019	0.207648	0.15611	0.0566449	0.082614	0.0370677	0.385357	0.055925	0.0315219	0.455607	0.0345213	0.112305	0.437235	0.976738	2.47372	0.337864	0.386362	0.0634617	0.212312	0.3887614	6.584352
290	-13135.2	-13101.4	-33.8459	0.8917505	0.312979	0.134715	0.201722	0.132778	0.2114	0.170492	0.290108	0.174988	0.139554	0.325277	0.129206	0.140635	0.231229	0.259243	0.212283	0.36232	0.258701	0.199594	0.189895	0.0850522	0.158064	0.0709243	0.529174	0.075913	0.0528491	0.0126751	0.0659455	0.0425987	0.0328624	0.110351	0.0255129	0.221345	0.0982831	0.216405	0.0535727	0.0195853	0.0675151	0.0324786	0.0811436	0.217962	0.178226	0.0715341	0.092265	0.0338126	0.369536	0.055903	0.0347663	0.455427	0.0505546	0.114882	0.441609	0.979461	2.46405	0.337864	0.386362	0.0634617	0.212312	0.398321	6.689358
300	-13137.9	-13106.2	-31.7418	0.9694307	0.301415	0.125014	0.185601	0.166354	0.203023	0.110576	0.237733	0.123807	0.16826	0.347777	0.128518	0.143169	0.2407	0.218863	0.184973	0.268955	0.25551	0.221976	0.233117	0.104082	0.121809	0.0968137	0.403929	0.0586882	0.0398125	0.0261873	0.0794417	0.0392807	0.0762064	0.139249	0.0355753	0.191287	0.0819426	0.255675	0.0751956	0.0240207	0.0337275	0.0434903	0.101736	0.250129	0.105571	0.106813	0.12294	0.0335242	0.362723	0.0554261	0.0344697	0.451542	0.0623146	0.130815	0.467367	0.994744	2.40707	0.338391	0.386965	0.0620004	0.212643	0.398321	6.478944
