Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
200	-15374.5	-15389.6	15.0437	0.114318	0.127268	0.0893446	0.122665	0.110331	0.0672443	0.113502	0.0755637	0.0960993	0.145395	0.0815716	0.0690993	0.102135	0.097353	0.113539	0.126553	0.134754	0.102067	0.117805	0.0748928	0.0930119	0.0828194	0.18565	0.0374795	0.0438615	0.0175075	0.0329015	0.0359075	0.0633693	0.0416491	0.0237209	0.0395537	0.073671	0.021178	0.0398029	0.034887	0.028817	0.014481	0.0131101	0.0518582	0.0329844	0.0427323	0.0312615	0.215573	0.302535	0.104038	0.377854	3.163717
210	-15374.2	-15390.1	15.8187	0.123597	0.113431	0.0903073	0.0943854	0.0962532	0.082981	0.115556	0.0598042	0.0786765	0.152893	0.0913699	0.0756727	0.0882316	0.0818601	0.110313	0.146959	0.128255	0.0950788	0.105286	0.067632	0.103671	0.102077	0.187404	0.0365571	0.0356787	0.0223264	0.0268662	0.0251496	0.0478015	0.054286	0.0160451	0.0378288	0.0800352	0.0274769	0.0255102	0.0542062	0.0276675	0.0193477	0.0209598	0.0327881	0.0276858	0.0506905	0.0256136	0.215573	0.302535	0.104038	0.377854	3.086215
220	-15371.2	-15386.9	15.711	0.105477	0.097911	0.109383	0.0841748	0.12119	0.100668	0.102671	0.0859203	0.0864932	0.152893	0.0634579	0.0853216	0.104382	0.0975803	0.112104	0.134027	0.129604	0.0998539	0.1112	0.0882225	0.0804637	0.0878619	0.158425	0.0408815	0.0265896	0.0239213	0.0311767	0.0226252	0.0603808	0.0473209	0.0230357	0.0298303	0.08821	0.0254986	0.031427	0.039037	0.0260995	0.019808	0.011538	0.029816	0.0462011	0.0389896	0.0353089	0.215573	0.302535	0.104038	0.377854	3.096981
230	-15374.5	-15389.4	14.9029	0.129699	0.101881	0.102515	0.120815	0.104785	0.0874257	0.118858	0.0907882	0.0882141	0.178358	0.08309	0.0742993	0.0935664	0.106534	0.0982968	0.132004	0.108913	0.139487	0.118363	0.0768948	0.0829021	0.0893603	0.13132	0.0390581	0.0285212	0.0292627	0.0213989	0.0273824	0.0355564	0.0533402	0.0278609	0.0419441	0.0790636	0.0147718	0.0470097	0.0376537	0.028805	0.0246684	0.0259907	0.0448227	0.0528218	0.0373535	0.0221432	0.215868	0.294505	0.0969048	0.392723	3.177799
240	-15377.8	-15393.4	15.6017	0.11013	0.083452	0.0948504	0.120823	0.111563	0.0793443	0.140833	0.0805586	0.0978827	0.142955	0.080205	0.0789891	0.0869422	0.0806865	0.117956	0.115428	0.129408	0.102043	0.108122	0.0911923	0.0829021	0.0969865	0.161924	0.0318942	0.0287145	0.0314237	0.0183209	0.0271721	0.0507587	0.0351747	0.0283558	0.0589181	0.0695059	0.0283898	0.0291467	0.0633056	0.0147745	0.0251273	0.0217443	0.0338995	0.0549232	0.0456338	0.0155515	0.216201	0.294959	0.0955112	0.393329	3.107912
250	-15371.4	-15386	14.6112	0.10708	0.094056	0.101388	0.115395	0.108991	0.0993809	0.133532	0.0767387	0.0965327	0.169057	0.0853691	0.0707406	0.100058	0.0919468	0.118383	0.11651	0.142005	0.122674	0.139111	0.0607603	0.0909592	0.0806098	0.161924	0.0406561	0.038876	0.0335591	0.0205008	0.0197932	0.0370076	0.0468751	0.0291568	0.0350704	0.0827455	0.0123327	0.0432886	0.0593696	0.0290039	0.0214775	0.0164767	0.0476794	0.0450302	0.0477877	0.0170761	0.213977	0.291925	0.104816	0.389283	3.206966
260	-15370.7	-15386.6	15.9052	0.120798	0.10061	0.100979	0.115395	0.0984174	0.0962151	0.119219	0.0735966	0.0965327	0.162739	0.072928	0.0761446	0.115935	0.0965096	0.0980721	0.116534	0.148386	0.103736	0.11997	0.0666019	0.0658318	0.0831582	0.148256	0.0384725	0.0487325	0.031761	0.018113	0.022829	0.0487213	0.0466049	0.0240928	0.0523538	0.0775531	0.00534037	0.0292772	0.0408113	0.0172111	0.020079	0.0219534	0.0302508	0.0323964	0.0457226	0.0287291	0.213977	0.291925	0.104816	0.389283	3.077568
270	-15376.9	-15392.6	15.7051	0.125718	0.114042	0.0923437	0.0864583	0.106511	0.0785492	0.142788	0.0807176	0.100486	0.166925	0.072928	0.0773843	0.106247	0.0765954	0.111397	0.12126	0.118588	0.0871112	0.115312	0.0755688	0.094462	0.100648	0.162137	0.0522373	0.0329187	0.0350996	0.0242849	0.0274862	0.0419683	0.0445682	0.0175845	0.0413772	0.0504241	0.0130458	0.032308	0.0560382	0.0390396	0.0116562	0.0312691	0.0459158	0.0242096	0.0429502	0.0190173	0.21046	0.291692	0.108875	0.388972	3.097577
280	-15373.9	-15389.1	15.2157	0.119815	0.112922	0.0840236	0.0995109	0.101962	0.0836904	0.111551	0.0657289	0.09625	0.188296	0.072928	0.0827095	0.091187	0.104428	0.0937464	0.113863	0.135415	0.113458	0.114624	0.0936232	0.0854406	0.0728983	0.185382	0.041662	0.0267689	0.0339114	0.0374448	0.0236007	0.0468822	0.0561174	0.0320632	0.0463324	0.0732794	0.0366001	0.02831	0.0427768	0.0275707	0.00316762	0.0221731	0.0345959	0.0361829	0.0441565	0.0294643	0.211074	0.292543	0.106275	0.390107	3.146512
290	-15379.9	-15395.8	15.904	0.138188	0.0889478	0.0989085	0.107755	0.122427	0.070276	0.131384	0.0975456	0.09625	0.143904	0.0792252	0.0839678	0.105535	0.0779379	0.0939785	0.123383	0.12921	0.099307	0.102216	0.0736931	0.0953031	0.100419	0.16134	0.042942	0.0256558	0.0182864	0.0292897	0.0150532	0.0507685	0.0530733	0.0249468	0.0223569	0.0678336	0.0281876	0.0279116	0.0401127	0.0241454	0.00936856	0.0333543	0.0310049	0.0483776	0.0390717	0.0248426	0.209554	0.295579	0.107378	0.387489	3.077684
