Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
200	-15813.4	-15826.5	13.0734	0.121888	0.0968354	0.089991	0.0754858	0.135739	0.0805711	0.100827	0.0938429	0.0804826	0.172509	0.0853066	0.0840098	0.114941	0.111027	0.104866	0.132555	0.108441	0.0944606	0.118281	0.0865276	0.0921459	0.090685	0.163125	0.0420767	0.0249297	0.0338497	0.0962084	0.050512	0.0462426	0.0218397	0.0286932	0.0257757	0.0213473	0.0326728	0.0465845	0.0382292	0.055659	0.0424787	0.0211352	0.04408	0.0398565	0.0215305	0.0133274	3.181572
210	-15825.6	-15838.1	12.4465	0.15286	0.086327	0.0870919	0.0846069	0.158025	0.070857	0.109541	0.076265	0.116503	0.144415	0.0786582	0.0798395	0.0891266	0.0767738	0.145736	0.11683	0.151115	0.124107	0.0969064	0.0814283	0.0876739	0.0993686	0.156314	0.0443408	0.047263	0.0393141	0.0568388	0.0567564	0.0270147	0.0390957	0.0146284	0.0114319	0.0386565	0.0406031	0.024274	0.0456892	0.0566735	0.0604057	0.0254079	0.0557097	0.0352217	0.0208993	0.0336696	3.244263
220	-15808.9	-15822.1	13.1871	0.13237	0.0780836	0.113285	0.0814934	0.1234	0.0756122	0.113706	0.0691823	0.101504	0.169584	0.0787462	0.0869616	0.0981411	0.0929199	0.101617	0.11589	0.129834	0.134667	0.13136	0.0757398	0.109855	0.0852895	0.155744	0.0350784	0.0286864	0.0468279	0.0847298	0.0407383	0.0171606	0.0198241	0.026113	0.0145945	0.0332104	0.0400375	0.0432083	0.0372368	0.0412413	0.0406773	0.00605216	0.050437	0.0260083	0.0393442	0.0440058	3.170196
230	-15809.7	-15823.1	13.4844	0.138827	0.0817829	0.0807494	0.095194	0.0996463	0.0987765	0.118584	0.0909843	0.11276	0.165656	0.0794118	0.0599674	0.0969849	0.0899642	0.0938599	0.117389	0.102545	0.124439	0.130316	0.087299	0.0975587	0.0770849	0.159931	0.0389949	0.0360331	0.0369216	0.0888688	0.0447357	0.0391141	0.0269724	0.031918	0.0156715	0.0207851	0.0316843	0.025714	0.0280734	0.0606441	0.0464731	0.0196908	0.0497716	0.02808	0.0353658	0.0352446	3.140468
240	-15808.9	-15821.9	13.0076	0.135563	0.0942695	0.0878155	0.0948905	0.119877	0.0841184	0.132032	0.0962994	0.0764077	0.150233	0.0643033	0.0923305	0.0888166	0.11447	0.103139	0.105767	0.125681	0.115281	0.125753	0.0658633	0.0930147	0.0682209	0.15171	0.0396071	0.0337862	0.0353436	0.0898996	0.0589632	0.0342939	0.0241562	0.0224612	0.0301263	0.0224084	0.0374535	0.0292837	0.027977	0.0585322	0.0530337	0.0265347	0.0912245	0.0421583	0.0269233	0.0181286	3.188152
250	-15808.8	-15822.1	13.2728	0.122895	0.100163	0.103628	0.0903924	0.112643	0.0683367	0.12058	0.0682761	0.12918	0.17885	0.0810547	0.0731201	0.0961243	0.1058	0.0951669	0.100509	0.122902	0.115755	0.100462	0.0745413	0.0793748	0.0723689	0.152935	0.047856	0.0223835	0.0330441	0.0984316	0.0595867	0.0286026	0.0241562	0.0284255	0.0183933	0.0258433	0.0354269	0.0508825	0.014655	0.0710938	0.0568013	0.0309346	0.0665614	0.0286045	0.0287994	0.0260923	3.161632
260	-15807.5	-15820.6	13.0649	0.140449	0.0953257	0.0935637	0.100853	0.107078	0.0969604	0.12959	0.0730617	0.0920073	0.151661	0.0816771	0.0909496	0.092543	0.100956	0.125078	0.109074	0.115046	0.121705	0.129535	0.0715965	0.0950018	0.0812281	0.171865	0.0390654	0.0477025	0.0377768	0.0743229	0.0493102	0.0258336	0.0256362	0.00826254	0.0127278	0.0233192	0.0272365	0.0555734	0.0246112	0.0523414	0.0451495	0.0241979	0.0531309	0.0354573	0.0324128	0.0215405	3.182414
270	-15804.2	-15817.4	13.1971	0.136719	0.104377	0.0848872	0.0896385	0.113672	0.0795724	0.12472	0.074063	0.10466	0.193659	0.083055	0.0811124	0.091146	0.0975528	0.107327	0.0885012	0.134294	0.0959097	0.129535	0.0599219	0.097369	0.0884138	0.173211	0.0291361	0.0225058	0.0241877	0.0755845	0.0566007	0.0424006	0.0321491	0.00601454	0.0272827	0.0223851	0.0501029	0.045426	0.0240059	0.0702999	0.0568251	0.0174807	0.0508939	0.0259455	0.0286748	0.0279817	3.169201
280	-15809.5	-15822.4	12.9096	0.152351	0.103318	0.12624	0.0730839	0.113551	0.0754963	0.126414	0.085505	0.101792	0.186558	0.0722078	0.0741218	0.110666	0.10408	0.118993	0.0992433	0.134294	0.0973619	0.120445	0.0691333	0.0774731	0.0976471	0.173211	0.0495624	0.0261145	0.0333345	0.101058	0.0309802	0.027499	0.0139639	0.0248405	0.0281352	0.0287029	0.041668	0.0353882	0.0306447	0.0539497	0.0355029	0.0330472	0.0526408	0.0177274	0.0232742	0.0167272	3.19795
290	-15817.1	-15829.9	12.8107	0.134482	0.103318	0.109449	0.105153	0.109474	0.0603625	0.141881	0.077985	0.112368	0.159749	0.0796322	0.0812003	0.0933216	0.116861	0.101908	0.117336	0.1319	0.110789	0.112845	0.07963	0.0819212	0.0704639	0.144968	0.0253114	0.0416999	0.0186748	0.0850503	0.037297	0.0404017	0.0181233	0.0244221	0.0209239	0.0475797	0.0462907	0.056313	0.0248628	0.0523061	0.0449069	0.0217477	0.0556266	0.0348827	0.0264837	0.047937	3.207839
300	-15817.7	-15829.7	11.9592	0.132775	0.0941467	0.0708829	0.0887782	0.122889	0.0833762	0.126996	0.0861448	0.0957955	0.195326	0.0974566	0.0613873	0.109057	0.1068	0.156448	0.121602	0.137025	0.114188	0.129071	0.0875458	0.115065	0.0920051	0.163483	0.0253114	0.0209679	0.0194913	0.0795344	0.0504509	0.0331893	0.0263844	0.0151372	0.0211687	0.0219398	0.0462907	0.0326764	0.0175418	0.0741537	0.0465657	0.0348127	0.0624827	0.0321629	0.0159574	0.0285248	3.292987
310	-15806	-15818.6	12.6082	0.127553	0.115096	0.0824911	0.0791945	0.102619	0.0903066	0.129366	0.088204	0.0833665	0.195326	0.0830869	0.0829954	0.0972622	0.0950934	0.110707	0.107032	0.125501	0.110724	0.10471	0.103739	0.0920411	0.0928747	0.168073	0.0305117	0.0384678	0.0231051	0.0820261	0.038477	0.037867	0.0186882	0.0169332	0.0328034	0.0360678	0.041193	0.0524162	0.0441316	0.0448984	0.0514544	0.0307039	0.0527075	0.0350542	0.0286617	0.02456	3.22809
320	-15803.1	-15816.1	12.9959	0.129064	0.0976189	0.110655	0.0947501	0.114452	0.0673486	0.118443	0.0877669	0.0769993	0.153086	0.0724967	0.0963174	0.0901888	0.0712534	0.106552	0.108649	0.145332	0.102943	0.126783	0.0705451	0.0841502	0.0958543	0.178261	0.0448547	0.0332138	0.0405084	0.0830067	0.0478718	0.0337264	0.0213074	0.0162514	0.0234902	0.0394297	0.042254	0.0383365	0.0358255	0.0765553	0.052118	0.0368493	0.0519933	0.0259691	0.0244528	0.0217906	3.189313
330	-15811.9	-15824	12.1001	0.124147	0.0915706	0.117641	0.0865253	0.106133	0.0843734	0.122175	0.078568	0.102832	0.192744	0.0719122	0.0883989	0.104715	0.0849548	0.111632	0.133399	0.108903	0.103867	0.112386	0.0840595	0.10915	0.105855	0.146107	0.0355638	0.0386307	0.0356307	0.0805122	0.0578433	0.0307407	0.0165653	0.032277	0.0324631	0.0375403	0.0527273	0.0346683	0.0268054	0.0677475	0.0482212	0.0183853	0.0720259	0.0236096	0.0258618	0.0390244	3.278893
340	-15803.5	-15815.9	12.4081	0.136327	0.111364	0.105306	0.105966	0.120672	0.0940588	0.122295	0.0722445	0.089163	0.182272	0.0767563	0.0852119	0.108843	0.103699	0.112229	0.101497	0.129691	0.123406	0.106293	0.0839538	0.0837417	0.0806335	0.168915	0.0489817	0.0257263	0.0378698	0.0805122	0.0456978	0.0196441	0.0255103	0.0171831	0.0198513	0.0217666	0.0527273	0.0451064	0.0380459	0.0610168	0.0406825	0.0144916	0.0604787	0.0240692	0.0260471	0.038154	3.248102
350	-15808.4	-15820	11.5416	0.161147	0.0972098	0.110915	0.0927684	0.109543	0.0730377	0.133489	0.0771116	0.0928656	0.173995	0.0762589	0.082024	0.0949409	0.110647	0.132082	0.104876	0.163091	0.0927204	0.119412	0.0636138	0.105862	0.0927844	0.161376	0.0315882	0.0357667	0.0352761	0.098132	0.0517239	0.0309477	0.0278835	0.0211548	0.0209717	0.0263465	0.0457856	0.0421602	0.0382119	0.0676512	0.0517279	0.0208503	0.0532616	0.0383187	0.035287	0.0399352	3.334753
360	-15813.6	-15825.9	12.2988	0.142375	0.0792032	0.0811518	0.08172	0.128827	0.0813159	0.11647	0.0761065	0.105848	0.15616	0.078311	0.084417	0.111813	0.115177	0.105256	0.100445	0.139917	0.104822	0.140851	0.059869	0.0883195	0.0905121	0.165287	0.0254572	0.0440009	0.0405342	0.0986596	0.0517239	0.0303835	0.0353284	0.0217337	0.0133711	0.0355202	0.0399425	0.0498025	0.0417228	0.072116	0.0432465	0.0288933	0.0707572	0.0379223	0.0275508	0.0161924	3.259032
370	-15817.8	-15829.9	12.1504	0.1277	0.105442	0.109863	0.109358	0.13178	0.0739308	0.144939	0.0692759	0.0869012	0.136267	0.0914046	0.0941296	0.0849302	0.0960591	0.111372	0.10054	0.114572	0.122453	0.13848	0.0667311	0.0754584	0.0986995	0.165714	0.024275	0.0347542	0.0504491	0.09923	0.0590384	0.0266706	0.0101481	0.0271319	0.030447	0.0527032	0.0402334	0.0438802	0.0302433	0.0620597	0.048243	0.0193566	0.0538747	0.0306643	0.0436404	0.030827	3.273869
380	-15804.7	-15818	13.2522	0.11563	0.104742	0.104325	0.0992006	0.118816	0.0720372	0.137323	0.0758949	0.107612	0.14784	0.0758271	0.0800066	0.0876251	0.099793	0.118306	0.102246	0.121034	0.10901	0.11673	0.0714326	0.0943274	0.0856938	0.177805	0.0323748	0.0458219	0.0222994	0.0696495	0.0431966	0.0359062	0.0304858	0.0227952	0.0332366	0.0226832	0.0317492	0.0361284	0.0247435	0.0644033	0.0512729	0.0264512	0.0460933	0.0252784	0.030066	0.0457906	3.163683
390	-15808	-15820	11.9618	0.126831	0.0972034	0.102965	0.093387	0.111247	0.0669102	0.126708	0.0712265	0.129783	0.157433	0.0777855	0.099426	0.104084	0.103675	0.100214	0.109172	0.114415	0.110457	0.139779	0.0901321	0.0804422	0.0872617	0.1616	0.0595961	0.0336444	0.032051	0.0817842	0.0678368	0.035936	0.0281903	0.0265131	0.0233828	0.0269411	0.0420815	0.0376872	0.0357419	0.0648674	0.0478354	0.0387441	0.043833	0.0383082	0.0370036	0.0286121	3.292728
400	-15818.8	-15832.6	13.8351	0.106426	0.0934478	0.0960797	0.104489	0.100459	0.0797563	0.117414	0.0905166	0.0950009	0.174002	0.0765601	0.0776868	0.0942632	0.10192	0.102125	0.106656	0.114703	0.121127	0.11272	0.084642	0.0804422	0.0657961	0.11924	0.0305312	0.0247301	0.0195508	0.0951043	0.0672487	0.0319854	0.0259289	0.0603214	0.0166973	0.0336266	0.0649612	0.0365365	0.0334102	0.062847	0.0382628	0.0161994	0.0504926	0.0362227	0.0250115	0.0202548	3.105397
410	-15804.1	-15817.4	13.3081	0.113839	0.11214	0.107647	0.0896418	0.119908	0.0708845	0.133233	0.0686663	0.0895286	0.158048	0.0814123	0.0752886	0.13056	0.111442	0.116142	0.126384	0.108993	0.0952899	0.121611	0.0769788	0.09444	0.087337	0.142454	0.0288575	0.0244239	0.0337072	0.0736847	0.042443	0.0302273	0.0292416	0.0222387	0.0242265	0.0259978	0.0536525	0.038803	0.0201419	0.0658293	0.0586719	0.0225538	0.04847	0.0316779	0.0270162	0.0243655	3.158099
420	-15811.8	-15825.1	13.3075	0.157859	0.0922321	0.113358	0.0870965	0.106827	0.0882835	0.122167	0.0845343	0.089437	0.161194	0.0670534	0.0859358	0.0855631	0.0912775	0.0863867	0.136175	0.11911	0.118195	0.105489	0.0770252	0.0816952	0.0958666	0.171641	0.027149	0.0333149	0.0497744	0.0831504	0.0490354	0.0363941	0.0215538	0.0226124	0.0423403	0.0356192	0.0550991	0.0267507	0.0129408	0.0667668	0.0317011	0.0270739	0.0484541	0.028259	0.0207302	0.0150313	3.158153
430	-15802.8	-15815.9	13.0814	0.127133	0.107835	0.0897036	0.0890465	0.126281	0.0829602	0.129473	0.0845343	0.0999691	0.153609	0.0759637	0.0761954	0.0977772	0.0732545	0.114733	0.117024	0.12369	0.125808	0.127238	0.0846076	0.082464	0.0971157	0.180895	0.0430353	0.0275586	0.0326547	0.0754103	0.039212	0.0334758	0.0204033	0.0202284	0.0237199	0.0202125	0.0230661	0.041247	0.0317722	0.0583262	0.0396085	0.0323099	0.0596184	0.0245132	0.0398496	0.0272372	3.180769
440	-15807.1	-15820.1	12.9502	0.121831	0.082531	0.10801	0.0983477	0.107272	0.0876619	0.118974	0.0735179	0.118811	0.155468	0.066478	0.0934507	0.105172	0.0797574	0.133314	0.0909755	0.151503	0.109341	0.113929	0.0737696	0.0805331	0.0941981	0.185412	0.0346514	0.0220486	0.0267145	0.103949	0.0459479	0.0309907	0.0351265	0.0259694	0.016558	0.0178381	0.0444341	0.0468283	0.0232624	0.0659069	0.041621	0.0283078	0.0536788	0.0352214	0.0253107	0.019266	3.193889
450	-15808.4	-15820.6	12.1556	0.152646	0.105831	0.108262	0.0781974	0.125291	0.0783576	0.136654	0.0814932	0.0912549	0.184893	0.0695585	0.0949012	0.0957465	0.10486	0.115534	0.117407	0.129219	0.140277	0.135843	0.0773447	0.0733962	0.0941981	0.173999	0.0377517	0.0195494	0.0391197	0.080183	0.0380378	0.032725	0.0399556	0.0142096	0.0271416	0.0284497	0.03984	0.0269657	0.0264705	0.0586657	0.0392436	0.0292152	0.0636631	0.02288	0.0209932	0.0231258	3.273352
