Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
210	-13221.2	-13160.5	-60.6581	0.2822693	0.406927	0.18063	0.223687	0.264836	0.24511	0.260871	0.323233	0.225178	0.15036	0.535816	0.17845	0.201488	0.38093	0.271815	0.30248	0.522871	0.275906	0.269214	0.405596	0.144446	0.236288	0.153347	0.835895	0.0496212	0.0165936	0.191124	0.121508	0.209311	0.0572793	0.11486	0.119076	0.25967	0.10416	0.0384238	0.0180027	0.0970421	0.266584	0.100216	0.109515	0.161721	0.264778	0.0697689	0.00594813	0.0177023	0.432409	0.037659	0.0335017	0.430368	0.04836	0.0039675	0.0907937	0.564789	3.34045	0.366874	0.35835	0.0607322	0.214043	9.370577
220	-13219.5	-13155.3	-64.1966	0.284894	0.472679	0.188854	0.311768	0.212922	0.267358	0.261562	0.474933	0.150579	0.185332	0.436314	0.220307	0.20888	0.332219	0.33983	0.241771	0.457952	0.379638	0.20576	0.347223	0.149074	0.183077	0.134641	0.697838	0.108736	0.047198	0.289839	0.142274	0.313944	0.114798	0.153063	0.0854633	0.293704	0.0950115	0.109102	0.00676648	0.133386	0.361664	0.152425	0.0685361	0.078951	0.276239	0.0269931	0.00582565	0.0173503	0.423471	0.0338961	0.0409273	0.421471	0.0628847	0.00415012	0.0928079	0.56954	3.3335	0.366874	0.35835	0.0607322	0.214043	9.724428
230	-13220.5	-13161.8	-58.7484	0.2777516	0.407444	0.164161	0.275365	0.139987	0.262238	0.221312	0.371963	0.270424	0.160891	0.484009	0.216797	0.20888	0.352644	0.434165	0.260615	0.427522	0.406407	0.23392	0.318458	0.108693	0.166508	0.167913	0.724478	0.0783084	0.0359101	0.207405	0.13959	0.187354	0.0328302	0.135605	0.106057	0.308667	0.0652099	0.0817972	0.00699438	0.0994787	0.182321	0.143905	0.172574	0.0545458	0.279019	0.0675633	0.00968385	0.0236753	0.438628	0.0309075	0.0425944	0.412178	0.0520162	0.00366448	0.0873414	0.556477	3.35252	0.366874	0.35835	0.0607322	0.214043	9.179609
240	-13216.5	-13157.8	-58.6884	0.2783145	0.389228	0.20921	0.290552	0.167164	0.272024	0.225405	0.378538	0.127819	0.21588	0.477856	0.122622	0.208687	0.29495	0.439452	0.27038	0.44277	0.4545	0.265835	0.339672	0.133158	0.207376	0.124819	0.708389	0.103385	0.0215336	0.111292	0.0985817	0.242175	0.0820569	0.218655	0.179188	0.224388	0.0172716	0.0922799	0.00967689	0.100524	0.221367	0.0981291	0.0823809	0.119662	0.301886	0.0752668	0.00761697	0.0239034	0.442855	0.0312053	0.031901	0.417618	0.0525174	0.00370145	0.0877705	0.557522	3.35101	0.355689	0.367079	0.0579744	0.219257	9.173605
250	-13223	-13153.8	-69.1713	0.286693	0.410041	0.199565	0.264189	0.202671	0.326708	0.202052	0.397379	0.205144	0.242826	0.542334	0.120505	0.259386	0.40437	0.309991	0.281228	0.558169	0.460697	0.386418	0.373816	0.156803	0.207371	0.122109	0.726087	0.125566	0.0643201	0.276998	0.0769059	0.270938	0.113032	0.112588	0.134366	0.242506	0.0643872	0.0495365	0.0422637	0.146355	0.29291	0.176326	0.135344	0.134606	0.386486	0.0137972	0.0027987	0.0252333	0.421979	0.0343689	0.0229382	0.432535	0.0629451	0.00427809	0.0941917	0.572763	3.32877	0.355689	0.367079	0.0579744	0.219257	10.22189
260	-13210.4	-13154.3	-56.0579	0.2656825	0.426535	0.195593	0.214659	0.161057	0.268766	0.196218	0.277685	0.205882	0.193595	0.513427	0.173554	0.167211	0.256304	0.27173	0.281228	0.45547	0.329972	0.30342	0.373816	0.127069	0.161084	0.137399	0.541535	0.0784627	0.0395297	0.296299	0.07675	0.172818	0.108579	0.233179	0.139769	0.189042	0.0488437	0.0591969	0.0409809	0.128536	0.268603	0.159549	0.0930757	0.108666	0.398712	0.0320702	0.00468637	0.0245203	0.43508	0.0358565	0.0277649	0.420313	0.0564646	0.0029246	0.0782266	0.533412	3.38544	0.355689	0.367079	0.0579744	0.219257	8.910557
270	-13224.1	-13162.5	-61.5377	0.3010924	0.393441	0.249343	0.325237	0.156457	0.249538	0.199832	0.283365	0.235419	0.197306	0.493471	0.227928	0.180177	0.335402	0.364553	0.352262	0.465068	0.31551	0.242829	0.27556	0.160472	0.19294	0.163908	0.728931	0.0985169	0.0360892	0.245333	0.0485635	0.288849	0.0490106	0.146625	0.0844072	0.243754	0.100524	0.132407	0.0562118	0.0847586	0.220157	0.0774637	0.121587	0.0931603	0.409183	0.102246	0.0307435	0.0273367	0.411338	0.0399749	0.0291515	0.46859	0.0236089	0.00538434	0.105345	0.597633	3.29164	0.351354	0.370936	0.0580744	0.219636	9.458538
280	-13223.2	-13168.6	-54.5997	0.2898024	0.50965	0.184676	0.202659	0.159418	0.21746	0.211853	0.27125	0.230342	0.182641	0.412594	0.13731	0.191375	0.28171	0.366137	0.272949	0.356076	0.364626	0.218216	0.275404	0.154584	0.162789	0.151673	0.565224	0.0994138	0.0172296	0.335767	0.100065	0.24665	0.0229864	0.134649	0.110312	0.275946	0.0336686	0.0779651	0.131114	0.123349	0.310614	0.154693	0.0717386	0.0393112	0.309743	0.0692557	0.0196409	0.025385	0.451124	0.0339506	0.0421853	0.397972	0.0493829	0.00450463	0.0965892	0.578273	3.32063	0.351354	0.370936	0.0580744	0.219636	8.76473
290	-13202.2	-13153.3	-48.9367	0.2990701	0.367907	0.160638	0.272864	0.18856	0.276041	0.165546	0.329614	0.214253	0.117251	0.461667	0.136301	0.157275	0.245466	0.333062	0.236126	0.391564	0.333078	0.243576	0.264858	0.113541	0.168202	0.116505	0.623015	0.0602022	0.0365331	0.234607	0.113519	0.17172	0.0308799	0.189573	0.124437	0.171694	0.0348437	0.0606348	0.0192677	0.0843774	0.180123	0.129497	0.0567475	0.0999772	0.333798	0.104367	0.0447206	0.0252428	0.448597	0.0337604	0.0337633	0.395743	0.0628942	0.00522018	0.103772	0.594238	3.29677	0.351731	0.371335	0.0570625	0.219872	8.198431
300	-13216	-13165.9	-50.0243	0.2764219	0.41053	0.158879	0.315343	0.151707	0.2529	0.179218	0.252054	0.17857	0.173612	0.426242	0.145043	0.196843	0.355693	0.393545	0.217157	0.27691	0.317701	0.293712	0.234243	0.143253	0.160433	0.135787	0.723495	0.0634345	0.0438505	0.194864	0.0925203	0.163933	0.126883	0.105556	0.133873	0.190327	0.0647848	0.0510081	0.0355271	0.0866032	0.253966	0.086447	0.0756144	0.0476046	0.314556	0.0519864	0.0309826	0.0256625	0.456055	0.0327876	0.0254057	0.402322	0.0577669	0.003578	0.0863291	0.553998	3.3561	0.367831	0.362113	0.0556454	0.214411	8.307191
