Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-16347.3	-16359	11.7234	0.190449	0.0885572	0.107631	0.233825	0.16456	0.163211	0.220622	0.179218	0.186951	0.155161	0.105429	0.0889224	0.0964716	0.125402	0.189234	0.117798	0.150012	0.141472	0.194976	0.122831	0.109151	0.110577	0.183209	0.106371	0.0101732	0.0438059	0.00233164	0.00304724	0.0320855	0.000830429	0.00960689	0.0277648	0.00997192	0.00258143	0.0152794	0.00780793	0.0114144	0.0463728	0.00239436	0.0222916	0.0086485	0.00702355	0.00762461	0.271383	0.256635	0.07804	0.0482677	0.332142	0.0135321	0.223117	0.24554	0.137646	0.393697	3.803097
210	-16344.2	-16355.3	11.0983	0.230549	0.117954	0.0955523	0.211163	0.166116	0.166606	0.23041	0.159181	0.190848	0.166396	0.0875462	0.101175	0.10136	0.119366	0.173602	0.130986	0.17773	0.160539	0.177056	0.121333	0.125183	0.119744	0.166445	0.128196	0.0175078	0.0432298	0.0026422	0.00209905	0.0411123	0.000933903	0.0131509	0.0277648	0.00413332	0.0172621	0.0123771	0.00467947	0.0169467	0.0554109	0.0041379	0.0135144	0.0207939	0.00128455	0.000427916	0.267155	0.264914	0.076824	0.0475157	0.326967	0.0166246	0.223356	0.245802	0.136724	0.394117	3.924445
220	-16347.7	-16359.6	11.9021	0.202926	0.0959019	0.0953277	0.204124	0.15048	0.202575	0.193003	0.167215	0.199011	0.187081	0.0941048	0.0833449	0.0793776	0.119366	0.163383	0.147507	0.156593	0.153049	0.198934	0.11158	0.132115	0.114441	0.170132	0.111097	0.0253764	0.044775	0.00204756	0.000507314	0.0381085	0.00319278	0.0209621	0.0286404	0.000588088	0.00940262	0.00849452	0.00204772	0.025955	0.0343067	0.00498383	0.0113267	0.00772832	0.00187149	0.000710323	0.285926	0.258601	0.0736871	0.0463833	0.319175	0.0162284	0.218167	0.247444	0.137638	0.396751	3.803694
230	-16348.4	-16359.8	11.4214	0.223279	0.107428	0.0839261	0.195804	0.15048	0.148745	0.215998	0.192657	0.187146	0.170667	0.126845	0.125494	0.120211	0.10366	0.151264	0.1085	0.154953	0.149573	0.18414	0.106515	0.117047	0.10676	0.170132	0.107435	0.00905493	0.0348822	0.00127061	0.00112719	0.0319159	0.00339394	0.0102208	0.0313652	0.0016539	0.0141792	0.0123797	0.00153567	0.015721	0.0398354	0.00736212	0.0243662	0.00909192	0.00704111	0.00097107	0.289309	0.261661	0.074559	0.0376177	0.322952	0.0139017	0.224554	0.233214	0.133866	0.408366	3.766026
240	-16349.2	-16361.4	12.1807	0.247572	0.0879677	0.110984	0.200439	0.15048	0.173961	0.186727	0.169254	0.180301	0.139457	0.115488	0.0906685	0.0932244	0.116644	0.172871	0.112157	0.166774	0.155751	0.188428	0.0857419	0.110776	0.0930893	0.18015	0.126131	0.010684	0.0403776	0.000157407	0.00194455	0.0307901	0.00243361	0.0225601	0.0344447	0.00422204	0.0145821	0.00827865	0.00584124	0.00834111	0.0414481	0.00381349	0.00700664	0.00898874	0.0111733	0.000805591	0.289749	0.262059	0.0746724	0.0418079	0.317789	0.0139229	0.231539	0.231113	0.13266	0.404687	3.712929
250	-16342.8	-16353.9	11.0953	0.23166	0.0904965	0.100999	0.210617	0.137157	0.182114	0.178629	0.189796	0.175494	0.189361	0.0958176	0.0971742	0.0858104	0.107486	0.157097	0.12333	0.163323	0.157164	0.188428	0.112142	0.115834	0.1107	0.211365	0.134383	0.0177118	0.0472917	0.000102345	0.00024689	0.0313735	0.000122013	0.00700607	0.0344447	0.00329623	0.0177066	0.0030281	0.00201738	0.00832072	0.0491702	0.00644853	0.0175186	0.0102535	0.00181014	0.00368177	0.281525	0.298176	0.0611931	0.0400982	0.304794	0.014213	0.219694	0.238761	0.123467	0.418078	3.80793
260	-16344.1	-16355.2	11.1315	0.233362	0.109562	0.0965906	0.232171	0.168126	0.182114	0.189621	0.196378	0.170374	0.170312	0.108715	0.104959	0.0880109	0.144253	0.169559	0.10534	0.153742	0.149615	0.197432	0.12908	0.126197	0.105611	0.163657	0.103911	0.0172501	0.0335993	0.000545683	0.000895812	0.0304643	0.000433601	0.00597327	0.0274362	0.00494558	0.008292	0.00544904	0.000252342	0.00415396	0.0428939	0.0101736	0.0125237	0.00716622	0.00275637	0.00484607	0.274675	0.301019	0.0617765	0.0404806	0.3077	0.0143486	0.219694	0.238761	0.123467	0.418078	3.818744
270	-16349.4	-16360.9	11.5024	0.228541	0.0800918	0.0946351	0.213334	0.166669	0.145381	0.196539	0.185815	0.178014	0.163542	0.137436	0.0866457	0.108264	0.0999537	0.169559	0.111272	0.16521	0.149615	0.190096	0.12908	0.139647	0.115788	0.161023	0.12566	0.0134742	0.0408834	0.00258693	0.000848851	0.0464815	0.0056753	0.0168081	0.0332222	0.00255196	0.00646541	0.00535066	0.000426024	0.00570652	0.0352114	0.00171267	0.0258107	0.0189397	0.00587352	0.00566384	0.270432	0.296369	0.0743629	0.0417629	0.302947	0.0141269	0.22441	0.240399	0.114245	0.420946	3.815504
280	-16349.3	-16358	8.64417	0.228954	0.114103	0.0955986	0.206269	0.168235	0.184272	0.235199	0.196495	0.225594	0.147701	0.108547	0.103663	0.0969238	0.101335	0.174687	0.117533	0.161014	0.161775	0.174064	0.119635	0.140888	0.119241	0.192053	0.13571	0.0107011	0.0385699	0.00183555	0.000896919	0.0411977	0.00109813	0.019912	0.0191461	0.00346424	0.00861549	0.0053473	0.000723396	0.00118222	0.0330396	0.00207968	0.0180561	0.00419677	0.0065946	0.0172374	0.272312	0.298429	0.0748799	0.0420533	0.304371	0.00795437	0.211078	0.262434	0.130549	0.395939	3.943384
290	-16353.1	-16362.9	9.87432	0.235298	0.0912695	0.0950701	0.235724	0.168235	0.171689	0.22653	0.181425	0.194483	0.170152	0.113055	0.129449	0.10868	0.0846151	0.179253	0.141333	0.181778	0.172861	0.185216	0.110318	0.137996	0.0936466	0.181244	0.135592	0.0121648	0.0490296	0.00333031	0.000909351	0.0297998	0.00144401	0.0150533	0.0262707	0.0139592	0.0156966	0.00769181	0.00242179	0.00729135	0.0515434	0.00563797	0.0194566	0.00766464	0.00320136	0.00224591	0.259854	0.284777	0.0714543	0.044861	0.324781	0.0142738	0.212435	0.26412	0.124963	0.398483	3.999724
300	-16353.6	-16363.5	9.92057	0.231984	0.100893	0.0989951	0.218565	0.203187	0.174857	0.197185	0.181425	0.208737	0.197873	0.0994634	0.104783	0.093799	0.112151	0.172931	0.113454	0.144187	0.145336	0.225601	0.1404	0.140518	0.0949508	0.179389	0.113614	0.0201621	0.0312101	0.00114593	0.000557939	0.0373568	0.00368605	0.0159357	0.028165	0.0169835	0.00573159	0.0111687	0.00195699	0.00396737	0.0532758	0.0092633	0.0194942	0.0102343	0.00507637	0.0114604	0.254778	0.302598	0.0748754	0.0439847	0.310752	0.0130121	0.231603	0.257692	0.121921	0.388784	3.981111
310	-16360.9	-16372	11.1001	0.228617	0.0952928	0.0989951	0.247908	0.127301	0.167341	0.191655	0.146176	0.196505	0.173614	0.13427	0.11635	0.0827047	0.122581	0.172931	0.113905	0.167259	0.162806	0.188641	0.105636	0.141672	0.10383	0.178023	0.118721	0.00881692	0.0463993	0.00128862	0.000551627	0.0364927	0.00109183	0.0253567	0.041479	0.00284111	0.00288823	0.0126536	0.00183052	0.00692593	0.0476457	0.0110302	0.0180761	0.0138023	0.000928555	0.0109158	0.251288	0.305909	0.0668362	0.0486599	0.314152	0.0131544	0.230579	0.260976	0.121382	0.387064	3.873751
320	-16354.9	-16365.9	11.0008	0.19664	0.100911	0.0910707	0.229375	0.195627	0.124354	0.206827	0.201712	0.202686	0.164449	0.0863698	0.0992443	0.0831462	0.126548	0.184644	0.134176	0.167259	0.176939	0.174542	0.120534	0.146994	0.124923	0.17496	0.128246	0.00994964	0.039602	0.00262792	0.000368912	0.0324938	0.0010075	0.0138933	0.0214309	0.00478072	0.00983875	0.00594019	0.00043514	0.0125132	0.0391432	0.00137238	0.0176287	0.00626912	0.00211164	0.000836522	0.252536	0.307429	0.0671682	0.0439338	0.315713	0.0132198	0.231947	0.240147	0.119291	0.408615	3.864423
330	-16339.5	-16350.5	11.0465	0.198604	0.0966324	0.106233	0.242686	0.167933	0.16201	0.187778	0.157932	0.182057	0.179085	0.100179	0.111808	0.112901	0.109831	0.175655	0.110869	0.157307	0.16109	0.175973	0.110066	0.150144	0.0960856	0.198413	0.131731	0.015808	0.0399093	0.00082935	0.000354094	0.0292648	0.00168873	0.0163551	0.0214681	0.00469558	0.0111188	0.0143013	7.44608e-05	0.00935764	0.0454727	0.00134945	0.0174157	0.00747584	0.0071494	0.0017756	0.266443	0.295164	0.070867	0.0476058	0.308444	0.0114762	0.23064	0.238795	0.124252	0.406313	3.828866
340	-16341.4	-16352.8	11.4218	0.235604	0.104014	0.114443	0.201553	0.165894	0.16201	0.200595	0.168644	0.186608	0.153613	0.097055	0.088437	0.115671	0.11897	0.156489	0.118965	0.150482	0.151088	0.184222	0.0994014	0.134622	0.109662	0.17803	0.121002	0.0272014	0.0346894	0.00191634	0.00077275	0.0408847	0.000409579	0.0212974	0.0255442	0.00333214	0.0198607	0.0143672	0.000157265	0.0261355	0.0471747	0.00175178	0.0194235	0.00421837	0.0074615	0.00706279	0.267414	0.297385	0.0711252	0.0434087	0.306973	0.0136939	0.213601	0.244083	0.127004	0.415312	3.820734
350	-16342	-16353.5	11.5076	0.216074	0.108617	0.104769	0.196956	0.198284	0.153261	0.208401	0.158284	0.214829	0.15315	0.106032	0.104961	0.0942506	0.104645	0.164365	0.123467	0.164236	0.163011	0.180303	0.116724	0.118141	0.105899	0.190141	0.126613	0.0178553	0.0312618	0.00320344	0.00131992	0.0323876	0.000238094	0.013079	0.0203892	0.0010421	0.0209565	0.00853037	0.000642242	0.0199005	0.04454	0.00527296	0.00529737	0.0149473	0.000908064	0.00395904	0.264384	0.302632	0.0703194	0.0456305	0.303495	0.0135387	0.21423	0.244802	0.124018	0.41695	3.821143
