Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
200	-15805.9	-15818	12.1466	0.147796	0.102305	0.101293	0.0994338	0.0975245	0.0915815	0.13968	0.0774835	0.0949172	0.182962	0.0731591	0.0911332	0.10898	0.0989429	0.104832	0.122414	0.109786	0.0863794	0.115556	0.0985022	0.0802899	0.0867016	0.182988	0.0255921	0.0237187	0.0196569	0.0388834	0.0455893	0.025482	0.0292536	0.0446932	0.0546343	0.0879537	0.0416292	0.0314739	0.0263477	0.026537	0.050695	0.0466719	0.0292961	0.0310414	0.0600348	0.0404279	3.274252
210	-15810.2	-15822.2	12.0967	0.122565	0.114405	0.0996625	0.0947624	0.118186	0.0893293	0.124564	0.0813967	0.0902227	0.158735	0.086515	0.0731061	0.0962312	0.093725	0.109403	0.115609	0.109804	0.139242	0.12746	0.0828095	0.10613	0.0800558	0.160922	0.0367223	0.0368763	0.0290338	0.0389037	0.0587972	0.0234453	0.0401858	0.0363945	0.0712121	0.0817539	0.0218199	0.0269489	0.0120725	0.0256021	0.0313664	0.0673874	0.0173931	0.0577689	0.0523288	0.0383802	3.279235
220	-15808.5	-15822.3	13.8455	0.130699	0.0850978	0.10489	0.116463	0.107011	0.0679006	0.125634	0.0710362	0.108364	0.135653	0.0637811	0.0695208	0.102231	0.110786	0.0985198	0.140524	0.106748	0.10093	0.111224	0.0586506	0.0830672	0.114693	0.15498	0.0245188	0.0312598	0.0172248	0.0488576	0.041016	0.037134	0.0289157	0.0442485	0.039345	0.0766088	0.0427944	0.0367847	0.0216436	0.0200285	0.0307283	0.0533336	0.0341142	0.0264101	0.0426619	0.0383235	3.104356
230	-15799.9	-15813.4	13.5678	0.103795	0.081949	0.0853096	0.104798	0.104383	0.0882426	0.124099	0.0845073	0.0916355	0.192818	0.0630088	0.0840335	0.103798	0.0820723	0.109573	0.124548	0.116749	0.112914	0.132634	0.0647201	0.0950174	0.092598	0.161448	0.0480437	0.0325767	0.0153448	0.0488576	0.0573715	0.0193896	0.0238484	0.0408845	0.0470339	0.0803681	0.0381224	0.0156656	0.0172493	0.0208672	0.0342399	0.0549277	0.0239406	0.0393456	0.0388223	0.0305803	3.132129
240	-15811.8	-15825.7	13.843	0.122188	0.0896169	0.0799957	0.124313	0.124976	0.0708478	0.124099	0.0729668	0.099691	0.138048	0.0763556	0.0620754	0.121139	0.105341	0.0903914	0.126473	0.13129	0.09334	0.129044	0.0571795	0.0853656	0.0762482	0.168134	0.0387396	0.0284704	0.0332304	0.0512623	0.0514712	0.0193937	0.0366089	0.0452822	0.0544215	0.066439	0.0302912	0.0326434	0.0184482	0.017174	0.0208593	0.051292	0.0344534	0.0269491	0.0559439	0.0221118	3.104605
250	-15800.6	-15814.1	13.4986	0.113796	0.0848891	0.102664	0.102682	0.108023	0.0836393	0.123832	0.0796035	0.110443	0.153555	0.0763556	0.0630708	0.088545	0.0908653	0.127259	0.139955	0.131799	0.110116	0.126213	0.0897423	0.0885116	0.0932383	0.161422	0.036412	0.0277606	0.0317924	0.044284	0.0362883	0.0315492	0.0378901	0.027592	0.0419811	0.0583568	0.0228791	0.0255513	0.0228213	0.0285817	0.0345745	0.0517688	0.0243256	0.0321148	0.0299966	0.042308	3.139048
260	-15806.2	-15818.8	12.5725	0.122617	0.0948646	0.0996942	0.0989409	0.113204	0.0684188	0.131002	0.0798794	0.100517	0.185031	0.0956862	0.0952848	0.0846093	0.105529	0.116055	0.110206	0.131799	0.10829	0.133969	0.0876979	0.0798918	0.0971855	0.161422	0.0230882	0.0398319	0.0348447	0.0383657	0.0394167	0.0308577	0.0434458	0.0399954	0.0399911	0.0639807	0.0204309	0.0237951	0.0129398	0.023242	0.0317205	0.0465765	0.0316341	0.0557426	0.055547	0.0344215	3.231663
270	-15805.5	-15818.6	13.0736	0.11277	0.0998603	0.0947679	0.092146	0.0943582	0.0810939	0.117676	0.095779	0.102602	0.177407	0.089256	0.0883302	0.112245	0.0882975	0.106634	0.137606	0.130407	0.0986842	0.112878	0.0798204	0.0670338	0.0929711	0.162892	0.0294657	0.0415698	0.0140942	0.0444275	0.0370601	0.0425234	0.0343302	0.0242669	0.0415502	0.0892297	0.0320721	0.0278121	0.00957924	0.0430544	0.0319897	0.0388168	0.0277143	0.0440609	0.0564354	0.035979	3.181547
280	-15803	-15816.1	13.0789	0.125541	0.0919167	0.10969	0.108028	0.116144	0.0837176	0.153544	0.078893	0.109726	0.151934	0.0856729	0.0826302	0.111121	0.0853247	0.113397	0.129019	0.123342	0.107405	0.107835	0.0809908	0.0805449	0.0952206	0.146829	0.0289204	0.0252827	0.00850455	0.035384	0.0404029	0.0245975	0.0246582	0.0475142	0.0423074	0.0654424	0.0283513	0.0157845	0.0138185	0.031228	0.0296243	0.0624516	0.0379086	0.0275043	0.0668357	0.0460348	3.181021
290	-15802.6	-15815.3	12.6957	0.138699	0.104108	0.0849556	0.0935923	0.112995	0.100722	0.104093	0.0726298	0.105408	0.157555	0.0752505	0.0920726	0.088135	0.102936	0.112735	0.125343	0.144053	0.120723	0.114354	0.0760863	0.0992879	0.0930871	0.148551	0.0473751	0.0391281	0.0148102	0.0502627	0.033161	0.0307571	0.0296419	0.0338014	0.0459471	0.0674002	0.0218508	0.0312519	0.0354267	0.0312114	0.0337564	0.0476254	0.020858	0.0291515	0.067887	0.0406616	3.219337
300	-15800.2	-15813.8	13.5878	0.1258	0.105139	0.096591	0.105118	0.100207	0.0661189	0.130629	0.0645745	0.0921679	0.168785	0.0744298	0.0875742	0.090327	0.0943527	0.120591	0.132979	0.133055	0.112693	0.109023	0.0732114	0.0778695	0.0951464	0.180037	0.0390127	0.0273985	0.0125382	0.0288578	0.0401933	0.0251448	0.0228931	0.0492296	0.0346326	0.087557	0.0253382	0.0270971	0.024289	0.0163391	0.0339922	0.052339	0.0323231	0.0387478	0.0472327	0.0285532	3.130128
310	-15803	-15815.4	12.4761	0.125429	0.11602	0.097995	0.123639	0.0916022	0.0899707	0.128196	0.0858404	0.0960352	0.170432	0.0790159	0.0827535	0.110595	0.0915483	0.108572	0.122229	0.133564	0.132406	0.118193	0.0728382	0.0972635	0.0715109	0.178372	0.0255829	0.0353362	0.0240773	0.0332304	0.0419902	0.0372456	0.0251434	0.0318656	0.0451221	0.0689152	0.0416473	0.0319172	0.0307293	0.0290188	0.0497919	0.0400582	0.0303215	0.0377692	0.032475	0.0250452	3.241303
320	-15799.1	-15812.2	13.1511	0.107728	0.116894	0.103786	0.0838597	0.112249	0.0765023	0.13052	0.080192	0.099918	0.187073	0.0902291	0.083711	0.0894078	0.106212	0.100949	0.121212	0.126538	0.11123	0.136518	0.0893841	0.0743549	0.0808957	0.14522	0.0378394	0.0308108	0.0224158	0.0428459	0.0294821	0.0299381	0.0281053	0.0268709	0.061636	0.0813159	0.0268413	0.0337676	0.0261779	0.0202504	0.0274841	0.0474131	0.023618	0.0383829	0.0562063	0.0278155	3.173799
330	-15808.4	-15821.7	13.2415	0.127308	0.100779	0.105188	0.0877861	0.0914418	0.0707324	0.127384	0.0773718	0.112639	0.18727	0.0887377	0.0792308	0.0955478	0.0900229	0.0792347	0.121811	0.100892	0.112901	0.110659	0.0941608	0.108354	0.086285	0.16485	0.0235695	0.0341166	0.0120621	0.0452499	0.0429994	0.0416678	0.0321722	0.0397514	0.0510875	0.0947031	0.0261419	0.0235486	0.016421	0.0187071	0.041732	0.0401358	0.0296925	0.0326896	0.0664633	0.0312569	3.164755
