Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
22	0	-14510.7	-14516.1	5.37725	1.996589	0.177132	0.0936655	0.127107	0.0875713	0.131743	0.100069	0.142224	0.0853719	0.111269	0.19962	0.0986263	0.119487	0.10288	0.110318	0.139465	0.161273	0.151288	0.149129	0.146462	0.0972615	0.0876491	0.100938	0.212583	0.0625857	0.0170622	0.0209882	0.0423012	0.01918	0.0500768	0.0249966	0.0412749	0.03429	0.0173363	0.108479	0.0547024	0.0755558	0.0349033	0.0358631	0.0176875	0.0279186	0.0474262	0.0122883	0.0431826	0.292867	0.65465	1.0699	1.98258	0.4024001	3.721231
23	1	-14516.5	-14522.7	6.13771	1.93466	0.151016	0.117593	0.105391	0.0988101	0.115983	0.11084	0.13289	0.0874443	0.124636	0.206678	0.0716737	0.0693027	0.12274	0.0977393	0.159052	0.152641	0.183216	0.139844	0.162639	0.102609	0.0942307	0.108225	0.21364	0.0591765	0.0354642	0.0258518	0.0151335	0.0278304	0.0414082	0.0623915	0.0158396	0.0203466	0.0168974	0.0505388	0.0178985	0.0287916	0.0234292	0.0530194	0.049959	0.105674	0.0170312	0.0308868	0.0134064	0.285348	0.647881	1.06827	1.99851	0.3544518	3.639809
24	0	-14511.7	-14516.5	4.78488	1.880312	0.194085	0.0852771	0.128915	0.0982656	0.130202	0.0882175	0.139721	0.0945622	0.113941	0.199889	0.102156	0.0910766	0.111549	0.117376	0.139093	0.17301	0.17671	0.151116	0.157228	0.0749514	0.11265	0.0891734	0.234852	0.0590051	0.0271991	0.0171501	0.0301661	0.0182761	0.0430771	0.0356055	0.0286306	0.0412141	0.0173357	0.11926	0.0382764	0.0403154	0.0608711	0.0260343	0.00789797	0.0350049	0.0579955	0.0210372	0.0416165	0.278556	0.641651	1.06668	2.01311	0.3749876	3.769984
25	1	-14520.8	-14524.3	3.44514	2.765867	0.162899	0.122105	0.122693	0.0996038	0.144652	0.109693	0.147241	0.114775	0.135436	0.20345	0.0905042	0.101599	0.135166	0.153402	0.137203	0.14172	0.156529	0.131431	0.150978	0.0681504	0.106234	0.0939287	0.241167	0.0635914	0.0424646	0.033852	0.0346308	0.0377595	0.0469522	0.0798035	0.0311518	0.010657	0.0401554	0.0748017	0.0131146	0.0243615	0.0195902	0.0628425	0.0519521	0.155524	0.0145204	0.015655	0.0292304	0.370297	0.717681	1.08109	1.83093	0.3734903	3.953169
26	0	-14510.3	-14516.9	6.56766	2.35364	0.180393	0.0959498	0.141907	0.0982656	0.126048	0.0894401	0.139721	0.0722966	0.10556	0.219349	0.101906	0.076518	0.112113	0.0991212	0.128748	0.150491	0.153898	0.148051	0.127705	0.0684625	0.121132	0.0907813	0.199847	0.0710797	0.0284343	0.0116501	0.0225033	0.00513718	0.0349772	0.0264606	0.0348609	0.0282519	0.037892	0.117279	0.0465971	0.0527703	0.0564023	0.0195589	0.0208951	0.0350049	0.066023	0.0159222	0.0461834	0.332126	0.688023	1.07676	1.90309	0.4086624	3.625587
27	1	-14518	-14524.1	6.13087	2.167336	0.139987	0.130397	0.0932531	0.0897074	0.115404	0.114703	0.169751	0.0810727	0.0950551	0.195629	0.0940373	0.106547	0.0901649	0.112953	0.146785	0.128603	0.1484	0.13069	0.141162	0.0749343	0.108984	0.0964724	0.241167	0.0535134	0.0700071	0.0220559	0.0181839	0.0390281	0.0376983	0.035863	0.0194397	0.0294249	0.0230963	0.0735951	0.0417838	0.0268966	0.0347267	0.0558409	0.0385061	0.131284	0.0167445	0.0132197	0.0317543	0.312463	0.671705	1.07366	1.94217	0.3734903	3.65852
28	0	-14508	-14513.5	5.41325	2.155411	0.204493	0.104872	0.129608	0.117779	0.13018	0.0973572	0.154956	0.0996674	0.111108	0.2242	0.0770615	0.0917789	0.112822	0.0938052	0.137342	0.146553	0.15726	0.112968	0.148538	0.07769	0.090451	0.107077	0.20753	0.0559283	0.0238128	0.0200866	0.0380017	0.00694009	0.0307907	0.0407187	0.0368774	0.0200029	0.020448	0.0896185	0.0596651	0.0755987	0.06415	0.0372998	0.0519261	0.0192766	0.0391098	0.00824488	0.0558988	0.311146	0.670584	1.07343	1.94484	0.3803997	3.729492
29	1	-14512.2	-14518.3	6.13663	2.118507	0.145539	0.129609	0.115286	0.11065	0.127027	0.0705386	0.16124	0.0879811	0.116314	0.217599	0.104946	0.105633	0.13025	0.0962587	0.139755	0.135865	0.140463	0.156081	0.145168	0.0956344	0.0868493	0.0925971	0.184092	0.0507829	0.0637757	0.0183474	0.0114713	0.028463	0.0319581	0.0696542	0.0310824	0.021434	0.0279809	0.0802017	0.0423015	0.0296045	0.0313267	0.0391817	0.0190517	0.129211	0.00856262	0.0081425	0.0167163	0.307022	0.667051	1.07269	1.95324	0.3734903	3.654626
30	0	-14512.6	-14519.5	6.96805	2.258758	0.142083	0.0914733	0.0997231	0.104544	0.123576	0.0997741	0.151469	0.0671375	0.113435	0.17952	0.0862619	0.10635	0.126192	0.0963491	0.147054	0.134208	0.146783	0.122601	0.146218	0.0929526	0.131378	0.106335	0.222662	0.0455082	0.0239384	0.00773937	0.0372933	0.00545948	0.0356149	0.0159681	0.0303803	0.019595	0.0199181	0.0831185	0.0528041	0.0807004	0.0592425	0.0326659	0.0542906	0.0270315	0.05896	0.0113276	0.0407976	0.322323	0.679982	1.0753	1.9224	0.3803997	3.580432
31	1	-14508.4	-14514.7	6.27802	2.316894	0.170194	0.100822	0.100908	0.118859	0.123344	0.092823	0.155719	0.0874622	0.114354	0.198912	0.0830743	0.0913714	0.104416	0.0988569	0.139066	0.158003	0.150623	0.166151	0.135294	0.0876356	0.100832	0.0868748	0.1874	0.059265	0.0616554	0.0307828	0.0311747	0.0327628	0.0362419	0.0730351	0.0352245	0.0188459	0.0300522	0.0568287	0.0231588	0.0564324	0.0298629	0.0196203	0.0346993	0.113594	0.0203031	0.015421	0.0206969	0.328379	0.684971	1.07622	1.91043	0.4019273	3.652653
