Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
200	-14514.4	-14519.9	5.47774	2.108022	0.137844	0.113143	0.117711	0.111501	0.134432	0.0966667	0.150225	0.0782748	0.0978832	0.182102	0.0851715	0.122394	0.113931	0.126211	0.10661	0.168387	0.156932	0.164147	0.150016	0.0793408	0.13601	0.081344	0.226795	0.0605229	0.0416024	0.0207243	0.029392	0.0298173	0.0334692	0.0293448	0.0286857	0.0190814	0.0284273	0.0752324	0.0527826	0.0641451	0.0430406	0.0281516	0.0434977	0.0362916	0.061932	0.0145664	0.0419934	0.305837	0.66603	1.07247	1.95566	0.3815207	3.719773
210	-14507.6	-14515.9	8.29409	2.226101	0.135859	0.0954299	0.112428	0.094498	0.131883	0.0944437	0.128312	0.0778576	0.113412	0.229996	0.0619125	0.0961081	0.118611	0.102411	0.126294	0.130875	0.130653	0.13497	0.143996	0.0792588	0.0933891	0.0764024	0.220249	0.0390328	0.0260411	0.0160857	0.0313519	0.00763015	0.0456512	0.0172444	0.0271501	0.0346824	0.0153678	0.0952189	0.0541847	0.0678426	0.0320041	0.0170049	0.0346067	0.0335273	0.0466129	0.0224781	0.052934	0.318849	0.677087	1.07474	1.92932	0.3880758	3.4459
220	-14522.4	-14528.2	5.80094	2.151214	0.128456	0.141052	0.129429	0.100338	0.14137	0.09577	0.120285	0.0944268	0.0962721	0.222003	0.089159	0.0809515	0.0913573	0.129357	0.104818	0.187724	0.145616	0.13497	0.130605	0.0813297	0.123339	0.0738516	0.256492	0.0417882	0.0230953	0.0213732	0.0397194	0.0198489	0.052831	0.0277006	0.030325	0.0162114	0.0268104	0.11479	0.0563164	0.0705425	0.0453832	0.0245317	0.0434741	0.0417721	0.0407533	0.00448135	0.0497208	0.310681	0.670187	1.07335	1.94578	0.4029715	3.690443
230	-14518.2	-14522.8	4.64178	2.227206	0.138403	0.128381	0.115841	0.129817	0.107853	0.0871765	0.194722	0.0987514	0.118143	0.222003	0.0860649	0.11031	0.115452	0.135465	0.124133	0.190958	0.143	0.14797	0.136794	0.091619	0.102601	0.101712	0.210035	0.047965	0.0223493	0.0126327	0.062818	0.0206107	0.0378965	0.0364502	0.0350165	0.0329976	0.019241	0.0820502	0.0777809	0.0414415	0.0391723	0.0218418	0.0230549	0.0355936	0.0606009	0.00532885	0.05915	0.318967	0.677186	1.07476	1.92909	0.3685115	3.811198
240	-14508.7	-14515.4	6.71153	2.112438	0.157752	0.107677	0.0900717	0.120956	0.126793	0.0881153	0.149758	0.0830955	0.109426	0.222003	0.0774445	0.108071	0.112022	0.115743	0.143557	0.145566	0.162584	0.132275	0.156126	0.0858877	0.124624	0.106519	0.189575	0.0488347	0.0222859	0.0222181	0.0343803	0.0155	0.020636	0.0243382	0.0306117	0.0342216	0.00591681	0.101252	0.0704207	0.0542857	0.0286592	0.0154559	0.0288403	0.0313873	0.0478393	0.00762981	0.0363556	0.306337	0.666461	1.07256	1.95464	0.3918423	3.596708
250	-14509.3	-14516.5	7.28803	1.833519	0.153258	0.107677	0.096079	0.114971	0.127683	0.0615446	0.130451	0.0738351	0.10182	0.215658	0.0948765	0.0813501	0.11069	0.0990184	0.155765	0.146646	0.140405	0.124122	0.130839	0.0805781	0.0930139	0.0798579	0.20942	0.063514	0.0177204	0.0377064	0.0328279	0.028263	0.0379823	0.026283	0.0354618	0.0320499	0.0147922	0.103044	0.052113	0.0560333	0.0542284	0.0149334	0.0295802	0.0228216	0.067393	0.015147	0.0435002	0.272558	0.636056	1.06521	2.02618	0.3918423	3.514954
260	-14518.8	-14525.4	6.62264	2.468956	0.155679	0.141244	0.130348	0.107038	0.13103	0.0954693	0.156722	0.115275	0.112581	0.227551	0.0761777	0.0985087	0.122074	0.101364	0.128527	0.148332	0.142805	0.103806	0.113418	0.0855976	0.0896604	0.0963904	0.16324	0.0457217	0.0168215	0.0308557	0.018762	0.00988839	0.0443566	0.0430861	0.0304825	0.0426171	0.0283929	0.0876489	0.0746293	0.0535319	0.0488223	0.0195014	0.0292696	0.03429	0.086494	0.0028236	0.0345872	0.343493	0.697121	1.07827	1.88112	0.3742628	3.62542
270	-14525.2	-14531.6	6.45673	2.008604	0.144536	0.105211	0.130348	0.115468	0.125722	0.0840561	0.116133	0.0876199	0.0993993	0.212336	0.0665235	0.0838028	0.122074	0.116179	0.131966	0.188824	0.164795	0.130849	0.129683	0.0905133	0.111459	0.0624845	0.209944	0.0457217	0.021669	0.0161145	0.0237988	0.00209824	0.0588883	0.0228702	0.0293896	0.0345629	0.017032	0.0844872	0.0629906	0.0685787	0.0734038	0.0254935	0.046987	0.02426	0.0678674	0.00507109	0.0530638	0.2943	0.655925	1.0702	1.97957	0.3742628	3.614274
280	-14516.3	-14522	5.75328	2.027762	0.17124	0.126869	0.134078	0.0906807	0.15895	0.0673423	0.168871	0.0830898	0.101409	0.212815	0.101244	0.0964132	0.108923	0.128601	0.126968	0.149162	0.178263	0.115009	0.14636	0.0822527	0.11436	0.0938172	0.197175	0.0493136	0.0148441	0.0176311	0.0530957	0.0293397	0.0415778	0.0120713	0.0373837	0.0197745	0.0215015	0.0814789	0.0633814	0.0688015	0.0361559	0.0114608	0.0156865	0.0254028	0.0519997	0.030988	0.0503842	0.296566	0.657934	1.07067	1.97483	0.3909938	3.686166
290	-14513.3	-14520.4	7.07841	2.165145	0.16785	0.0999432	0.0961737	0.131786	0.139365	0.0962513	0.148974	0.102113	0.104776	0.172495	0.0780146	0.097121	0.107162	0.0942368	0.130641	0.149298	0.181075	0.11239	0.14312	0.061898	0.127449	0.0900489	0.200933	0.0441243	0.0210362	0.0220426	0.0415949	0.0198544	0.0411882	0.0257478	0.0500592	0.0179097	0.0121663	0.0827991	0.0640524	0.0494203	0.0577456	0.00811719	0.0451089	0.0146632	0.06333	0.00736056	0.0421862	0.312222	0.671499	1.07362	1.94266	0.3909938	3.563622
