Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
220	-14769.2	-14780.8	11.5883	0.130669	0.0770872	0.1015	0.108685	0.108496	0.071619	0.127167	0.0641666	0.0909539	0.188596	0.0793256	0.0762073	0.0971226	0.110629	0.0945646	0.138457	0.127865	0.106445	0.125953	0.0844162	0.0762028	0.0757279	0.188353	0.0871052	0.037609	0.052711	0.0266369	0.0216777	0.0178326	0.024124	0.0449802	0.0278879	0.0607866	0.029599	0.039625	0.0363133	0.0381272	0.0434305	0.0294873	0.0516123	0.027648	0.0214861	0.0162363	3.958508	0.290587	0.276968	0.0882621	0.344183	3.185123
230	-14775	-14785.1	10.1262	0.124341	0.111586	0.0969123	0.0968296	0.114117	0.0705112	0.166444	0.0739559	0.0849221	0.166686	0.0968732	0.0795607	0.081685	0.111339	0.109825	0.148192	0.178069	0.119926	0.114695	0.0759569	0.0940296	0.0999228	0.168641	0.105382	0.0475753	0.0487065	0.0316835	0.0202828	0.0144788	0.0232515	0.022872	0.0357024	0.0525584	0.0406283	0.0509567	0.0301507	0.0249256	0.0519172	0.0260126	0.0458971	0.0214501	0.0411371	0.0194396	3.815139	0.273391	0.283681	0.0904015	0.352526	3.340029
240	-14772.5	-14782.4	9.87786	0.169137	0.0987798	0.102926	0.121101	0.124103	0.0776685	0.122935	0.0943624	0.0936202	0.166686	0.0796646	0.0975417	0.0794241	0.113311	0.123234	0.12829	0.143099	0.108579	0.111894	0.0866335	0.109967	0.0695271	0.182356	0.10919	0.0552896	0.0383752	0.0276698	0.0207527	0.00918713	0.0235022	0.0254948	0.0288359	0.0318722	0.0517814	0.0361012	0.0371404	0.0344953	0.0528262	0.0241424	0.0527524	0.0367054	0.0294379	0.025703	3.959709	0.273391	0.283681	0.0904015	0.352526	3.356095
250	-14770.1	-14779.3	9.2137	0.140266	0.107393	0.103473	0.0995762	0.128748	0.0841479	0.118205	0.0766209	0.100222	0.166686	0.0618363	0.111571	0.100708	0.112266	0.120671	0.146014	0.129918	0.110126	0.14217	0.0799808	0.0875066	0.0984046	0.216584	0.107358	0.0524901	0.0320058	0.0261413	0.0213463	0.0308891	0.0224383	0.0192498	0.0254807	0.0455213	0.0474243	0.0505185	0.043134	0.027039	0.0528262	0.0275919	0.0513049	0.0255532	0.0271332	0.0330633	4.143869	0.269642	0.294902	0.0905577	0.344898	3.411606
260	-14780.6	-14791.3	10.7524	0.1373	0.0765399	0.0911231	0.105174	0.102517	0.0638385	0.121151	0.0789253	0.0772194	0.175323	0.0615035	0.0790696	0.128212	0.100144	0.138451	0.122592	0.148263	0.137178	0.125011	0.0844485	0.0802397	0.0663079	0.180122	0.107358	0.076238	0.0207084	0.0362807	0.0206375	0.0143357	0.0398391	0.0287887	0.0123644	0.0558614	0.0609629	0.0413342	0.0357401	0.0198455	0.0492617	0.02546	0.0489997	0.0308925	0.0270638	0.0208984	4.21628	0.284426	0.288932	0.0887246	0.337917	3.253523
270	-14776	-14786.6	10.562	0.150722	0.0974633	0.0941508	0.0854048	0.113006	0.0797884	0.127504	0.0939969	0.0861947	0.199529	0.0819702	0.0926415	0.104569	0.0992125	0.139284	0.109364	0.12704	0.0987163	0.12319	0.0653654	0.0727755	0.096009	0.182694	0.0949474	0.0952259	0.0460293	0.0328422	0.0203354	0.0224644	0.032538	0.0175348	0.0136215	0.051986	0.0508887	0.0309368	0.0523354	0.0343646	0.0574761	0.016622	0.0555432	0.0267862	0.0219613	0.00209125	3.80416	0.278718	0.285905	0.101002	0.334375	3.297122
280	-14763.6	-14773.9	10.3687	0.141869	0.0946222	0.110959	0.0937823	0.145173	0.0752951	0.136173	0.0809012	0.101883	0.165938	0.0925974	0.0704388	0.108623	0.102514	0.118238	0.138482	0.11599	0.118908	0.134302	0.0672617	0.0961422	0.0820725	0.182694	0.0804169	0.0533375	0.0255968	0.0289888	0.0167077	0.0219159	0.0328487	0.0335392	0.0181495	0.0559389	0.0402375	0.0396323	0.0481337	0.0344236	0.0618299	0.0234269	0.0404304	0.0371277	0.0339739	0.0115522	3.859546	0.278718	0.285905	0.101002	0.334375	3.313066
290	-14771.9	-14782.3	10.3548	0.147505	0.0979272	0.0979316	0.075955	0.124815	0.0925293	0.127454	0.0869172	0.0938545	0.171009	0.0753253	0.091862	0.108623	0.10586	0.104918	0.127716	0.119537	0.106742	0.113264	0.0714263	0.095541	0.0994274	0.182694	0.133498	0.0386884	0.0372062	0.0416373	0.0155385	0.046359	0.0263778	0.0251991	0.0205101	0.0303207	0.0343949	0.0433217	0.0403731	0.0230757	0.0473823	0.0264787	0.0782109	0.0319614	0.0334704	0.0216189	3.859546	0.278718	0.285905	0.101002	0.334375	3.314456
300	-14767.1	-14777.2	10.0922	0.137745	0.0907834	0.0963549	0.0850599	0.124527	0.0815758	0.128126	0.0961322	0.0983806	0.182157	0.0753253	0.072822	0.0917602	0.12362	0.0962859	0.150177	0.131506	0.128816	0.118525	0.071182	0.0725761	0.0720151	0.200033	0.100276	0.0424789	0.0456281	0.0208057	0.031323	0.0322857	0.0263033	0.0269514	0.0317185	0.058406	0.039218	0.0509685	0.0495227	0.0258751	0.045017	0.0317266	0.0535053	0.0407321	0.0165776	0.0304018	4.119075	0.277113	0.2869	0.103536	0.33245	3.325206
310	-14768.4	-14778.2	9.75445	0.153207	0.0960559	0.119291	0.100063	0.118018	0.0848242	0.159325	0.0862466	0.0916296	0.172007	0.074809	0.0765425	0.092489	0.138438	0.0992672	0.120637	0.166115	0.113175	0.13329	0.0714752	0.089067	0.0825428	0.195031	0.108021	0.0424789	0.0559096	0.0226269	0.0292335	0.0177268	0.029126	0.0209098	0.0208365	0.0529819	0.0442964	0.036129	0.0260297	0.0314965	0.0448641	0.0297605	0.0535053	0.0197408	0.0167595	0.0158188	4.242652	0.277807	0.286449	0.103816	0.331928	3.351797
320	-14779	-14788.4	9.40258	0.146221	0.099082	0.116644	0.103179	0.10097	0.0926186	0.126822	0.0845888	0.087373	0.1573	0.071822	0.0695729	0.112784	0.109969	0.102027	0.131777	0.123645	0.131107	0.106543	0.0864799	0.121219	0.104853	0.174303	0.0981913	0.0559476	0.059835	0.0284722	0.0242212	0.0100084	0.0453104	0.0454638	0.0220086	0.0560155	0.0472506	0.0409612	0.032626	0.0423708	0.0517945	0.0237837	0.0800212	0.0255912	0.0369977	0.0136824	3.996	0.278591	0.287258	0.101285	0.332865	3.401451
330	-14780	-14788.4	8.39305	0.1675	0.086272	0.0958526	0.084509	0.122021	0.0842718	0.136254	0.0845888	0.108442	0.187495	0.0855861	0.0972023	0.124908	0.102267	0.101337	0.128173	0.173446	0.105824	0.12914	0.0676909	0.0934775	0.0913572	0.211749	0.0813834	0.066356	0.0432562	0.0551095	0.0186131	0.00563542	0.0406572	0.0342895	0.0379178	0.0644806	0.0424538	0.0353518	0.0660507	0.0230765	0.0606167	0.0235409	0.0496581	0.0248405	0.0325058	0.0204973	4.110004	0.278591	0.287258	0.101285	0.332865	3.495654
