Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-14780.2	-14790.3	10.0876	0.151822	0.0932099	0.0990458	0.0802364	0.0946985	0.0849389	0.162915	0.0793855	0.102703	0.170642	0.08452	0.0894815	0.103581	0.100551	0.100177	0.125265	0.140643	0.105386	0.119413	0.0636947	0.0940115	0.0913576	0.174949	0.0316124	0.0443102	0.0267161	0.0492674	0.0148975	0.112406	0.0245221	0.0178393	0.0413967	0.0278188	0.0704769	0.0318673	0.0615126	0.0187745	0.0419488	0.0144773	0.0859658	0.0266456	0.0489826	0.0204823	4.138167	0.273635	0.278116	0.103139	0.34511	3.324547
21	1	-14777.7	-14787	9.30488	0.151952	0.0812103	0.098552	0.100952	0.128845	0.0689475	0.135803	0.0758456	0.101031	0.197539	0.0722267	0.0860055	0.0868426	0.122466	0.118586	0.174491	0.125541	0.150705	0.152264	0.0892958	0.0757044	0.0875356	0.165424	0.0786131	0.0378809	0.0460741	0.0364633	0.017462	0.0273655	0.0194374	0.0339875	0.0324233	0.0635313	0.0501341	0.0314756	0.0482453	0.0436442	0.0501596	0.0282164	0.0386581	0.0193248	0.0312935	0.0192228	4.162874	0.279295	0.280019	0.0962635	0.344423	3.401378
22	0	-14785.4	-14794.8	9.42453	0.16877	0.104262	0.11445	0.0942417	0.119168	0.0926244	0.123577	0.0964528	0.0838105	0.14888	0.0833953	0.0773125	0.103581	0.120789	0.116156	0.134757	0.148416	0.0997825	0.113744	0.0702767	0.0934444	0.0786578	0.201787	0.0175679	0.0256008	0.0271094	0.0492773	0.0230404	0.111131	0.0279199	0.0140655	0.0537581	0.0238786	0.0524893	0.0326881	0.0654789	0.0322083	0.0328274	0.025225	0.0784144	0.0311593	0.0441049	0.0345756	4.138167	0.274606	0.279103	0.103505	0.342786	3.390856
23	1	-14769.7	-14779.6	9.91355	0.152069	0.0956372	0.12765	0.0843156	0.110465	0.0742501	0.112295	0.0670771	0.0787306	0.182331	0.0767458	0.0896506	0.111978	0.123796	0.110152	0.145816	0.129319	0.106687	0.119496	0.0690731	0.0938639	0.0792732	0.182066	0.0960738	0.0461373	0.0361388	0.0284133	0.0116225	0.0313618	0.031487	0.0447582	0.0286083	0.0536284	0.0486454	0.0410707	0.0500714	0.0348337	0.0611449	0.0436772	0.0474713	0.0350688	0.0408721	0.0193507	3.948914	0.279295	0.280019	0.0962635	0.344423	3.353174
24	0	-14782.7	-14792.4	9.66849	0.140691	0.0849741	0.100317	0.0871143	0.115371	0.0881185	0.148665	0.0860979	0.0811171	0.189997	0.0931724	0.0915921	0.0958278	0.0984208	0.123055	0.134757	0.176971	0.110917	0.132192	0.0876389	0.0735185	0.0843105	0.190681	0.0244237	0.0568975	0.0225302	0.0687314	0.0181547	0.0790035	0.0320141	0.0270481	0.0517534	0.0220944	0.049495	0.0431077	0.0380552	0.0205808	0.0266524	0.0245396	0.0677361	0.0378158	0.0194861	0.0208233	4.138167	0.27618	0.280703	0.098365	0.344752	3.36646
25	1	-14762.2	-14773.1	10.9269	0.139446	0.0846819	0.10472	0.105278	0.10162	0.086547	0.12086	0.0718048	0.0944868	0.183019	0.0723079	0.0832537	0.0945102	0.100443	0.100617	0.137536	0.117381	0.108345	0.122776	0.0929178	0.0930122	0.0857684	0.18992	0.0752539	0.0455432	0.036569	0.0298547	0.0320243	0.024346	0.0237694	0.0501555	0.0266304	0.0605883	0.0399208	0.0410707	0.0344822	0.0293647	0.0505117	0.0249245	0.0620273	0.0277596	0.0256636	0.0205293	3.942197	0.275938	0.288718	0.0950965	0.340248	3.252239
26	0	-14778.4	-14787.5	9.13883	0.11151	0.0993342	0.0893574	0.0965338	0.112525	0.0827601	0.152861	0.0963644	0.0865323	0.177065	0.0827716	0.0704789	0.110941	0.118528	0.126576	0.113459	0.110892	0.119454	0.153783	0.0814175	0.120072	0.0910382	0.211451	0.0238446	0.0499327	0.0343637	0.068098	0.0227833	0.116069	0.0199561	0.0251224	0.0442497	0.0395975	0.0455169	0.0354242	0.0570322	0.0299385	0.0433452	0.0269674	0.0405764	0.0413816	0.0292532	0.0221265	3.938307	0.272419	0.2905	0.0970253	0.340056	3.431284
27	1	-14771.7	-14781.5	9.79565	0.138184	0.0846696	0.111548	0.0835121	0.116557	0.0706333	0.142674	0.0862908	0.0936182	0.159551	0.0992073	0.0730797	0.102432	0.107279	0.129795	0.118239	0.128492	0.130122	0.130412	0.0595089	0.0845911	0.0732485	0.204533	0.126218	0.0529475	0.0390347	0.0417489	0.0313761	0.0105158	0.028018	0.0267575	0.0294192	0.0612793	0.0479964	0.0240756	0.0490211	0.0431049	0.0457581	0.0357856	0.0597785	0.023432	0.0201667	0.0337672	4.05937	0.2812	0.294223	0.0969097	0.327668	3.358378
28	0	-14762.3	-14773.4	11.0715	0.130296	0.0943107	0.112268	0.0980622	0.106243	0.0858288	0.125748	0.0831849	0.114131	0.178249	0.0806371	0.0821074	0.0721085	0.102716	0.116068	0.14324	0.116659	0.113483	0.115745	0.0841691	0.0832435	0.0729039	0.177754	0.0240228	0.0435504	0.0310745	0.0417471	0.0264685	0.0946581	0.0206269	0.0210196	0.054407	0.0268851	0.0457403	0.0250914	0.0340836	0.0347541	0.0478248	0.0214522	0.0563175	0.0440255	0.0287009	0.0264071	3.938307	0.288172	0.281108	0.095613	0.335106	3.238013
29	1	-14779.1	-14789.1	9.99294	0.119801	0.0911944	0.107832	0.0947904	0.107285	0.0694134	0.167465	0.0595499	0.105004	0.165847	0.0909232	0.0753723	0.103296	0.0902663	0.119726	0.132993	0.14292	0.136639	0.119214	0.0542429	0.0969027	0.0825304	0.182537	0.0851123	0.056194	0.0369352	0.03446	0.0333577	0.0234405	0.0370946	0.0348488	0.0229021	0.0503598	0.0404675	0.0300191	0.0441008	0.0515444	0.0547938	0.0382905	0.0615359	0.0286317	0.0217118	0.0371045	4.05937	0.288275	0.285904	0.0899083	0.335913	3.33865
