Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15806.3	-15818.9	12.6325	0.127939	0.0855344	0.106623	0.0728437	0.117383	0.0934024	0.123278	0.0670527	0.105683	0.14947	0.102365	0.0815273	0.120595	0.0812709	0.126335	0.134292	0.13303	0.111858	0.0997237	0.0841395	0.0840282	0.0882422	0.171569	0.0281104	0.0265996	0.0454066	0.0370907	0.0233782	0.0466579	0.0391866	0.0898381	0.0402875	0.0366838	0.0477666	0.0213198	0.0322602	0.037672	0.0333416	0.0295074	0.0499071	0.0290481	0.0297496	0.033658	3.225655
21	1	-15807	-15820.2	13.258	0.139613	0.0743875	0.125075	0.10042	0.100574	0.0714874	0.101787	0.0830051	0.0853142	0.156684	0.0675819	0.0868461	0.0918929	0.108736	0.102606	0.127524	0.11359	0.105624	0.126106	0.0771091	0.106853	0.0815249	0.185071	0.0724126	0.0312615	0.0314462	0.0451663	0.0247394	0.0228341	0.0453213	0.069812	0.0460072	0.0542825	0.0443023	0.0199158	0.023174	0.0344347	0.0280982	0.0281805	0.0308189	0.03404	0.0259971	0.0314474	3.163106
22	0	-15805.1	-15817.5	12.4714	0.140221	0.0971938	0.100175	0.0859635	0.114128	0.0964346	0.111934	0.0759157	0.1236	0.156057	0.0958873	0.0765465	0.0894413	0.0748593	0.121302	0.114219	0.138456	0.104674	0.142374	0.0906105	0.0996719	0.0889246	0.170449	0.0271761	0.025177	0.05058	0.0559788	0.0206312	0.0386434	0.0213704	0.077924	0.0297914	0.0336721	0.0655838	0.0205733	0.0268451	0.0283792	0.0399198	0.0275419	0.0469569	0.0169599	0.0454188	0.0336079	3.241767
23	1	-15803.2	-15816.3	13.133	0.129636	0.0728066	0.109916	0.10821	0.123371	0.0875354	0.117315	0.0918549	0.0956559	0.156684	0.0909515	0.0772003	0.104132	0.103515	0.10905	0.118694	0.104363	0.111221	0.126106	0.0749153	0.101023	0.0945144	0.145909	0.055758	0.021151	0.0158893	0.0353192	0.0339661	0.0127303	0.0412781	0.0924662	0.0436271	0.0364889	0.0361106	0.0211331	0.0334237	0.0424382	0.0423738	0.0326484	0.0350345	0.0447107	0.0254895	0.0189886	3.175603
24	0	-15817.8	-15830.3	12.5048	0.135636	0.102803	0.100175	0.0829199	0.111699	0.0692903	0.122362	0.0825706	0.112295	0.185071	0.0702509	0.0858459	0.104543	0.11807	0.108913	0.123149	0.119497	0.116369	0.104081	0.0812232	0.0753664	0.0716473	0.191471	0.0338452	0.0256914	0.0375348	0.0559788	0.0176868	0.0700468	0.0177162	0.0770116	0.0206812	0.0281834	0.0739871	0.0162753	0.0301331	0.0176411	0.0422886	0.0550414	0.0380486	0.0275565	0.0406859	0.0371437	3.238427
25	1	-15800.5	-15813.7	13.2297	0.12328	0.0895268	0.0910628	0.0897243	0.111717	0.0875466	0.115065	0.091019	0.110235	0.182227	0.078387	0.0806955	0.0860609	0.100202	0.0888117	0.12672	0.126238	0.115844	0.121784	0.0677189	0.0919051	0.0870126	0.156314	0.053231	0.028932	0.0234732	0.0384999	0.0264972	0.0115245	0.0577234	0.0968183	0.0447645	0.0480928	0.0313934	0.0107779	0.0448623	0.0390387	0.0337744	0.0256772	0.0282622	0.0562456	0.0204672	0.0267834	3.165936
26	0	-15804.7	-15816.6	11.8416	0.141959	0.104566	0.106855	0.0887471	0.108802	0.075999	0.139994	0.0825706	0.0951361	0.195255	0.0855163	0.0834455	0.107157	0.0882524	0.108913	0.143795	0.172949	0.111172	0.134242	0.0693453	0.0837345	0.0869744	0.170798	0.029888	0.0242588	0.0488296	0.0493017	0.018652	0.0314048	0.0430287	0.0999442	0.0376522	0.0157723	0.0436005	0.0172142	0.0199896	0.0191883	0.0404245	0.02533	0.0408292	0.0356023	0.0320597	0.0455984	3.304747
27	1	-15809.1	-15820.6	11.5006	0.134713	0.0879487	0.0963057	0.10564	0.111717	0.086921	0.116925	0.0910841	0.111879	0.172628	0.0716274	0.113177	0.094499	0.0972692	0.125569	0.158613	0.142396	0.120608	0.138605	0.0719395	0.0895983	0.0844816	0.192796	0.0505263	0.0406892	0.0301657	0.0348916	0.0242473	0.00502208	0.0422744	0.08783	0.0448466	0.037523	0.0321766	0.0228589	0.0400654	0.0307101	0.0345821	0.0243572	0.0372353	0.046008	0.0243354	0.0315588	3.338846
28	0	-15800.9	-15814	13.056	0.142412	0.103069	0.0948356	0.0942838	0.10757	0.0717583	0.137454	0.0863303	0.102175	0.154801	0.068343	0.0761242	0.0822514	0.104519	0.108913	0.111454	0.119372	0.111172	0.13198	0.0897909	0.108084	0.0767972	0.178716	0.029833	0.0365878	0.052016	0.0420741	0.0118517	0.041334	0.0398941	0.0832745	0.0284882	0.0249176	0.0449778	0.0156593	0.0164783	0.0333287	0.0483861	0.0340115	0.0397877	0.029453	0.0332218	0.0355298	3.18331
29	1	-15805.3	-15817.3	11.9297	0.130709	0.0912661	0.0922968	0.0984597	0.103289	0.086921	0.118998	0.0868654	0.0790507	0.175679	0.0910148	0.0793008	0.096962	0.0850781	0.113456	0.161529	0.156989	0.12281	0.13601	0.0740534	0.0958461	0.0837007	0.18121	0.0442749	0.0320725	0.0156046	0.0401829	0.025544	0.0105385	0.0567118	0.115665	0.0674464	0.0449397	0.0296393	0.0108448	0.0395814	0.037819	0.0365787	0.0205123	0.0269457	0.039125	0.0271197	0.0332979	3.295937
