Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
20	0	-13129.5	-13107.2	-22.2856	0.9605508	0.249518	0.116884	0.185605	0.155443	0.204796	0.11882	0.333426	0.158704	0.171626	0.314427	0.132485	0.164545	0.241769	0.319362	0.185146	0.326324	0.300963	0.24168	0.231819	0.108253	0.159788	0.107393	0.526678	0.0438223	0.0367535	0.0632688	0.00436904	0.230797	0.0729381	0.0323975	0.0495288	0.0817828	0.210536	0.184141	0.0895116	0.0608549	0.0822425	0.0788382	0.172086	0.0979661	0.180427	0.102068	0.0165782	0.0325738	0.398604	0.0468819	0.0288099	0.443735	0.0493953	0.129017	0.464565	0.993143	2.41328	0.352931	0.375019	0.0599152	0.212135	0.3821051	6.946359
21	1	-13143.7	-13125.2	-18.5676	0.9605017	0.254141	0.152653	0.221167	0.178804	0.209819	0.14367	0.258471	0.108425	0.153521	0.404845	0.109471	0.164984	0.240524	0.178631	0.202033	0.25948	0.225237	0.232136	0.233383	0.10947	0.147626	0.0896799	0.470414	0.197993	0.00787947	0.0674404	0.112102	0.062051	0.0533407	0.06327	0.045782	0.0763452	0.0602028	0.212821	0.114891	0.135151	0.0319414	0.0514455	0.1982	0.0285217	0.0411407	0.143163	0.122278	0.0509305	0.297269	0.0553718	0.0137074	0.525459	0.0572617	0.129007	0.464549	0.993134	2.41331	0.346866	0.351605	0.0900561	0.211473	0.3426545	6.574543
22	0	-13138.8	-13115	-23.8506	0.8967471	0.368178	0.164855	0.19347	0.0917766	0.261289	0.13226	0.211042	0.165634	0.202885	0.383445	0.14385	0.143602	0.229544	0.370185	0.206877	0.3418	0.370982	0.212962	0.263701	0.0823385	0.166483	0.103952	0.483189	0.0593276	0.0154112	0.0588068	0.00443479	0.169385	0.0506883	0.030832	0.0213047	0.0752588	0.13126	0.243599	0.0882249	0.0216966	0.111	0.0732794	0.257107	0.0994677	0.129351	0.101096	0.040362	0.0371241	0.394618	0.046413	0.0285217	0.439297	0.054026	0.11592	0.443355	0.980537	2.46019	0.352931	0.375019	0.0599152	0.212135	0.3704749	7.076193
23	1	-13140.9	-13122.6	-18.3177	0.9160303	0.290734	0.154598	0.144303	0.145512	0.206593	0.167389	0.234724	0.153304	0.1453	0.331175	0.0985329	0.124158	0.177519	0.206629	0.25969	0.323129	0.321969	0.209593	0.308142	0.117334	0.170757	0.127578	0.470414	0.184425	0.0261211	0.0289996	0.0761685	0.0527048	0.0627304	0.0336853	0.0414317	0.0515493	0.0575268	0.113192	0.185992	0.096218	0.0364996	0.039042	0.22797	0.0424157	0.0406175	0.179314	0.0656241	0.057207	0.245412	0.0596042	0.013965	0.590215	0.0335966	0.11991	0.449971	0.984563	2.44556	0.358514	0.345334	0.0884499	0.207701	0.3426545	6.531302
24	0	-13136.2	-13112.7	-23.4681	0.7536006	0.336389	0.130488	0.221029	0.146663	0.223405	0.165215	0.277108	0.137497	0.166876	0.401714	0.114298	0.131165	0.166848	0.370185	0.189292	0.310493	0.272124	0.246779	0.253653	0.0947822	0.138979	0.103663	0.488736	0.0533577	0.0236892	0.076346	0.00453716	0.212109	0.0787949	0.0280237	0.0758197	0.076209	0.199015	0.230891	0.0851474	0.0546534	0.0553704	0.059227	0.184154	0.120941	0.139716	0.0912738	0.0276823	0.0370231	0.393544	0.0436098	0.0284441	0.438102	0.0592773	0.0856549	0.38776	0.94322	2.58337	0.350393	0.372323	0.0594843	0.2178	0.3200437	6.964339
25	1	-13139.9	-13122.9	-16.93	0.95428	0.292049	0.154598	0.190547	0.0914747	0.261546	0.148159	0.19078	0.132487	0.167756	0.389773	0.0869299	0.0950434	0.148299	0.219761	0.193779	0.316546	0.338943	0.216177	0.276485	0.0896545	0.156304	0.0937378	0.469539	0.112176	0.0155026	0.0232354	0.0597422	0.0221519	0.0862611	0.0526744	0.049807	0.0814235	0.0796252	0.181152	0.168909	0.0521172	0.0347616	0.0281974	0.195453	0.0507603	0.0411011	0.216701	0.136206	0.0417861	0.288547	0.0527154	0.0194599	0.534377	0.063115	0.127744	0.462565	0.991991	2.4177	0.358514	0.345334	0.0884499	0.207701	0.3426545	6.408326
26	0	-13141.6	-13117.6	-24.0015	0.844048	0.343583	0.134208	0.208191	0.13169	0.212154	0.112722	0.310652	0.203393	0.146976	0.430664	0.1348	0.133916	0.202861	0.225665	0.181085	0.326184	0.297017	0.260015	0.259461	0.0785078	0.148695	0.100741	0.560395	0.0674825	0.051578	0.0831824	0.00624019	0.316241	0.0387094	0.0253838	0.033309	0.0716738	0.205059	0.134832	0.0410111	0.0130859	0.107255	0.0895096	0.20479	0.143923	0.181748	0.0837173	0.0243394	0.0343849	0.365501	0.0405022	0.0227673	0.469789	0.0670556	0.104891	0.424281	0.968451	2.50238	0.350393	0.372323	0.0594843	0.2178	0.4084968	7.066645
27	1	-13136.4	-13118.2	-18.209	0.8271227	0.276546	0.169838	0.17815	0.157382	0.196444	0.128852	0.221642	0.123573	0.120564	0.313437	0.133537	0.148566	0.191192	0.218645	0.199697	0.264648	0.267598	0.210776	0.273522	0.0984012	0.157978	0.0805724	0.490516	0.131262	0.0233919	0.0228557	0.0487568	0.0522547	0.0490311	0.0420016	0.0952195	0.0755005	0.0781124	0.222078	0.157435	0.0695826	0.086498	0.0311637	0.218199	0.0631675	0.0588062	0.243952	0.0875709	0.0325681	0.295983	0.0624003	0.00828892	0.540491	0.0602684	0.101316	0.417829	0.964196	2.51666	0.358514	0.345334	0.0884499	0.207701	0.3426545	6.478914
28	0	-13139	-13112.4	-26.5945	0.7640395	0.351692	0.135228	0.283985	0.1122	0.132551	0.214583	0.248987	0.145869	0.157107	0.447325	0.114158	0.187589	0.281486	0.26647	0.207819	0.295287	0.308961	0.297595	0.24344	0.0973785	0.163728	0.0861047	0.584226	0.0779051	0.0387607	0.0893564	0.00322394	0.200902	0.070721	0.00840235	0.0453545	0.0737228	0.184104	0.230259	0.0630598	0.00836829	0.0462549	0.12439	0.200439	0.125237	0.2103	0.076001	0.0425917	0.0354651	0.376983	0.0487182	0.0234826	0.468207	0.0471446	0.0878872	0.392243	0.94647	2.5734	0.350393	0.372323	0.0594843	0.2178	0.3532706	7.283122
29	1	-13140.4	-13119.6	-20.8119	0.8168127	0.354274	0.1421	0.197146	0.0938577	0.203274	0.151221	0.270786	0.163116	0.134771	0.355236	0.140248	0.153281	0.231652	0.26463	0.232826	0.329351	0.216022	0.228275	0.273622	0.122759	0.147165	0.144572	0.441434	0.0891704	0.0175823	0.0259583	0.0355223	0.0133083	0.0474847	0.00874392	0.0631207	0.102672	0.074068	0.231729	0.15289	0.052309	0.0487229	0.0459527	0.271069	0.0669895	0.031338	0.231136	0.13251	0.0348515	0.264359	0.0644919	0.0154018	0.558608	0.0622885	0.099131	0.413816	0.961507	2.52555	0.381627	0.337957	0.0865603	0.193855	0.3426545	6.733895
