Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
250	-13137.3	-13107	-30.2163	0.7783145	0.346414	0.127488	0.207885	0.181086	0.319061	0.148768	0.219391	0.161071	0.192717	0.500874	0.102684	0.199496	0.289978	0.26148	0.267408	0.357734	0.362605	0.238929	0.249828	0.0903584	0.128619	0.0887994	0.486054	0.0470902	0.0717329	0.0512223	0.0195997	0.187856	0.0787418	0.0260005	0.0305171	0.113208	0.191434	0.313592	0.126055	0.0294287	0.0693882	0.0783296	0.25758	0.138914	0.128754	0.10408	0.0612214	0.0306099	0.339501	0.0576154	0.0183867	0.514736	0.0391506	0.0909366	0.398254	0.95076	2.56005	0.339695	0.381432	0.0677073	0.211166	0.3687291	7.653472
260	-13132.2	-13111.6	-20.6032	0.8816384	0.25659	0.119618	0.247204	0.110484	0.248929	0.15216	0.27456	0.16097	0.149165	0.37088	0.0945889	0.149265	0.27286	0.271713	0.163796	0.285937	0.304886	0.271681	0.207726	0.109689	0.113563	0.0704499	0.430373	0.0940269	0.0405414	0.0666693	0.0418767	0.186949	0.066752	0.0437942	0.0738712	0.0766103	0.11966	0.21249	0.0998285	0.0423041	0.0673694	0.107842	0.176662	0.0878629	0.1354	0.102688	0.0643616	0.030151	0.334412	0.0567517	0.0298791	0.505482	0.0433241	0.112776	0.438038	0.977241	2.47195	0.364912	0.366865	0.0651215	0.203101	0.3687291	6.744648
270	-13146.9	-13118.1	-28.739	0.8211809	0.394684	0.180085	0.244869	0.179718	0.220388	0.187945	0.214205	0.17595	0.149731	0.365468	0.110275	0.171138	0.232814	0.258371	0.264713	0.378605	0.358424	0.16735	0.26318	0.0838773	0.173178	0.105764	0.459049	0.13364	0.0516353	0.0675649	0.0430303	0.239647	0.039021	0.0690924	0.0165866	0.117747	0.179755	0.284311	0.0297423	0.00542393	0.110491	0.0965057	0.229398	0.104056	0.171657	0.121322	0.0784589	0.0261604	0.406647	0.0492405	0.0196883	0.462571	0.0356928	0.100057	0.415524	0.962655	2.52176	0.364835	0.366788	0.0651078	0.20327	0.397483	7.528868
280	-13132.1	-13109.6	-22.5569	0.9513303	0.326831	0.158787	0.159057	0.164724	0.188279	0.18844	0.273654	0.146938	0.183463	0.309945	0.167999	0.172819	0.281332	0.22735	0.197949	0.320991	0.266839	0.25281	0.273834	0.0961889	0.184215	0.141673	0.450011	0.0606578	0.0318487	0.0382834	0.0321057	0.233148	0.0453258	0.0493561	0.00507797	0.0546403	0.149339	0.21575	0.0547119	0.0187855	0.0661766	0.0439159	0.247654	0.114226	0.199541	0.129276	0.0458872	0.032165	0.31363	0.0548478	0.0242073	0.531265	0.0438854	0.127144	0.461618	0.991443	2.4198	0.346848	0.375481	0.069583	0.208087	0.397483	6.969837
290	-13133.9	-13111.9	-21.993	0.8620715	0.26722	0.110026	0.211492	0.16311	0.226676	0.173494	0.312969	0.135665	0.11631	0.34694	0.104468	0.177268	0.183785	0.249712	0.241121	0.320991	0.257383	0.205327	0.2536	0.0926537	0.148159	0.101292	0.591654	0.0801138	0.0307866	0.0507677	0.0405585	0.258447	0.0650605	0.0698861	0.0236017	0.129092	0.169172	0.163504	0.0685234	0.0317363	0.0716172	0.105748	0.159795	0.0677732	0.143801	0.0993571	0.0538517	0.0337073	0.313115	0.0589479	0.0195285	0.535127	0.0395743	0.108682	0.430974	0.972774	2.48757	0.357832	0.352221	0.0726596	0.217288	0.3717513	6.87451
300	-13134.9	-13115.4	-19.4676	0.9988071	0.342016	0.106576	0.21714	0.12664	0.201041	0.126603	0.262478	0.189417	0.15655	0.272981	0.115975	0.140162	0.24435	0.21107	0.285338	0.326607	0.264047	0.182724	0.219047	0.100316	0.14748	0.0962415	0.479972	0.0880834	0.0704434	0.0455532	0.0783274	0.201302	0.0509813	0.031232	0.023349	0.0537522	0.214027	0.191467	0.0409349	0.0318497	0.0188953	0.0806717	0.239324	0.140639	0.127619	0.0785169	0.0573687	0.0335127	0.328115	0.0617717	0.0111355	0.5148	0.0506652	0.136716	0.476393	0.999802	2.38709	0.367537	0.363164	0.0746303	0.194669	0.3844822	6.679108
310	-13131.4	-13106.8	-24.6605	1.0092	0.389648	0.148992	0.236752	0.145967	0.201041	0.156392	0.231908	0.15361	0.18102	0.392469	0.100318	0.161488	0.20055	0.252754	0.20159	0.348684	0.290736	0.27033	0.291433	0.110426	0.121924	0.122187	0.466478	0.0639433	0.0270886	0.0331908	0.0566503	0.222238	0.0695428	0.0655244	0.0522806	0.0696681	0.180806	0.180201	0.0531927	0.0690737	0.0742183	0.0939175	0.24649	0.095393	0.164889	0.154653	0.0525275	0.0391704	0.328523	0.0577358	0.0257152	0.515441	0.0334147	0.138786	0.4795	1.00151	2.38021	0.357947	0.353688	0.072683	0.215682	0.3869472	7.202184
320	-13133.3	-13110.1	-23.2023	0.8910102	0.310182	0.145393	0.216917	0.110641	0.181447	0.114703	0.226396	0.186833	0.152682	0.384428	0.114839	0.141221	0.212522	0.249618	0.242595	0.35789	0.277049	0.271647	0.307519	0.0976105	0.179432	0.14197	0.543098	0.05066	0.00338252	0.0156102	0.026991	0.148043	0.0686017	0.0258164	0.0397329	0.0582908	0.114747	0.182501	0.0941383	0.023953	0.0785005	0.0835104	0.33473	0.087312	0.180029	0.141805	0.0838157	0.0395463	0.331676	0.0582899	0.0286933	0.520388	0.021406	0.114728	0.44135	0.979301	2.46462	0.344541	0.361073	0.0742006	0.220185	0.3605221	7.008801
330	-13138.1	-13118.1	-19.9741	0.7884591	0.377759	0.11986	0.228734	0.105894	0.249153	0.135094	0.224646	0.12974	0.11031	0.360638	0.157979	0.120901	0.183937	0.223605	0.151294	0.295061	0.301048	0.197613	0.271551	0.106156	0.155407	0.0858124	0.463001	0.126258	0.0196699	0.0439814	0.0713972	0.178928	0.0872232	0.0445982	0.0308176	0.0756884	0.207359	0.155161	0.0663285	0.0422834	0.0482388	0.0504646	0.206539	0.11876	0.135422	0.0890367	0.0815667	0.0385276	0.323132	0.0567883	0.0424193	0.506982	0.0321509	0.0931007	0.402446	0.953705	2.55075	0.34196	0.374321	0.0651828	0.218536	0.3605221	6.634912
340	-13130.9	-13104.4	-26.5498	0.7873601	0.3504	0.131796	0.193563	0.110208	0.208355	0.170723	0.272006	0.145023	0.177379	0.393465	0.141883	0.165147	0.271383	0.273971	0.224756	0.398084	0.328792	0.265502	0.311829	0.0769309	0.14489	0.117579	0.467696	0.0687467	0.0113702	0.0428542	0.0263471	0.206547	0.0832542	0.0175248	0.0228312	0.0770721	0.213782	0.274519	0.0476184	0.0168167	0.0412822	0.0765413	0.268817	0.0939819	0.181491	0.129528	0.0495978	0.0264674	0.330338	0.0569668	0.0395442	0.518288	0.0283961	0.0928664	0.401995	0.95339	2.55175	0.368013	0.360668	0.0607549	0.210565	0.3526847	7.291882
