Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
25	1	-15379.4	-15395.1	15.6617	0.109345	0.104062	0.10781	0.0942406	0.120611	0.0817611	0.116716	0.0652716	0.112274	0.166667	0.0872066	0.096901	0.10693	0.103726	0.109853	0.150719	0.115322	0.117025	0.139914	0.0565547	0.0921967	0.0771173	0.137283	0.0145749	0.0572729	0.0323374	0.0453889	0.0203959	0.0267564	0.0138333	0.0392507	0.0303036	0.0270668	0.0204094	0.0289174	0.019903	0.0246517	0.0310756	0.031764	0.0353284	0.0717909	0.0124698	0.0489117	0.229788	0.289406	0.102316	0.378491	3.10191
26	0	-15379.4	-15394.4	15.0394	0.120317	0.078707	0.0789084	0.0844943	0.116146	0.0779697	0.129949	0.0777877	0.093085	0.160138	0.0804869	0.0712595	0.0984206	0.0988635	0.110667	0.123942	0.130257	0.124171	0.108082	0.0984466	0.0907398	0.0878893	0.177612	0.0306583	0.0151467	0.0150114	0.0467694	0.0216415	0.0437596	0.0275551	0.0390333	0.0351281	0.042061	0.0386181	0.0334784	0.0227643	0.0265923	0.0251729	0.0791972	0.0454355	0.0326065	0.0882671	0.0369042	0.223831	0.310051	0.0925419	0.373576	3.164141
27	1	-15373.7	-15388.5	14.8194	0.109345	0.104856	0.118263	0.109084	0.0888457	0.0711512	0.119554	0.0738191	0.0951852	0.165508	0.101501	0.0763558	0.113961	0.0949259	0.103244	0.126583	0.139574	0.109263	0.131109	0.074181	0.0860371	0.0837803	0.189618	0.0224342	0.0628341	0.0308799	0.0414738	0.0125562	0.0309707	0.0115959	0.0502675	0.0437995	0.0362924	0.0123856	0.0516614	0.020194	0.0361847	0.0189133	0.0428037	0.0273618	0.0944152	0.0147099	0.0386581	0.222619	0.292099	0.103268	0.382014	3.186139
28	0	-15379.4	-15393.9	14.5497	0.152391	0.0824966	0.121975	0.083929	0.108253	0.0849391	0.142691	0.0809227	0.100916	0.164755	0.0839543	0.0762761	0.0943139	0.103154	0.112529	0.115344	0.118971	0.116783	0.102723	0.0766449	0.0909695	0.0903284	0.164186	0.0287436	0.0243921	0.0315712	0.0428377	0.0166512	0.0465748	0.021942	0.0368355	0.0285475	0.0372427	0.0281416	0.0543769	0.0163664	0.0370578	0.0338238	0.0476383	0.0314596	0.0292525	0.0924449	0.0577669	0.219159	0.307352	0.0917362	0.381753	3.213113
29	1	-15378.8	-15394.2	15.4129	0.114621	0.12498	0.100807	0.100207	0.114905	0.0678549	0.124081	0.0606705	0.114456	0.152375	0.062999	0.101201	0.0969086	0.0851165	0.113747	0.113819	0.120326	0.122604	0.130558	0.074181	0.0715924	0.0849847	0.180514	0.0186753	0.0648131	0.0306444	0.0509988	0.0282127	0.0187398	0.0168131	0.0510199	0.0323288	0.0290889	0.0189337	0.0503051	0.0155774	0.0402653	0.0120895	0.0391416	0.0286569	0.0914285	0.0157073	0.0398392	0.227251	0.290359	0.102653	0.379737	3.126789
30	0	-15371.6	-15387.4	15.8359	0.135142	0.0752559	0.0975874	0.0915911	0.105819	0.0742066	0.139507	0.0842416	0.0885321	0.150298	0.0730924	0.0790042	0.106013	0.090798	0.103075	0.121466	0.144389	0.0986135	0.113641	0.0721244	0.0908506	0.0830445	0.152086	0.0390052	0.0307511	0.0233057	0.0348435	0.022334	0.038395	0.0275682	0.0433475	0.0393141	0.0429515	0.0268504	0.035046	0.033873	0.0262674	0.0288024	0.0654698	0.0235231	0.0287181	0.0725422	0.0312085	0.215131	0.301703	0.108429	0.374736	3.084494
31	1	-15373.4	-15388.2	14.8278	0.12149	0.10836	0.103787	0.100207	0.0911885	0.0769113	0.120268	0.0900516	0.0905549	0.162769	0.0743816	0.0862918	0.103785	0.0913148	0.126009	0.0994957	0.127487	0.122604	0.12257	0.0806919	0.0951428	0.0987798	0.156105	0.014106	0.0554876	0.0388828	0.0512317	0.030138	0.0197502	0.0161666	0.0498627	0.028978	0.0281115	0.0361954	0.049803	0.00822976	0.0476539	0.032979	0.0435518	0.0348282	0.0769571	0.0210786	0.0510658	0.215418	0.294805	0.104225	0.385553	3.185304
32	0	-15372	-15386.9	14.9393	0.146837	0.101052	0.114424	0.0964532	0.102708	0.0794876	0.130016	0.067807	0.11816	0.16107	0.0676766	0.0828779	0.101059	0.0871428	0.113428	0.11562	0.142695	0.114871	0.124435	0.070375	0.0855088	0.0900765	0.152663	0.0360024	0.0229056	0.0145973	0.0325345	0.021915	0.0337113	0.0419262	0.0340562	0.043365	0.0447701	0.0217603	0.0660062	0.0245876	0.021857	0.0319863	0.0373731	0.0368832	0.0305737	0.063074	0.047824	0.215131	0.301703	0.108429	0.374736	3.174151
33	1	-15367.3	-15382.3	14.9214	0.12149	0.101414	0.0912536	0.11543	0.113063	0.0810115	0.131912	0.0807128	0.0905549	0.178662	0.0721964	0.0730045	0.101996	0.0953379	0.11714	0.111721	0.122002	0.119495	0.132187	0.0884213	0.0839083	0.0979816	0.159908	0.0229891	0.047055	0.025871	0.0456604	0.0222385	0.032232	0.0214648	0.0472346	0.0392462	0.0341568	0.0192659	0.036626	0.0165723	0.0466086	0.0292534	0.0329801	0.0260962	0.0819012	0.0293274	0.038364	0.215418	0.294805	0.104225	0.385553	3.175947
34	0	-15368.3	-15383.3	14.931	0.121208	0.0923914	0.0902415	0.110022	0.102708	0.0887884	0.121741	0.0763532	0.0880156	0.18491	0.0963738	0.0744206	0.091648	0.105237	0.0971703	0.139022	0.128216	0.116435	0.116705	0.0641526	0.0831125	0.0969785	0.1877	0.0276701	0.0231479	0.0240227	0.0261394	0.0286369	0.0353749	0.0283046	0.0418454	0.0359674	0.0461352	0.0276053	0.0441501	0.0229666	0.0342587	0.0298815	0.0414369	0.0420277	0.0188821	0.0786563	0.0443259	0.215131	0.301703	0.108429	0.374736	3.174986
35	1	-15373.2	-15387.9	14.6512	0.108947	0.109029	0.102645	0.10761	0.103978	0.0671921	0.131912	0.0735452	0.10615	0.178881	0.0679358	0.0909205	0.112825	0.0954862	0.136113	0.111721	0.124732	0.111242	0.140002	0.0806609	0.0817801	0.0775046	0.184819	0.0231677	0.0619212	0.0332097	0.0468091	0.0220477	0.0388379	0.00866601	0.0417657	0.0270965	0.0250535	0.0280547	0.0329222	0.0163858	0.0515904	0.0308987	0.0290498	0.029957	0.0791612	0.0250454	0.0456886	0.212472	0.298463	0.104073	0.384992	3.202961
