Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
21	1	-15377.5	-15392.8	15.3217	0.11559	0.0827757	0.0866082	0.0934507	0.0908862	0.0886297	0.119011	0.0978873	0.0969319	0.173445	0.0636364	0.0979602	0.0867706	0.100241	0.126231	0.123791	0.11663	0.125375	0.135036	0.0790991	0.0875549	0.0868201	0.169672	0.0234324	0.0339703	0.0466374	0.0195374	0.0290774	0.0533754	0.033767	0.0660635	0.0209308	0.0430276	0.0295329	0.0300751	0.02569	0.0377947	0.0293397	0.0471458	0.0297486	0.0145756	0.0209714	0.0571857	0.209725	0.302584	0.0978475	0.389844	3.135912
22	0	-15366	-15382.4	16.3643	0.120876	0.0995379	0.101098	0.0890773	0.0994821	0.0867824	0.1153	0.0719374	0.103334	0.166852	0.0671496	0.0798861	0.0956841	0.0907429	0.103274	0.147551	0.108607	0.0974282	0.11159	0.071605	0.0865333	0.0754624	0.156824	0.0308148	0.0194269	0.0527276	0.0306119	0.0213505	0.0697275	0.0296589	0.0370458	0.0262779	0.0350258	0.025184	0.0288797	0.0155604	0.0393235	0.0316814	0.0278681	0.0314929	0.0443313	0.0377028	0.0503485	0.215858	0.308669	0.104477	0.370996	3.031657
23	1	-15375.6	-15390.4	14.7995	0.10747	0.107966	0.0809577	0.115997	0.11223	0.0687548	0.134026	0.0890245	0.0894539	0.181084	0.0733395	0.0932642	0.0972056	0.110537	0.117336	0.137237	0.125339	0.104798	0.0997936	0.0874412	0.080327	0.076119	0.163107	0.0193386	0.03863	0.0427764	0.0375115	0.0213272	0.0504894	0.0390338	0.0776064	0.0252888	0.067337	0.034491	0.0240114	0.0231778	0.0344983	0.0293397	0.0332755	0.0262302	0.0336121	0.0322127	0.0451334	0.2085	0.300816	0.097276	0.393408	3.18813
24	0	-15374.1	-15388.6	14.5888	0.1256	0.0998518	0.0967482	0.107874	0.109488	0.0921068	0.143779	0.070199	0.10634	0.176035	0.0886384	0.0922236	0.10901	0.0976534	0.104538	0.101788	0.118812	0.0974858	0.123329	0.0766895	0.0865333	0.0795105	0.174846	0.0251074	0.0263074	0.0481904	0.0334477	0.0217515	0.0775012	0.025194	0.04484	0.0277176	0.0485612	0.0250625	0.0292604	0.0295167	0.0346479	0.0499585	0.031391	0.0461417	0.0417178	0.0208046	0.0430064	0.221525	0.290518	0.10722	0.380737	3.209205
25	1	-15380	-15395.3	15.2855	0.121161	0.0814531	0.0931739	0.102426	0.116302	0.0969379	0.128457	0.0844026	0.0896148	0.181047	0.077827	0.0690395	0.102592	0.0861091	0.10923	0.0944824	0.127595	0.103272	0.105676	0.0987015	0.0667342	0.108763	0.153264	0.0236621	0.0315042	0.0457119	0.0339185	0.0269281	0.04558	0.0398569	0.0869052	0.0161998	0.0540659	0.0447773	0.0237792	0.029742	0.0367828	0.028622	0.047444	0.0169799	0.0272323	0.0315245	0.0500567	0.202068	0.303261	0.0980666	0.396605	3.139534
26	0	-15374.8	-15389.2	14.4008	0.127877	0.0946957	0.129791	0.0916651	0.114012	0.0814069	0.134774	0.0693939	0.102421	0.163767	0.0869853	0.0751552	0.11989	0.108803	0.128192	0.135335	0.124888	0.0977005	0.126485	0.0780506	0.0862479	0.0927128	0.186987	0.0256848	0.0146392	0.0575644	0.0259638	0.0289374	0.0956304	0.0294422	0.0314944	0.0129964	0.0347337	0.038357	0.0162355	0.0192765	0.0334382	0.0336893	0.0252628	0.040783	0.0318721	0.0238364	0.0509319	0.213459	0.294006	0.107228	0.385308	3.228003
27	1	-15379.4	-15394.4	15.0328	0.1314	0.0927841	0.0931739	0.0909972	0.106948	0.0670193	0.127699	0.0916573	0.0939644	0.16541	0.0842763	0.0694342	0.0927983	0.0836265	0.0906457	0.105919	0.1374	0.103272	0.13271	0.0955025	0.0996136	0.104293	0.169773	0.0199759	0.0279185	0.0516914	0.0290381	0.0210352	0.039634	0.0342394	0.0728069	0.0124936	0.0445383	0.0280006	0.0274391	0.0281883	0.0445082	0.0492459	0.0539178	0.0353835	0.0213285	0.0401726	0.0529303	0.221148	0.304927	0.107326	0.366599	3.164804
28	0	-15373.9	-15389.3	15.3561	0.121303	0.0905561	0.103014	0.116523	0.100295	0.0634606	0.125976	0.0756749	0.100733	0.163343	0.077916	0.0731457	0.0916754	0.0858847	0.106249	0.1611	0.123601	0.109828	0.130508	0.0934305	0.0988697	0.0927128	0.167286	0.0363	0.0131051	0.0380424	0.027792	0.027009	0.0660263	0.0423215	0.0322985	0.0137174	0.0344138	0.0566423	0.0271484	0.0195656	0.022851	0.0161546	0.029106	0.0478807	0.0317351	0.0228471	0.0544275	0.213459	0.294006	0.107228	0.385308	3.13247
29	1	-15380.2	-15395.3	15.1541	0.122877	0.104917	0.0984424	0.110064	0.0917201	0.0715033	0.135097	0.0741409	0.0816666	0.158573	0.0750277	0.105565	0.0980308	0.0897338	0.112295	0.115707	0.1374	0.125801	0.123077	0.0901949	0.0833241	0.105574	0.156138	0.03756	0.0242572	0.0447023	0.0168432	0.0212389	0.0330611	0.0306177	0.0753441	0.0201267	0.0422635	0.0289421	0.01948	0.0284106	0.0461105	0.0275311	0.0345187	0.0240012	0.0201469	0.0247713	0.085883	0.22176	0.305772	0.104855	0.367614	3.152678
30	0	-15370.1	-15385.8	15.7729	0.130045	0.0976208	0.0873672	0.0941666	0.0931146	0.0791536	0.117335	0.09593	0.0882283	0.166509	0.0693638	0.0858711	0.0990485	0.0903314	0.0939652	0.138202	0.122349	0.106769	0.109682	0.0892593	0.0869059	0.108963	0.165489	0.0244005	0.0149581	0.0524189	0.0216429	0.0274391	0.0732146	0.0395341	0.0351752	0.0251993	0.0485854	0.0343206	0.0283577	0.0178982	0.0309795	0.0284276	0.0197939	0.0459565	0.0449298	0.0177109	0.0441853	0.202992	0.300205	0.103371	0.393432	3.090798
31	1	-15382.9	-15397.8	14.8529	0.141373	0.118046	0.0962666	0.129313	0.119566	0.0903413	0.118861	0.0858685	0.083823	0.139429	0.104969	0.0847696	0.0886786	0.0952729	0.123336	0.115707	0.126927	0.105675	0.113202	0.0764432	0.0986378	0.0821281	0.154544	0.0270779	0.0322212	0.0439209	0.0227184	0.0209534	0.0477484	0.0391949	0.0684923	0.0256013	0.0400809	0.0369937	0.0172103	0.0331212	0.0294929	0.0415387	0.0267315	0.0324103	0.0183249	0.0407816	0.0450009	0.22176	0.305772	0.104855	0.367614	3.182793
32	0	-15368	-15383.2	15.2553	0.125219	0.0940714	0.0989692	0.102687	0.122769	0.0758601	0.121781	0.0845622	0.0888814	0.171212	0.0878774	0.079263	0.0863901	0.0895061	0.129871	0.131466	0.122349	0.105838	0.118016	0.0769875	0.0880767	0.0896957	0.166417	0.0317067	0.0110964	0.0489825	0.0314836	0.0153049	0.104218	0.0300076	0.0496491	0.0267643	0.0375574	0.0283814	0.0262062	0.0197484	0.0362697	0.0172588	0.0306752	0.0605736	0.0296308	0.0167199	0.0325548	0.22138	0.288333	0.108913	0.381374	3.142553
33	1	-15377.1	-15391.8	14.7305	0.145982	0.103108	0.0806797	0.111567	0.105282	0.0819716	0.132076	0.0595	0.0999414	0.163894	0.0753966	0.0874862	0.109173	0.125173	0.100183	0.120767	0.135438	0.099064	0.117127	0.0782765	0.102237	0.0799406	0.174289	0.0177878	0.0322212	0.0562439	0.0397126	0.0148133	0.0470159	0.0306695	0.0750345	0.0246904	0.0422357	0.0368253	0.0253637	0.0276386	0.0280655	0.023351	0.0402451	0.0260031	0.0204729	0.0229198	0.0751748	0.221349	0.307056	0.104661	0.366933	3.195036
34	0	-15373.2	-15388.2	14.9911	0.133293	0.0918656	0.11313	0.102687	0.112969	0.0905061	0.125033	0.0673931	0.0846434	0.175818	0.0795081	0.0845573	0.0869137	0.0980468	0.128672	0.136157	0.134249	0.0974874	0.118016	0.0726146	0.0880767	0.0955043	0.135001	0.0401665	0.0156	0.0496614	0.040797	0.0254279	0.11046	0.0419171	0.0315813	0.0284448	0.0389674	0.0296579	0.0225549	0.0246764	0.0365129	0.0106593	0.0328557	0.0411252	0.0298411	0.0298432	0.0360768	0.218866	0.296414	0.107676	0.377044	3.168969
35	1	-15378	-15393.2	15.1934	0.118074	0.0942199	0.101685	0.104515	0.102694	0.0839339	0.118368	0.0782562	0.0828495	0.162922	0.0765371	0.0747428	0.108225	0.107484	0.122384	0.101897	0.12137	0.104519	0.106706	0.0906758	0.0989381	0.0679472	0.156981	0.0278351	0.0400716	0.0331624	0.0326605	0.0258095	0.0602686	0.030664	0.0706825	0.0369552	0.0519016	0.0455064	0.0354423	0.0212411	0.0426719	0.0413815	0.044932	0.0236634	0.010742	0.0310362	0.05619	0.222062	0.308045	0.101778	0.368115	3.148742
36	0	-15375.7	-15391.2	15.4881	0.135494	0.0999932	0.0852176	0.0957617	0.123583	0.0733305	0.125033	0.063691	0.0901227	0.157903	0.0898835	0.0826359	0.096325	0.0728877	0.0972055	0.130147	0.119361	0.101333	0.11394	0.0947475	0.0953602	0.0765332	0.184393	0.0353492	0.00681207	0.0426803	0.0439449	0.0198908	0.092503	0.0450655	0.0355055	0.0291824	0.0330432	0.023831	0.0313076	0.0151857	0.0439745	0.0234502	0.0246186	0.0481251	0.0429524	0.0304388	0.0465253	0.217646	0.300335	0.107076	0.374943	3.119269
37	1	-15378	-15393.6	15.6361	0.131789	0.100685	0.0943994	0.106366	0.107735	0.0962391	0.111984	0.0857134	0.0926766	0.160778	0.070985	0.0724025	0.101096	0.100567	0.108118	0.101897	0.100954	0.106492	0.117697	0.0662147	0.102685	0.0961556	0.156981	0.0354091	0.0376544	0.0500321	0.0294561	0.0137339	0.0408724	0.0252942	0.0817295	0.0240769	0.0502227	0.0295776	0.0290511	0.0308445	0.0468084	0.0242849	0.0443673	0.0138746	0.021791	0.0194382	0.0653428	0.21442	0.297444	0.0978019	0.390334	3.104471
38	0	-15374.4	-15389.5	15.1107	0.103922	0.0970814	0.100451	0.103737	0.130875	0.0783669	0.117691	0.0721727	0.0944992	0.142279	0.0696229	0.0864429	0.0975874	0.069449	0.119772	0.136076	0.144407	0.112538	0.110411	0.097786	0.0773959	0.0917016	0.17689	0.026245	0.0314406	0.0436262	0.0432554	0.0356643	0.0772042	0.0388294	0.0406988	0.0198953	0.0468792	0.0356459	0.0227094	0.0166786	0.0324405	0.015334	0.0304694	0.0444444	0.0406911	0.0271128	0.0565914	0.217646	0.300335	0.107076	0.374943	3.157012
39	1	-15380	-15395.5	15.5787	0.109511	0.106913	0.0911997	0.124834	0.107763	0.0787263	0.136577	0.0857134	0.0708332	0.182062	0.0802168	0.0860708	0.105278	0.0982829	0.0984539	0.128787	0.131006	0.114787	0.127723	0.0685946	0.084952	0.089089	0.139151	0.0165004	0.0462746	0.0527209	0.0271565	0.0239064	0.0476942	0.0272192	0.0838823	0.0229912	0.0316076	0.0322719	0.0139514	0.015937	0.0380041	0.0301298	0.0508181	0.018245	0.0240153	0.0210781	0.0392828	0.221574	0.294736	0.0969113	0.386779	3.11021
40	0	-15380.7	-15396.1	15.4475	0.109625	0.116976	0.0938843	0.115324	0.0968718	0.101484	0.145663	0.0649516	0.0884937	0.136733	0.0821605	0.0697047	0.0975874	0.0857173	0.123071	0.132006	0.109613	0.0973143	0.123098	0.0765373	0.0840442	0.0934691	0.185053	0.0284772	0.0144624	0.0364064	0.0357349	0.0239096	0.0732946	0.0200114	0.0576942	0.0181484	0.0471622	0.0312632	0.0188571	0.0200852	0.027307	0.0299289	0.0357849	0.0525997	0.0481024	0.0313342	0.0433859	0.218139	0.29875	0.107319	0.375792	3.123332
41	1	-15375.5	-15390.3	14.882	0.116446	0.108875	0.0955474	0.096839	0.107763	0.0900409	0.129968	0.0899319	0.0886736	0.151183	0.0867528	0.06398	0.0998693	0.0873994	0.10749	0.125494	0.0965693	0.113879	0.11278	0.0724195	0.118578	0.0954593	0.17261	0.0286176	0.0279026	0.06173	0.0283144	0.0170987	0.0542973	0.0298719	0.0805067	0.0234536	0.0666001	0.0296569	0.0258266	0.0311703	0.0337011	0.0339898	0.0517658	0.0294089	0.0207909	0.0313888	0.0452481	0.220117	0.295287	0.0970927	0.387503	3.179888
42	0	-15371.9	-15386.9	15.0116	0.109625	0.102182	0.0999204	0.116989	0.101016	0.0866046	0.137368	0.0846973	0.0833266	0.174807	0.071022	0.0747767	0.0821168	0.0800078	0.11249	0.124792	0.144353	0.110299	0.126146	0.0661972	0.0857947	0.0870955	0.1586	0.0436197	0.0116791	0.036415	0.031322	0.022379	0.0912618	0.0418204	0.0371881	0.0319189	0.0324019	0.0370788	0.0477306	0.0183444	0.0313403	0.0282015	0.0251561	0.0354051	0.0450053	0.0245382	0.0738895	0.222201	0.299111	0.102442	0.376246	3.166923
43	1	-15376.8	-15392.4	15.5773	0.160614	0.109723	0.0974023	0.0963194	0.0824564	0.0869088	0.125651	0.0801276	0.0899147	0.149731	0.0837619	0.0877035	0.0895161	0.0970681	0.106339	0.109236	0.127604	0.0981558	0.133624	0.0638593	0.0913463	0.0950989	0.153775	0.0357392	0.0267501	0.0482623	0.0223139	0.016656	0.0470233	0.030397	0.0583612	0.0326508	0.0516992	0.0303593	0.0213099	0.016633	0.0388706	0.0145153	0.0456083	0.0253277	0.0317321	0.0300285	0.0701776	0.210023	0.296987	0.103256	0.389734	3.110352
