Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
24	0	-13203.2	-13182.4	-20.7445	0.3381915	0.226678	0.130672	0.161544	0.110386	0.123863	0.113327	0.209282	0.107362	0.133103	0.279566	0.06939	0.166659	0.167431	0.20427	0.188825	0.243754	0.194296	0.190161	0.176248	0.0675197	0.145845	0.0976258	0.399325	0.0314307	0.0817474	0.034257	0.092024	0.0151275	0.171773	0.165566	0.0450961	0.0997569	0.127	0.0957671	0.0535641	0.0369862	0.0620893	0.0336864	0.180447	0.0234299	0.0123237	0.0536167	0.0563953	0.0679172	0.310568	0.0535092	0.0153489	0.518348	0.0343083	0.00889808	0.13435	0.654704	3.20205	0.329774	0.358972	0.0958988	0.215355	5.379216
25	1	-13193.4	-13173.3	-20.0469	0.3082858	0.265441	0.0874497	0.121508	0.096855	0.166689	0.0886305	0.216034	0.0988994	0.120032	0.28686	0.0963175	0.140031	0.173888	0.176583	0.137186	0.21467	0.215542	0.177509	0.163766	0.0765098	0.153223	0.0897119	0.409334	0.206975	0.0726281	0.0492389	0.0437977	0.0646996	0.01157	0.0845469	0.0701313	0.046186	0.150871	0.0499673	0.035523	0.145841	0.0747763	0.0148464	0.0464109	0.180398	0.079452	0.0719532	0.0369776	0.0540782	0.338716	0.0616674	0.0152653	0.478978	0.0512944	0.00599148	0.110954	0.609459	3.2736	0.341805	0.370663	0.0754006	0.212132	5.309457
26	0	-13213.8	-13195.6	-18.141	0.3043208	0.240415	0.0937174	0.128342	0.116064	0.195788	0.132781	0.207219	0.133069	0.121706	0.162188	0.107525	0.130367	0.154162	0.197538	0.187349	0.223769	0.278504	0.139693	0.163694	0.0660147	0.0985156	0.0977499	0.373423	0.0304671	0.0778254	0.0312076	0.0918569	0.0159583	0.126165	0.120369	0.0838399	0.0529568	0.139384	0.040654	0.058506	0.0693665	0.0657946	0.0479093	0.127665	0.0817003	0.0100517	0.0423047	0.0552883	0.0678698	0.310351	0.0534718	0.0166526	0.517986	0.0336685	0.00565235	0.10786	0.602988	3.2835	0.330482	0.359812	0.0954219	0.214284	5.118863
27	1	-13195.1	-13176.4	-18.7147	0.3082858	0.241385	0.120842	0.153892	0.132464	0.122071	0.138614	0.163287	0.110597	0.145494	0.280473	0.102988	0.091639	0.179063	0.1688	0.167837	0.193715	0.22914	0.209551	0.163228	0.0675763	0.11554	0.0789386	0.349115	0.16012	0.0655158	0.0451073	0.0745231	0.038385	0.00504054	0.0617346	0.0695647	0.0379353	0.132218	0.0709099	0.0143021	0.145841	0.0788959	0.0217376	0.0384499	0.156525	0.135909	0.0654229	0.0318509	0.0450195	0.341952	0.0622566	0.0154326	0.483555	0.0517844	0.00599148	0.110954	0.609459	3.2736	0.321593	0.382045	0.077716	0.218646	5.176237
28	0	-13190.9	-13168.9	-22.0362	0.3184487	0.246753	0.127639	0.141103	0.0636676	0.188703	0.133415	0.213046	0.122	0.132865	0.293576	0.117082	0.121569	0.152709	0.194972	0.196049	0.2757	0.216377	0.215702	0.167753	0.0733963	0.137719	0.0958942	0.377565	0.0363634	0.0987106	0.0464938	0.0986812	0.0279534	0.171867	0.200307	0.0265229	0.0815154	0.162317	0.0705509	0.0616702	0.0403016	0.0313687	0.0610471	0.134116	0.0565337	0.0282775	0.0240698	0.0444612	0.0494071	0.28352	0.057454	0.0178928	0.556562	0.0351645	0.00691065	0.118902	0.625523	3.24866	0.321298	0.364748	0.0967308	0.217223	5.508382
29	1	-13195.3	-13171	-24.2791	0.3341509	0.310784	0.102996	0.154936	0.14336	0.211681	0.1144	0.199466	0.144342	0.127271	0.280473	0.12461	0.135689	0.143607	0.226711	0.146247	0.265027	0.262498	0.185035	0.174763	0.0783459	0.149052	0.0735867	0.406808	0.148301	0.0699677	0.0628848	0.0678873	0.0745231	0.00315656	0.0619586	0.0797762	0.0329307	0.145207	0.038911	0.0446921	0.157062	0.0767257	0.0361028	0.0606746	0.181995	0.102377	0.049065	0.0767872	0.0454965	0.337273	0.0646727	0.00977646	0.488678	0.0541037	0.00846999	0.131192	0.64894	3.2114	0.322103	0.382652	0.0762519	0.218993	5.732673
30	0	-13197.3	-13175.2	-22.1084	0.3185813	0.278004	0.103062	0.126265	0.107534	0.184879	0.157333	0.182982	0.134886	0.132364	0.284601	0.117082	0.0767287	0.171317	0.242827	0.162203	0.255196	0.23149	0.187683	0.180877	0.0853607	0.12008	0.0952393	0.429559	0.0413186	0.0838642	0.0871557	0.162662	0.0371006	0.128891	0.156464	0.0424277	0.0994272	0.11139	0.044069	0.0451718	0.0386241	0.0547974	0.0157964	0.128367	0.0559914	0.0349732	0.0396092	0.0599543	0.0522763	0.299985	0.0649981	0.0157118	0.539961	0.0270678	0.00692312	0.119006	0.625728	3.24834	0.321298	0.364748	0.0967308	0.217223	5.515606
31	1	-13199.9	-13170.6	-29.3709	0.327886	0.231602	0.133504	0.221054	0.131721	0.239887	0.166897	0.227143	0.106108	0.138187	0.33869	0.158311	0.106564	0.186224	0.226316	0.197095	0.28531	0.228423	0.170586	0.247555	0.0781645	0.135624	0.11127	0.468925	0.21277	0.0596406	0.0364497	0.0772213	0.057034	0.0369766	0.0216594	0.114906	0.0548276	0.152339	0.0597851	0.0504479	0.176277	0.0834851	0.0193985	0.0564409	0.157081	0.19182	0.0685236	0.019609	0.0449837	0.333472	0.0639575	0.016535	0.494305	0.0467472	0.00782782	0.12629	0.639794	3.22609	0.321319	0.38172	0.0760661	0.220896	6.241853
32	0	-13202.6	-13181.1	-21.4979	0.3031253	0.213627	0.0948167	0.128712	0.12017	0.203563	0.13604	0.187081	0.11832	0.133537	0.303015	0.154965	0.0761316	0.146466	0.179422	0.142175	0.237405	0.222761	0.207367	0.158129	0.072115	0.119286	0.086142	0.405675	0.0329045	0.1013	0.0604224	0.0853158	0.0102806	0.169228	0.171171	0.075921	0.0664271	0.146317	0.0817119	0.0743493	0.0856975	0.0569555	0.0163812	0.192415	0.0619925	0.0258204	0.0466996	0.0463249	0.051681	0.296569	0.0642579	0.0148972	0.533812	0.0387828	0.00555225	0.106929	0.601014	3.28651	0.334657	0.357569	0.0948269	0.212947	5.454557
33	1	-13204.2	-13171.8	-32.3703	0.3042259	0.295028	0.148131	0.208392	0.0958065	0.162432	0.139363	0.231669	0.0977783	0.156423	0.33869	0.0936628	0.172964	0.200018	0.204511	0.174933	0.297916	0.251206	0.255278	0.230408	0.0605834	0.170056	0.0767402	0.468925	0.234293	0.0482113	0.0993824	0.0621383	0.069128	0.0715046	0.0760082	0.0959575	0.0554157	0.174069	0.0610189	0.0399999	0.216873	0.0966932	0.0421445	0.0522631	0.273392	0.168959	0.0375686	0.0358631	0.0416537	0.308785	0.0645478	0.0147382	0.545086	0.0251892	0.00564436	0.107786	0.602832	3.28374	0.325308	0.374043	0.0770105	0.223638	6.541799
34	0	-13198.9	-13173.6	-25.3232	0.3434329	0.279466	0.16039	0.183478	0.101837	0.136629	0.175399	0.199749	0.179148	0.125969	0.351338	0.155996	0.133619	0.151944	0.207704	0.177345	0.258505	0.245377	0.203439	0.189277	0.0827822	0.141252	0.0811913	0.440661	0.0290883	0.0900268	0.0201417	0.0788058	0.017877	0.129093	0.162084	0.0301814	0.0904995	0.147912	0.0533821	0.0970133	0.098382	0.0363659	0.0539569	0.158667	0.0604931	0.032004	0.0458831	0.0427378	0.0496238	0.283407	0.0725217	0.0145067	0.550901	0.0290401	0.00946942	0.138441	0.662029	3.19006	0.337448	0.356153	0.0942949	0.212104	5.837088
35	1	-13195.6	-13167.5	-28.1006	0.3029909	0.301247	0.134886	0.204408	0.0990264	0.176236	0.166333	0.201083	0.177999	0.100682	0.266101	0.131301	0.110189	0.193854	0.208796	0.174072	0.312102	0.266409	0.264807	0.259169	0.0624465	0.144164	0.0962114	0.406698	0.141642	0.0612551	0.0863318	0.0821033	0.0467241	0.0229022	0.0500858	0.0826353	0.0347879	0.155591	0.0597052	0.0432161	0.192555	0.133975	0.0226696	0.0545436	0.214592	0.0857352	0.0445421	0.0410096	0.0396307	0.325762	0.061413	0.0156515	0.518614	0.0389297	0.00554106	0.106824	0.600792	3.28684	0.325308	0.374043	0.0770105	0.223638	6.11482
36	0	-13194.6	-13172.4	-22.2895	0.3067103	0.296879	0.0981994	0.145114	0.161908	0.170766	0.129826	0.186835	0.106168	0.123611	0.255746	0.107814	0.119187	0.180296	0.234499	0.162613	0.219413	0.245377	0.176535	0.207752	0.0805773	0.125882	0.0966219	0.412389	0.0360278	0.0717172	0.0291915	0.076164	0.0104644	0.153323	0.188847	0.0490501	0.059097	0.142064	0.0774023	0.0468639	0.0816056	0.0654944	0.0267369	0.21793	0.0594401	0.0484816	0.021176	0.0286318	0.049284	0.284054	0.0626208	0.00990373	0.547129	0.0470088	0.00585541	0.109724	0.606902	3.27752	0.327833	0.362855	0.0916081	0.217703	5.533716
