Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-13150	-13117.2	-32.7791	0.8016613	0.361566	0.155297	0.171716	0.143988	0.205827	0.162826	0.240499	0.129462	0.171788	0.279494	0.123013	0.104768	0.245814	0.24588	0.235725	0.325393	0.225023	0.259324	0.217283	0.102275	0.148235	0.0625731	0.492107	0.00665323	0.146469	0.0886805	0.0487037	0.109837	0.0991178	0.237681	0.0174418	0.054022	0.103775	0.0222263	0.0448579	0.202859	0.00301362	0.267332	0.0384572	0.0785818	0.0932325	0.0649894	0.0448709	0.0286364	0.441876	0.0561239	0.0399433	0.398284	0.0351368	0.0959122	0.407802	0.957414	2.53887	0.336846	0.386489	0.0608213	0.215844	0.3714805	6.58268
210	-13146.4	-13109.2	-37.1577	0.7354126	0.294329	0.119402	0.176793	0.146062	0.301654	0.145019	0.220394	0.169178	0.145008	0.339939	0.120048	0.164771	0.200726	0.223518	0.268904	0.285085	0.263511	0.242111	0.211545	0.140159	0.161764	0.104149	0.638197	0.0492494	0.181105	0.106098	0.014568	0.14906	0.0595594	0.207812	0.0121808	0.0739171	0.0814342	0.0159549	0.063462	0.305826	0.00268494	0.245323	0.0767714	0.0849576	0.102263	0.0616677	0.0443767	0.0338203	0.380583	0.0433823	0.0258437	0.471081	0.04529	0.0817628	0.37977	0.937316	2.60115	0.341752	0.38363	0.0603713	0.214247	0.3714805	7.020537
220	-13140.5	-13112.3	-28.1665	0.8347303	0.253927	0.114368	0.122503	0.141889	0.198071	0.159502	0.255687	0.123187	0.112829	0.3488	0.107568	0.144696	0.193634	0.237136	0.163883	0.320036	0.295387	0.160958	0.192063	0.0886459	0.134922	0.103845	0.442279	0.0396818	0.218075	0.0464494	0.0514009	0.187742	0.0676807	0.119075	0.0338013	0.0217621	0.0614215	0.0283495	0.0812818	0.18512	0.00200189	0.214795	0.0767714	0.131131	0.0727711	0.0166002	0.0496877	0.0320197	0.388685	0.0563712	0.0244677	0.449566	0.0488902	0.102925	0.42075	0.966132	2.51019	0.341482	0.383327	0.0611131	0.214078	0.3963013	6.121417
230	-13140.6	-13108.9	-31.7396	0.8740399	0.309148	0.125439	0.20071	0.17029	0.186427	0.128709	0.293947	0.121374	0.181831	0.349193	0.107726	0.11747	0.227105	0.247824	0.188346	0.363389	0.20237	0.202698	0.227728	0.113495	0.113277	0.0573564	0.518677	0.0118277	0.177049	0.0801249	0.0428408	0.188137	0.0832252	0.150635	0.0232602	0.0359437	0.0264984	0.0360275	0.0724873	0.198177	0.00111225	0.219476	0.0971225	0.102228	0.0974237	0.0311206	0.0494838	0.0318625	0.392859	0.0560945	0.0279584	0.44736	0.0438659	0.111189	0.435319	0.975533	2.47796	0.344427	0.378746	0.0609119	0.215915	0.3963013	6.478728
240	-13151.9	-13111.3	-40.6735	0.9344393	0.366249	0.164445	0.236086	0.193163	0.203479	0.214646	0.286644	0.19267	0.123856	0.367183	0.177204	0.116355	0.258819	0.21562	0.311712	0.475641	0.270526	0.181983	0.29798	0.0999847	0.154311	0.121706	0.582679	0.00583761	0.209065	0.0819044	0.044101	0.14616	0.0580635	0.196007	0.0714082	0.0477542	0.0214733	0.0377634	0.0648169	0.20985	0.0148098	0.17288	0.0635726	0.103461	0.0989447	0.0573768	0.0539188	0.0279644	0.390966	0.0558242	0.0230509	0.45854	0.0436545	0.123694	0.456118	0.988226	2.43196	0.344427	0.378746	0.0609119	0.215915	0.3950303	7.372112
250	-13148.9	-13107.3	-41.5367	0.7842997	0.319499	0.124675	0.216154	0.160072	0.251803	0.181585	0.172452	0.187314	0.188986	0.481014	0.165263	0.128067	0.240986	0.273546	0.18532	0.429735	0.283644	0.261537	0.248187	0.0969559	0.164529	0.13108	0.640879	0.0267151	0.230967	0.102013	0.0278239	0.177032	0.0408121	0.162559	0.028869	0.0507272	0.0183048	0.0284141	0.0652849	0.212263	0.0717531	0.257632	0.0652065	0.150709	0.101545	0.0381321	0.0683909	0.0292279	0.362112	0.0583417	0.0233269	0.479219	0.0477732	0.0922137	0.400735	0.952508	2.55454	0.344427	0.378746	0.0609119	0.215915	0.3440244	7.45844
260	-13149.5	-13111.3	-38.1717	0.8893014	0.264215	0.160929	0.191339	0.190656	0.170851	0.204073	0.259595	0.161032	0.160103	0.363157	0.0991202	0.147557	0.169928	0.246548	0.197947	0.373069	0.420192	0.227903	0.285416	0.107836	0.139187	0.11151	0.62399	0.0340671	0.198312	0.0821576	0.0236476	0.110261	0.0782795	0.239761	0.016756	0.0530273	0.0514121	0.0355077	0.0396736	0.216454	0.0657222	0.228434	0.0390169	0.12203	0.128801	0.0314964	0.0509597	0.0292043	0.353901	0.0582945	0.023308	0.478832	0.0564608	0.114372	0.440749	0.978929	2.46595	0.343204	0.388223	0.0590958	0.209477	0.3713016	7.121931
270	-13152.8	-13111.3	-41.5055	0.7365049	0.325823	0.143912	0.232908	0.133461	0.277239	0.176924	0.283895	0.153092	0.158733	0.290636	0.147976	0.140508	0.336163	0.288654	0.144685	0.373069	0.333809	0.241098	0.187176	0.112863	0.158825	0.153658	0.521808	0.0372331	0.251279	0.0558827	0.0216113	0.264404	0.100694	0.177561	0.0426875	0.0720179	0.0716235	0.0633687	0.123602	0.154689	0.0610092	0.229945	0.0836645	0.12203	0.0851486	0.0344337	0.0855156	0.0280979	0.376905	0.0560861	0.0238975	0.460691	0.0543218	0.0819965	0.380257	0.93768	2.60007	0.343204	0.388223	0.0590958	0.209477	0.3713016	7.455315
280	-13147.3	-13108.8	-38.579	0.7189371	0.31302	0.127265	0.196055	0.140887	0.218044	0.136577	0.302035	0.205146	0.141573	0.359056	0.147976	0.140508	0.270354	0.210936	0.189028	0.305423	0.278973	0.276032	0.294262	0.087448	0.167036	0.101481	0.508501	0.0603174	0.256019	0.0959303	0.0441725	0.160193	0.0475797	0.194576	0.0788438	0.0719604	0.126086	0.0410336	0.0693717	0.163546	0.04928	0.177474	0.0669662	0.0791387	0.117392	0.0418484	0.103324	0.0271679	0.371495	0.0542298	0.0244141	0.463086	0.0596076	0.0782369	0.37233	0.931689	2.61774	0.343204	0.388223	0.0590958	0.209477	0.3713016	7.162668
290	-13148.8	-13112.4	-36.3924	0.9216889	0.303418	0.0956296	0.243172	0.136347	0.243755	0.161752	0.24917	0.147562	0.15674	0.332786	0.112908	0.177534	0.249711	0.29197	0.167359	0.404826	0.311757	0.220285	0.247003	0.109325	0.142452	0.120651	0.508501	0.0131287	0.265509	0.0812531	0.0561058	0.123998	0.0812658	0.198187	0.0432706	0.0593875	0.0431338	0.0237426	0.0483765	0.122527	0.0457711	0.287789	0.093753	0.051268	0.0471324	0.0673531	0.0564394	0.0353905	0.368355	0.0537714	0.0242078	0.459171	0.0591038	0.121076	0.451878	0.985707	2.44134	0.357574	0.37051	0.068108	0.203808	0.3838936	6.944007
