Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-13199	-13169.4	-29.6293	0.3195089	0.30815	0.150767	0.137943	0.117706	0.184189	0.0840282	0.204293	0.122141	0.147397	0.327678	0.124023	0.133931	0.249306	0.217299	0.21807	0.325019	0.248074	0.218601	0.258489	0.0994525	0.085643	0.1014	0.368147	0.0899254	0.133272	0.0763259	0.0757786	0.0133984	0.128346	0.197701	0.0319848	0.0876588	0.251205	0.0752772	0.10175	0.0752288	0.0676059	0.0415428	0.163867	0.0609594	0.049062	0.0446567	0.0704004	0.045056	0.299435	0.0621857	0.0177092	0.543327	0.0322875	0.00701066	0.119732	0.627157	3.2461	0.320256	0.379139	0.0848365	0.215769	6.267695
210	-13198.7	-13170.2	-28.5176	0.3342669	0.288789	0.173232	0.157293	0.0926435	0.245411	0.110224	0.19799	0.143341	0.152104	0.402877	0.106775	0.147164	0.155725	0.182253	0.168928	0.244073	0.281613	0.203499	0.209351	0.127614	0.11104	0.140261	0.385016	0.0393947	0.136746	0.0687018	0.0886258	0.00600103	0.165652	0.197701	0.0360607	0.120279	0.193729	0.0894497	0.0942377	0.0235384	0.0587121	0.0322709	0.191049	0.0367866	0.0255641	0.0617462	0.0630622	0.0477164	0.297842	0.0665218	0.0167833	0.54547	0.0256674	0.00848213	0.131283	0.649107	3.21113	0.320256	0.379139	0.0848365	0.215769	6.156525
220	-13191.1	-13164.1	-27.0264	0.3112619	0.288441	0.151388	0.135193	0.152355	0.198288	0.145088	0.217064	0.127862	0.159729	0.39457	0.0931054	0.135143	0.179952	0.201293	0.187584	0.271494	0.26928	0.209108	0.17384	0.100348	0.12219	0.0930235	0.393808	0.0804236	0.136366	0.063737	0.0641667	0.00785625	0.141417	0.170899	0.0515023	0.0644948	0.194573	0.0537749	0.0545246	0.0435309	0.0843905	0.0282746	0.148801	0.0644906	0.0392032	0.0412829	0.073547	0.0465928	0.290828	0.0649554	0.0184404	0.532625	0.0465577	0.00625324	0.11328	0.61424	3.26623	0.321188	0.377332	0.0850834	0.216397	6.007403
230	-13190.9	-13168	-22.8721	0.2985102	0.207218	0.0924361	0.190581	0.154576	0.157999	0.141238	0.192814	0.123376	0.129868	0.278158	0.0994724	0.122248	0.191702	0.176142	0.19115	0.266733	0.241744	0.191457	0.181522	0.0794914	0.109275	0.0579533	0.438002	0.0564058	0.137782	0.0539433	0.0893782	0.0235774	0.144967	0.189453	0.0517606	0.0518543	0.188682	0.0493008	0.0440407	0.0286646	0.09822	0.0205797	0.168865	0.0660647	0.0108845	0.0438333	0.0585636	0.046086	0.309361	0.0581669	0.0117905	0.526832	0.0477637	0.00517524	0.103337	0.593292	3.2982	0.353962	0.359114	0.0809755	0.205949	5.591977
240	-13198.3	-13169	-29.252	0.3273542	0.266286	0.160595	0.169727	0.126695	0.257514	0.13998	0.224244	0.126311	0.153695	0.320604	0.0799658	0.172274	0.202393	0.209098	0.226797	0.274666	0.272174	0.281371	0.211753	0.0711222	0.123829	0.0756437	0.417608	0.050664	0.163267	0.0553796	0.0437542	0.0208532	0.149154	0.265427	0.0733352	0.0988617	0.148913	0.0756996	0.0504515	0.041013	0.0947534	0.00746265	0.134635	0.0497012	0.0203249	0.0429865	0.0789787	0.0481254	0.299915	0.0603642	0.0123123	0.550146	0.0291377	0.00777452	0.125874	0.639006	3.22735	0.334571	0.374772	0.0765394	0.214118	6.229962
250	-13195.9	-13170.3	-25.5653	0.2705494	0.276012	0.155355	0.145107	0.146563	0.249154	0.104722	0.191528	0.136188	0.157519	0.281773	0.115779	0.141563	0.167425	0.16561	0.191288	0.282744	0.277654	0.159576	0.183606	0.0885619	0.11034	0.0734228	0.44779	0.0169001	0.134575	0.0993001	0.107839	0.0401775	0.139527	0.229167	0.0280245	0.0815522	0.140164	0.0473408	0.0629027	0.0552785	0.0778761	0.00490969	0.17469	0.0500335	0.0376354	0.0387447	0.0453808	0.0412591	0.310359	0.0624665	0.0127411	0.547785	0.025389	0.00321082	0.0818812	0.542866	3.37204	0.327608	0.374547	0.0838554	0.21399	5.861299
260	-13205.8	-13179.7	-26.036	0.3125299	0.310433	0.131769	0.211998	0.125495	0.240998	0.116443	0.134319	0.089162	0.129124	0.336694	0.135526	0.135454	0.246388	0.201956	0.219018	0.256357	0.228042	0.159576	0.257274	0.0959708	0.110521	0.0769034	0.425435	0.0483785	0.0734417	0.0788716	0.0487327	0.0079108	0.120303	0.214888	0.0517833	0.071557	0.225432	0.0570521	0.101326	0.0727103	0.0686967	0.00246886	0.15447	0.0204261	0.0289178	0.0267809	0.0593605	0.0410042	0.291431	0.0767948	0.012625	0.552913	0.0252322	0.00636663	0.114271	0.616257	3.2631	0.337335	0.369128	0.0826423	0.210894	5.908366
270	-13191.2	-13163.1	-28.1657	0.3134441	0.328282	0.1322	0.134898	0.14096	0.163747	0.164704	0.168623	0.152616	0.157633	0.285618	0.0835992	0.142844	0.205604	0.240958	0.199022	0.255904	0.237649	0.170018	0.170805	0.0874415	0.128411	0.104441	0.509998	0.0451694	0.102983	0.0493649	0.129577	0.0287439	0.143354	0.171899	0.0431993	0.0974745	0.214366	0.0713162	0.0822253	0.0582522	0.0595767	0.0196391	0.191795	0.0472254	0.0414996	0.0675313	0.0901717	0.0390579	0.277598	0.0731497	0.0197948	0.559298	0.0311014	0.00644907	0.114986	0.617705	3.26086	0.337335	0.369128	0.0826423	0.210894	6.121339
280	-13197.4	-13168.5	-28.932	0.3036046	0.294707	0.136759	0.162929	0.107646	0.182905	0.135492	0.186307	0.141568	0.111714	0.433433	0.121084	0.13696	0.221097	0.249619	0.211553	0.377843	0.219108	0.187052	0.22078	0.11201	0.0963769	0.0970586	0.437361	0.0447468	0.0927009	0.0918807	0.106589	0.0244972	0.143627	0.22218	0.0184992	0.113498	0.149645	0.0518941	0.0649892	0.0551685	0.0755258	0.00802546	0.140896	0.0289963	0.0466351	0.0350276	0.101582	0.0363647	0.257782	0.0669409	0.0251243	0.590981	0.0228071	0.00559226	0.107302	0.601807	3.2853	0.34499	0.354812	0.0845177	0.21568	6.197967
290	-13206.7	-13175.9	-30.8168	0.3285575	0.315098	0.171071	0.184949	0.10311	0.254266	0.163776	0.253514	0.102633	0.186488	0.284706	0.108655	0.137836	0.226848	0.222617	0.191256	0.234774	0.20847	0.266808	0.242969	0.121634	0.115072	0.0904234	0.504908	0.0492627	0.0703111	0.0769658	0.106018	0.0478069	0.0913884	0.199451	0.0679245	0.123071	0.182283	0.051229	0.11098	0.0640593	0.0623018	0.00244914	0.140896	0.0611825	0.0892557	0.0160678	0.0816552	0.0353623	0.28524	0.0650955	0.0244317	0.562418	0.0274528	0.00789539	0.126816	0.640787	3.2245	0.34499	0.354812	0.0845177	0.21568	6.386442
300	-13212.3	-13175.6	-36.6648	0.3032569	0.326616	0.132454	0.181454	0.206216	0.220018	0.169789	0.265578	0.181449	0.149941	0.362139	0.148123	0.127605	0.285454	0.325496	0.183504	0.311292	0.255729	0.252242	0.209342	0.122667	0.114914	0.110096	0.47316	0.0875683	0.150008	0.0689976	0.0785111	0.0208922	0.192005	0.150439	0.0254024	0.128004	0.182166	0.0612366	0.105374	0.0564848	0.0707566	0.00238973	0.220018	0.0991596	0.0326985	0.050522	0.0733389	0.0330746	0.308585	0.0608843	0.0157189	0.550814	0.0309226	0.00556322	0.107031	0.601232	3.28617	0.34499	0.354812	0.0845177	0.21568	6.971247
