Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14507.2	-14527.1	19.8908	0.123738	0.0985032	0.110225	0.0949106	0.102599	0.0616247	0.117442	0.078536	0.0868156	0.183341	0.0988624	0.0792914	0.120344	0.0942952	0.120011	0.153012	0.126138	0.112482	0.118592	0.0803462	0.101045	0.0881373	0.160985	0.0219126	0.0252991	0.0164552	0.0409783	0.0229916	0.017238	0.0346912	0.0459996	0.0248038	0.0474854	0.0425072	0.0502587	0.032365	0.0230366	0.011713	0.0158924	0.0325734	0.0325041	0.0739194	0.0338493	0.232008	0.280451	0.0605155	0.0314496	0.37854	0.0170358	0.234832	0.229832	0.152339	0.382997	3.157752
210	-14499.8	-14520.1	20.3652	0.124326	0.106641	0.0904642	0.0918197	0.111465	0.0829662	0.109207	0.0791144	0.0967267	0.183602	0.0684053	0.0771146	0.0933478	0.0973486	0.11151	0.140318	0.128268	0.113551	0.131841	0.0862218	0.0741093	0.0774163	0.169488	0.0313044	0.030655	0.0102226	0.0288031	0.0369583	0.0122592	0.03505	0.0378236	0.0259488	0.0589112	0.0563067	0.0515289	0.0243142	0.0218933	0.00510348	0.0126476	0.0299604	0.032831	0.0854943	0.0370201	0.213977	0.27588	0.0623354	0.0301906	0.405233	0.0123829	0.229208	0.238117	0.148691	0.383983	3.110309
220	-14512	-14532.7	20.6372	0.13034	0.0889349	0.101306	0.0778774	0.116143	0.0826437	0.119723	0.0568422	0.0900848	0.189446	0.0651686	0.0769427	0.108634	0.107103	0.105344	0.121363	0.12764	0.0961918	0.118505	0.0821988	0.0858013	0.100858	0.140144	0.0335622	0.0171593	0.0127367	0.0377204	0.0513612	0.0243297	0.0139168	0.0675016	0.0167769	0.0379626	0.0521968	0.0312897	0.0131584	0.0250239	0.0243893	0.0102542	0.0607227	0.0279757	0.0988211	0.0370201	0.213809	0.275663	0.0622864	0.0301669	0.404915	0.0131591	0.252582	0.230896	0.144182	0.372339	3.083113
230	-14496.4	-14517.9	21.5665	0.139891	0.103736	0.0966819	0.111249	0.0958366	0.0705234	0.0982828	0.082221	0.0786084	0.155911	0.0692985	0.0946193	0.102013	0.0903858	0.116286	0.112257	0.145305	0.112476	0.102005	0.0664453	0.0780188	0.0890111	0.150096	0.0194783	0.0192947	0.0154764	0.0260099	0.0367892	0.0263781	0.0254046	0.0421719	0.0265978	0.0466557	0.0472055	0.0284621	0.0254435	0.0205061	0.0134568	0.0104736	0.0369511	0.0361077	0.0889086	0.037254	0.218053	0.27308	0.0566842	0.0309198	0.412953	0.00830969	0.24633	0.225181	0.165367	0.363122	2.990184
240	-14494	-14515.8	21.8496	0.12445	0.0950369	0.0903895	0.0951473	0.100538	0.064161	0.119058	0.0806968	0.0893471	0.155868	0.0710721	0.0698952	0.0907756	0.0971976	0.11328	0.126373	0.128451	0.100193	0.0904004	0.0663057	0.0794057	0.0889265	0.165524	0.0342775	0.0249457	0.016001	0.0261377	0.0445566	0.0260799	0.0241009	0.0428901	0.019761	0.0437735	0.0487159	0.034127	0.0173567	0.0182391	0.0160557	0.015508	0.0460928	0.0423706	0.0759185	0.0424673	0.216887	0.282322	0.0588908	0.0300158	0.400878	0.0110061	0.254331	0.220148	0.150604	0.374917	2.961869
250	-14505.8	-14526.5	20.7612	0.12792	0.0971769	0.0955256	0.0980822	0.0920617	0.0648381	0.119865	0.0730272	0.102192	0.181545	0.0709585	0.0563523	0.101614	0.12839	0.0985206	0.122183	0.126789	0.125041	0.12382	0.0766543	0.0648427	0.0914832	0.151597	0.0179058	0.0169602	0.0219754	0.0319573	0.0516242	0.0224887	0.0264264	0.0428901	0.0186554	0.0454182	0.0224672	0.0426402	0.0188015	0.0393383	0.0228434	0.012941	0.0431597	0.0460469	0.0835867	0.0521114	0.218541	0.284476	0.04847	0.0302447	0.403936	0.0143327	0.251408	0.221011	0.151194	0.376387	3.070717
260	-14504.1	-14525.3	21.1475	0.142599	0.0944782	0.117113	0.0935213	0.0890259	0.0683033	0.12703	0.0726817	0.0738209	0.189872	0.0747426	0.0846669	0.088115	0.101342	0.125526	0.138931	0.125502	0.100797	0.113192	0.083362	0.104924	0.0826791	0.118693	0.0240221	0.0185958	0.0234448	0.0444982	0.0418947	0.0300046	0.0146563	0.0489412	0.0157261	0.0458279	0.0355802	0.0347099	0.02135	0.0266885	0.011898	0.0147578	0.0270577	0.0278477	0.0818276	0.0318333	0.229363	0.2796	0.0504203	0.0295176	0.397012	0.0140871	0.238666	0.224772	0.153768	0.382794	3.032079
270	-14507.8	-14527.7	19.8609	0.12369	0.0884443	0.10157	0.105442	0.132698	0.0568677	0.103668	0.0896365	0.0788481	0.215029	0.0663112	0.0668815	0.0930242	0.110521	0.112743	0.150073	0.127486	0.100797	0.132577	0.0843137	0.0830765	0.0686292	0.168326	0.0338349	0.0199387	0.00838295	0.0373862	0.0438904	0.0315573	0.0187507	0.0390479	0.0228845	0.0572997	0.0522667	0.037734	0.0250707	0.0266143	0.0139899	0.0168278	0.0376457	0.042987	0.0908699	0.0431101	0.230713	0.281246	0.0507171	0.0309637	0.39935	0.00701039	0.234462	0.24164	0.147848	0.37605	3.160744
280	-14502.4	-14522.5	20.1884	0.115485	0.0831894	0.104961	0.0940892	0.0871992	0.0821527	0.111936	0.0743773	0.109717	0.2019	0.0801337	0.0908115	0.0850767	0.0989547	0.112743	0.141166	0.135001	0.10982	0.1178	0.0854005	0.0843901	0.0809609	0.182265	0.0219084	0.0215037	0.0175679	0.033659	0.0298109	0.0195989	0.0233499	0.0371072	0.0107541	0.0570535	0.0547531	0.028336	0.0290931	0.0397896	0.00434516	0.0242642	0.0313957	0.0345657	0.0937324	0.0458792	0.227867	0.275978	0.0577027	0.0317622	0.394423	0.0122673	0.24372	0.238718	0.14606	0.371502	3.127997
290	-14511.1	-14531.4	20.257	0.103239	0.100642	0.0907985	0.0837039	0.0989061	0.0948909	0.11221	0.0723616	0.0873666	0.18324	0.0773412	0.0846418	0.0911002	0.106207	0.0830106	0.107415	0.134534	0.12403	0.126283	0.0645202	0.106044	0.0949151	0.191473	0.0285037	0.0205017	0.0100058	0.0350398	0.053845	0.0208971	0.0227914	0.0552239	0.0193324	0.0490908	0.0365582	0.0363096	0.0162957	0.0369379	0.0230612	0.00919239	0.0586221	0.0289113	0.0885766	0.052561	0.228277	0.27464	0.0578064	0.0292632	0.395132	0.0148812	0.241617	0.236658	0.153427	0.368298	3.121133
